onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.32083333,62,76,1,0,n0,0.5,1.0
1.3447917,0.034375,58,76,1,0,n1,1.078646,2.0
1.6572917,0.29166666,63,81,1,0,n2,1.078646,2.0
2.290625,0.36875,60,79,1,0,n3,2.290625,4.0
3.1625,0.034375,57,83,1,0,n4,2.884896,5.0
3.4791667,0.30625,62,89,1,0,n5,2.884896,5.0
4.1375,0.38229167,58,81,1,0,n6,4.1375,7.0
5.04375,0.0375,55,65,1,0,n7,4.742708,8.0
5.3479166,0.042708334,60,61,1,0,n8,4.742708,8.0
5.6385417,0.04375,60,72,1,0,n9,5.347917,9.0
5.925,0.033333335,60,81,1,0,n10,5.925,10.0
6.2166667,0.032291666,60,79,1,0,n11,5.925,10.0
6.507292,0.025,60,64,1,0,n12,6.507292,11.0
6.80625,0.026041666,60,64,1,0,n13,6.507292,11.0
7.1125,0.29583332,60,64,1,0,n14,7.1125,12.0
7.430208,0.034375,58,55,1,0,n15,7.1125,12.0
7.575,0.042708334,57,65,1,0,n16,7.1125,12.0
7.710417,0.45,67,80,1,0,n17,7.1125,12.0
7.7229166,0.034375,58,70,1,0,n18,7.716667,13.0
7.858333,0.035416666,55,66,1,0,n19,7.716667,13.0
8.004167,0.039583333,58,77,1,0,n20,7.716667,13.0
8.155209,0.035416666,60,76,1,0,n21,7.716667,13.0
8.279166,0.034375,62,85,1,0,n22,7.716667,13.0
8.432292,0.028125,61,73,1,0,n23,8.279167,14.0
8.561459,0.08541667,65,84,1,0,n24,8.279167,14.0
8.563541,0.10208333,62,86,1,0,n25,8.279167,14.0
8.871875,0.29791668,70,90,1,0,n26,8.279167,14.0
8.890625,0.134375,62,75,1,0,n27,8.88125,15.0
9.203125,0.246875,55,69,1,0,n28,8.88125,15.0
9.504167,0.44895834,67,93,1,0,n29,9.504167,16.0
9.639584,0.04375,55,69,1,0,n30,9.504167,16.0
9.784375,0.035416666,57,84,1,0,n31,9.504167,16.0
9.920834,0.0375,58,81,1,0,n32,9.504167,16.0
10.0625,0.033333335,60,83,1,0,n33,10.0625,17.0
10.19375,0.038541667,58,69,1,0,n34,10.0625,17.0
10.336458,0.09375,64,87,1,0,n35,10.0625,17.0
10.339583,0.1375,60,77,1,0,n36,10.0625,17.0
10.644792,0.30833334,69,90,1,0,n37,10.0625,17.0
10.657291,0.11875,60,74,1,0,n38,10.651042,18.0
10.964583,0.27291667,53,73,1,0,n39,10.651042,18.0
11.266666,0.51458335,65,87,1,0,n40,10.651042,18.0
11.420834,0.044791665,53,72,1,0,n41,11.266667,19.0
11.566667,0.029166667,55,78,1,0,n42,11.266667,19.0
11.698958,0.040625,57,83,1,0,n43,11.266667,19.0
11.835417,0.044791665,58,83,1,0,n44,11.835417,20.0
11.982291,0.0375,57,77,1,0,n45,11.835417,20.0
12.133333,0.475,58,76,1,0,n46,11.835417,20.0
12.141666,0.12083333,62,75,1,0,n47,11.835417,20.0
12.459375,0.077083334,67,81,1,0,n48,12.459375,21.0
12.602083,0.153125,57,73,1,0,n49,12.459375,21.0
12.755208,0.057291668,67,90,1,0,n50,12.459375,21.0
12.763541,0.16979167,58,79,1,0,n51,12.459375,21.0
12.895833,0.084375,57,77,1,0,n52,12.459375,21.0
13.048959,0.047916666,67,91,1,0,n53,12.459375,21.0
13.054167,0.046875,55,81,1,0,n54,13.051562,22.0
13.189584,0.039583333,53,80,1,0,n55,13.051562,22.0
13.3375,0.047916666,55,81,1,0,n56,13.051562,22.0
13.341666,0.04375,67,95,1,0,n57,13.051562,22.0
13.478125,0.0375,53,74,1,0,n58,13.051562,22.0
13.621875,0.061458334,67,92,1,0,n59,13.051562,22.0
13.63125,0.044791665,52,83,1,0,n60,13.626562,23.0
13.771875,0.0375,50,79,1,0,n61,13.626562,23.0
13.9125,0.0375,52,78,1,0,n62,13.626562,23.0
13.916667,0.051041666,67,90,1,0,n63,13.626562,23.0
14.054167,0.044791665,50,74,1,0,n64,13.626562,23.0
14.207292,0.030208332,49,81,1,0,n65,13.626562,23.0
14.211458,0.30833334,67,94,1,0,n66,14.209375,24.0
14.517709,0.063541666,65,78,1,0,n67,14.209375,24.0
14.525,0.026041666,57,69,1,0,n68,14.209375,24.0
14.645833,0.04375,64,77,1,0,n69,14.209375,24.0
14.794791,0.40833333,74,93,1,0,n70,14.209375,24.0
14.796875,0.027083334,50,66,1,0,n71,14.209375,24.0
14.808333,0.034375,65,81,1,0,n72,14.8,25.0
14.955209,0.07395833,62,64,1,0,n73,14.8,25.0
15.096875,0.034375,60,76,1,0,n74,14.8,25.0
15.103125,0.05,64,71,1,0,n75,14.8,25.0
15.241667,0.038541667,66,64,1,0,n76,14.8,25.0
15.366667,0.0375,58,68,1,0,n77,14.8,25.0
15.367708,0.036458332,67,69,1,0,n78,15.367188,26.0
15.510417,0.032291666,66,72,1,0,n79,15.367188,26.0
15.638541,0.0375,55,73,1,0,n80,15.367188,26.0
15.642709,0.078125,70,88,1,0,n81,15.367188,26.0
15.644792,0.052083332,67,78,1,0,n82,15.367188,26.0
15.932292,0.40520832,75,93,1,0,n83,15.367188,26.0
15.941667,0.034375,60,84,1,0,n84,15.938542,27.0
15.941667,0.403125,67,80,1,0,n85,15.938542,27.0
16.082293,0.048958335,58,84,1,0,n86,15.938542,27.0
16.221874,0.055208333,60,89,1,0,n87,15.938542,27.0
16.352083,0.042708334,58,81,1,0,n88,15.938542,27.0
16.4875,0.32708332,57,88,1,0,n89,15.938542,27.0
16.494791,0.34791666,72,97,1,0,n90,16.491146,28.0
16.638542,0.15625,60,72,1,0,n91,16.491146,28.0
16.773958,0.040625,62,84,1,0,n92,16.491146,28.0
16.9,0.039583333,55,68,1,0,n93,16.491146,28.0
16.914583,0.03125,63,78,1,0,n94,16.491146,28.0
17.042707,0.032291666,57,80,1,0,n95,16.491146,28.0
17.047916,0.035416666,65,75,1,0,n96,17.045313,29.0
17.184376,0.030208332,63,59,1,0,n97,17.045313,29.0
17.315624,0.06979167,69,83,1,0,n98,17.045313,29.0
17.327084,0.040625,53,75,1,0,n99,17.045313,29.0
17.327084,0.044791665,65,80,1,0,n100,17.045313,29.0
17.61875,0.38229167,74,98,1,0,n101,17.045313,29.0
17.623959,0.39895833,65,87,1,0,n102,17.045313,29.0
17.639584,0.033333335,58,76,1,0,n103,17.62743,30.0
17.769793,0.04375,57,79,1,0,n104,17.62743,30.0
17.902082,0.053125,58,86,1,0,n105,17.62743,30.0
18.041666,0.035416666,57,82,1,0,n106,17.62743,30.0
18.171875,0.3125,55,88,1,0,n107,17.62743,30.0
18.177084,0.309375,70,87,1,0,n108,18.174479,31.0
18.332293,0.134375,58,73,1,0,n109,18.174479,31.0
18.459375,0.04375,60,75,1,0,n110,18.174479,31.0
18.4625,0.047916666,57,84,1,0,n111,18.174479,31.0
18.594791,0.04375,58,86,1,0,n112,18.174479,31.0
18.598959,0.041666668,62,78,1,0,n113,18.174479,31.0
18.738543,0.054166667,63,85,1,0,n114,18.174479,31.0
18.742708,0.26770833,60,96,1,0,n115,18.740625,32.0
18.889584,0.05,62,73,1,0,n116,18.740625,32.0
19.03125,0.16666667,67,87,1,0,n117,18.740625,32.0
19.036459,0.34479168,63,89,1,0,n118,18.740625,32.0
19.182291,0.034375,58,68,1,0,n119,18.740625,32.0
19.347918,0.340625,57,72,1,0,n120,19.347918,33.0
19.347918,0.09375,72,78,1,0,n121,19.347918,33.0
19.486458,0.083333336,62,61,1,0,n122,19.347918,33.0
19.630209,0.084375,72,77,1,0,n123,19.347918,33.0
19.64375,0.051041666,63,59,1,0,n124,19.347918,33.0
19.775,0.061458334,62,51,1,0,n125,19.347918,33.0
19.923958,0.041666668,60,64,1,0,n126,19.923958,34.0
19.923958,0.0375,72,82,1,0,n127,19.923958,34.0
20.085417,0.034375,58,48,1,0,n128,19.923958,34.0
20.20625,0.032291666,60,78,1,0,n129,19.923958,34.0
20.211458,0.036458332,72,85,1,0,n130,19.923958,34.0
20.215626,0.038541667,55,70,1,0,n131,19.923958,34.0
20.353125,0.03125,58,78,1,0,n132,19.923958,34.0
20.49375,0.036458332,54,83,1,0,n133,19.923958,34.0
20.498959,0.03125,57,85,1,0,n134,20.497223,35.0
20.498959,0.052083332,72,91,1,0,n135,20.497223,35.0
20.64375,0.03125,55,83,1,0,n136,20.497223,35.0
20.773958,0.040625,57,99,1,0,n137,20.497223,35.0
20.778126,0.063541666,72,96,1,0,n138,20.497223,35.0
20.7875,0.038541667,52,80,1,0,n139,20.497223,35.0
20.920834,0.03125,55,91,1,0,n140,20.497223,35.0
21.069792,0.12083333,50,86,1,0,n141,20.497223,35.0
21.069792,0.15104167,54,92,1,0,n142,20.497223,35.0
21.075,0.38020834,72,98,1,0,n143,21.071527,36.0
21.38125,0.032291666,54,85,1,0,n144,21.071527,36.0
21.385416,0.15833333,70,85,1,0,n145,21.071527,36.0
21.390625,0.20625,62,83,1,0,n146,21.071527,36.0
21.520834,0.184375,69,75,1,0,n147,21.071527,36.0
21.677084,0.38854167,55,95,1,0,n148,21.071527,36.0
21.683332,0.088541664,70,82,1,0,n149,21.680208,37.0
21.829166,0.030208332,67,76,1,0,n150,21.680208,37.0
21.964582,0.05,70,83,1,0,n151,21.680208,37.0
21.970833,0.038541667,67,77,1,0,n152,21.680208,37.0
21.982292,0.077083334,62,77,1,0,n153,21.680208,37.0
22.110416,0.052083332,72,91,1,0,n154,21.680208,37.0
22.1375,0.044791665,64,61,1,0,n155,21.680208,37.0
22.146875,0.030208332,65,65,1,0,n156,21.680208,37.0
22.244791,0.046875,65,82,1,0,n157,21.680208,37.0
22.244791,0.058333334,74,89,1,0,n158,21.680208,37.0
22.383333,0.046875,73,81,1,0,n159,22.244793,38.0
22.388542,0.022916667,64,71,1,0,n160,22.244793,38.0
22.525,0.034375,65,90,1,0,n161,22.244793,38.0
22.525,0.14583333,74,91,1,0,n162,22.244793,38.0
22.529167,0.036458332,53,85,1,0,n163,22.244793,38.0
22.6625,0.05,69,73,1,0,n164,22.244793,38.0
22.810417,0.16458334,74,89,1,0,n165,22.244793,38.0
22.815624,0.30625,58,94,1,0,n166,22.244793,38.0
22.827084,0.65729165,62,97,1,0,n167,22.817707,39.0
22.959375,0.077083334,69,72,1,0,n168,22.817707,39.0
23.105207,0.14479166,67,82,1,0,n169,22.817707,39.0
23.242708,0.1375,65,74,1,0,n170,22.817707,39.0
23.385416,0.06979167,64,86,1,0,n171,22.817707,39.0
23.391666,0.44270834,55,91,1,0,n172,23.388542,40.0
23.53125,0.053125,67,81,1,0,n173,23.388542,40.0
23.660418,0.060416665,60,72,1,0,n174,23.388542,40.0
23.669792,0.041666668,69,84,1,0,n175,23.388542,40.0
23.797916,0.055208333,70,90,1,0,n176,23.388542,40.0
23.803125,0.040625,58,70,1,0,n177,23.388542,40.0
23.939583,0.053125,72,93,1,0,n178,23.388542,40.0
23.952084,0.036458332,57,76,1,0,n179,23.945833,41.0
24.077084,0.041666668,70,82,1,0,n180,23.945833,41.0
24.21875,0.092708334,72,93,1,0,n181,23.945833,41.0
24.220833,0.039583333,52,83,1,0,n182,23.945833,41.0
24.227083,0.033333335,55,74,1,0,n183,23.945833,41.0
24.358334,0.038541667,67,78,1,0,n184,23.945833,41.0
24.50625,0.16666667,72,87,1,0,n185,23.945833,41.0
24.513542,0.31145832,57,92,1,0,n186,24.51111,42.0
24.513542,0.84270835,60,91,1,0,n187,24.51111,42.0
24.659374,0.063541666,67,80,1,0,n188,24.51111,42.0
24.803125,0.15729167,65,84,1,0,n189,24.51111,42.0
24.942709,0.14166667,64,84,1,0,n190,24.51111,42.0
25.088541,0.434375,53,89,1,0,n191,24.51111,42.0
25.088541,0.07083333,62,85,1,0,n192,24.51111,42.0
25.232292,0.044791665,65,78,1,0,n193,25.088543,43.0
25.369791,0.046875,67,86,1,0,n194,25.088543,43.0
25.375,0.071875,58,74,1,0,n195,25.088543,43.0
25.497917,0.055208333,69,82,1,0,n196,25.088543,43.0
25.507292,0.052083332,57,83,1,0,n197,25.088543,43.0
25.641666,0.067708336,70,88,1,0,n198,25.088543,43.0
25.648958,0.032291666,55,83,1,0,n199,25.645313,44.0
25.783333,0.071875,69,83,1,0,n200,25.645313,44.0
