xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	58	2.3183782708333336
n2-1	n0	0	0	62	1.4220098979166669
n5-1	n2	0	0	63	2.643164904166667
n6-1	n3	0	0	60	3.220088529166667
n7-1	n4	0	0	57	4.0726534416666675
n9-1	n5	0	0	62	4.393166566666667
n10-1	n6	0	0	58	4.947654272916667
n11-1	n7	0	0	55	5.777783266666668
n13-1	n8	0	0	60	6.065176702083335
n14-1	n9	0	0	60	6.3739376791666675
n15-1	n10	0	0	60	6.667741377083334
n16-1	n11	0	0	60	6.97116046875
n17-1	n12	0	0	60	7.2628274125
n18-1	n13	0	0	60	7.565178127083334
n25-1	n16	0	0	57	8.279922395833331
n24-1	n15	0	0	58	8.162400916666666
n23-1	n14	0	0	60	7.863255333333333
n27-1	n19	0	0	55	8.604709029166665
n26-1	n18	0	0	58	8.458341368749998
n28-1	n20	0	0	58	8.723298885416666
n29-1	n21	0	0	60	8.864324660416667
n20-1	n17	0	0	67	8.446589220833332
n31-1	n23	0	0	61	9.13141893125
n30-1	n22	0	0	62	9.013897452083333
n32-1	n25	0	0	62	9.304496018750001
n22-1	n24	0	0	65	9.293812247916668
n38-1	n28	0	0	55	9.904923939583334
n37-1	n27	0	0	62	9.61539375
n33-1	n26	0	0	70	9.602573225
n40-1	n30	0	0	55	10.3269328875
n41-1	n31	0	0	57	10.456206514583332
n42-1	n32	0	0	58	10.588685272916667
n34-1	n29	0	0	67	10.18270198125
n44-1	n34	0	0	58	10.872873577083334
n43-1	n33	0	0	60	10.742531572916667
n45-1	n36	0	0	60	11.020309614583335
n36-1	n35	0	0	64	11.018172860416668
n51-1	n39	0	0	53	11.61860078125
n50-1	n38	0	0	60	11.341891116666668
n46-1	n37	0	0	69	11.329070591666667
n53-1	n41	0	0	53	12.038472975
n54-1	n42	0	0	55	12.179498749999999
n55-1	n43	0	0	57	12.325866410416666
n47-1	n40	0	0	65	11.902789085416666
n57-1	n45	0	0	57	12.592960681249998
n56-1	n44	0	0	58	12.469028939583332
n58-1	n47	0	0	58	12.748943735416663
n49-1	n46	0	0	62	12.742533472916664
n66-1	n49	0	0	57	13.164542420833328
n68-1	n52	0	0	57	13.466893135416663
n67-1	n51	0	0	58	13.33761950833333
n59-1	n48	0	0	67	13.033132039583329
n60-1	n50	0	0	67	13.324798983333329
n70-1	n55	0	0	53	13.75214981666666
n72-1	n58	0	0	53	14.022449218749998
n69-1	n54	0	0	55	13.623944566666662
n71-1	n57	0	0	55	13.897449099999996
n61-1	n53	0	0	67	13.617534304166663
n62-1	n56	0	0	67	13.896380722916662
n74-1	n61	0	0	50	14.329073441666663
n76-1	n64	0	0	50	14.600441220833329
n73-1	n60	0	0	52	14.18697928958333
n75-1	n62	0	0	52	14.470099216666663
n63-1	n59	0	0	67	14.181637404166665
n64-1	n63	0	0	67	14.476509479166662
n91-1	n66	0	0	49	14.766039668749995
n92-1	n67	0	0	57	15.058774989583329
n83-1	n69	0	0	64	15.185911862499998
n82-1	n68	0	0	65	15.070527137499996
n81-1	n65	0	0	67	14.763902914583328
n93-1	n72	0	0	50	15.365399212499996
n94-1	n75	0	0	60	15.633561860416663
n85-1	n73	0	0	62	15.485057445833329
n86-1	n74	0	0	64	15.632493483333329
n84-1	n71	0	0	65	15.36005732708333
n87-1	n76	0	0	66	15.75108333958333
n78-1	n70	0	0	74	15.339758162499997
n96-1	n82	0	0	55	16.17950254999999
n95-1	n77	0	0	58	15.90492963958333
