onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.8052083,68,52,1,0,n0,0.5,0.0
0.95104164,0.559375,70,59,1,0,n1,0.5,0.0
1.39375,0.5864583,71,65,1,0,n2,0.5,0.0
1.84375,0.6020833,70,60,1,0,n3,1.84375,3.0
2.2895834,0.55625,75,63,1,0,n4,1.84375,3.0
2.725,0.60833335,63,51,1,0,n5,1.84375,3.0
3.171875,0.55833334,68,53,1,0,n6,3.171875,6.0
3.5854166,0.5239583,71,58,1,0,n7,3.171875,6.0
4.007292,0.496875,70,58,1,0,n8,3.171875,6.0
4.434375,0.76458335,71,52,1,0,n9,4.434375,9.0
4.866667,0.515625,70,47,1,0,n10,4.434375,9.0
5.282292,0.51770836,68,45,1,0,n11,4.434375,9.0
5.704167,0.47083333,70,42,1,0,n12,5.704167,12.0
6.1197915,0.5125,71,57,1,0,n13,5.704167,12.0
6.523958,0.54375,73,62,1,0,n14,5.704167,12.0
6.94375,0.5395833,71,57,1,0,n15,6.94375,15.0
7.353125,0.49791667,76,59,1,0,n16,6.94375,15.0
7.7541666,0.49375,68,55,1,0,n17,6.94375,15.0
8.170834,0.51354164,70,46,1,0,n18,8.170833,18.0
8.571875,0.49270833,73,53,1,0,n19,8.170833,18.0
8.992708,0.51979166,71,54,1,0,n20,8.170833,18.0
9.405209,0.5239583,73,50,1,0,n21,9.405208,21.0
9.804167,0.49479166,71,39,1,0,n22,9.405208,21.0
10.205209,0.52916664,70,43,1,0,n23,9.405208,21.0
10.627084,0.525,63,47,1,0,n24,9.405208,21.0
10.638541,1.0333333,71,41,1,0,n25,10.632813,24.0
11.036458,0.48020834,65,58,1,0,n26,10.632813,24.0
11.45,0.56354165,72,49,1,0,n27,10.632813,24.0
11.454166,0.48958334,66,60,1,0,n28,10.632813,24.0
11.866667,2.7354167,73,56,1,0,n29,10.632813,24.0
11.873959,1.3333334,65,61,1,0,n30,11.870313,27.0
12.297916,0.47395834,70,63,1,0,n31,11.870313,27.0
12.708333,0.51666665,58,45,1,0,n32,11.870313,27.0
13.123959,0.5083333,63,51,1,0,n33,13.123958,30.0
13.516666,0.47395834,66,51,1,0,n34,13.123958,30.0
13.927083,0.46458334,65,51,1,0,n35,13.123958,30.0
14.364583,0.54375,66,47,1,0,n36,13.123958,30.0
14.36875,1.4354167,72,52,1,0,n37,14.366666,33.0
14.771875,0.46458334,65,49,1,0,n38,14.366666,33.0
15.18125,0.50104165,63,51,1,0,n39,14.366666,33.0
15.604167,0.92604166,73,57,1,0,n40,14.366666,33.0
15.608334,0.465625,65,39,1,0,n41,15.60625,36.0
15.998959,0.521875,66,61,1,0,n42,15.60625,36.0
16.441668,0.54791665,68,71,1,0,n43,15.60625,36.0
16.453125,0.59166664,74,61,1,0,n44,15.60625,36.0
16.876041,2.6864583,75,64,1,0,n45,15.60625,36.0
16.879168,0.88645834,66,62,1,0,n46,16.877605,39.0
17.289583,0.471875,71,63,1,0,n47,16.877605,39.0
17.680208,0.49270833,63,57,1,0,n48,16.877605,39.0
18.09375,0.43229166,65,49,1,0,n49,18.09375,42.0
18.514584,0.421875,68,58,1,0,n50,18.09375,42.0
18.905209,0.42708334,66,47,1,0,n51,18.09375,42.0
19.310417,1.3208333,74,54,1,0,n52,18.09375,42.0
19.315624,0.5052083,68,53,1,0,n53,19.31302,45.0
19.697916,0.49479166,66,49,1,0,n54,19.31302,45.0
20.119791,0.50208336,65,45,1,0,n55,19.31302,45.0
20.521875,0.928125,66,41,1,0,n56,19.31302,45.0
20.555208,0.5541667,75,54,1,0,n57,20.538542,48.0
