onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.5,0.25,0.5,0.25,2,1,57,5,n3-1,-10.0,-10.0
0.75,0.25,0.75,0.25,3,1,59,5,n4-1,-10.0,-10.0
1.0,0.25,1.0,0.25,4,1,61,5,n5-1,1.0,0.771875
1.25,0.25,1.25,0.25,5,1,59,5,n6-1,1.0,0.771875
1.5,0.25,1.5,0.25,6,1,57,5,n7-1,1.0,0.771875
1.75,0.25,1.75,0.25,7,1,61,5,n8-1,1.0,0.771875
2.0,0.25,2.0,0.25,8,1,59,5,n9-1,2.0,1.301042
2.25,0.25,2.25,0.25,9,1,62,5,n10-1,2.0,1.301042
2.5,0.75,2.5,0.75,10,3,61,5,n11-1,2.0,1.301042
3.25,0.25,3.25,0.25,13,1,64,5,n13-1,3.0,1.867709
3.5,0.75,3.5,0.75,14,3,62,5,n14-1,3.0,1.867709
4.25,0.25,4.25,0.25,17,1,66,5,n24-1,4.0,2.434375
4.5,0.25,4.5,0.25,18,1,64,5,n25-1,4.0,2.434375
4.75,0.25,4.75,0.25,19,1,62,5,n26-1,4.0,2.434375
5.0,0.25,5.0,0.25,20,1,64,5,n27-1,5.0,3.001042
5.25,0.25,5.25,0.25,21,1,59,5,n28-1,5.0,3.001042
5.5,0.25,5.5,0.25,22,1,61,5,n29-1,5.0,3.001042
5.75,0.25,5.75,0.25,23,1,62,5,n30-1,5.0,3.001042
6.0,0.5,6.0,0.5,24,2,61,5,n31-1,6.0,3.551042
6.5,0.5,6.5,0.5,26,2,57,5,n32-1,6.0,3.551042
6.5,0.25,6.5,0.25,26,1,64,1,n17-1,6.0,3.551042
6.75,0.25,6.75,0.25,27,1,66,1,n18-1,6.0,3.551042
7.0,0.5,7.0,0.5,28,2,59,5,n33-1,7.0,4.107292
7.0,0.25,7.0,0.25,28,1,68,1,n19-1,7.0,4.107292
7.25,0.25,7.25,0.25,29,1,66,1,n20-1,7.0,4.107292
7.5,0.5,7.5,0.5,30,2,61,5,n34-1,7.0,4.107292
7.5,0.25,7.5,0.25,30,1,64,1,n21-1,7.0,4.107292
7.75,0.25,7.75,0.25,31,1,68,1,n22-1,7.0,4.107292
8.0,0.5,8.0,0.5,32,2,62,5,n49-1,8.0,4.621354
8.0,0.25,8.0,0.25,32,1,66,1,n35-1,8.0,4.621354
8.25,0.25,8.25,0.25,33,1,69,1,n36-1,8.0,4.621354
8.5,0.25,8.5,0.25,34,1,59,5,n50-1,8.0,4.621354
8.5,0.75,8.5,0.75,34,3,68,1,n37-1,8.0,4.621354
8.75,0.25,8.75,0.25,35,1,64,5,n51-1,8.0,4.621354
9.0,0.5,9.0,0.5,36,2,61,5,n52-1,9.0,5.15625
9.25,0.25,9.25,0.25,37,1,71,1,n39-1,9.0,5.15625
9.5,0.25,9.5,0.25,38,1,66,5,n53-1,9.0,5.15625
9.5,0.75,9.5,0.75,38,3,69,1,n40-1,9.0,5.15625
9.75,0.25,9.75,0.25,39,1,61,5,n54-1,9.0,5.15625
10.0,0.5,10.0,0.5,40,2,63,5,n55-1,10.0,5.710417
10.25,0.25,10.25,0.25,41,1,73,1,n42-1,10.0,5.710417
10.5,1.0,10.5,1.0,42,4,64,5,n56-1,10.0,5.710417
10.5,0.25,10.5,0.25,42,1,71,1,n43-1,10.0,5.710417
10.75,0.25,10.75,0.25,43,1,69,1,n44-1,10.0,5.710417
11.0,0.25,11.0,0.25,44,1,71,1,n45-1,11.0,6.26875
11.25,0.25,11.25,0.25,45,1,66,1,n46-1,11.0,6.26875
11.5,0.5,11.5,0.5,46,2,63,5,n57-1,11.0,6.26875
11.5,0.25,11.5,0.25,46,1,68,1,n47-1,11.0,6.26875
11.75,0.25,11.75,0.25,47,1,69,1,n48-1,11.0,6.26875
12.0,0.75,12.0,0.75,48,3,64,5,n74-1,12.0,6.821354
12.0,0.25,12.0,0.25,48,1,68,1,n58-1,12.0,6.821354
12.25,0.25,12.25,0.25,49,1,71,1,n59-1,12.0,6.821354
12.5,0.25,12.5,0.25,50,1,69,1,n60-1,12.0,6.821354
12.75,0.25,12.75,0.25,51,1,59,5,n75-1,12.0,6.821354
12.75,0.25,12.75,0.25,51,1,68,1,n61-1,12.0,6.821354
13.0,0.5,13.0,0.5,52,2,61,5,n76-1,13.0,7.352083
13.0,0.25,13.0,0.25,52,1,69,1,n62-1,13.0,7.352083
13.25,0.25,13.25,0.25,53,1,64,1,n63-1,13.0,7.352083
13.5,0.5,13.5,0.5,54,2,57,5,n77-1,13.0,7.352083
13.5,0.25,13.5,0.25,54,1,66,1,n64-1,13.0,7.352083
13.75,0.25,13.75,0.25,55,1,67,1,n65-1,13.0,7.352083
14.0,0.75,14.0,0.75,56,3,62,5,n78-1,14.0,7.908333
14.0,0.25,14.0,0.25,56,1,66,1,n66-1,14.0,7.908333
14.25,0.25,14.25,0.25,57,1,69,1,n67-1,14.0,7.908333
14.5,0.25,14.5,0.25,58,1,68,1,n68-1,14.0,7.908333
14.75,0.25,14.75,0.25,59,1,57,5,n79-1,14.0,7.908333
14.75,0.25,14.75,0.25,59,1,66,1,n69-1,14.0,7.908333
15.0,0.5,15.0,0.5,60,2,59,5,n80-1,15.0,8.466667
15.0,0.25,15.0,0.25,60,1,68,1,n70-1,15.0,8.466667
15.25,0.25,15.25,0.25,61,1,63,1,n71-1,15.0,8.466667
15.5,0.5,15.5,0.5,62,2,56,5,n81-1,15.0,8.466667
15.5,0.25,15.5,0.25,62,1,64,1,n72-1,15.0,8.466667
15.75,0.25,15.75,0.25,63,1,66,1,n73-1,15.0,8.466667
16.0,0.25,16.0,0.25,64,1,61,5,n100-1,16.0,8.990104
16.0,1.5,16.0,1.5,64,6,64,2,n94-1,16.0,8.990104
16.25,0.25,16.25,0.25,65,1,62,5,n101-1,16.0,8.990104
16.5,0.25,16.5,0.25,66,1,61,5,n102-1,16.0,8.990104
16.5,0.25,16.5,0.25,66,1,69,1,n82-1,16.0,8.990104
16.75,0.25,16.75,0.25,67,1,59,5,n103-1,16.0,8.990104
16.75,0.25,16.75,0.25,67,1,71,1,n83-1,16.0,8.990104
17.0,0.75,17.0,0.75,68,3,57,5,n104-1,17.0,9.540625
17.0,0.25,17.0,0.25,68,1,73,1,n84-1,17.0,9.540625
17.25,0.25,17.25,0.25,69,1,71,1,n85-1,17.0,9.540625
17.5,0.5,17.5,0.5,70,2,66,2,n95-1,17.0,9.540625
17.5,0.25,17.5,0.25,70,1,69,1,n86-1,17.0,9.540625
17.75,0.25,17.75,0.25,71,1,57,5,n105-1,17.0,9.540625
17.75,0.25,17.75,0.25,71,1,73,1,n87-1,17.0,9.540625
18.0,0.75,18.0,0.75,72,3,64,5,n106-1,18.0,10.093056
18.0,0.75,18.0,0.75,72,3,68,2,n96-1,18.0,10.093056
18.0,0.25,18.0,0.25,72,1,71,1,n88-1,18.0,10.093056
18.25,0.25,18.25,0.25,73,1,74,1,n89-1,18.0,10.093056
18.5,0.75,18.5,0.75,74,3,73,1,n90-1,18.0,10.093056
18.75,0.25,18.75,0.25,75,1,52,5,n107-1,18.0,10.093056
18.75,0.25,18.75,0.25,75,1,68,2,n97-1,18.0,10.093056
19.0,0.75,19.0,0.75,76,3,54,5,n108-1,19.0,10.631771
19.0,0.75,19.0,0.75,76,3,69,2,n98-1,19.0,10.631771
19.25,0.25,19.25,0.25,77,1,76,1,n92-1,19.0,10.631771
19.5,0.75,19.5,0.75,78,3,74,1,n93-1,19.0,10.631771
19.75,0.25,19.75,0.25,79,1,66,5,n109-1,19.0,10.631771
19.75,0.25,19.75,0.25,79,1,69,2,n99-1,19.0,10.631771
20.0,1.0,20.0,1.0,80,4,68,5,n133-1,20.0,11.191667
20.0,1.0,20.0,1.0,80,4,71,2,n126-1,20.0,11.191667
20.25,0.25,20.25,0.25,81,1,78,1,n111-1,20.0,11.191667
20.5,0.25,20.5,0.25,82,1,76,1,n112-1,20.0,11.191667
20.75,0.25,20.75,0.25,83,1,74,1,n113-1,20.0,11.191667
21.0,0.25,21.0,0.25,84,1,76,1,n114-1,21.0,11.727083
21.25,0.25,21.25,0.25,85,1,71,1,n115-1,21.0,11.727083
21.5,0.5,21.5,0.5,86,2,64,5,n135-1,21.0,11.727083
21.5,0.5,21.5,0.5,86,2,68,2,n128-1,21.0,11.727083
21.5,0.25,21.5,0.25,86,1,73,1,n116-1,21.0,11.727083
21.75,0.25,21.75,0.25,87,1,74,1,n117-1,21.0,11.727083
22.0,0.5,22.0,0.5,88,2,57,5,n136-1,22.0,12.255556
22.0,0.5,22.0,0.5,88,2,69,2,n129-1,22.0,12.255556
22.0,0.25,22.0,0.25,88,1,73,1,n118-1,22.0,12.255556
22.25,0.25,22.25,0.25,89,1,74,1,n119-1,22.0,12.255556
22.5,0.5,22.5,0.5,90,2,59,5,n137-1,22.0,12.255556
22.5,0.5,22.5,0.5,90,2,68,2,n130-1,22.0,12.255556
22.5,0.25,22.5,0.25,90,1,76,1,n120-1,22.0,12.255556
22.75,0.25,22.75,0.25,91,1,78,1,n121-1,22.0,12.255556
23.0,0.5,23.0,0.5,92,2,61,5,n138-1,23.0,12.784722
23.0,0.5,23.0,0.5,92,2,69,2,n131-1,23.0,12.784722
23.0,0.25,23.0,0.25,92,1,76,1,n122-1,23.0,12.784722
23.25,0.25,23.25,0.25,93,1,81,1,n123-1,23.0,12.784722
23.5,0.5,23.5,0.5,94,2,63,5,n139-1,23.0,12.784722
23.5,0.5,23.5,0.5,94,2,71,2,n132-1,23.0,12.784722
23.5,0.25,23.5,0.25,94,1,80,1,n124-1,23.0,12.784722
23.75,0.25,23.75,0.25,95,1,78,1,n125-1,23.0,12.784722
24.0,0.5,24.0,0.5,96,2,64,5,n160-1,24.0,13.324479
24.0,1.25,24.0,1.25,96,5,71,2,n149-1,24.0,13.324479
24.0,0.25,24.0,0.25,96,1,80,1,n140-1,24.0,13.324479
24.25,0.25,24.25,0.25,97,1,78,1,n141-1,24.0,13.324479
24.5,0.25,24.5,0.25,98,1,52,5,n161-1,24.0,13.324479
24.5,0.25,24.5,0.25,98,1,76,1,n142-1,24.0,13.324479
24.75,0.25,24.75,0.25,99,1,54,5,n162-1,24.0,13.324479
24.75,0.25,24.75,0.25,99,1,75,1,n143-1,24.0,13.324479
25.0,0.25,25.0,0.25,100,1,56,5,n163-1,25.0,13.867708
25.0,1.75,25.0,1.75,100,7,76,1,n144-1,25.0,13.867708
25.25,0.25,25.25,0.25,101,1,54,5,n164-1,25.0,13.867708
25.25,0.25,25.25,0.25,101,1,69,2,n151-1,25.0,13.867708
25.5,0.25,25.5,0.25,102,1,52,5,n165-1,25.0,13.867708
25.5,0.25,25.5,0.25,102,1,68,2,n152-1,25.0,13.867708
25.75,0.25,25.75,0.25,103,1,56,5,n166-1,25.0,13.867708
25.75,0.25,25.75,0.25,103,1,71,2,n153-1,25.0,13.867708
26.0,0.25,26.0,0.25,104,1,54,5,n167-1,26.0,14.411979
26.0,0.25,26.0,0.25,104,1,69,2,n154-1,26.0,14.411979
26.25,0.25,26.25,0.25,105,1,57,5,n168-1,26.0,14.411979
26.25,0.25,26.25,0.25,105,1,66,2,n155-1,26.0,14.411979
26.5,0.75,26.5,0.75,106,3,56,5,n169-1,26.0,14.411979
26.5,0.75,26.5,0.75,106,3,71,2,n156-1,26.0,14.411979
26.75,0.25,26.75,0.25,107,1,75,1,n146-1,26.0,14.411979
27.0,0.75,27.0,0.75,108,3,76,1,n147-1,27.0,14.961458
27.25,0.25,27.25,0.25,109,1,59,5,n171-1,27.0,14.961458
27.25,0.25,27.25,0.25,109,1,68,2,n158-1,27.0,14.961458
27.5,0.75,27.5,0.75,110,3,57,5,n172-1,27.0,14.961458
27.5,0.5,27.5,0.5,110,2,73,2,n159-1,27.0,14.961458
27.75,0.25,27.75,0.25,111,1,75,1,n148-1,27.0,14.961458
28.0,0.75,28.0,0.75,112,3,76,1,n173-1,28.0,15.49375
28.25,0.25,28.25,0.25,113,1,61,5,n187-1,28.0,15.49375
28.5,0.25,28.5,0.25,114,1,59,5,n188-1,28.0,15.49375
28.5,1.25,28.5,1.25,114,5,66,2,n180-1,28.0,15.49375
28.75,0.25,28.75,0.25,115,1,57,5,n189-1,28.0,15.49375
28.75,0.25,28.75,0.25,115,1,73,1,n174-1,28.0,15.49375
29.0,0.25,29.0,0.25,116,1,59,5,n190-1,29.0,16.045313
29.0,1.75,29.0,1.75,116,7,74,1,n175-1,29.0,16.045313
29.25,0.25,29.25,0.25,117,1,54,5,n191-1,29.0,16.045313
29.5,0.25,29.5,0.25,118,1,56,5,n192-1,29.0,16.045313
29.75,0.25,29.75,0.25,119,1,57,5,n193-1,29.0,16.045313
29.75,0.25,29.75,0.25,119,1,66,2,n182-1,29.0,16.045313
30.0,0.25,30.0,0.25,120,1,56,5,n194-1,30.0,16.578646
30.0,1.75,30.0,1.75,120,7,64,2,n183-1,30.0,16.578646
30.25,0.25,30.25,0.25,121,1,59,5,n195-1,30.0,16.578646
30.5,0.25,30.5,0.25,122,1,57,5,n196-1,30.0,16.578646
30.75,0.25,30.75,0.25,123,1,56,5,n197-1,30.0,16.578646
30.75,0.25,30.75,0.25,123,1,72,1,n177-1,30.0,16.578646
31.0,0.25,31.0,0.25,124,1,57,5,n198-1,31.0,17.115625
31.0,1.5,31.0,1.5,124,6,73,1,n178-1,31.0,17.115625
31.25,0.25,31.25,0.25,125,1,52,5,n199-1,31.0,17.115625
31.5,0.25,31.5,0.25,126,1,54,5,n200-1,31.0,17.115625
31.75,0.25,31.75,0.25,127,1,56,5,n201-1,31.0,17.115625
31.75,0.25,31.75,0.25,127,1,64,2,n185-1,31.0,17.115625
32.0,0.25,32.0,0.25,128,1,54,5,n218-1,32.0,17.65
32.0,1.75,32.0,1.75,128,7,63,2,n213-1,32.0,17.65
32.0,0.75,32.0,0.75,128,3,73,1,n202-1,32.0,17.65
32.25,0.25,32.25,0.25,129,1,57,5,n219-1,32.0,17.65
32.5,0.25,32.5,0.25,130,1,56,5,n220-1,32.0,17.65
32.75,0.25,32.75,0.25,131,1,54,5,n221-1,32.0,17.65
32.75,0.25,32.75,0.25,131,1,70,1,n203-1,32.0,17.65
33.0,0.25,33.0,0.25,132,1,56,5,n222-1,33.0,18.189062
33.0,1.25,33.0,1.25,132,5,71,1,n204-1,33.0,18.189062
33.25,0.25,33.25,0.25,133,1,51,5,n223-1,33.0,18.189062
33.5,0.25,33.5,0.25,134,1,53,5,n224-1,33.0,18.189062
33.75,0.25,33.75,0.25,135,1,54,5,n225-1,33.0,18.189062
33.75,0.25,33.75,0.25,135,1,62,2,n215-1,33.0,18.189062
34.0,0.25,34.0,0.25,136,1,53,5,n226-1,34.0,18.727604
34.0,1.5,34.0,1.5,136,6,61,2,n216-1,34.0,18.727604
34.25,0.25,34.25,0.25,137,1,49,5,n227-1,34.0,18.727604
34.25,0.25,34.25,0.25,137,1,65,1,n206-1,34.0,18.727604
34.5,0.25,34.5,0.25,138,1,51,5,n228-1,34.0,18.727604
34.5,0.25,34.5,0.25,138,1,66,1,n207-1,34.0,18.727604
34.75,0.25,34.75,0.25,139,1,53,5,n229-1,34.0,18.727604
34.75,0.25,34.75,0.25,139,1,68,1,n208-1,34.0,18.727604
35.0,0.75,35.0,0.75,140,3,54,5,n230-1,35.0,19.277082
35.0,0.25,35.0,0.25,140,1,69,1,n209-1,35.0,19.277082
35.25,0.25,35.25,0.25,141,1,68,1,n210-1,35.0,19.277082
35.5,0.5,35.5,0.5,142,2,63,2,n217-1,35.0,19.277082
35.5,0.25,35.5,0.25,142,1,66,1,n211-1,35.0,19.277082
35.75,0.25,35.75,0.25,143,1,54,5,n231-1,35.0,19.277082
35.75,0.25,35.75,0.25,143,1,69,1,n212-1,35.0,19.277082
36.0,0.75,36.0,0.75,144,3,61,5,n252-1,36.0,19.835417
36.0,0.75,36.0,0.75,144,3,65,2,n246-1,36.0,19.835417
36.0,0.25,36.0,0.25,144,1,68,1,n232-1,36.0,19.835417
36.25,0.25,36.25,0.25,145,1,71,1,n233-1,36.0,19.835417
36.5,0.75,36.5,0.75,146,3,69,1,n234-1,36.0,19.835417
36.75,0.25,36.75,0.25,147,1,49,5,n253-1,36.0,19.835417
36.75,0.25,36.75,0.25,147,1,65,2,n247-1,36.0,19.835417
37.0,0.75,37.0,0.75,148,3,50,5,n254-1,37.0,20.389584
37.0,0.75,37.0,0.75,148,3,66,2,n248-1,37.0,20.389584
37.25,0.25,37.25,0.25,149,1,73,1,n236-1,37.0,20.389584
37.5,0.75,37.5,0.75,150,3,71,1,n237-1,37.0,20.389584
37.75,0.25,37.75,0.25,151,1,51,5,n255-1,37.0,20.389584
37.75,0.25,37.75,0.25,151,1,66,2,n249-1,37.0,20.389584
38.0,0.75,38.0,0.75,152,3,52,5,n256-1,38.0,20.971354
38.0,1.0,38.0,1.0,152,4,68,2,n250-1,38.0,20.971354
38.25,0.25,38.25,0.25,153,1,74,1,n239-1,38.0,20.971354
38.5,0.25,38.5,0.25,154,1,73,1,n240-1,38.0,20.971354
38.75,0.25,38.75,0.25,155,1,56,5,n257-1,38.0,20.971354
38.75,0.25,38.75,0.25,155,1,71,1,n241-1,38.0,20.971354
39.0,0.5,39.0,0.5,156,2,53,5,n258-1,39.0,21.509375
39.0,0.25,39.0,0.25,156,1,73,1,n242-1,39.0,21.509375
39.25,0.25,39.25,0.25,157,1,68,1,n243-1,39.0,21.509375
39.5,0.5,39.5,0.5,158,2,49,5,n259-1,39.0,21.509375
39.5,0.25,39.5,0.25,158,1,69,1,n244-1,39.0,21.509375
39.75,0.25,39.75,0.25,159,1,71,1,n245-1,39.0,21.509375
40.0,0.75,40.0,0.75,160,3,54,5,n278-1,40.0,22.04375
40.0,2.25,40.0,2.25,160,9,69,1,n260-1,40.0,22.04375
40.25,0.25,40.25,0.25,161,1,68,2,n270-1,40.0,22.04375
40.5,0.25,40.5,0.25,162,1,66,2,n271-1,40.0,22.04375
40.75,0.25,40.75,0.25,163,1,56,5,n279-1,40.0,22.04375
40.75,0.25,40.75,0.25,163,1,65,2,n272-1,40.0,22.04375
41.0,0.5,41.0,0.5,164,2,57,5,n280-1,41.0,22.594791
41.0,0.25,41.0,0.25,164,1,66,2,n273-1,41.0,22.594791
41.25,0.25,41.25,0.25,165,1,61,2,n274-1,41.0,22.594791
41.5,0.5,41.5,0.5,166,2,54,5,n281-1,41.0,22.594791
41.5,0.25,41.5,0.25,166,1,63,2,n275-1,41.0,22.594791
41.75,0.25,41.75,0.25,167,1,64,2,n276-1,41.0,22.594791
42.0,0.75,42.0,0.75,168,3,47,5,n282-1,42.0,23.155209
42.0,2.25,42.0,2.25,168,9,63,2,n277-1,42.0,23.155209
42.25,0.25,42.25,0.25,169,1,73,1,n262-1,42.0,23.155209
42.5,0.25,42.5,0.25,170,1,71,1,n263-1,42.0,23.155209
42.75,0.25,42.75,0.25,171,1,49,5,n283-1,42.0,23.155209
42.75,0.25,42.75,0.25,171,1,69,1,n264-1,42.0,23.155209
43.0,0.5,43.0,0.5,172,2,51,5,n284-1,43.0,23.710417
43.0,0.25,43.0,0.25,172,1,71,1,n265-1,43.0,23.710417
43.25,0.25,43.25,0.25,173,1,66,1,n266-1,43.0,23.710417
43.5,0.5,43.5,0.5,174,2,47,5,n285-1,43.0,23.710417
43.5,0.25,43.5,0.25,174,1,68,1,n267-1,43.0,23.710417
43.75,0.25,43.75,0.25,175,1,69,1,n268-1,43.0,23.710417
44.0,0.75,44.0,0.75,176,3,52,5,n305-1,44.0,24.265625
44.0,2.75,44.0,2.75,176,11,68,1,n286-1,44.0,24.265625
