xml_id	midi_id	track	channel	pitch	onset
n4-1	n1	1	0	60	1.2510416666666664
n3-1	n0	1	0	64	0.49999999999999983
n5-1	n2	1	0	65	2.011458333333333
n7-1	n3	1	0	56	2.826041666666667
n10-1	n4	1	0	62	4.952083333333334
n11-1	n5	1	0	59	5.309375000000001
n12-1	n6	1	0	64	5.687500000000001
n18-1	n8	1	0	57	6.416666666666667
n17-1	n7	1	0	60	6.0531250000000005
n19-1	n10	1	0	54	6.766666666666667
n20-1	n11	1	0	63	7.144791666666666
n14-1	n9	1	0	69	6.7625
n21-1	n12	1	0	52	7.492708333333333
n25-1	n17	1	0	59	8.122916666666667
n24-1	n16	1	0	60	8.052083333333334
n23-1	n15	1	0	62	7.978125
n22-1	n14	1	0	64	7.892708333333333
n15-1	n13	1	0	67	7.50625
n30-1	n23	1	0	55	8.830208333333333
n26-1	n18	1	0	57	8.2125
n29-1	n22	1	0	57	8.741666666666667
n28-1	n21	1	0	59	8.68125
n27-1	n20	1	0	60	8.588541666666666
n16-1	n19	1	0	72	8.2125
n43-1	n30	1	0	52	9.66041666666667
n37-1	n25	1	0	54	8.94375
n42-1	n29	1	0	54	9.594791666666667
n38-1	n26	1	0	55	9.016666666666666
n41-1	n28	1	0	55	9.525
n39-1	n27	1	0	57	9.098958333333334
n31-1	n24	1	0	63	8.935416666666667
n50-1	n36	1	0	49	10.402083333333337
n44-1	n31	1	0	51	9.75729166666667
n49-1	n35	1	0	51	10.336458333333338
n45-1	n32	1	0	52	9.829166666666671
n48-1	n34	1	0	52	10.273958333333338
n46-1	n33	1	0	54	9.928125000000005
n51-1	n37	1	0	47	10.479166666666671
n52-1	n39	1	0	49	11.042708333333337
n53-1	n40	1	0	51	11.121875000000003
n34-1	n38	1	0	69	10.830208333333337
n55-1	n51	1	0	49	11.750000000000005
n54-1	n43	1	0	51	11.289583333333336
n56-1	n52	1	0	51	11.825000000000005
n35-1	n41	1	0	66	11.195833333333336
n36-1	n47	1	0	71	11.550000000000002
n65-1	n54	1	0	52	11.922916666666671
n67-1	n56	1	0	52	12.38645833333334
n68-1	n57	1	0	53	12.454166666666675
n69-1	n58	1	0	55	12.53020833333334
n58-1	n55	1	0	64	12.284375000000006
n57-1	n53	1	0	67	11.916666666666671
n74-1	n64	1	0	52	13.267708333333335
n73-1	n63	1	0	53	13.201041666666669
n72-1	n62	1	0	55	13.115625000000003
n70-1	n59	1	0	57	12.61458333333334
n59-1	n60	1	0	61	12.638541666666672
n60-1	n61	1	0	69	12.99166666666667
n75-1	n65	1	0	50	13.36041666666667
n77-1	n68	1	0	50	13.853125000000002
n78-1	n69	1	0	52	13.916666666666668
n79-1	n70	1	0	53	13.997916666666669
n62-1	n67	1	0	62	13.756250000000003
n61-1	n66	1	0	65	13.364583333333336
n84-1	n76	1	0	50	14.728125
n83-1	n75	1	0	52	14.66875
n82-1	n74	1	0	53	14.584375
n80-1	n71	1	0	55	14.092708333333334
n63-1	n72	1	0	59	14.098958333333334
n64-1	n73	1	0	67	14.475
n102-1	n77	1	0	48	14.854166666666668
n103-1	n80	1	0	50	15.436458333333334
n89-1	n78	1	0	64	14.859375000000002
n90-1	n79	1	0	69	15.252083333333335
n107-1	n86	1	0	50	16.033333333333335
n104-1	n81	1	0	52	15.608333333333334
n106-1	n84	1	0	52	15.946875
n108-1	n87	1	0	52	16.205208333333335
n105-1	n83	1	0	53	15.8
n91-1	n85	1	0	68	16.022916666666667
n86-1	n82	1	0	76	15.644791666666666
n109-1	n88	1	0	53	16.414583333333333
n92-1	n90	1	0	57	16.43854166666667
n96-1	n94	1	0	64	17.092708333333334
n95-1	n93	1	0	65	17.00104166666667
n94-1	n92	1	0	67	16.909375
n93-1	n91	1	0	69	16.823958333333334
n87-1	n89	1	0	72	16.436458333333334
n101-1	n100	1	0	60	17.830208333333335
n97-1	n95	1	0	62	17.183333333333334
n100-1	n99	1	0	62	17.752083333333335
n99-1	n98	1	0	64	17.678125
n98-1	n97	1	0	65	17.579166666666666
n88-1	n96	1	0	77	17.205208333333335
n137-1	n105	1	0	53	18.297916666666666
n123-1	n108	1	0	57	18.596875
n117-1	n102	1	0	59	17.954166666666666
n122-1	n107	1	0	59	18.505208333333336
n118-1	n103	1	0	60	18.068749999999998
n121-1	n106	1	0	60	18.4125
n119-1	n104	1	0	62	18.166666666666664
n111-1	n101	1	0	68	17.938541666666666
n138-1	n109	1	0	47	18.6625
n139-1	n113	1	0	50	19.01041666666667
n130-1	n116	1	0	54	19.278125000000003
n124-1	n110	1	0	56	18.677083333333336
n129-1	n115	1	0	56	19.206250000000004
n125-1	n111	1	0	57	18.768750000000004
n128-1	n114	1	0	57	19.133333333333336
n126-1	n112	1	0	59	18.887500000000003
n140-1	n117	1	0	44	19.37916666666667
n141-1	n119	1	0	47	19.754166666666666
n131-1	n118	1	0	52	19.384375000000002
n132-1	n121	1	0	54	19.93125
n133-1	n122	1	0	56	20.028125
n114-1	n120	1	0	74	19.755208333333332
n142-1	n123	1	0	52	20.119791666666668
n135-1	n133	1	0	54	20.637500000000006
n134-1	n126	1	0	56	20.239583333333336
n136-1	n134	1	0	56	20.72500000000001
n115-1	n125	1	0	71	20.13125
n116-1	n130	1	0	76	20.493750000000006
n170-1	n137	1	0	45	20.857291666666672
n151-1	n136	1	0	57	20.85208333333334
n153-1	n139	1	0	57	21.396875000000005
n154-1	n140	1	0	59	21.44791666666667
n155-1	n141	1	0	60	21.503125000000004
n144-1	n138	1	0	69	21.22395833333334
n143-1	n135	1	0	72	20.840625000000006
n173-1	n144	1	0	54	21.927083333333343
n159-1	n148	1	0	57	22.219791666666676
n158-1	n147	1	0	59	22.141666666666676
n157-1	n146	1	0	60	22.04062500000001
n156-1	n143	1	0	62	21.58020833333334
n145-1	n142	1	0	66	21.575000000000006
n146-1	n145	1	0	74	21.929166666666678
n174-1	n150	1	0	55	22.31875000000001
n162-1	n152	1	0	55	22.814583333333342
n160-1	deletion
n163-1	n153	1	0	57	22.882291666666678
n164-1	n154	1	0	59	22.961458333333344
n148-1	n151	1	0	67	22.685416666666676
n147-1	n149	1	0	71	22.29583333333334
n177-1	n158	1	0	52	23.42291666666668
n169-1	n161	1	0	55	23.657291666666676
n168-1	n160	1	0	57	23.569791666666678
n167-1	n159	1	0	58	23.473958333333346
n165-1	n156	1	0	60	23.058333333333344
n149-1	n155	1	0	64	23.039583333333344
n150-1	n157	1	0	72	23.402083333333348
n210-1	n162	1	0	53	23.766666666666676
n214-1	n179	1	0	53	25.257291666666678
n190-1	deletion
n211-1	n165	1	0	55	24.16562500000001
n191-1	n164	1	0	65	24.01562500000001
n192-1	n167	1	0	65	24.361458333333342
n178-1	n163	1	0	69	23.788541666666678
n179-1	n166	1	0	71	24.179166666666674
n213-1	n173	1	0	55	24.89062500000001
n212-1	n169	1	0	57	24.54687500000001
n194-1	n170	1	0	64	24.67187500000001
n200-1	n177	1	0	64	25.161458333333343
n195-1	n171	1	0	65	24.752083333333346
n199-1	n176	1	0	65	25.082291666666677
n196-1	n172	1	0	67	24.835416666666678
n198-1	n175	1	0	67	25.018750000000008
n197-1	n174	1	0	69	24.90520833333334
n180-1	n168	1	0	72	24.544791666666676
n215-1	n184	1	0	50	25.601041666666678
n201-1	n178	1	0	62	25.24687500000001
n182-1	n180	1	0	72	25.37500000000001
n188-1	n187	1	0	72	25.83645833333334
n183-1	n181	1	0	74	25.44062500000001
n187-1	n186	1	0	74	25.77500000000001
n184-1	n182	1	0	76	25.498958333333345
n186-1	n185	1	0	76	25.70000000000001
n185-1	n183	1	0	77	25.58854166666668
n217-1	n194	1	0	53	26.310416666666672
n216-1	n188	1	0	55	25.94895833333334
n203-1	n190	1	0	62	26.10104166666667
n209-1	n197	1	0	62	26.562500000000007
n204-1	n191	1	0	64	26.150000000000006
n208-1	n196	1	0	64	26.48645833333334
n205-1	n192	1	0	65	26.22083333333334
n207-1	n195	1	0	65	26.405208333333338
n206-1	n193	1	0	67	26.303125000000005
n189-1	n189	1	0	71	25.957291666666674
n250-1	n198	1	0	52	26.67812500000001
n243-1	n200	1	0	55	27.06250000000001
n242-1	n199	1	0	60	26.68437500000001
n222-1	n204	1	0	79	27.33854166666668
n221-1	n203	1	0	81	27.25312500000001
n220-1	n202	1	0	83	27.183333333333344
n219-1	n201	1	0	84	27.083333333333343
n251-1	n206	1	0	57	27.438541666666676
n244-1	n207	1	0	60	27.45000000000001
n245-1	n209	1	0	65	27.832291666666677
n227-1	n212	1	0	76	28.104166666666682
n223-1	n205	1	0	77	27.42187500000001
n226-1	n211	1	0	77	28.01979166666668
n225-1	n210	1	0	79	27.937500000000014
n224-1	n208	1	0	81	27.82812500000001
n252-1	n213	1	0	47	28.201041666666683
n247-1	n217	1	0	69	28.58125000000002
n234-1	n220	1	0	72	28.850000000000016
n228-1	n214	1	0	74	28.20208333333335
n233-1	n219	1	0	74	28.777083333333348
n229-1	n215	1	0	76	28.300000000000015
n232-1	n218	1	0	76	28.68958333333335
n230-1	n216	1	0	77	28.394791666666684
n248-1	n222	1	0	62	28.950000000000014
n249-1	n225	1	0	65	29.289583333333347
