onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
1.0,1.0,1.0,1.0,8,8,64,5,n3-1,1.0,0.5
2.0,1.0,2.0,1.0,16,8,60,5,n4-1,2.0,1.4875
3.0,1.0,3.0,1.0,24,8,65,5,n5-1,3.0,2.386458
4.0,1.0,4.0,1.0,32,8,56,5,n7-1,4.0,3.372917
6.5,0.5,6.5,0.5,52,4,62,5,n10-1,6.0,5.09375
7.0,0.5,7.0,0.5,56,4,59,5,n11-1,7.0,5.954167
7.5,0.5,7.5,0.5,60,4,64,5,n12-1,7.0,5.954167
8.0,0.5,8.0,0.5,64,4,60,5,n17-1,8.0,6.801042
8.5,0.5,8.5,0.5,68,4,57,5,n18-1,8.0,6.801042
9.0,0.5,9.0,0.5,72,4,54,5,n19-1,9.0,7.616667
9.0,1.0,9.0,1.0,72,8,69,1,n14-1,9.0,7.616667
9.5,0.5,9.5,0.5,76,4,63,5,n20-1,9.0,7.616667
10.0,0.5,10.0,0.5,80,4,52,5,n21-1,10.0,8.467709
10.0,1.0,10.0,1.0,80,8,67,1,n15-1,10.0,8.467709
10.5,0.125,10.5,0.125,84,1,64,5,n22-1,10.0,8.467709
10.625,0.125,10.625,0.125,85,1,62,5,n23-1,10.0,8.467709
10.75,0.125,10.75,0.125,86,1,60,5,n24-1,10.0,8.467709
10.875,0.125,10.875,0.125,87,1,59,5,n25-1,10.0,8.467709
11.0,0.5,11.0,0.5,88,4,57,5,n26-1,11.0,9.295313
11.0,1.0,11.0,1.0,88,8,72,1,n16-1,11.0,9.295313
11.5,0.125,11.5,0.125,92,1,60,5,n27-1,11.0,9.295313
11.625,0.125,11.625,0.125,93,1,59,5,n28-1,11.0,9.295313
11.75,0.125,11.75,0.125,94,1,57,5,n29-1,11.0,9.295313
11.875,0.125,11.875,0.125,95,1,55,5,n30-1,11.0,9.295313
12.0,0.125,12.0,0.125,96,1,54,5,n37-1,12.0,10.110416
12.0,1.0,12.0,1.0,96,8,63,1,n31-1,12.0,10.110416
12.125,0.125,12.125,0.125,97,1,55,5,n38-1,12.0,10.110416
12.25,0.375,12.25,0.375,98,3,57,5,n39-1,12.0,10.110416
12.625,0.125,12.625,0.125,101,1,55,5,n41-1,12.0,10.110416
12.75,0.125,12.75,0.125,102,1,54,5,n42-1,12.0,10.110416
12.875,0.125,12.875,0.125,103,1,52,5,n43-1,12.0,10.110416
13.0,0.125,13.0,0.125,104,1,51,5,n44-1,13.0,10.914583
13.125,0.125,13.125,0.125,105,1,52,5,n45-1,13.0,10.914583
13.25,0.375,13.25,0.375,106,3,54,5,n46-1,13.0,10.914583
13.625,0.125,13.625,0.125,109,1,52,5,n48-1,13.0,10.914583
13.75,0.125,13.75,0.125,110,1,51,5,n49-1,13.0,10.914583
13.875,0.125,13.875,0.125,111,1,49,5,n50-1,13.0,10.914583
14.0,0.75,14.0,0.75,112,6,47,5,n51-1,14.0,11.727083
14.5,0.5,14.5,0.5,116,4,69,1,n34-1,14.0,11.727083
14.75,0.125,14.75,0.125,118,1,49,5,n52-1,14.0,11.727083
14.875,0.125,14.875,0.125,119,1,51,5,n53-1,14.0,11.727083
15.0,0.75,15.0,0.75,120,6,51,5,n54-1,15.0,12.536458
15.0,0.5,15.0,0.5,120,4,66,1,n35-1,15.0,12.536458
15.5,0.5,15.5,0.5,124,4,71,1,n36-1,15.0,12.536458
15.75,0.125,15.75,0.125,126,1,49,5,n55-1,15.0,12.536458
15.875,0.125,15.875,0.125,127,1,51,5,n56-1,15.0,12.536458
16.0,0.5,16.0,0.5,128,4,52,5,n65-1,16.0,13.352605
