idx,matchtype,partid,ppartid
0,0,n4-1,n1
1,0,n3-1,n0
2,0,n5-1,n3
3,0,n7-1,n4
4,0,n10-1,n5
5,0,n11-1,n6
6,0,n12-1,n7
7,0,n18-1,n9
8,0,n17-1,n8
9,0,n19-1,n11
10,0,n20-1,n12
11,0,n14-1,n10
12,0,n21-1,n14
13,0,n25-1,n18
14,0,n24-1,n17
15,0,n23-1,n16
16,0,n22-1,n15
17,0,n15-1,n13
18,0,n30-1,n24
19,0,n26-1,n20
20,0,n29-1,n23
21,0,n28-1,n22
22,0,n27-1,n21
23,0,n16-1,n19
24,0,n43-1,n31
25,0,n37-1,n26
26,0,n42-1,n30
27,0,n38-1,n27
28,0,n41-1,n29
29,0,n39-1,n28
30,0,n31-1,n25
31,0,n50-1,n37
32,0,n44-1,n32
33,0,n49-1,n36
34,0,n45-1,n33
35,0,n48-1,n35
36,0,n46-1,n34
37,0,n51-1,n38
38,0,n52-1,n40
39,0,n53-1,n41
40,0,n34-1,n39
41,0,n55-1,n51
42,0,n54-1,n44
43,0,n56-1,n52
44,0,n35-1,n43
45,0,n36-1,n48
46,0,n65-1,n54
47,0,n67-1,n56
48,0,n68-1,n57
49,0,n69-1,n58
50,0,n58-1,n55
51,0,n57-1,n53
52,0,n74-1,n64
53,0,n73-1,n63
54,0,n72-1,n62
55,0,n70-1,n59
56,0,n59-1,n60
57,0,n60-1,n61
58,0,n75-1,n65
59,0,n77-1,n68
60,0,n78-1,n69
61,0,n79-1,n70
62,0,n62-1,n67
63,0,n61-1,n66
64,0,n84-1,n76
65,0,n83-1,n75
66,0,n82-1,n74
67,0,n80-1,n72
68,0,n63-1,n71
69,0,n64-1,n73
70,0,n102-1,n78
71,0,n103-1,n80
72,0,n89-1,n77
73,0,n90-1,n79
74,0,n107-1,n85
75,0,n104-1,n82
76,0,n106-1,n84
77,0,n108-1,n87
78,0,n105-1,n83
79,0,n91-1,n86
80,0,n86-1,n81
81,0,n109-1,n90
82,0,n92-1,n89
83,0,n96-1,n94
84,0,n95-1,n93
85,0,n94-1,n92
86,0,n93-1,n91
87,0,n87-1,n88
88,0,n101-1,n100
89,0,n97-1,n95
90,0,n100-1,n99
91,0,n99-1,n98
92,0,n98-1,n97
93,0,n88-1,n96
94,0,n137-1,n105
95,0,n123-1,n108
96,0,n117-1,n101
97,0,n122-1,n107
98,0,n118-1,n103
99,0,n121-1,n106
100,0,n119-1,n104
101,0,n111-1,n102
102,0,n138-1,n110
103,0,n139-1,n113
104,0,n130-1,n116
105,0,n124-1,n109
106,0,n129-1,n115
107,0,n125-1,n111
108,0,n128-1,n114
109,0,n126-1,n112
110,0,n140-1,n118
111,0,n141-1,n121
112,0,n131-1,n117
113,0,n132-1,n122
114,0,n133-1,n123
115,0,n114-1,n120
116,0,n142-1,n124
117,0,n135-1,n133
118,0,n134-1,n127
119,0,n136-1,n134
120,0,n115-1,n125
121,0,n116-1,n130
122,0,n170-1,n137
123,0,n151-1,n136
124,0,n153-1,n139
125,0,n154-1,n140
126,0,n155-1,n141
127,0,n144-1,n138
128,0,n143-1,n135
129,0,n173-1,n145
130,0,n159-1,n148
131,0,n158-1,n147
132,0,n157-1,n146
133,0,n156-1,n143
134,0,n145-1,n142
135,0,n146-1,n144
136,0,n174-1,n150
137,0,n162-1,n152
138,1,n160-1,undefined
139,0,n163-1,n153
140,0,n164-1,n154
141,0,n148-1,n151
142,0,n147-1,n149
143,0,n177-1,n157
144,0,n169-1,n161
145,0,n168-1,n160
146,0,n167-1,n159
147,0,n165-1,n155
148,0,n149-1,n156
149,0,n150-1,n158
150,0,n210-1,n163
151,0,n214-1,n178
152,1,n190-1,undefined
153,0,n211-1,n166
154,0,n191-1,n164
155,0,n192-1,n167
156,0,n178-1,n162
157,0,n179-1,n165
158,0,n213-1,n173
159,0,n212-1,n169
160,0,n194-1,n170
161,0,n200-1,n177
162,0,n195-1,n171
163,0,n199-1,n176
164,0,n196-1,n172
165,0,n198-1,n175
166,0,n197-1,n174
167,0,n180-1,n168
168,0,n215-1,n183
169,0,n201-1,n179
170,0,n182-1,n180
171,0,n188-1,n187
172,0,n183-1,n181
173,0,n187-1,n186
174,0,n184-1,n182
175,0,n186-1,n185
176,0,n185-1,n184
177,0,n217-1,n193
178,0,n216-1,n188
179,0,n203-1,n190
180,0,n209-1,n197
181,0,n204-1,n191
182,0,n208-1,n196
183,0,n205-1,n192
184,0,n207-1,n195
185,0,n206-1,n194
186,0,n189-1,n189
187,0,n250-1,n199
188,0,n243-1,n200
189,0,n242-1,n198
190,0,n222-1,n205
191,0,n221-1,n204
192,0,n220-1,n203
193,0,n219-1,n201
194,0,n251-1,n207
195,0,n244-1,n208
196,0,n245-1,n210
197,0,n227-1,n213
198,0,n223-1,n206
199,0,n226-1,n212
200,0,n225-1,n211
201,0,n224-1,n209
202,0,n252-1,n215
203,0,n247-1,n218
204,0,n234-1,n221
205,0,n228-1,n214
206,0,n233-1,n220
207,0,n229-1,n216
208,0,n232-1,n219
209,0,n230-1,n217
210,0,n248-1,n222
211,0,n249-1,n226
212,0,n241-1,n229
213,0,n235-1,n223
214,0,n240-1,n228
215,0,n236-1,n224
216,0,n239-1,n227
217,0,n237-1,n225
218,0,n270-1,n232
219,0,n261-1,n231
220,0,n262-1,n233
221,0,n254-1,n230
222,0,n255-1,n234
223,0,n256-1,n235
224,0,n271-1,n236
225,0,n272-1,n242
226,0,n264-1,n243
227,0,n263-1,n237
228,0,n258-1,n246
229,0,n257-1,n239
230,0,n259-1,n247
231,0,n273-1,n249
232,0,n274-1,n252
233,0,n275-1,n253
234,0,n266-1,n251
235,0,n265-1,n250
236,0,n260-1,n248
237,0,n277-1,n262
238,0,n276-1,n256
239,0,n278-1,n263
240,0,n267-1,n255
241,0,n268-1,n260
242,0,n296-1,n267
243,0,n295-1,n265
244,0,n288-1,n264
245,0,n289-1,n268
246,0,n290-1,n269
247,0,n279-1,n266
248,0,n297-1,n272
249,0,n292-1,n279
250,0,n291-1,n273
251,0,n293-1,n280
252,0,n280-1,n270
253,0,n281-1,n276
254,0,n299-1,n283
255,0,n294-1,n282
256,0,n282-1,n281
257,0,n283-1,n284
258,0,n284-1,n285
259,0,n300-1,n287
260,0,n301-1,n292
261,0,n286-1,n294
262,0,n285-1,n288
263,0,n287-1,n295
264,0,n328-1,n300
265,0,n327-1,n296
266,0,n302-1,n297
267,0,n303-1,n298
268,0,n304-1,n299
269,0,n305-1,n301
270,0,n306-1,n302
271,0,n307-1,n303
272,0,n308-1,n304
273,0,n329-1,n306
274,0,n330-1,n309
275,0,n314-1,n308
276,0,n313-1,n307
277,0,n315-1,n310
278,0,n309-1,n305
279,0,n331-1,n312
280,0,n317-1,n313
281,0,n321-1,n317
282,0,n320-1,n316
283,0,n319-1,n315
284,0,n318-1,n314
285,0,n310-1,n311
286,0,n326-1,n323
287,0,n322-1,n318
288,0,n325-1,n322
289,0,n324-1,n321
290,0,n323-1,n320
291,0,n311-1,n319
292,0,n361-1,n328
293,0,n346-1,n331
294,0,n340-1,n325
295,0,n345-1,n330
296,0,n341-1,n326
297,0,n344-1,n329
298,0,n342-1,n327
299,0,n334-1,n324
300,0,n362-1,n332
301,0,n363-1,n336
302,0,n353-1,n339
303,0,n347-1,n333
304,0,n352-1,n338
305,0,n348-1,n334
306,0,n351-1,n337
307,0,n349-1,n335
308,0,n364-1,n341
309,0,n365-1,n342
310,0,n354-1,n340
311,0,n355-1,n344
312,0,n356-1,n345
313,0,n337-1,n343
314,0,n366-1,n346
315,0,n358-1,n355
316,0,n357-1,n349
317,0,n359-1,n356
318,0,n338-1,n347
319,0,n339-1,n352
320,0,n390-1,n361
321,0,n391-1,n362
322,0,n392-1,n363
323,0,n388-1,n359
324,0,n381-1,n358
325,0,n368-1,n360
326,0,n367-1,n357
327,0,n397-1,n369
328,0,n396-1,n368
329,0,n395-1,n367
330,0,n393-1,n364
331,0,n369-1,n365
332,0,n370-1,n366
333,0,n398-1,n371
334,0,n385-1,n372
335,0,n373-1,n373
336,0,n374-1,n374
337,0,n371-1,n370
338,0,n375-1,n375
339,0,n386-1,n377
340,0,n387-1,n378
341,0,n380-1,n381
342,0,n379-1,n380
343,0,n378-1,n379
344,0,n376-1,n376
345,0,n434-1,n384
346,0,n423-1,n383
347,0,n401-1,n382
348,0,n402-1,n385
349,0,n403-1,n386
350,0,n404-1,n387
351,0,n435-1,n388
352,0,n436-1,n394
353,0,n412-1,n397
354,0,n411-1,n396
355,0,n410-1,n395
356,0,n409-1,n393
357,0,n408-1,n392
358,0,n405-1,n389
359,0,n407-1,n391
360,0,n406-1,n390
361,0,n438-1,n404
362,0,n437-1,n398
363,0,n420-1,n407
364,0,n419-1,n406
365,0,n418-1,n405
366,0,n417-1,n403
367,0,n416-1,n402
368,0,n413-1,n399
369,0,n415-1,n401
370,0,n414-1,n400
371,0,n439-1,n409
372,0,n421-1,n408
373,0,n426-1,n410
374,0,n432-1,n417
375,0,n427-1,n411
376,0,n431-1,n416
377,0,n428-1,n412
378,0,n430-1,n415
379,0,n429-1,n414
380,0,n422-1,n413
381,0,n454-1,n420
382,0,n460-1,n427
383,0,n455-1,n421
384,0,n459-1,n426
385,0,n456-1,n422
386,0,n458-1,n425
387,0,n447-1,n418
388,0,n457-1,n423
389,0,n448-1,n424
390,0,n440-1,n419
391,0,n468-1,n437
392,0,n467-1,n436
393,0,n466-1,n435
394,0,n465-1,n433
395,0,n464-1,n432
396,0,n461-1,n429
397,0,n463-1,n431
398,0,n462-1,n430
399,0,n449-1,n428
400,0,n450-1,n434
401,0,n469-1,n439
402,0,n473-1,n445
403,0,n472-1,n444
404,0,n471-1,n443
405,0,n470-1,n442
406,0,n451-1,n438
407,0,n442-1,n440
408,0,n443-1,n441
409,0,n478-1,n453
410,0,n474-1,n446
411,0,n477-1,n452
412,0,n476-1,n451
413,0,n475-1,n449
414,0,n445-1,n448
415,0,n446-1,n450
416,0,n452-1,n447
