xml_id	midi_id	track	channel	pitch	onset
n4-1	n2	1	0	60	1.6002604166666667
n3-1	n0	1	0	64	0.5
n5-1	n3	1	0	65	2.645833333333333
n7-1	n4	1	0	56	3.638020833333333
n10-1	n5	1	0	62	5.609375
n11-1	n6	1	0	59	6.026041666666666
n12-1	n7	1	0	64	6.416666666666666
n18-1	n9	1	0	57	7.19921875
n17-1	n8	1	0	60	6.811197916666666
n19-1	n11	1	0	54	7.591145833333334
n20-1	n12	1	0	63	7.990885416666667
n14-1	n10	1	0	69	7.587239583333334
n21-1	n13	1	0	52	8.348958333333334
n25-1	n18	1	0	59	9.032552083333334
n24-1	n17	1	0	60	8.94921875
n23-1	n16	1	0	62	8.850260416666666
n22-1	n15	1	0	64	8.764322916666666
n15-1	n14	1	0	67	8.3671875
n30-1	n25	1	0	55	9.841145833333336
n26-1	n20	1	0	57	9.16796875
n29-1	n24	1	0	57	9.755208333333336
n28-1	n23	1	0	59	9.653645833333336
n27-1	n22	1	0	60	9.570312500000002
n16-1	n21	1	0	72	9.177083333333334
n43-1	n32	1	0	52	10.621093750000004
n37-1	n27	1	0	54	9.958333333333336
n42-1	n31	1	0	54	10.54166666666667
n38-1	n28	1	0	55	10.052083333333336
n41-1	n30	1	0	55	10.441406250000004
n39-1	n29	1	0	57	10.145833333333336
n31-1	n26	1	0	63	9.95572916666667
n50-1	n38	1	0	49	11.420572916666671
n44-1	n33	1	0	51	10.716145833333336
n49-1	n37	1	0	51	11.338541666666671
n45-1	n34	1	0	52	10.80338541666667
n48-1	n36	1	0	52	11.250000000000005
n46-1	n35	1	0	54	10.915364583333337
n51-1	n39	1	0	47	11.509114583333337
n52-1	n41	1	0	49	12.158854166666671
n53-1	n42	1	0	51	12.243489583333337
n34-1	n40	1	0	69	11.908854166666671
n55-1	n51	1	0	49	12.917968750000002
n54-1	n45	1	0	51	12.43619791666667
n56-1	n52	1	0	51	13.027343750000002
insertion	n50	1	0	51	12.835937500000004
n35-1	n44	1	0	66	12.325520833333337
n36-1	n48	1	0	71	12.726562500000004
n65-1	n53	1	0	52	13.121093750000002
n67-1	n56	1	0	52	13.653645833333336
n68-1	n57	1	0	53	13.729166666666668
n69-1	n58	1	0	55	13.832031250000002
n58-1	n55	1	0	64	13.571614583333336
n57-1	n54	1	0	67	13.127604166666668
n74-1	n64	1	0	52	14.680989583333334
n73-1	n63	1	0	53	14.588541666666668
n72-1	n62	1	0	55	14.479166666666668
n70-1	n59	1	0	57	13.94401041666667
n59-1	n60	1	0	61	13.973958333333336
n60-1	n61	1	0	69	14.389322916666668
n75-1	n65	1	0	50	14.78125
n77-1	n68	1	0	50	15.315104166666668
n78-1	n69	1	0	52	15.406250000000002
n79-1	n70	1	0	53	15.507812500000002
n62-1	n67	1	0	62	15.22265625
n61-1	n66	1	0	65	14.7890625
n84-1	n76	1	0	50	16.31380208333334
n83-1	n75	1	0	52	16.24088541666667
n82-1	n74	1	0	53	16.141927083333336
n80-1	n72	1	0	55	15.640625000000002
n63-1	n71	1	0	59	15.625000000000002
n64-1	n73	1	0	67	16.037760416666668
n102-1	n78	1	0	48	16.44791666666667
n103-1	n80	1	0	50	17.078125000000004
n89-1	n77	1	0	64	16.42708333333334
n90-1	n79	1	0	69	16.84114583333334
n107-1	n86	1	0	50	17.704427083333332
n104-1	n82	1	0	52	17.272135416666668
n106-1	n84	1	0	52	17.598958333333332
n108-1	n87	1	0	52	17.89453125
n105-1	n83	1	0	53	17.490885416666668
n91-1	n85	1	0	68	17.680989583333332
n86-1	n81	1	0	76	17.251302083333336
