onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,1.0494791,64,87,1,0,n0,0.5,1.0
0.5833333,0.0013020834,65,14,1,0,n1,0.5,1.0
1.6002604,1.0182291,60,90,1,0,n2,1.60026,2.0
2.6458333,0.93359375,65,93,1,0,n3,2.645833,3.0
3.6380208,1.5429688,56,93,1,0,n4,2.645833,3.0
5.609375,0.052083332,62,84,1,0,n5,5.230035,6.0
6.0260415,0.063802086,59,88,1,0,n6,5.230035,6.0
6.4166665,0.07421875,64,85,1,0,n7,6.026042,7.0
6.8111978,0.065104164,60,84,1,0,n8,6.026042,7.0
7.1992188,0.065104164,57,79,1,0,n9,6.811198,8.0
7.5872397,0.72265625,69,96,1,0,n10,6.811198,8.0
7.591146,0.078125,54,84,1,0,n11,7.589193,9.0
7.9908853,0.07421875,63,84,1,0,n12,7.589193,9.0
8.348958,0.071614586,52,81,1,0,n13,7.589193,9.0
8.3671875,0.67578125,67,97,1,0,n14,8.358073,10.0
8.764323,0.0703125,64,80,1,0,n15,8.358073,10.0
8.850261,0.15104167,62,79,1,0,n16,8.358073,10.0
8.949219,0.11328125,60,71,1,0,n17,8.358073,10.0
9.032552,0.075520836,59,80,1,0,n18,8.358073,10.0
9.088542,0.05859375,67,22,1,0,n19,8.358073,10.0
9.167969,0.088541664,57,62,1,0,n20,8.358073,10.0
9.177083,0.7708333,72,97,1,0,n21,9.172526,11.0
9.5703125,0.0703125,60,81,1,0,n22,9.172526,11.0
9.6536455,0.15755208,59,82,1,0,n23,9.172526,11.0
9.755208,0.098958336,57,74,1,0,n24,9.172526,11.0
9.8411455,0.075520836,55,79,1,0,n25,9.172526,11.0
9.9557295,1.4036459,63,97,1,0,n26,9.172526,11.0
9.958333,0.076822914,54,83,1,0,n27,9.957031,12.0
10.052083,0.083333336,55,81,1,0,n28,9.957031,12.0
10.145833,0.2513021,57,84,1,0,n29,9.957031,12.0
10.441406,0.1484375,55,66,1,0,n30,9.957031,12.0
10.541667,0.083333336,54,70,1,0,n31,9.957031,12.0
10.621094,0.080729164,52,74,1,0,n32,9.957031,12.0
10.7161455,0.078125,51,90,1,0,n33,9.957031,12.0
10.803386,0.098958336,52,83,1,0,n34,10.716146,13.0
10.915364,0.32552084,54,83,1,0,n35,10.716146,13.0
11.25,0.140625,52,68,1,0,n36,10.716146,13.0
11.338542,0.075520836,51,73,1,0,n37,10.716146,13.0
11.420573,0.108072914,49,73,1,0,n38,10.716146,13.0
11.509114,0.64453125,47,85,1,0,n39,10.716146,13.0
11.9088545,0.0546875,69,94,1,0,n40,11.509115,14.0
12.1588545,0.10546875,49,63,1,0,n41,11.509115,14.0
12.243489,0.076822914,51,69,1,0,n42,11.509115,14.0
12.322917,0.106770836,52,77,1,0,n43,12.284505,15.0
12.3255205,0.0625,66,90,1,0,n44,12.284505,15.0
12.436198,0.104166664,51,79,1,0,n45,12.284505,15.0
12.552083,0.091145836,52,78,1,0,n46,12.284505,15.0
12.6588545,0.08203125,51,72,1,0,n47,12.284505,15.0
12.7265625,0.049479168,71,95,1,0,n48,12.284505,15.0
12.7526045,0.0859375,52,77,1,0,n49,12.284505,15.0
12.8359375,0.079427086,51,73,1,0,n50,12.284505,15.0
12.917969,0.115885414,49,71,1,0,n51,12.284505,15.0
13.027344,0.069010414,51,71,1,0,n52,12.284505,15.0
13.121094,0.3059896,52,83,1,0,n53,12.284505,15.0
13.1276045,0.059895832,67,97,1,0,n54,13.124349,16.0
13.571614,0.057291668,64,90,1,0,n55,13.124349,16.0
13.6536455,0.053385418,52,80,1,0,n56,13.124349,16.0
13.729167,0.09765625,53,85,1,0,n57,13.124349,16.0
13.832031,0.083333336,55,84,1,0,n58,13.124349,16.0
13.944011,0.3763021,57,90,1,0,n59,13.124349,16.0
13.973958,0.06640625,61,89,1,0,n60,13.958984,17.0
14.389323,0.044270832,69,90,1,0,n61,13.958984,17.0
14.479167,0.09375,55,86,1,0,n62,13.958984,17.0
14.588542,0.13802083,53,81,1,0,n63,13.958984,17.0
