xml_id	midi_id	track	channel	pitch	onset
n4-1	n1	1	0	60	1.3833333333333333
n3-1	n0	1	0	64	0.5
n5-1	n2	1	0	65	2.3822916666666667
n7-1	n3	1	0	56	3.4156250000000004
n10-1	n4	1	0	62	5.720833333333333
n11-1	n5	1	0	59	6.177083333333333
n12-1	n6	1	0	64	6.635416666666666
n18-1	n8	1	0	57	7.575
n17-1	n7	1	0	60	7.122916666666667
n19-1	n9	1	0	54	8.047916666666666
n20-1	n11	1	0	63	8.538541666666665
n14-1	n10	1	0	69	8.061458333333333
n21-1	n12	1	0	52	8.995833333333334
n25-1	n17	1	0	59	9.791666666666668
n24-1	n16	1	0	60	9.695833333333335
n23-1	n15	1	0	62	9.582291666666668
n22-1	n14	1	0	64	9.4875
n15-1	n13	1	0	67	9.012500000000001
n30-1	n23	1	0	55	10.676041666666666
n26-1	n19	1	0	57	9.928125
n29-1	n22	1	0	57	10.579166666666666
n28-1	n21	1	0	59	10.478124999999999
n27-1	n20	1	0	60	10.385416666666666
n16-1	n18	1	0	72	9.921875
n43-1	n30	1	0	52	11.610416666666671
n37-1	n24	1	0	54	10.801041666666666
n42-1	n29	1	0	54	11.486458333333337
n38-1	n26	1	0	55	10.921875
n41-1	n28	1	0	55	11.40729166666667
n39-1	n27	1	0	57	11.045833333333333
n31-1	n25	1	0	63	10.809375
n50-1	n36	1	0	49	12.443750000000016
n44-1	n31	1	0	51	11.721875000000008
n49-1	n35	1	0	51	12.35416666666668
n45-1	n32	1	0	52	11.833333333333341
n48-1	n34	1	0	52	12.259375000000015
n46-1	n33	1	0	54	11.954166666666678
n51-1	n37	1	0	47	12.587500000000015
n52-1	n39	1	0	49	13.283333333333353
n53-1	n40	1	0	51	13.386458333333353
n34-1	n38	1	0	69	13.027083333333351
n55-1	n51	1	0	49	14.206250000000022
n54-1	n43	1	0	51	13.638541666666686
n56-1	n52	1	0	51	14.309375000000024
n35-1	n41	1	0	66	13.503125000000018
n36-1	n48	1	0	71	13.979166666666687
n65-1	n54	1	0	52	14.462500000000023
n67-1	n56	1	0	52	15.044791666666693
n68-1	n57	1	0	53	15.151041666666694
n69-1	n58	1	0	55	15.251041666666694
n58-1	n55	1	0	64	14.934375000000026
n57-1	n53	1	0	67	14.456250000000024
n74-1	n64	1	0	52	16.17708333333336
n73-1	n63	1	0	53	16.076041666666693
n72-1	n62	1	0	55	15.984375000000025
n70-1	n60	1	0	57	15.403125000000026
n59-1	n59	1	0	61	15.372916666666693
n60-1	n61	1	0	69	15.862500000000026
n75-1	n66	1	0	50	16.322916666666693
n77-1	n68	1	0	50	16.876041666666694
n78-1	n69	1	0	52	16.985416666666694
n79-1	n70	1	0	53	17.079166666666694
n62-1	n67	1	0	62	16.77083333333336
