xml_id	midi_id	track	channel	pitch	onset
n4-1	n1	1	0	60	1.3291666666666668
n3-1	n0	1	0	64	0.5
n5-1	n2	1	0	65	2.215625
n7-1	n3	1	0	56	3.135416666666667
n10-1	n4	1	0	62	5.371875
n11-1	n5	1	0	59	5.80625
n12-1	n6	1	0	64	6.205208333333333
n18-1	n8	1	0	57	7.033333333333333
n17-1	n7	1	0	60	6.628125
n19-1	n10	1	0	54	7.4375
n20-1	n11	1	0	63	7.840625
n14-1	n9	1	0	69	7.436458333333333
n21-1	n12	1	0	52	8.2375
n25-1	n17	1	0	59	8.957291666666668
n24-1	n16	1	0	60	8.858333333333334
n23-1	n15	1	0	62	8.787500000000001
n22-1	n14	1	0	64	8.682291666666668
n15-1	n13	1	0	67	8.261458333333334
n30-1	n23	1	0	55	9.744791666666668
n26-1	n19	1	0	57	9.041666666666668
n29-1	n22	1	0	57	9.632291666666667
n28-1	n21	1	0	59	9.546875
n27-1	n20	1	0	60	9.444791666666667
n16-1	n18	1	0	72	9.037500000000001
n43-1	n30	1	0	52	10.538541666666672
n37-1	n25	1	0	54	9.81354166666667
n42-1	n29	1	0	54	10.459375000000005
n38-1	n26	1	0	55	9.909375000000002
n41-1	n28	1	0	55	10.362500000000004
n39-1	n27	1	0	57	10.00416666666667
n31-1	n24	1	0	63	9.80729166666667
n50-1	n36	1	0	49	11.338541666666671
n44-1	n31	1	0	51	10.63020833333334
n49-1	n35	1	0	51	11.260416666666671
n45-1	n32	1	0	52	10.736458333333339
n48-1	n34	1	0	52	11.16979166666667
n46-1	n33	1	0	54	10.807291666666671
n51-1	n37	1	0	47	11.43541666666667
n52-1	n39	1	0	49	12.027083333333339
n53-1	n40	1	0	51	12.111458333333339
n34-1	n38	1	0	69	11.813541666666671
n55-1	n49	1	0	49	12.772916666666672
n54-1	n43	1	0	51	12.307291666666671
n56-1	n50	1	0	51	12.859375000000005
n35-1	n41	1	0	66	12.209375000000005
n36-1	n46	1	0	71	12.581250000000006
n65-1	n52	1	0	52	12.961458333333338
n67-1	n54	1	0	52	13.460416666666672
n68-1	n55	1	0	53	13.560416666666672
n69-1	n56	1	0	55	13.643750000000006
n58-1	n53	1	0	64	13.382291666666672
n57-1	n51	1	0	67	12.959375000000005
n74-1	n62	1	0	52	14.447916666666673
n73-1	n61	1	0	53	14.360416666666673
n72-1	n60	1	0	55	14.269791666666672
n70-1	n57	1	0	57	13.745833333333339
n59-1	n58	1	0	61	13.757291666666672
n60-1	n59	1	0	69	14.175000000000006
n75-1	n63	1	0	50	14.525000000000007
n77-1	n66	1	0	50	15.042708333333342
n78-1	n67	1	0	52	15.135416666666675
n79-1	n68	1	0	53	15.22812500000001
n62-1	n65	1	0	62	14.963541666666675
n61-1	n64	1	0	65	14.552083333333341
n84-1	n74	1	0	50	16.025000000000013
n83-1	n73	1	0	52	15.931250000000011
n82-1	n72	1	0	53	15.822916666666677
n80-1	n70	1	0	55	15.338541666666677
n63-1	n69	1	0	59	15.326041666666677
n64-1	n71	1	0	67	15.763541666666676
n102-1	n75	1	0	48	16.102083333333347
n103-1	n78	1	0	50	16.727083333333347
n89-1	n76	1	0	64	16.143750000000015
n90-1	n77	1	0	69	16.546875000000014
n107-1	n83	1	0	50	17.283333333333346
n104-1	n79	1	0	52	16.90416666666668
n106-1	n82	1	0	52	17.186458333333345
n108-1	n85	1	0	52	17.503125000000015
n105-1	n81	1	0	53	17.115625000000012
n91-1	n84	1	0	68	17.305208333333347
n86-1	n80	1	0	76	16.915625000000013
n109-1	n86	1	0	53	17.705208333333353
n92-1	deletion
n96-1	n91	1	0	64	18.42500000000002
n95-1	n90	1	0	65	18.32812500000002
n94-1	n89	1	0	67	18.23854166666669
n93-1	n88	1	0	69	18.133333333333354
n87-1	n87	1	0	72	17.711458333333354
n101-1	n97	1	0	60	19.180208333333347
n97-1	n92	1	0	62	18.500000000000018
n100-1	n96	1	0	62	19.096875000000015
n99-1	n95	1	0	64	19.02083333333335
n98-1	n94	1	0	65	18.922916666666683
n88-1	n93	1	0	77	18.504166666666684
n137-1	n102	1	0	53	19.670833333333352
n123-1	n105	1	0	57	19.964583333333355
n117-1	n99	1	0	59	19.276041666666686
n122-1	n104	1	0	59	19.88125000000002
n118-1	n100	1	0	60	19.344791666666687
n121-1	n103	1	0	60	19.782291666666687
n119-1	n101	1	0	62	19.460416666666685
n111-1	n98	1	0	68	19.26145833333335
n138-1	n106	1	0	47	20.032291666666687
n139-1	n110	1	0	50	20.42291666666669
n130-1	n113	1	0	54	20.68541666666669
n124-1	n107	1	0	56	20.051041666666688
n129-1	n112	1	0	56	20.611458333333356
n125-1	n108	1	0	57	20.134375000000023
n128-1	n111	1	0	57	20.51979166666669
n126-1	n109	1	0	59	20.227083333333358
n140-1	n115	1	0	44	20.79791666666669
n141-1	n117	1	0	47	21.16979166666669
n131-1	n114	1	0	52	20.79166666666669
n132-1	n118	1	0	54	21.36979166666669
n133-1	n119	1	0	56	21.446875000000023
n114-1	n116	1	0	74	21.167708333333355
n142-1	n120	1	0	52	21.508333333333358
n135-1	n129	1	0	54	22.113541666666684
n134-1	n123	1	0	56	21.66979166666669
n136-1	n130	1	0	56	22.182291666666682
n115-1	n121	1	0	71	21.537500000000023
n116-1	n126	1	0	76	21.920833333333356
n170-1	n133	1	0	45	22.30833333333335
n151-1	n132	1	0	57	22.296875000000018
n153-1	n135	1	0	57	22.80312500000002
n154-1	n136	1	0	59	22.897916666666685
n155-1	n137	1	0	60	22.97500000000002
n144-1	n134	1	0	69	22.686458333333352
n143-1	n131	1	0	72	22.28645833333335
n173-1	n140	1	0	54	23.47187500000002
n159-1	n144	1	0	57	23.776041666666682
n158-1	n143	1	0	59	23.672916666666683
n157-1	n142	1	0	60	23.57395833333335
n156-1	n139	1	0	62	23.06562500000002
n145-1	n138	1	0	66	23.064583333333353
n146-1	n141	1	0	74	23.47708333333335
n174-1	n146	1	0	55	23.856250000000014
n162-1	n148	1	0	55	24.350000000000012
n160-1	deletion
n163-1	n149	1	0	57	24.465625000000014
n164-1	n150	1	0	59	24.542708333333344
n148-1	n147	1	0	67	24.256250000000012
n147-1	n145	1	0	71	23.852083333333347
n177-1	n153	1	0	52	25.03125000000001
n169-1	n157	1	0	55	25.323958333333344
n168-1	n156	1	0	57	25.222916666666677
n167-1	n155	1	0	58	25.120833333333344
n165-1	n152	1	0	60	24.644791666666677
n149-1	n151	1	0	64	24.63541666666668
n150-1	n154	1	0	72	25.04062500000001
n210-1	n158	1	0	53	25.427083333333346
n214-1	n175	1	0	53	26.973958333333332
n190-1	deletion
n211-1	n161	1	0	55	25.82187500000001
n191-1	n160	1	0	65	25.648958333333344
n192-1	n163	1	0	65	26.03958333333334
n178-1	n159	1	0	69	25.428125000000012
n179-1	n162	1	0	71	25.832291666666674
n213-1	n170	1	0	55	26.62604166666667
n212-1	n165	1	0	57	26.24479166666667
n194-1	n166	1	0	64	26.352083333333336
n200-1	n173	1	0	64	26.867708333333336
n195-1	n167	1	0	65	26.447916666666668
n199-1	n172	1	0	65	26.77604166666667
n196-1	n168	1	0	67	26.510416666666668
n198-1	n171	1	0	67	26.714583333333337
n197-1	n169	1	0	69	26.613541666666666
n180-1	n164	1	0	72	26.24270833333334
n215-1	n179	1	0	50	27.336458333333333
n201-1	n174	1	0	62	26.947916666666668
n182-1	n176	1	0	72	27.09375
n188-1	n183	1	0	72	27.591666666666672
n183-1	n177	1	0	74	27.161458333333332
n187-1	n182	1	0	74	27.503125000000004
n184-1	n178	1	0	76	27.25208333333333
n186-1	n181	1	0	76	27.42604166666667
n185-1	n180	1	0	77	27.345833333333335
n217-1	n190	1	0	53	28.065625000000008
n216-1	n184	1	0	55	27.679166666666674
n203-1	n187	1	0	62	27.809375000000006
n209-1	n194	1	0	62	28.362500000000004
n204-1	n188	1	0	64	27.88333333333334
n208-1	n193	1	0	64	28.259375000000006
n205-1	n189	1	0	65	28.000000000000007
n207-1	n192	1	0	65	28.18020833333334
n206-1	n191	1	0	67	28.08645833333334
n189-1	n186	1	0	71	27.710416666666674
n250-1	n195	1	0	52	28.436458333333338
n243-1	n197	1	0	55	28.827083333333338
n242-1	n196	1	0	60	28.446875000000006
n222-1	n201	1	0	79	29.111458333333342
n221-1	n200	1	0	81	29.02291666666667
n220-1	n199	1	0	83	28.940625000000004
n219-1	n198	1	0	84	28.85104166666667
n251-1	n202	1	0	57	29.20312500000001
n244-1	n204	1	0	60	29.217708333333345
n245-1	n205	1	0	65	29.60000000000001
n227-1	n209	1	0	76	29.869791666666675
n223-1	n203	1	0	77	29.210416666666678
n226-1	n208	1	0	77	29.779166666666676
n225-1	n207	1	0	79	29.70208333333334
n224-1	n206	1	0	81	29.61875000000001
n252-1	n211	1	0	47	29.968750000000007
n247-1	n214	1	0	69	30.38229166666667
n234-1	n217	1	0	72	30.653125
n228-1	n210	1	0	74	29.96145833333334
n233-1	n216	1	0	74	30.565625
n229-1	n212	1	0	76	30.060416666666672
n232-1	n215	1	0	76	30.47604166666667
n230-1	n213	1	0	77	30.152083333333337
n248-1	n218	1	0	62	30.734375
n249-1	n222	1	0	65	31.127083333333335
n241-1	n225	1	0	69	31.405208333333334
n235-1	n219	1	0	71	30.740625
n240-1	n224	1	0	71	31.308333333333334
n236-1	n220	1	0	72	30.834375
n239-1	n223	1	0	72	31.225
n237-1	n221	1	0	74	30.925
n270-1	n229	1	0	53	31.875000000000004
n261-1	n226	1	0	59	31.478125000000002
n262-1	n228	1	0	62	31.87291666666667
n254-1	n227	1	0	67	31.51875
n255-1	n230	1	0	69	32.08958333333334
n256-1	n231	1	0	71	32.1625
n271-1	n232	1	0	50	32.25208333333333
n272-1	n239	1	0	55	32.61458333333333
n264-1	n240	1	0	62	32.62499999999999
n263-1	n233	1	0	65	32.26770833333333
n258-1	n242	1	0	69	32.79583333333333
n257-1	n235	1	0	71	32.37395833333333
n259-1	n243	1	0	71	32.894791666666656
n273-1	n244	1	0	52	32.98124999999999
n274-1	n248	1	0	52	33.56874999999999
n275-1	n249	1	0	54	33.66874999999999
n266-1	n247	1	0	60	33.38020833333332
