onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.73229164,64,81,1,0,n0,0.5,1.0
1.3291667,0.790625,60,90,1,0,n1,0.5,1.0
2.215625,0.834375,65,88,1,0,n2,2.215625,3.0
3.1354167,0.9375,56,91,1,0,n3,2.215625,3.0
5.371875,0.041666668,62,57,1,0,n4,4.915972,6.0
5.80625,0.036458332,59,61,1,0,n5,5.80625,7.0
6.2052083,0.0375,64,62,1,0,n6,5.80625,7.0
6.628125,0.0375,60,61,1,0,n7,6.628125,8.0
7.0333333,0.039583333,57,67,1,0,n8,6.628125,8.0
7.436458,0.746875,69,88,1,0,n9,6.628125,8.0
7.4375,0.04375,54,64,1,0,n10,7.436979,9.0
7.840625,0.05,63,74,1,0,n11,7.436979,9.0
8.2375,0.051041666,52,55,1,0,n12,7.436979,9.0
8.261458,0.7104167,67,83,1,0,n13,8.249479,10.0
8.682292,0.08229167,64,67,1,0,n14,8.249479,10.0
8.7875,0.07395833,62,68,1,0,n15,8.249479,10.0
8.858334,0.058333334,60,70,1,0,n16,8.249479,10.0
8.957292,0.09583333,59,79,1,0,n17,8.249479,10.0
9.0375,0.7083333,72,96,1,0,n18,8.249479,10.0
9.041667,0.048958335,57,77,1,0,n19,9.039583,11.0
9.444792,0.05625,60,72,1,0,n20,9.039583,11.0
9.546875,0.090625,59,76,1,0,n21,9.039583,11.0
9.632292,0.07083333,57,78,1,0,n22,9.039583,11.0
9.744792,0.055208333,55,69,1,0,n23,9.039583,11.0
9.807292,0.78229165,63,93,1,0,n24,9.039583,11.0
9.813541,0.08958333,54,72,1,0,n25,9.810417,12.0
9.909375,0.078125,55,76,1,0,n26,9.810417,12.0
10.004167,0.35520834,57,71,1,0,n27,9.810417,12.0
10.3625,0.083333336,55,64,1,0,n28,9.810417,12.0
10.459375,0.046875,54,61,1,0,n29,9.810417,12.0
10.538542,0.058333334,52,71,1,0,n30,9.810417,12.0
10.630208,0.07083333,51,66,1,0,n31,10.630208,13.0
10.736459,0.051041666,52,61,1,0,n32,10.630208,13.0
10.807292,0.31145832,54,66,1,0,n33,10.630208,13.0
11.169791,0.052083332,52,54,1,0,n34,10.630208,13.0
11.260417,0.059375,51,60,1,0,n35,10.630208,13.0
11.338542,0.053125,49,58,1,0,n36,10.630208,13.0
11.435416,0.58229166,47,60,1,0,n37,10.630208,13.0
11.813541,0.034375,69,74,1,0,n38,11.435417,14.0
12.027083,0.041666668,49,53,1,0,n39,11.435417,14.0
12.111459,0.07083333,51,59,1,0,n40,11.435417,14.0
12.209375,0.0375,66,70,1,0,n41,12.209375,15.0
12.21875,0.0625,52,56,1,0,n42,12.209375,15.0
12.307292,0.07083333,51,55,1,0,n43,12.209375,15.0
12.414583,0.060416665,52,58,1,0,n44,12.209375,15.0
12.517709,0.054166667,51,52,1,0,n45,12.209375,15.0
12.58125,0.0375,71,73,1,0,n46,12.209375,15.0
12.610416,0.045833334,52,52,1,0,n47,12.209375,15.0
12.679167,0.057291668,51,61,1,0,n48,12.209375,15.0
12.772917,0.06458333,49,63,1,0,n49,12.209375,15.0
12.859375,0.055208333,51,60,1,0,n50,12.209375,15.0
12.959375,0.041666668,67,70,1,0,n51,12.209375,15.0
12.961458,0.058333334,52,58,1,0,n52,12.960417,16.0
13.382292,0.033333335,64,66,1,0,n53,12.960417,16.0
13.460417,0.10520833,52,58,1,0,n54,12.960417,16.0
13.560416,0.0625,53,71,1,0,n55,12.960417,16.0
13.64375,0.08958333,55,73,1,0,n56,12.960417,16.0
13.745833,0.048958335,57,73,1,0,n57,12.960417,16.0
13.757292,0.054166667,61,72,1,0,n58,13.751563,17.0
14.175,0.048958335,69,69,1,0,n59,13.751563,17.0
14.269792,0.05625,55,50,1,0,n60,13.751563,17.0
14.360416,0.065625,53,56,1,0,n61,13.751563,17.0
14.447917,0.047916666,52,56,1,0,n62,13.751563,17.0
