onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,2.0,0,4,58,2,n1-1,0.0,0.5
1.0,1.0,2.0,2.0,4,4,60,2,n2-1,1.0,1.192708
2.5,0.5,5.0,1.0,10,2,61,2,n3-1,2.0,1.920573
3.0,0.5,6.0,1.0,12,2,63,2,n5-1,3.0,2.648438
3.5,0.5,7.0,1.0,14,2,57,2,n6-1,3.0,2.648438
4.0,1.0,8.0,2.0,16,4,58,2,n7-1,4.0,3.401042
5.5,0.5,11.0,1.0,22,2,60,2,n8-1,5.0,4.139323
6.0,0.25,12.0,0.5,24,1,61,2,n10-1,6.0,4.877604
6.25,0.25,12.5,0.5,25,1,58,2,n11-1,6.0,4.877604
6.5,0.25,13.0,0.5,26,1,60,2,n12-1,6.0,4.877604
6.75,0.25,13.5,0.5,27,1,61,2,n13-1,6.0,4.877604
7.0,0.25,14.0,0.5,28,1,63,2,n14-1,7.0,5.578125
7.25,0.25,14.5,0.5,29,1,60,2,n15-1,7.0,5.578125
7.5,0.25,15.0,0.5,30,1,61,2,n16-1,7.0,5.578125
7.75,0.25,15.5,0.5,31,1,63,2,n17-1,7.0,5.578125
8.0,0.25,16.0,0.5,32,1,65,2,n18-1,8.0,6.278646
8.25,0.25,16.5,0.5,33,1,61,2,n19-1,8.0,6.278646
8.5,0.25,17.0,0.5,34,1,63,2,n20-1,8.0,6.278646
8.75,0.25,17.5,0.5,35,1,65,2,n21-1,8.0,6.278646
9.0,0.25,18.0,0.5,36,1,66,2,n23-1,9.0,6.970052
9.25,0.25,18.5,0.5,37,1,63,2,n24-1,9.0,6.970052
9.5,0.5,19.0,1.0,38,2,65,2,n25-1,9.0,6.970052
10.5,0.5,21.0,1.0,42,2,66,2,n27-1,10.0,7.684896
11.0,0.5,22.0,1.0,44,2,60,2,n28-1,11.0,8.39974
11.5,0.25,23.0,0.5,46,1,61,2,n29-1,11.0,8.39974
11.75,0.25,23.5,0.5,47,1,63,2,n30-1,11.0,8.39974
12.0,0.5,24.0,1.0,48,2,61,6,n35-1,12.0,9.096354
12.0,1.0,24.0,2.0,48,4,65,1,n32-1,12.0,9.096354
12.5,0.5,25.0,1.0,50,2,57,6,n36-1,12.0,9.096354
13.0,0.5,26.0,1.0,52,2,58,6,n37-1,13.0,9.845703
13.0,1.0,26.0,2.0,52,4,67,1,n33-1,13.0,9.845703
13.5,0.5,27.0,1.0,54,2,59,6,n38-1,13.0,9.845703
14.0,1.0,28.0,2.0,56,4,60,6,n39-1,14.0,10.584635
14.5,0.5,29.0,1.0,58,2,68,1,n34-1,14.0,10.584635
15.0,0.5,30.0,1.0,60,2,70,1,n40-1,15.0,11.307292
15.5,0.5,31.0,1.0,62,2,60,2,n44-1,15.0,11.307292
