onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,2.0,0,8,47,6,n1-1,0.0,0.5
1.0,1.0,2.0,2.0,8,8,51,6,n2-1,1.0,1.777083
2.0,1.0,4.0,2.0,16,8,56,6,n3-1,2.0,3.052083
3.0,1.0,6.0,2.0,24,8,52,6,n4-1,3.0,4.314583
4.0,1.0,8.0,2.0,32,8,49,6,n5-1,4.0,5.583333
5.0,1.0,10.0,2.0,40,8,58,6,n6-1,5.0,6.844792
6.0,0.5,12.0,1.0,48,4,59,6,n7-1,6.0,8.165625
6.5,0.25,13.0,0.5,52,2,58,6,n8-1,6.0,8.165625
6.75,0.25,13.5,0.5,54,2,56,6,n9-1,6.0,8.165625
7.0,0.5,14.0,1.0,56,4,54,6,n10-1,7.0,9.39375
7.5,0.5,15.0,1.0,60,4,52,6,n11-1,7.0,9.39375
8.0,0.25,16.0,0.5,64,2,51,6,n14-1,8.0,10.533333
8.0,1.0,16.0,2.0,64,8,54,5,n12-1,8.0,10.533333
8.25,0.25,16.5,0.5,66,2,49,6,n15-1,8.0,10.533333
8.5,1.0,17.0,2.0,68,8,52,6,n16-1,8.0,10.533333
9.0,1.0,18.0,2.0,72,8,58,5,n13-1,9.0,11.723958
9.5,0.25,19.0,0.5,76,2,51,6,n17-1,9.0,11.723958
9.75,0.25,19.5,0.5,78,2,49,6,n18-1,9.0,11.723958
10.0,0.25,20.0,0.5,80,2,47,6,n21-1,10.0,12.869791
10.0,1.0,20.0,2.0,80,8,63,5,n19-1,10.0,12.869791
10.25,0.25,20.5,0.5,82,2,54,6,n22-1,10.0,12.869791
10.5,1.0,21.0,2.0,84,8,58,6,n23-1,10.0,12.869791
11.0,1.0,22.0,2.0,88,8,59,5,n20-1,11.0,14.022917
11.5,0.25,23.0,0.5,92,2,56,6,n24-1,11.0,14.022917
11.75,0.25,23.5,0.5,94,2,54,6,n25-1,11.0,14.022917
12.0,0.25,24.0,0.5,96,2,53,6,n28-1,12.0,15.136979
12.0,1.0,24.0,2.0,96,8,56,5,n26-1,12.0,15.136979
12.25,0.25,24.5,0.5,98,2,59,6,n29-1,12.0,15.136979
12.5,1.0,25.0,2.0,100,8,63,6,n30-1,12.0,15.136979
13.0,1.0,26.0,2.0,104,8,65,5,n27-1,13.0,16.283333
13.5,0.25,27.0,0.5,108,2,61,6,n31-1,13.0,16.283333
13.75,0.25,27.5,0.5,110,2,59,6,n32-1,13.0,16.283333
14.0,0.5,28.0,1.0,112,4,58,6,n38-1,14.0,17.429167
14.0,0.5,28.0,1.0,112,4,66,5,n33-1,14.0,17.429167
14.5,0.5,29.0,1.0,116,4,59,6,n39-1,14.0,17.429167
14.5,0.25,29.0,0.5,116,2,65,5,n34-1,14.0,17.429167
14.75,0.25,29.5,0.5,118,2,63,5,n35-1,14.0,17.429167
15.0,0.5,30.0,1.0,120,4,58,6,n40-1,15.0,18.552084
15.0,0.5,30.0,1.0,120,4,61,5,n36-1,15.0,18.552084
15.5,0.5,31.0,1.0,124,4,56,6,n41-1,15.0,18.552084
15.5,0.5,31.0,1.0,124,4,59,5,n37-1,15.0,18.552084
16.0,0.5,32.0,1.0,128,4,54,6,n47-1,16.0,19.688541
16.0,0.25,32.0,0.5,128,2,58,5,n42-1,16.0,19.688541
16.25,0.25,32.5,0.5,130,2,56,5,n43-1,16.0,19.688541
16.5,0.25,33.0,0.5,132,2,53,6,n48-1,16.0,19.688541
16.5,1.0,33.0,2.0,132,8,59,5,n44-1,16.0,19.688541
16.75,0.25,33.5,0.5,134,2,51,6,n49-1,16.0,19.688541
17.0,0.25,34.0,0.5,136,2,49,6,n50-1,17.0,20.81875
17.25,0.25,34.5,0.5,138,2,51,6,n51-1,17.0,20.81875
17.5,1.0,35.0,2.0,140,8,52,6,n52-1,17.0,20.81875
17.5,0.25,35.0,0.5,140,2,58,5,n45-1,17.0,20.81875
17.75,0.25,35.5,0.5,142,2,56,5,n46-1,17.0,20.81875
18.0,0.25,36.0,0.5,144,2,54,5,n55-1,18.0,21.982813
18.0,1.0,36.0,2.0,144,8,59,2,n53-1,18.0,21.982813
18.25,0.25,36.5,0.5,146,2,56,5,n56-1,18.0,21.982813
18.5,0.25,37.0,0.5,148,2,51,6,n61-1,18.0,21.982813
18.5,1.0,37.0,2.0,148,8,57,5,n57-1,18.0,21.982813
18.75,0.25,37.5,0.5,150,2,49,6,n62-1,18.0,21.982813
19.0,1.75,38.0,3.5,152,14,47,6,n63-1,19.0,23.166145
19.0,1.0,38.0,2.0,152,8,63,2,n54-1,19.0,23.166145
19.5,0.25,39.0,0.5,156,2,56,5,n58-1,19.0,23.166145
19.75,0.25,39.5,0.5,158,2,54,5,n59-1,19.0,23.166145
20.0,0.25,40.0,0.5,160,2,52,5,n66-1,20.0,24.348959
20.0,1.0,40.0,2.0,160,8,68,2,n64-1,20.0,24.348959
20.25,0.25,40.5,0.5,162,2,59,5,n67-1,20.0,24.348959
20.5,1.0,41.0,2.0,164,8,63,5,n68-1,20.0,24.348959
20.75,0.25,41.5,0.5,166,2,48,6,n72-1,20.0,24.348959
21.0,0.25,42.0,0.5,168,2,49,6,n73-1,21.0,25.467188
21.0,1.0,42.0,2.0,168,8,64,2,n65-1,21.0,25.467188
21.25,0.25,42.5,0.5,170,2,51,6,n74-1,21.0,25.467188
21.5,0.25,43.0,0.5,172,2,52,6,n75-1,21.0,25.467188
21.5,0.25,43.0,0.5,172,2,61,5,n69-1,21.0,25.467188
21.75,0.25,43.5,0.5,174,2,49,6,n76-1,21.0,25.467188
21.75,0.25,43.5,0.5,174,2,59,5,n70-1,21.0,25.467188
22.0,0.75,44.0,1.5,176,6,54,6,n84-1,22.0,26.60625
22.0,0.25,44.0,0.5,176,2,58,5,n79-1,22.0,26.60625
22.0,1.0,44.0,2.0,176,8,61,2,n77-1,22.0,26.60625
22.25,0.25,44.5,0.5,178,2,64,5,n80-1,22.0,26.60625
22.5,1.0,45.0,2.0,180,8,68,5,n81-1,22.0,26.60625
22.75,0.25,45.5,0.5,182,2,52,6,n85-1,22.0,26.60625
23.0,0.25,46.0,0.5,184,2,51,6,n86-1,23.0,27.753124
23.0,1.0,46.0,2.0,184,8,70,2,n78-1,23.0,27.753124
23.25,0.25,46.5,0.5,186,2,49,6,n87-1,23.0,27.753124
23.5,0.5,47.0,1.0,188,4,51,6,n88-1,23.0,27.753124
23.5,0.25,47.0,0.5,188,2,66,5,n82-1,23.0,27.753124
23.75,0.25,47.5,0.5,190,2,64,5,n83-1,23.0,27.753124
24.0,0.5,48.0,1.0,192,4,56,6,n98-1,24.0,28.970486
24.0,0.5,48.0,1.0,192,4,63,5,n94-1,24.0,28.970486
24.0,0.5,48.0,1.0,192,4,71,2,n89-1,24.0,28.970486
24.5,1.0,49.0,2.0,196,8,44,6,n99-1,24.0,28.970486
24.5,0.5,49.0,1.0,196,4,64,5,n95-1,24.0,28.970486
24.5,0.25,49.0,0.5,196,2,70,2,n90-1,24.0,28.970486
24.75,0.25,49.5,0.5,198,2,68,2,n91-1,24.0,28.970486
25.0,0.5,50.0,1.0,200,4,63,5,n96-1,25.0,30.120314
25.0,0.5,50.0,1.0,200,4,66,2,n92-1,25.0,30.120314
25.5,0.5,51.0,1.0,204,4,46,6,n100-1,25.0,30.120314
