onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.088541664,66,72,1,0,n0,0.5,-1.0
0.80859375,0.111979164,62,74,1,0,n1,0.5,-1.0
1.1328125,0.102864586,59,75,1,0,n2,1.132812,1.0
1.4296875,0.106770836,58,72,1,0,n3,1.132812,1.0
1.7226562,0.19661458,59,72,1,0,n4,1.722656,3.0
2.0195312,0.122395836,61,63,1,0,n5,2.019531,4.0
2.1614583,0.115885414,62,65,1,0,n6,2.019531,4.0
2.298177,0.111979164,64,61,1,0,n7,2.298177,5.0
2.4166667,0.076822914,66,72,1,0,n8,2.298177,5.0
2.5989583,0.106770836,67,82,1,0,n9,2.598958,6.0
2.8867188,0.0703125,55,66,1,0,n10,2.598958,6.0
3.2005208,0.071614586,67,84,1,0,n11,2.886719,7.0
3.514323,0.07421875,66,83,1,0,n12,3.514323,9.0
3.813802,0.104166664,54,69,1,0,n13,3.813802,10.0
4.111979,0.095052086,66,76,1,0,n14,4.111979,11.0
4.4075522,0.18098958,64,72,1,0,n15,4.407552,12.0
4.7070312,0.118489586,66,65,1,0,n16,4.707031,13.0
4.8385415,0.12760417,64,58,1,0,n17,4.707031,13.0
4.997396,0.109375,62,54,1,0,n18,4.997396,14.0
5.1315103,0.13020833,61,63,1,0,n19,4.997396,14.0
5.2877603,0.119791664,62,58,1,0,n20,5.28776,15.0
5.419271,0.095052086,66,67,1,0,n21,5.28776,15.0
5.5572915,0.12890625,64,58,1,0,n22,5.28776,15.0
5.6914062,0.111979164,62,51,1,0,n23,5.557292,16.0
5.8333335,0.053385418,71,73,1,0,n24,5.557292,16.0
5.8359375,0.083333336,61,60,1,0,n25,5.834636,17.0
5.9570312,0.13802083,59,53,1,0,n26,5.834636,17.0
6.1145835,0.119791664,61,60,1,0,n27,5.834636,17.0
6.127604,0.075520836,69,81,1,0,n28,6.121094,18.0
6.263021,0.14713542,59,62,1,0,n29,6.121094,18.0
6.3971353,0.1171875,61,60,1,0,n30,6.121094,18.0
6.4179688,0.061197918,66,85,1,0,n31,6.407552,19.0
6.546875,0.14192708,62,59,1,0,n32,6.407552,19.0
6.6979165,0.055989582,65,67,1,0,n33,6.407552,19.0
6.7018228,0.115885414,61,65,1,0,n34,6.69987,20.0
6.8177085,0.052083332,59,59,1,0,n35,6.69987,20.0
6.9791665,0.13020833,57,78,1,0,n36,6.69987,20.0
6.9934897,0.30078125,66,72,1,0,n37,6.986328,21.0
7.2851562,0.095052086,54,67,1,0,n38,7.285156,22.0
7.2851562,0.095052086,68,71,1,0,n39,7.285156,22.0
7.4101562,0.100260414,69,73,1,0,n40,7.285156,22.0
7.5546875,0.079427086,53,61,1,0,n41,7.285156,22.0
7.5572915,0.1015625,71,68,1,0,n42,7.55599,23.0
7.6757812,0.075520836,73,71,1,0,n43,7.55599,23.0
7.8229165,0.065104164,54,59,1,0,n44,7.55599,23.0
7.84375,0.057291668,74,73,1,0,n45,7.833334,24.0
7.9752603,0.041666668,56,62,1,0,n46,7.833334,24.0
8.1067705,0.048177082,62,73,1,0,n47,7.833334,24.0
8.125,0.069010414,56,67,1,0,n48,8.115886,25.0
8.2369795,0.06640625,57,56,1,0,n49,8.115886,25.0
8.316406,0.100260414,56,48,1,0,n50,8.115886,25.0
8.381511,0.0625,74,74,1,0,n51,8.38151,26.0
8.4348955,0.095052086,54,60,1,0,n52,8.38151,26.0
8.526042,0.12630208,56,50,1,0,n53,8.38151,26.0
8.6640625,0.072916664,73,80,1,0,n54,8.38151,26.0
8.680989,0.12890625,57,63,1,0,n55,8.672526,27.0
8.824219,0.09765625,59,54,1,0,n56,8.672526,27.0
8.962239,0.071614586,61,71,1,0,n57,8.672526,27.0
8.970052,0.1171875,57,58,1,0,n58,8.966146,28.0
9.1015625,0.12760417,56,55,1,0,n59,8.966146,28.0
9.243489,0.104166664,54,60,1,0,n60,8.966146,28.0
9.2630205,0.0546875,73,65,1,0,n61,9.253255,29.0
9.380208,0.13151042,52,66,1,0,n62,9.253255,29.0
9.5390625,0.2669271,71,67,1,0,n63,9.253255,29.0
9.540364,0.114583336,51,59,1,0,n64,9.539713,30.0
9.662761,0.0546875,53,69,1,0,n65,9.539713,30.0
9.805989,0.080729164,53,68,1,0,n66,9.539713,30.0
9.8307295,0.18619792,73,59,1,0,n67,9.818359,31.0
9.901042,0.059895832,54,62,1,0,n68,9.818359,31.0
9.958333,0.2109375,53,44,1,0,n69,9.818359,31.0
9.979167,0.13932292,71,70,1,0,n70,9.818359,31.0
10.123698,0.13671875,69,69,1,0,n71,10.123698,32.0
10.220052,0.057291668,51,48,1,0,n72,10.123698,32.0
10.264323,0.125,68,63,1,0,n73,10.123698,32.0
10.290364,0.098958336,53,70,1,0,n74,10.123698,32.0
10.373698,0.111979164,54,79,1,0,n75,10.123698,32.0
10.410156,0.115885414,69,69,1,0,n76,10.391927,33.0
10.535156,0.20963542,73,68,1,0,n77,10.391927,33.0
10.6744795,0.05859375,56,64,1,0,n78,10.391927,33.0
10.6796875,0.12109375,71,66,1,0,n79,10.677084,34.0
10.8046875,0.125,69,70,1,0,n80,10.677084,34.0
10.962239,0.125,68,57,1,0,n81,10.677084,34.0
10.96875,0.05078125,57,65,1,0,n82,10.965495,35.0
11.095052,0.15494792,66,67,1,0,n83,10.965495,35.0
11.251302,0.114583336,59,52,1,0,n84,10.965495,35.0
11.260417,0.15625,67,64,1,0,n85,11.255859,36.0
11.378906,0.0390625,61,71,1,0,n86,11.255859,36.0
11.5130205,0.075520836,61,77,1,0,n87,11.255859,36.0
11.541667,0.12109375,69,65,1,0,n88,11.527344,37.0
11.619792,0.078125,62,55,1,0,n89,11.527344,37.0
11.649739,0.115885414,67,67,1,0,n90,11.527344,37.0
11.7005205,0.14583333,61,50,1,0,n91,11.527344,37.0
11.7682295,0.115885414,66,65,1,0,n92,11.527344,37.0
11.8776045,0.106770836,59,53,1,0,n93,11.527344,37.0
11.901042,0.11328125,64,60,1,0,n94,11.881511,38.0
11.994792,0.084635414,61,71,1,0,n95,11.881511,38.0
12.026042,0.13541667,66,66,1,0,n96,12.026042,39.0
12.053386,0.061197918,62,79,1,0,n97,12.026042,39.0
12.173177,0.18489583,69,71,1,0,n98,12.026042,39.0
12.3463545,0.063802086,58,83,1,0,n99,12.026042,39.0
12.363281,0.15234375,67,65,1,0,n100,12.354817,40.0
12.484375,0.171875,66,70,1,0,n101,12.354817,40.0
12.635417,0.13802083,64,68,1,0,n102,12.354817,40.0
12.636719,0.60026044,59,83,1,0,n103,12.636068,41.0
12.7734375,0.17317708,62,75,1,0,n104,12.636068,41.0
12.932292,0.27734375,64,77,1,0,n105,12.932292,42.0
13.235677,0.12109375,58,69,1,0,n106,12.932292,42.0
13.2421875,0.13411458,66,65,1,0,n107,13.238933,43.0
13.363281,0.083333336,56,64,1,0,n108,13.238933,43.0
13.363281,0.119791664,64,69,1,0,n109,13.238933,43.0
13.5078125,0.092447914,62,66,1,0,n110,13.238933,43.0
13.514323,0.0859375,54,72,1,0,n111,13.512587,44.0
13.515625,0.040364582,58,71,1,0,n112,13.512587,44.0
13.631511,0.0625,61,69,1,0,n113,13.512587,44.0
13.796875,0.061197918,50,83,1,0,n114,13.512587,44.0
13.832031,0.2421875,62,53,1,0,n115,13.828125,45.0
13.855469,0.106770836,59,22,1,0,n116,13.828125,45.0
13.951823,0.21744792,64,66,1,0,n117,13.828125,45.0
14.100261,0.063802086,47,86,1,0,n118,13.828125,45.0
14.102864,0.13020833,66,69,1,0,n119,14.101563,46.0
14.235677,0.20182292,67,73,1,0,n120,14.101563,46.0
14.3880205,0.07421875,46,80,1,0,n121,14.101563,46.0
14.3880205,1.2903646,66,70,1,0,n122,14.101563,46.0
14.515625,0.16536458,64,72,1,0,n123,14.388021,47.0
14.683594,0.09765625,62,81,1,0,n124,14.388021,47.0
14.692708,0.31640625,47,73,1,0,n125,14.688151,48.0
14.988281,0.13541667,49,70,1,0,n126,14.688151,48.0
15.0,0.087239586,59,71,1,0,n127,14.994141,49.0
15.1171875,0.13151042,50,70,1,0,n128,14.994141,49.0
15.276042,0.119791664,52,69,1,0,n129,14.994141,49.0
15.302083,0.04296875,58,63,1,0,n130,15.289063,50.0
15.3932295,0.0859375,54,74,1,0,n131,15.289063,50.0
15.563802,0.15625,55,69,1,0,n132,15.289063,50.0
15.5703125,0.115885414,59,63,1,0,n133,15.567057,51.0
15.683594,0.048177082,61,63,1,0,n134,15.567057,51.0
15.833333,0.053385418,61,61,1,0,n135,15.567057,51.0
15.834636,0.061197918,43,61,1,0,n136,15.833984,52.0
15.9036455,0.0859375,62,69,1,0,n137,15.833984,52.0
16.007812,0.096354164,61,69,1,0,n138,15.833984,52.0
16.108072,0.083333336,55,75,1,0,n139,15.833984,52.0
16.114584,0.122395836,69,67,1,0,n140,16.111328,53.0
16.200521,0.067708336,59,53,1,0,n141,16.111328,53.0
16.279947,0.076822914,61,62,1,0,n142,16.111328,53.0
16.414062,0.14453125,69,58,1,0,n143,16.111328,53.0
16.425781,0.067708336,54,78,1,0,n144,16.111328,53.0
16.4375,0.091145836,62,57,1,0,n145,16.43164,54.0
16.559896,0.098958336,64,54,1,0,n146,16.43164,54.0
16.696615,0.092447914,42,72,1,0,n147,16.43164,54.0
16.704428,0.13802083,66,55,1,0,n148,16.703125,55.0
16.708334,0.05859375,62,48,1,0,n149,16.703125,55.0
16.845053,0.095052086,61,58,1,0,n150,16.703125,55.0
16.981771,0.078125,54,76,1,0,n151,16.703125,55.0
16.989584,0.098958336,59,63,1,0,n152,16.703125,55.0
17.03776,0.44921875,62,53,1,0,n153,17.003038,56.0
17.139322,0.12760417,57,60,1,0,n154,17.003038,56.0
17.289062,0.2955729,52,68,1,0,n155,17.003038,56.0
17.303385,0.12890625,56,62,1,0,n156,17.296225,57.0
17.436197,0.036458332,58,57,1,0,n157,17.296225,57.0
17.453125,0.03515625,61,48,1,0,n158,17.296225,57.0
17.584635,0.072916664,58,60,1,0,n159,17.523438,58.0
17.59375,0.09375,54,61,1,0,n160,17.523438,58.0
17.617188,0.07421875,61,47,1,0,n161,17.523438,58.0
17.671875,0.100260414,59,65,1,0,n162,17.523438,58.0
17.703125,0.111979164,52,46,1,0,n163,17.523438,58.0
17.798178,0.07421875,58,56,1,0,n164,17.523438,58.0
17.817709,0.2109375,66,68,1,0,n165,17.523438,58.0
17.85026,0.08984375,50,55,1,0,n166,17.822048,59.0
17.964844,0.06640625,56,53,1,0,n167,17.822048,59.0
17.972656,0.140625,49,55,1,0,n168,17.822048,59.0
18.040365,0.092447914,58,55,1,0,n169,17.822048,59.0
18.130209,0.171875,50,63,1,0,n170,17.822048,59.0
18.151041,0.18229167,59,67,1,0,n171,18.140625,60.0
18.300781,0.100260414,54,68,1,0,n172,18.140625,60.0
18.423178,0.12890625,52,58,1,0,n173,18.423178,61.0
18.570312,0.123697914,50,49,1,0,n174,18.423178,61.0
18.71875,0.104166664,49,58,1,0,n175,18.423178,61.0
18.739584,0.044270832,68,66,1,0,n176,18.729166,62.0
18.861979,0.140625,47,56,1,0,n177,18.729166,62.0
19.027344,0.15234375,49,55,1,0,n178,18.729166,62.0
19.036459,0.12760417,69,46,1,0,n179,19.0319,63.0
19.183594,0.13151042,73,49,1,0,n180,19.0319,63.0
19.192709,0.04296875,51,58,1,0,n181,19.0319,63.0
19.317709,0.0625,51,71,1,0,n182,19.0319,63.0
19.330729,0.08203125,71,48,1,0,n183,19.324219,64.0
19.40625,0.053385418,52,65,1,0,n184,19.324219,64.0
19.445312,0.14973958,69,59,1,0,n185,19.324219,64.0
19.470053,0.24088542,51,46,1,0,n186,19.324219,64.0
19.609375,0.13671875,68,63,1,0,n187,19.609375,65.0
19.731771,0.0859375,49,60,1,0,n188,19.609375,65.0
19.777344,0.14713542,66,59,1,0,n189,19.609375,65.0
19.809896,0.106770836,51,52,1,0,n190,19.609375,65.0
19.902344,0.14322917,52,69,1,0,n191,19.609375,65.0
19.919271,0.13411458,68,66,1,0,n192,19.910807,66.0
20.05599,0.065104164,70,69,1,0,n193,19.910807,66.0
20.06901,0.14713542,55,63,1,0,n194,19.910807,66.0
20.197916,0.119791664,70,58,1,0,n195,19.910807,66.0
20.229166,0.16927083,54,64,1,0,n196,20.213543,67.0
20.257812,0.095052086,71,66,1,0,n197,20.213543,67.0
20.339844,0.22526042,70,36,1,0,n198,20.213543,67.0
20.447916,0.053385418,52,49,1,0,n199,20.213543,67.0
20.503906,0.114583336,50,62,1,0,n200,20.503906,68.0
20.61849,0.059895832,68,63,1,0,n201,20.503906,68.0
20.635416,0.14322917,49,66,1,0,n202,20.503906,68.0
20.714844,0.0625,70,62,1,0,n203,20.503906,68.0
20.768229,0.13541667,71,69,1,0,n204,20.503906,68.0
20.776041,0.13932292,51,68,1,0,n205,20.772137,69.0
20.924479,0.0390625,53,74,1,0,n206,20.772137,69.0
20.941406,0.19270833,74,57,1,0,n207,20.772137,69.0
21.044271,0.106770836,53,82,1,0,n208,20.772137,69.0
21.108072,0.18229167,73,61,1,0,n209,21.076172,70.0
21.132812,0.079427086,54,70,1,0,n210,21.076172,70.0
21.190104,0.21223958,53,41,1,0,n211,21.076172,70.0
21.252604,0.12890625,71,68,1,0,n212,21.076172,70.0
21.378906,0.13151042,69,67,1,0,n213,21.378906,71.0
21.438803,0.115885414,51,60,1,0,n214,21.378906,71.0
21.514322,0.1796875,68,71,1,0,n215,21.378906,71.0
21.548178,0.140625,53,57,1,0,n216,21.378906,71.0
21.65625,0.122395836,54,66,1,0,n217,21.378906,71.0
21.68099,0.122395836,69,73,1,0,n218,21.66862,72.0
21.803385,0.108072914,57,55,1,0,n219,21.66862,72.0
21.803385,0.057291668,71,75,1,0,n220,21.66862,72.0
21.953125,0.0546875,71,71,1,0,n221,21.66862,72.0
21.958334,0.12890625,56,63,1,0,n222,21.958332,73.0
22.018229,0.108072914,73,70,1,0,n223,21.958332,73.0
22.09375,0.095052086,54,65,1,0,n224,21.958332,73.0
22.102865,0.203125,71,65,1,0,n225,21.958332,73.0
22.25,0.087239586,53,57,1,0,n226,22.176432,74.0
22.33724,0.041666668,52,54,1,0,n227,22.176432,74.0
22.346354,0.084635414,69,67,1,0,n228,22.176432,74.0
22.428385,0.100260414,71,70,1,0,n229,22.176432,74.0
22.50651,0.17317708,53,66,1,0,n230,22.176432,74.0
22.536459,0.5598958,73,74,1,0,n231,22.521484,75.0
22.6875,0.14322917,56,68,1,0,n232,22.521484,75.0
22.834635,0.100260414,54,66,1,0,n233,22.834635,76.0
22.950521,0.16015625,53,74,1,0,n234,22.834635,76.0
23.111979,0.13671875,51,65,1,0,n235,22.834635,76.0
23.126303,0.092447914,61,74,1,0,n236,23.11914,77.0
23.239584,0.1484375,49,64,1,0,n237,23.11914,77.0
23.41276,0.0546875,57,83,1,0,n238,23.11914,77.0
23.425781,0.052083332,54,77,1,0,n239,23.419271,78.0
23.527344,0.23177083,74,67,1,0,n240,23.419271,78.0
23.691406,0.067708336,54,86,1,0,n241,23.419271,78.0
23.703125,0.26041666,73,66,1,0,n242,23.700521,79.0
23.707031,0.055989582,45,66,1,0,n243,23.700521,79.0
23.825521,0.15625,71,71,1,0,n244,23.700521,79.0
23.97526,0.1171875,69,76,1,0,n245,23.700521,79.0
23.996094,0.059895832,49,70,1,0,n246,23.990017,80.0
23.998697,0.088541664,53,68,1,0,n247,23.990017,80.0
24.115885,0.061197918,68,80,1,0,n248,23.990017,80.0
24.279947,0.34635416,69,83,1,0,n249,23.990017,80.0
24.295572,0.29427084,54,67,1,0,n250,24.292536,81.0
24.302084,0.071614586,42,56,1,0,n251,24.292536,81.0
24.58724,0.1484375,56,60,1,0,n252,24.292536,81.0
24.591146,0.084635414,66,83,1,0,n253,24.589193,82.0
24.723959,0.12630208,57,71,1,0,n254,24.589193,82.0
24.880209,0.140625,59,65,1,0,n255,24.589193,82.0
24.886719,0.055989582,65,85,1,0,n256,24.883463,83.0
25.013021,0.05859375,61,77,1,0,n257,24.883463,83.0
25.183594,0.2265625,66,81,1,0,n258,24.883463,83.0
25.188803,0.19010417,62,74,1,0,n259,25.186197,84.0
25.321615,0.140625,57,69,1,0,n260,25.186197,84.0
25.471354,0.096354164,50,67,1,0,n261,25.186197,84.0
25.488281,0.09765625,47,62,1,0,n262,25.479818,85.0
25.609375,0.123697914,57,75,1,0,n263,25.479818,85.0
25.760416,0.10546875,47,63,1,0,n264,25.479818,85.0
25.760416,0.09375,62,85,1,0,n265,25.479818,85.0
25.761719,0.62369794,71,78,1,0,n266,25.76085,86.0
25.894531,0.1015625,57,67,1,0,n267,25.76085,86.0
26.075521,0.13411458,61,75,1,0,n268,25.76085,86.0
26.084635,0.110677086,45,62,1,0,n269,26.080078,87.0
26.213541,0.118489586,56,63,1,0,n270,26.080078,87.0
26.372396,0.076822914,45,49,1,0,n271,26.080078,87.0
26.372396,0.083333336,65,75,1,0,n272,26.080078,87.0
26.376303,0.049479168,61,67,1,0,n273,26.374565,88.0
26.378906,0.13671875,49,56,1,0,n274,26.374565,88.0
26.501303,0.106770836,56,62,1,0,n275,26.374565,88.0
26.636719,0.111979164,45,52,1,0,n276,26.374565,88.0
26.669271,0.041666668,66,68,1,0,n277,26.662327,89.0
26.68099,0.049479168,61,62,1,0,n278,26.662327,89.0
26.808594,0.09765625,54,60,1,0,n279,26.662327,89.0
26.947916,0.106770836,44,57,1,0,n280,26.662327,89.0
26.96224,0.055989582,59,56,1,0,n281,26.9579,90.0
26.963541,0.3346354,62,62,1,0,n282,26.9579,90.0
27.082031,0.2109375,54,57,1,0,n283,26.9579,90.0
27.286459,0.859375,61,66,1,0,n284,26.9579,90.0
27.295572,0.040364582,53,34,1,0,n285,27.291016,91.0
27.378906,0.05859375,56,43,1,0,n286,27.291016,91.0
27.424479,0.065104164,59,67,1,0,n287,27.291016,91.0
27.511719,0.102864586,49,46,1,0,n288,27.291016,91.0
27.575521,0.07421875,57,58,1,0,n289,27.54362,92.0
27.669271,0.069010414,56,62,1,0,n290,27.54362,92.0
27.675781,0.083333336,53,42,1,0,n291,27.54362,92.0
27.825521,0.12109375,42,61,1,0,n292,27.54362,92.0
27.852865,0.059895832,57,54,1,0,n293,27.839193,93.0
27.983072,0.12890625,54,57,1,0,n294,27.839193,93.0
28.136719,0.041666668,59,69,1,0,n295,27.839193,93.0
28.143229,0.09375,44,55,1,0,n296,28.139975,94.0
28.268229,0.114583336,54,65,1,0,n297,28.139975,94.0
28.408854,0.32291666,66,71,1,0,n298,28.139975,94.0
28.419271,0.33333334,61,64,1,0,n299,28.418404,95.0
28.427084,0.118489586,45,58,1,0,n300,28.418404,95.0
28.563803,0.14973958,54,62,1,0,n301,28.418404,95.0
28.714844,0.079427086,62,74,1,0,n302,28.418404,95.0
28.722656,0.114583336,47,68,1,0,n303,28.71875,96.0
28.848959,0.14453125,54,70,1,0,n304,28.71875,96.0
28.998697,0.14453125,49,67,1,0,n305,28.71875,96.0
29.003906,0.084635414,64,76,1,0,n306,29.002604,97.0
29.005209,0.048177082,59,72,1,0,n307,29.002604,97.0
29.151041,0.13541667,54,66,1,0,n308,29.002604,97.0
29.303385,0.088541664,50,62,1,0,n309,29.002604,97.0
29.304688,0.125,57,78,1,0,n310,29.002604,97.0
29.308594,0.32421875,66,82,1,0,n311,29.305555,98.0
29.416666,0.078125,54,67,1,0,n312,29.305555,98.0
29.595053,0.12630208,40,62,1,0,n313,29.305555,98.0
29.610678,0.0703125,55,70,1,0,n314,29.602865,99.0
29.729166,0.15104167,52,70,1,0,n315,29.602865,99.0
29.904947,0.079427086,64,66,1,0,n316,29.602865,99.0
29.907553,0.1171875,42,55,1,0,n317,29.602865,99.0
29.91276,0.040364582,57,61,1,0,n318,29.90842,100.0
30.041666,0.13932292,52,63,1,0,n319,29.90842,100.0
30.209635,0.33854166,62,61,1,0,n320,29.90842,100.0
30.223959,0.09765625,43,53,1,0,n321,30.221788,101.0
30.231771,0.25260416,59,39,1,0,n322,30.221788,101.0
30.348959,0.12760417,52,52,1,0,n323,30.221788,101.0
30.510416,0.26953125,61,57,1,0,n324,30.221788,101.0
30.513021,0.076822914,45,47,1,0,n325,30.511719,102.0
30.647135,0.1171875,52,59,1,0,n326,30.511719,102.0
30.802084,0.071614586,47,58,1,0,n327,30.511719,102.0
30.820312,0.03125,57,50,1,0,n328,30.811197,103.0
30.924479,0.119791664,52,64,1,0,n329,30.811197,103.0
31.092447,0.075520836,49,60,1,0,n330,30.811197,103.0
31.096354,0.08203125,81,75,1,0,n331,31.0944,104.0
31.216146,0.044270832,52,61,1,0,n332,31.0944,104.0
31.375,0.07421875,78,80,1,0,n333,31.0944,104.0
31.385416,0.14583333,50,55,1,0,n334,31.380207,105.0
31.527344,0.13020833,52,57,1,0,n335,31.380207,105.0
31.64974,0.046875,74,72,1,0,n336,31.380207,105.0
31.658854,0.12890625,54,63,1,0,n337,31.654297,106.0
31.792969,0.12760417,55,63,1,0,n338,31.654297,106.0
31.927084,0.125,57,62,1,0,n339,31.654297,106.0
31.9375,0.067708336,73,72,1,0,n340,31.932293,107.0
32.054688,0.15625,55,65,1,0,n341,31.932293,107.0
32.222656,0.119791664,54,62,1,0,n342,31.932293,107.0
32.23828,0.28385416,74,71,1,0,n343,32.23047,108.0
32.36328,0.16145833,57,66,1,0,n344,32.23047,108.0
32.526043,0.12760417,55,66,1,0,n345,32.23047,108.0
32.540363,0.100260414,76,63,1,0,n346,32.533203,109.0
32.632812,0.115885414,78,73,1,0,n347,32.533203,109.0
32.660156,0.12109375,54,67,1,0,n348,32.533203,109.0
32.778645,0.076822914,79,73,1,0,n349,32.533203,109.0
32.798176,0.1171875,52,62,1,0,n350,32.78841,110.0
32.90755,0.048177082,81,74,1,0,n351,32.78841,110.0
32.92448,0.037760418,50,64,1,0,n352,32.78841,110.0
33.083332,0.0703125,83,80,1,0,n353,32.78841,110.0
33.117188,0.125,55,62,1,0,n354,33.10026,111.0
33.242188,0.087239586,66,71,1,0,n355,33.10026,111.0
33.380207,0.049479168,71,73,1,0,n356,33.10026,111.0
33.390625,0.067708336,55,68,1,0,n357,33.385418,112.0
33.510418,0.048177082,66,62,1,0,n358,33.385418,112.0
