xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	1	0	62	0.7968749999999999
n1-1	n0	1	0	66	0.5
n4-1	n2	1	0	59	1.09375
n5-1	n3	1	0	58	1.3828125
n7-1	n4	1	0	59	1.68359375
n8-1	n5	1	0	61	1.96484375
n9-1	n6	1	0	62	2.102864583333333
n10-1	n7	1	0	64	2.235677083333333
n11-1	n8	1	0	66	2.3541666666666665
n13-1	n9	1	0	67	2.505208333333333
n14-1	n10	1	0	55	2.798177083333333
n15-1	n11	1	0	67	3.078125
n17-1	n12	1	0	66	3.352864583333333
n18-1	n13	1	0	54	3.6354166666666665
n19-1	n14	1	0	66	3.9166666666666665
n21-1	n15	1	0	64	4.19140625
n23-1	n17	1	0	64	4.62109375
n22-1	n16	1	0	66	4.47265625
n25-1	n19	1	0	61	4.884114583333333
n24-1	n18	1	0	62	4.751302083333333
n28-1	n20	1	0	62	5.020833333333333
n29-1	n21	1	0	66	5.162760416666666
n31-1	n23	1	0	62	5.427083333333333
n30-1	n22	1	0	64	5.295572916666666
n33-1	n26	1	0	59	5.717447916666665
n32-1	n24	1	0	61	5.578124999999999
n27-1	n25	1	0	71	5.589843749999999
n39-1	n29	1	0	59	5.999999999999999
n38-1	n27	1	0	61	5.858072916666665
n35-1	n28	1	0	69	5.860677083333332
n40-1	n30	1	0	61	6.138020833333333
n41-1	n32	1	0	62	6.274739583333334
n36-1	n31	1	0	66	6.140625
n43-1	n35	1	0	59	6.552083333333334
n42-1	n33	1	0	61	6.411458333333334
n37-1	n34	1	0	65	6.411458333333334
n50-1	n36	1	0	57	6.691406250000001
n45-1	n37	1	0	66	6.697916666666668
n51-1	n38	1	0	54	6.971354166666667
n46-1	n39	1	0	68	6.973958333333334
n47-1	n40	1	0	69	7.110677083333334
n52-1	n41	1	0	53	7.24609375
n48-1	n42	1	0	71	7.248697916666667
n49-1	n43	1	0	73	7.376302083333334
n56-1	n44	1	0	54	7.506510416666667
n57-1	n46	1	0	56	7.647135416666667
n53-1	n45	1	0	74	7.509114583333334
n58-1	n49	1	0	56	7.861979166666667
n54-1	n48	1	0	62	7.809895833333334
n59-1	n55	1	0	54	8.212239583333336
n60-1	n54	1	0	56	8.121093750000002
n55-1	n52	1	0	74	8.09375
n64-1	n56	1	0	57	8.34635416666667
n65-1	n58	1	0	59	8.509114583333337
n61-1	n57	1	0	73	8.36979166666667
n67-1	n61	1	0	56	8.792968750000005
n66-1	n60	1	0	57	8.654947916666671
n62-1	n59	1	0	61	8.647135416666671
n69-1	n64	1	0	52	9.06770833333334
n68-1	n62	1	0	54	8.924479166666671
n63-1	n63	1	0	73	8.924479166666671
n75-1	n65	1	0	51	9.19661458333334
n76-1	n67	1	0	53	9.33333333333334
n70-1	n66	1	0	71	9.199218750000005
n77-1	n70	1	0	53	9.55208333333334
n72-1	n71	1	0	71	9.61458333333334
n71-1	n69	1	0	73	9.476562500000005
n78-1	n74	1	0	51	9.841145833333341
n79-1	n76	1	0	53	9.953125000000007
n74-1	n75	1	0	68	9.880208333333341
n73-1	n73	1	0	69	9.761718750000007
n86-1	n78	1	0	54	10.036458333333341
n80-1	n77	1	0	69	10.024739583333341
n81-1	n79	1	0	73	10.167968750000007
n87-1	n80	1	0	56	10.299479166666673
n83-1	n82	1	0	69	10.444010416666673
n82-1	n81	1	0	71	10.308593750000007
n88-1	n84	1	0	57	10.59505208333334
n85-1	n85	1	0	66	10.73567708333334
n84-1	n83	1	0	68	10.59114583333334
n94-1	n86	1	0	59	10.87239583333334
n95-1	n88	1	0	61	11.00520833333334
n89-1	n87	1	0	67	10.875000000000005
n96-1	n91	1	0	61	11.18880208333334
n91-1	n92	1	0	67	11.274739583333341
n90-1	n90	1	0	69	11.14583333333334
n97-1	n96	1	0	59	11.459635416666675
n98-1	n98	1	0	61	11.615885416666675
insertion	n94	1	0	61	11.329427083333341
n93-1	n97	1	0	64	11.561197916666675
n92-1	n95	1	0	66	11.416666666666675
n105-1	n100	1	0	62	11.700520833333341
n99-1	n99	1	0	66	11.694010416666675
n100-1	n101	1	0	69	11.846354166666675
n106-1	n103	1	0	58	11.990885416666675
n102-1	n104	1	0	66	12.122395833333343
n101-1	n102	1	0	67	11.986979166666675
n107-1	n105	1	0	59	12.270833333333343
n104-1	n107	1	0	62	12.399739583333341
n103-1	n106	1	0	64	12.277343750000009
n108-1	n108	1	0	64	12.561197916666673
n115-1	n111	1	0	56	12.976562500000007
n114-1	n110	1	0	58	12.851562500000007
n110-1	n112	1	0	64	12.985677083333341
n109-1	n109	1	0	66	12.847656250000007
n117-1	n113	1	0	54	13.125000000000009
n116-1	n114	1	0	58	13.126302083333343
n112-1	n116	1	0	61	13.259114583333343
n111-1	n115	1	0	62	13.130208333333343
n127-1	n117	1	0	50	13.419270833333343
n124-1	n118	1	0	59	13.419270833333343
n118-1	n119	1	0	62	13.419270833333343
n119-1	n120	1	0	64	13.571614583333345
n128-1	n121	1	0	47	13.709635416666679
n120-1	n122	1	0	66	13.723958333333345
n121-1	n123	1	0	67	13.86328125000001
n129-1	n124	1	0	46	14.01171875000001
n123-1	n126	1	0	64	14.151041666666677
n122-1	n125	1	0	66	14.014322916666677
n134-1	n127	1	0	47	14.30859375000001
n131-1	n128	1	0	62	14.311197916666677
n135-1	n129	1	0	49	14.60546875000001
n136-1	n131	1	0	50	14.75390625000001
n132-1	n130	1	0	59	14.611979166666677
n137-1	n133	1	0	52	14.884114583333345
n138-1	n134	1	0	54	15.020833333333345
n133-1	n132	1	0	58	14.880208333333345
n147-1	n136	1	0	55	15.165364583333345
n142-1	n135	1	0	59	15.16406250000001
n143-1	n137	1	0	61	15.302083333333345
n148-1	n139	1	0	43	15.447916666666679
n144-1	n141	1	0	61	15.51171875000001
n140-1	n138	1	0	64	15.446614583333345
n149-1	n144	1	0	55	15.740885416666679
n145-1	n148	1	0	59	15.904947916666675
n146-1	n149	1	0	61	15.957031250000009
insertion	n147	1	0	61	15.807291666666675
n141-1	n145	1	0	69	15.74609375000001
n159-1	n152	1	0	54	16.046875000000007
n153-1	n150	1	0	62	16.042968750000007
n154-1	n153	1	0	64	16.19791666666667
n160-1	n156	1	0	42	16.34635416666667
n156-1	n157	1	0	61	16.47786458333334
n155-1	n154	1	0	62	16.34114583333334
n151-1	n155	1	0	66	16.34505208333334
n161-1	n158	1	0	54	16.632812500000007
n158-1	n161	1	0	57	16.772135416666675
n157-1	n159	1	0	59	16.632812500000007
n152-1	n160	1	0	62	16.635416666666675
n170-1	n162	1	0	52	16.933593750000007
n165-1	n163	1	0	56	16.937500000000007
n166-1	n164	1	0	58	17.050781250000007
n172-1	n170	1	0	52	17.348958333333343
