onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-1.0,1.0,-0.5,0.5,0,4,66,2,n1-1,-1.0,0.5
0.0,1.0,0.0,0.5,4,4,62,2,n3-1,0.0,0.796875
1.0,1.0,0.5,0.5,8,4,59,2,n4-1,1.0,1.09375
2.0,1.0,1.0,0.5,12,4,58,2,n5-1,2.0,1.382812
3.0,1.0,1.5,0.5,16,4,59,2,n7-1,3.0,1.683594
4.0,0.5,2.0,0.25,20,2,61,2,n8-1,4.0,1.964844
4.5,0.5,2.25,0.25,22,2,62,2,n9-1,4.0,1.964844
5.0,0.5,2.5,0.25,24,2,64,2,n10-1,5.0,2.235677
5.5,0.5,2.75,0.25,26,2,66,2,n11-1,5.0,2.235677
6.0,1.0,3.0,0.5,28,4,67,2,n13-1,6.0,2.505208
7.0,1.0,3.5,0.5,32,4,55,2,n14-1,7.0,2.798177
8.0,1.0,4.0,0.5,36,4,67,2,n15-1,8.0,3.078125
9.0,1.0,4.5,0.5,40,4,66,2,n17-1,9.0,3.352865
10.0,1.0,5.0,0.5,44,4,54,2,n18-1,10.0,3.635417
11.0,1.0,5.5,0.5,48,4,66,2,n19-1,11.0,3.916667
12.0,1.0,6.0,0.5,52,4,64,2,n21-1,12.0,4.191406
13.0,0.5,6.5,0.25,56,2,66,2,n22-1,13.0,4.472656
13.5,0.5,6.75,0.25,58,2,64,2,n23-1,13.0,4.472656
14.0,0.5,7.0,0.25,60,2,62,2,n24-1,14.0,4.751302
14.5,0.5,7.25,0.25,62,2,61,2,n25-1,14.0,4.751302
15.0,0.5,7.5,0.25,64,2,62,2,n28-1,15.0,5.020833
15.5,0.5,7.75,0.25,66,2,66,2,n29-1,15.0,5.020833
16.0,0.5,8.0,0.25,68,2,64,2,n30-1,16.0,5.295573
16.5,0.5,8.25,0.25,70,2,62,2,n31-1,16.0,5.295573
17.0,0.5,8.5,0.25,72,2,61,2,n32-1,17.0,5.583984
17.0,1.0,8.5,0.5,72,4,71,1,n27-1,17.0,5.583984
17.5,0.5,8.75,0.25,74,2,59,2,n33-1,17.0,5.583984
18.0,0.5,9.0,0.25,76,2,61,2,n38-1,18.0,5.859375
18.0,1.0,9.0,0.5,76,4,69,1,n35-1,18.0,5.859375
18.5,0.5,9.25,0.25,78,2,59,2,n39-1,18.0,5.859375
19.0,0.5,9.5,0.25,80,2,61,2,n40-1,19.0,6.139323
19.0,1.0,9.5,0.5,80,4,66,1,n36-1,19.0,6.139323
19.5,0.5,9.75,0.25,82,2,62,2,n41-1,19.0,6.139323
20.0,0.5,10.0,0.25,84,2,61,2,n42-1,20.0,6.411458
20.0,1.0,10.0,0.5,84,4,65,1,n37-1,20.0,6.411458
20.5,0.5,10.25,0.25,86,2,59,2,n43-1,20.0,6.411458
21.0,1.0,10.5,0.5,88,4,57,5,n50-1,21.0,6.694661
21.0,1.0,10.5,0.5,88,4,66,1,n45-1,21.0,6.694661
22.0,1.0,11.0,0.5,92,4,54,5,n51-1,22.0,6.972656
22.0,0.5,11.0,0.25,92,2,68,1,n46-1,22.0,6.972656
22.5,0.5,11.25,0.25,94,2,69,1,n47-1,22.0,6.972656
23.0,1.0,11.5,0.5,96,4,53,5,n52-1,23.0,7.247396
23.0,0.5,11.5,0.25,96,2,71,1,n48-1,23.0,7.247396
23.5,0.5,11.75,0.25,98,2,73,1,n49-1,23.0,7.247396
24.0,0.5,12.0,0.25,100,2,54,5,n56-1,24.0,7.507813
24.0,1.0,12.0,0.5,100,4,74,1,n53-1,24.0,7.507813
24.5,0.5,12.25,0.25,102,2,56,5,n57-1,24.0,7.507813
25.0,1.5,12.5,0.75,104,6,56,5,n58-1,25.0,7.809896
25.0,1.0,12.5,0.5,104,4,62,1,n54-1,25.0,7.809896
26.0,1.0,13.0,0.5,108,4,74,1,n55-1,26.0,8.048177
26.5,0.25,13.25,0.125,110,1,54,5,n59-1,26.0,8.048177
26.75,0.25,13.375,0.125,111,1,56,5,n60-1,26.0,8.048177
27.0,0.5,13.5,0.25,112,2,57,5,n64-1,27.0,8.358073
27.0,1.0,13.5,0.5,112,4,73,1,n61-1,27.0,8.358073
27.5,0.5,13.75,0.25,114,2,59,5,n65-1,27.0,8.358073
28.0,0.5,14.0,0.25,116,2,57,5,n66-1,28.0,8.651041
28.0,1.0,14.0,0.5,116,4,61,1,n62-1,28.0,8.651041
28.5,0.5,14.25,0.25,118,2,56,5,n67-1,28.0,8.651041
29.0,0.5,14.5,0.25,120,2,54,5,n68-1,29.0,8.924479
29.0,1.0,14.5,0.5,120,4,73,1,n63-1,29.0,8.924479
29.5,0.5,14.75,0.25,122,2,52,5,n69-1,29.0,8.924479
30.0,0.5,15.0,0.25,124,2,51,5,n75-1,30.0,9.197917
30.0,1.0,15.0,0.5,124,4,71,1,n70-1,30.0,9.197917
30.5,0.5,15.25,0.25,126,2,53,5,n76-1,30.0,9.197917
31.0,1.5,15.5,0.75,128,6,53,5,n77-1,31.0,9.476562
31.0,0.5,15.5,0.25,128,2,73,1,n71-1,31.0,9.476562
31.5,0.5,15.75,0.25,130,2,71,1,n72-1,31.0,9.476562
32.0,0.5,16.0,0.25,132,2,69,1,n73-1,32.0,9.761719
32.5,0.25,16.25,0.125,134,1,51,5,n78-1,32.0,9.761719
32.5,0.5,16.25,0.25,134,2,68,1,n74-1,32.0,9.761719
32.75,0.25,16.375,0.125,135,1,53,5,n79-1,32.0,9.761719
33.0,1.0,16.5,0.5,136,4,54,5,n86-1,33.0,10.030599
33.0,0.5,16.5,0.25,136,2,69,1,n80-1,33.0,10.030599
33.5,0.5,16.75,0.25,138,2,73,1,n81-1,33.0,10.030599
34.0,1.0,17.0,0.5,140,4,56,5,n87-1,34.0,10.304036
34.0,0.5,17.0,0.25,140,2,71,1,n82-1,34.0,10.304036
34.5,0.5,17.25,0.25,142,2,69,1,n83-1,34.0,10.304036
35.0,1.0,17.5,0.5,144,4,57,5,n88-1,35.0,10.593099
35.0,0.5,17.5,0.25,144,2,68,1,n84-1,35.0,10.593099
35.5,0.5,17.75,0.25,146,2,66,1,n85-1,35.0,10.593099
36.0,0.5,18.0,0.25,148,2,59,5,n94-1,36.0,10.873698
36.0,1.0,18.0,0.5,148,4,67,1,n89-1,36.0,10.873698
36.5,0.5,18.25,0.25,150,2,61,5,n95-1,36.0,10.873698
37.0,1.5,18.5,0.75,152,6,61,5,n96-1,37.0,11.145833
37.0,0.5,18.5,0.25,152,2,69,1,n90-1,37.0,11.145833
37.5,0.5,18.75,0.25,154,2,67,1,n91-1,37.0,11.145833
38.0,0.5,19.0,0.25,156,2,66,1,n92-1,38.0,11.373047
38.5,0.25,19.25,0.125,158,1,59,5,n97-1,38.0,11.373047
38.5,0.5,19.25,0.25,158,2,64,1,n93-1,38.0,11.373047
38.75,0.25,19.375,0.125,159,1,61,5,n98-1,38.0,11.373047
39.0,1.0,19.5,0.5,160,4,62,5,n105-1,39.0,11.697266
39.0,0.5,19.5,0.25,160,2,66,1,n99-1,39.0,11.697266
39.5,0.5,19.75,0.25,162,2,69,1,n100-1,39.0,11.697266
40.0,1.0,20.0,0.5,164,4,58,5,n106-1,40.0,11.988932
40.0,0.5,20.0,0.25,164,2,67,1,n101-1,40.0,11.988932
40.5,0.5,20.25,0.25,166,2,66,1,n102-1,40.0,11.988932
41.0,2.0,20.5,1.0,168,8,59,5,n107-1,41.0,12.274088
41.0,0.5,20.5,0.25,168,2,64,1,n103-1,41.0,12.274088
41.5,0.5,20.75,0.25,170,2,62,1,n104-1,41.0,12.274088
42.0,1.0,21.0,0.5,172,4,64,1,n108-1,42.0,12.561198
43.0,0.5,21.5,0.25,176,2,58,5,n114-1,43.0,12.849609
43.0,0.5,21.5,0.25,176,2,66,1,n109-1,43.0,12.849609
43.5,0.5,21.75,0.25,178,2,56,5,n115-1,43.0,12.849609
43.5,0.5,21.75,0.25,178,2,64,1,n110-1,43.0,12.849609
44.0,1.0,22.0,0.5,180,4,54,6,n117-1,44.0,13.12717
44.0,1.0,22.0,0.5,180,4,58,5,n116-1,44.0,13.12717
44.0,0.5,22.0,0.25,180,2,62,1,n111-1,44.0,13.12717
44.5,0.5,22.25,0.25,182,2,61,1,n112-1,44.0,13.12717
45.0,1.0,22.5,0.5,184,4,50,6,n127-1,45.0,13.419271
45.0,1.0,22.5,0.5,184,4,59,5,n124-1,45.0,13.419271
45.0,0.5,22.5,0.25,184,2,62,1,n118-1,45.0,13.419271
45.5,0.5,22.75,0.25,186,2,64,1,n119-1,45.0,13.419271
46.0,1.0,23.0,0.5,188,4,47,6,n128-1,46.0,13.716796
46.0,0.5,23.0,0.25,188,2,66,1,n120-1,46.0,13.716796
46.5,0.5,23.25,0.25,190,2,67,1,n121-1,46.0,13.716796
47.0,1.0,23.5,0.5,192,4,46,6,n129-1,47.0,14.013021
47.0,5.0,23.5,2.5,192,20,66,1,n122-1,47.0,14.013021
47.5,0.5,23.75,0.25,194,2,64,2,n123-1,47.0,14.013021
48.0,1.0,24.0,0.5,196,4,47,5,n134-1,48.0,14.309896
48.0,1.0,24.0,0.5,196,4,62,2,n131-1,48.0,14.309896
49.0,0.5,24.5,0.25,200,2,49,5,n135-1,49.0,14.608724
49.0,1.0,24.5,0.5,200,4,59,2,n132-1,49.0,14.608724
49.5,0.5,24.75,0.25,202,2,50,5,n136-1,49.0,14.608724
50.0,0.5,25.0,0.25,204,2,52,5,n137-1,50.0,14.882161
50.0,1.0,25.0,0.5,204,4,58,2,n133-1,50.0,14.882161
50.5,0.5,25.25,0.25,206,2,54,5,n138-1,50.0,14.882161
51.0,1.0,25.5,0.5,208,4,55,5,n147-1,51.0,15.164713
51.0,0.5,25.5,0.25,208,2,59,2,n142-1,51.0,15.164713
51.5,0.5,25.75,0.25,210,2,61,2,n143-1,51.0,15.164713
52.0,1.0,26.0,0.5,212,4,43,5,n148-1,52.0,15.447266
52.0,1.5,26.0,0.75,212,6,61,2,n144-1,52.0,15.447266
52.0,1.0,26.0,0.5,212,4,64,1,n140-1,52.0,15.447266
53.0,1.0,26.5,0.5,216,4,55,5,n149-1,53.0,15.703125
53.0,2.0,26.5,1.0,216,8,69,1,n141-1,53.0,15.703125
53.5,0.25,26.75,0.125,218,1,59,2,n145-1,53.0,15.703125
53.75,0.25,26.875,0.125,219,1,61,2,n146-1,53.0,15.703125
54.0,1.0,27.0,0.5,220,4,54,5,n159-1,54.0,16.044922
54.0,0.5,27.0,0.25,220,2,62,2,n153-1,54.0,16.044922
54.5,0.5,27.25,0.25,222,2,64,2,n154-1,54.0,16.044922
55.0,1.0,27.5,0.5,224,4,42,5,n160-1,55.0,16.344185
55.0,0.5,27.5,0.25,224,2,62,2,n155-1,55.0,16.344185
55.0,1.0,27.5,0.5,224,4,66,1,n151-1,55.0,16.344185
55.5,0.5,27.75,0.25,226,2,61,2,n156-1,55.0,16.344185
56.0,1.0,28.0,0.5,228,4,54,5,n161-1,56.0,16.63368
56.0,0.5,28.0,0.25,228,2,59,2,n157-1,56.0,16.63368
56.0,2.0,28.0,1.0,228,8,62,1,n152-1,56.0,16.63368
56.5,0.5,28.25,0.25,230,2,57,2,n158-1,56.0,16.63368
57.0,1.0,28.5,0.5,232,4,52,6,n170-1,57.0,16.935547
57.0,0.5,28.5,0.25,232,2,56,5,n165-1,57.0,16.935547
57.5,0.5,28.75,0.25,234,2,58,5,n166-1,57.0,16.935547
58.0,0.5,29.0,0.25,236,2,54,6,n171-1,58.0,17.226562
58.0,1.5,29.0,0.75,236,6,58,5,n167-1,58.0,17.226562
58.0,1.0,29.0,0.5,236,4,61,1,n163-1,58.0,17.226562
58.5,0.5,29.25,0.25,238,2,52,6,n172-1,58.0,17.226562
59.0,0.5,29.5,0.25,240,2,50,6,n173-1,59.0,17.5
59.0,2.0,29.5,1.0,240,8,66,1,n164-1,59.0,17.5
59.5,0.5,29.75,0.25,242,2,49,6,n174-1,59.0,17.5
59.5,0.25,29.75,0.125,242,1,56,5,n168-1,59.0,17.5
59.75,0.25,29.875,0.125,243,1,58,5,n169-1,59.0,17.5
60.0,0.5,30.0,0.25,244,2,50,6,n179-1,60.0,17.804037
60.0,1.0,30.0,0.5,244,4,59,5,n178-1,60.0,17.804037
60.5,0.5,30.25,0.25,246,2,54,6,n180-1,60.0,17.804037
61.0,0.5,30.5,0.25,248,2,52,6,n181-1,61.0,18.089844
61.5,0.5,30.75,0.25,250,2,50,6,n182-1,61.0,18.089844
62.0,0.5,31.0,0.25,252,2,49,6,n183-1,62.0,18.380209
62.0,1.0,31.0,0.5,252,4,68,1,n177-1,62.0,18.380209
62.5,0.5,31.25,0.25,254,2,47,6,n184-1,62.0,18.380209
63.0,0.5,31.5,0.25,256,2,49,5,n192-1,63.0,18.682293
63.0,0.5,31.5,0.25,256,2,69,1,n185-1,63.0,18.682293
63.5,0.5,31.75,0.25,258,2,51,5,n193-1,63.0,18.682293
63.5,0.5,31.75,0.25,258,2,73,1,n186-1,63.0,18.682293
64.0,1.5,32.0,0.75,260,6,51,5,n194-1,64.0,18.981771
64.0,0.5,32.0,0.25,260,2,71,1,n187-1,64.0,18.981771
64.5,0.5,32.25,0.25,262,2,69,1,n188-1,64.0,18.981771
65.0,0.5,32.5,0.25,264,2,68,1,n189-1,65.0,19.208984
65.5,0.25,32.75,0.125,266,1,49,5,n195-1,65.0,19.208984
65.5,0.5,32.75,0.25,266,2,66,1,n190-1,65.0,19.208984
65.75,0.25,32.875,0.125,267,1,51,5,n196-1,65.0,19.208984
66.0,0.5,33.0,0.25,268,2,52,5,n203-1,66.0,19.513672
66.0,0.5,33.0,0.25,268,2,68,1,n197-1,66.0,19.513672
66.5,0.5,33.25,0.25,270,2,55,5,n204-1,66.0,19.513672
66.5,0.5,33.25,0.25,270,2,70,1,n198-1,66.0,19.513672
67.0,0.5,33.5,0.25,272,2,54,5,n205-1,67.0,19.809896
67.0,1.5,33.5,0.75,272,6,70,1,n199-1,67.0,19.809896
67.5,0.5,33.75,0.25,274,2,52,5,n206-1,67.0,19.809896
68.0,0.5,34.0,0.25,276,2,50,5,n207-1,68.0,20.06836
68.5,0.5,34.25,0.25,278,2,49,5,n208-1,68.0,20.06836
68.5,0.25,34.25,0.125,278,1,68,1,n200-1,68.0,20.06836
68.75,0.25,34.375,0.125,279,1,70,1,n201-1,68.0,20.06836
69.0,0.5,34.5,0.25,280,2,51,5,n216-1,69.0,20.36784
69.0,0.5,34.5,0.25,280,2,71,1,n209-1,69.0,20.36784
69.5,0.5,34.75,0.25,282,2,53,5,n217-1,69.0,20.36784
69.5,0.5,34.75,0.25,282,2,74,1,n210-1,69.0,20.36784
70.0,1.5,35.0,0.75,284,6,53,5,n218-1,70.0,20.683594
70.0,0.5,35.0,0.25,284,2,73,1,n211-1,70.0,20.683594
70.5,0.5,35.25,0.25,286,2,71,1,n212-1,70.0,20.683594
71.0,0.5,35.5,0.25,288,2,69,1,n213-1,71.0,20.951172
71.5,0.25,35.75,0.125,290,1,51,5,n219-1,71.0,20.951172
71.5,0.5,35.75,0.25,290,2,68,1,n214-1,71.0,20.951172
71.75,0.25,35.875,0.125,291,1,53,5,n220-1,71.0,20.951172
72.0,0.5,36.0,0.25,292,2,54,5,n227-1,72.0,21.183594
