xml_id	midi_id	track	channel	pitch	onset
n9-1	n2	0	0	50	1.5197634374999998
n10-1	n3	0	0	50	2.592144843749999
n8-1	n1	0	0	62	0.550213125
n11-1	n5	0	0	62	3.6818873437499993
n2-1	n0	0	0	65	0.5128199999999999
n5-1	n4	0	0	65	3.6431587499999996
n12-1	n7	0	0	64	4.644760312500002
n13-1	n9	0	0	65	5.586265781250005
n6-1	n6	0	0	67	4.6233928125000014
n7-1	n8	0	0	69	5.562227343750005
n22-1	n12	0	0	50	7.640216718750013
n21-1	n11	0	0	67	6.63460875000001
n15-1	n10	0	0	70	6.58920281250001
n23-1	n13	0	0	50	8.736636562500019
n24-1	n15	0	0	65	9.768953906250022
n18-1	n14	0	0	69	9.711528750000022
n26-1	n19	0	0	62	11.805543750000044
n25-1	n17	0	0	64	10.785245625000032
n20-1	n18	0	0	65	11.756131406250043
n19-1	n16	0	0	67	10.74651703125003
n35-1	n22	0	0	50	14.06916328125005
n34-1	n21	0	0	61	12.893950781250046
n28-1	n20	0	0	64	12.860564062500046
n36-1	n23	0	0	50	15.136202812500054
n37-1	n25	0	0	64	16.227280781250055
n31-1	n24	0	0	67	16.203242343750055
n39-1	n29	0	0	61	18.53229984375009
n38-1	n27	0	0	62	17.366435625000072
n33-1	n28	0	0	64	18.516274218750087
n32-1	n26	0	0	65	17.33438437500007
n56-1	n35	0	0	50	20.769210000000086
n55-1	n31	0	0	62	19.754253750000085
n49-1	n30	0	0	65	19.718196093750088
n40-1	n32	0	0	81	19.767608437500083
n57-1	n36	0	0	50	21.889668281250092
n58-1	n40	0	0	62	22.917979218750105
n52-1	n39	0	0	65	22.899282656250104
n44-1	n41	0	0	76	23.34933562500011
n43-1	n38	0	0	77	22.861889531250103
n42-1	n37	0	0	79	22.354411406250097
n59-1	n44	0	0	64	23.84613000000011
n60-1	n47	0	0	65	24.794312812500106
n53-1	n43	0	0	67	23.84212359375011
n54-1	n48	0	0	69	24.795648281250106
n46-1	n45	0	0	73	24.30686671875011
n45-1	n42	0	0	74	23.81274328125011
n47-1	n46	0	0	74	24.766267968750107
n48-1	n49	0	0	77	25.256385000000105
n80-1	n55	0	0	50	26.814877031250113
n79-1	n51	0	0	67	25.82930109375011
n73-1	n50	0	0	70	25.815946406250113
n63-1	n53	0	0	74	26.270005781250113
n62-1	n52	0	0	76	26.036298750000114
n64-1	n54	0	0	76	26.764129218750114
n81-1	n56	0	0	50	27.80045296875012
n82-1	n59	0	0	65	28.842118593750122
n76-1	n60	0	0	69	28.84612500000012
n66-1	n57	0	0	79	28.31594390625012
n67-1	n58	0	0	81	28.79137078125012
n68-1	n61	0	0	82	29.353603125000124
n84-1	n66	0	0	62	30.761187187500134
n83-1	n63	0	0	64	29.81968171875013
n78-1	n67	0	0	65	30.762522656250134
n77-1	n62	0	0	67	29.802320625000128
n70-1	n64	0	0	73	30.26038640625013
n71-1	n65	0	0	74	30.722458593750133
n72-1	n68	0	0	76	31.197885468750133
n103-1	n75	0	0	50	32.688268593750124
n102-1	n71	0	0	61	31.697350781250137
n96-1	n70	0	0	64	31.690673437500138
n87-1	n73	0	0	65	32.09932687500014
n86-1	n72	0	0	67	31.877639062500137
n88-1	n74	0	0	67	32.65621734375013
n85-1	n69	0	0	69	31.65862218750014
n104-1	n76	0	0	50	33.78068203125007
n105-1	n79	0	0	64	34.80098015625001
n99-1	n80	0	0	67	34.80365109375001
n90-1	n77	0	0	69	34.26412171875005
n91-1	n78	0	0	70	34.76091609375001
n92-1	n81	0	0	73	35.265723281249976
n107-1	n86	0	0	61	36.69734578124989
n106-1	n83	0	0	62	35.72378906249994
n101-1	n85	0	0	64	36.685326562499895
n100-1	n82	0	0	65	35.71577624999994
n94-1	n84	0	0	74	36.1871967187499
n95-1	n87	0	0	76	37.22084953124985
n130-1	n94	0	0	50	38.79937359374978
n129-1	n88	0	0	62	37.792430156249814
n111-1	n95	0	0	64	39.28815515624975
n123-1	n89	0	0	65	37.795101093749814
n110-1	n93	0	0	65	38.77533515624978
n109-1	n90	0	0	67	38.29323093749979
n131-1	n97	0	0	50	39.81032343749973
n132-1	n103	0	0	55	40.7812092187497
n126-1	n102	0	0	64	40.7691899999997
n112-1	n96	0	0	65	39.76358203124974
n115-1	n104	0	0	67	41.2152365624997
n114-1	n101	0	0	69	40.73580328124971
n113-1	n98	0	0	70	40.279072968749716
n134-1	n112	0	0	52	42.66822656249956
n133-1	n107	0	0	53	41.75610140624963
n128-1	n111	0	0	61	42.652200937499565
n127-1	n106	0	0	62	41.73606937499963
n116-1	n105	0	0	69	41.68665703124964
n117-1	n108	0	0	71	42.2208445312496
n118-1	n109	0	0	73	42.41315203124958
n119-1	n110	0	0	74	42.63617531249957
n120-1	n113	0	0	76	42.85118578124955
n121-1	n114	0	0	77	43.06486078124954
n122-1	n115	0	0	79	43.26918749999952
n150-1	n123	0	0	38	44.43371624999944
n149-1	n118	0	0	50	43.55631328124948
n143-1	n117	0	0	62	43.54696499999948
n137-1	n120	0	0	74	43.97431499999944
n140-1	n124	0	0	74	44.84637609374942
n136-1	n119	0	0	76	43.77533015624947
n138-1	n121	0	0	76	44.145254999999445
n135-1	n116	0	0	77	43.521591093749485
n139-1	n122	0	0	77	44.40433593749945
n151-1	n126	0	0	38	45.40193109374941
n152-1	n129	0	0	62	46.51437656249938
n146-1	n128	0	0	65	46.50235734374938
n142-1	n127	0	0	70	45.92810578124941
n141-1	n125	0	0	72	45.34584140624942
n154-1	n133	0	0	58	48.63242999999928
n153-1	n131	0	0	60	47.549364843749345
n148-1	n132	0	0	62	48.58435312499929
n147-1	n130	0	0	64	47.502623437499345
n168-1	deletion
n167-1	n135	0	0	60	49.654063593749235
n163-1	n134	0	0	64	49.647386249999236
n160-1	n141	0	0	64	51.01490624999918
n158-1	n138	0	0	65	50.57820796874919
n157-1	n137	0	0	67	50.3511782812492
n159-1	n140	0	0	67	50.78921203124918
n156-1	n136	0	0	69	50.1428451562492
n169-1	deletion
n170-1	n146	0	0	60	52.686913124999144
n161-1	n142	0	0	64	51.53440359374917
n164-1	n145	0	0	64	52.65352640624915
n162-1	n144	0	0	69	52.068591093749156
n172-1	n150	0	0	57	54.83835328124907
n171-1	n148	0	0	58	53.75395265624911
n166-1	n149	0	0	61	54.83034046874907
n165-1	n147	0	0	62	53.728578749999116
n195-1	n156	0	0	46	56.97643874999898
n194-1	n152	0	0	58	55.99486921874901
n190-1	n151	0	0	62	55.97617265624901
n179-1	n159	0	0	69	57.549354843748944
n174-1	n153	0	0	71	56.47964437499898
n178-1	n158	0	0	71	57.362389218748966
n175-1	n154	0	0	73	56.697325781248985
n177-1	n157	0	0	73	57.15539156249897
n176-1	n155	0	0	74	56.94038109374898
n196-1	n161	0	0	46	57.86452546874893
n197-1	n168	0	0	58	58.7900053124989
n191-1	n167	0	0	62	58.7766506249989
n183-1	n169	0	0	67	59.3201864062489
n182-1	n166	0	0	69	58.73658656249891
n181-1	n162	0	0	70	58.277185312498915
n180-1	n160	0	0	74	57.80977124999894
