onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5103125,1.210625,65,42,0,0,n0,-10.0,-10.0
0.5334375,1.1875,62,47,0,0,n1,0.521875,0.0
1.5875,1.1146874,50,32,0,0,n2,0.521875,0.0
2.5915625,1.046875,50,30,0,0,n3,2.59156,1.0
3.5603125,0.9803125,65,47,0,0,n4,2.59156,1.0
3.5728126,0.9678125,62,46,0,0,n5,2.59156,1.0
4.4646873,0.99375,67,54,0,0,n6,2.59156,1.0
4.46875,0.9896875,64,51,0,0,n7,4.46672,2.0
5.3790627,1.0825,69,61,0,0,n8,4.46672,2.0
5.3834376,1.078125,65,55,0,0,n9,4.46672,2.0
6.3915625,1.128125,67,53,0,0,n10,4.46672,2.0
6.3959374,1.12375,70,52,0,0,n11,6.39375,3.0
7.4053125,0.995625,50,36,0,0,n12,6.39375,3.0
8.353125,1.0459375,50,37,0,0,n13,6.39375,3.0
9.266562,1.053125,65,48,0,0,n14,8.35313,4.0
9.266562,1.053125,69,52,0,0,n15,8.35313,4.0
10.195937,1.0634375,67,58,0,0,n16,8.35313,4.0
10.207188,1.0521874,64,55,0,0,n17,10.20155,5.0
11.153125,1.05,62,47,0,0,n18,10.20155,5.0
11.153125,1.05,65,50,0,0,n19,10.20155,5.0
12.104062,1.135625,64,46,0,0,n20,10.20155,5.0
12.110312,1.129375,61,39,0,0,n21,12.1072,6.0
13.149062,1.0509375,50,20,0,0,n22,12.1072,6.0
14.086562,1.0728126,50,34,0,0,n23,12.1072,6.0
15.025,1.0959375,67,49,0,0,n24,14.0866,7.0
15.029062,1.091875,64,52,0,0,n25,14.0866,7.0
16.00625,1.09375,65,43,0,0,n26,14.0866,7.0
16.010313,1.0896875,62,48,0,0,n27,16.00825,8.0
16.994688,1.2459375,64,41,0,0,n28,16.00825,8.0
16.997812,1.2428125,61,32,0,0,n29,16.00825,8.0
18.066563,1.2125,62,28,0,0,n30,16.00825,8.0
18.066563,1.2125,65,31,0,0,n31,16.00825,8.0
18.085312,0.1875,81,65,0,0,n32,18.072832,9.0
18.236563,0.24875,79,82,0,0,n33,18.072832,9.0
18.422813,2.67625,81,74,0,0,n34,18.072832,9.0
19.164688,0.9353125,50,28,0,0,n35,18.072832,9.0
20.063438,1.035625,50,29,0,0,n36,20.0634,10.0
20.552187,0.5853125,79,57,0,0,n37,20.0634,10.0
