xml_id	midi_id	track	channel	pitch	onset
n9-1	n2	0	0	50	1.31543671875
n10-1	n3	0	0	50	2.103363281249999
n8-1	n0	0	0	62	0.5168264062500001
n11-1	n4	0	0	62	2.91265734375
n2-1	n1	0	0	65	0.5194973437500001
n5-1	n5	0	0	65	2.9139928124999996
n12-1	n7	0	0	64	3.6792164062499997
n13-1	n9	0	0	65	4.3883503125
n6-1	n6	0	0	67	3.65250703125
n7-1	n8	0	0	69	4.3456153125
n22-1	n12	0	0	50	5.9441714062500095
n21-1	n11	0	0	67	5.1816187500000055
n15-1	n10	0	0	70	5.154909375000005
n23-1	n13	0	0	50	6.752130000000014
n24-1	n15	0	0	65	7.529372812500016
n18-1	n14	0	0	69	7.485302343750017
n26-1	n19	0	0	62	9.041123437500026
n25-1	n17	0	0	64	8.254532343750016
n20-1	n18	0	0	65	9.018420468750026
n19-1	n16	0	0	67	8.249190468750017
n35-1	n22	0	0	50	10.563557812500033
n34-1	n21	0	0	61	9.80634703125003
n28-1	n20	0	0	64	9.78765046875003
n36-1	n23	0	0	50	11.319433125000039
n37-1	n25	0	0	64	12.13406906250005
n31-1	n24	0	0	67	12.11537250000005
n39-1	n29	0	0	61	13.63780687500007
n38-1	n27	0	0	62	12.879260625000056
n33-1	n28	0	0	64	13.62311671875007
n32-1	n26	0	0	65	12.860564062500055
n56-1	n35	0	0	50	15.368574375000081
n55-1	n31	0	0	62	14.447100937500078
n49-1	n30	0	0	65	14.433746250000079
n40-1	n32	0	0	81	14.536577343750078
n57-1	n36	0	0	50	16.207248750000087
n58-1	n39	0	0	62	16.999181718750094
n52-1	n40	0	0	65	17.005859062500093
n44-1	n41	0	0	76	17.3757839062501
n43-1	n38	0	0	77	16.985827031250096
n42-1	n37	0	0	79	16.598541093750093
n59-1	n42	0	0	64	17.744373281250102
n60-1	n47	0	0	65	18.548325468750107
n53-1	n44	0	0	67	17.7523860937501
n54-1	n48	0	0	69	18.56435109375011
n46-1	n45	0	0	73	18.146349375000106
n45-1	n43	0	0	74	17.7497151562501
n47-1	n46	0	0	74	18.524287031250108
n48-1	n49	0	0	77	18.98235281250011
n80-1	n54	0	0	50	20.26440281250011
n79-1	n51	0	0	67	19.449766875000115
n73-1	n50	0	0	70	19.448431406250116
n63-1	n53	0	0	74	19.838388281250115
n62-1	n52	0	0	76	19.651422656250116
n64-1	n55	0	0	76	20.316486093750108
n81-1	n56	0	0	50	21.08838703125012
n82-1	n60	0	0	65	21.956441718750128
n76-1	n59	0	0	69	21.94976437500013
n66-1	n57	0	0	79	21.473002031250125
n67-1	n58	0	0	81	21.921719531250126
n68-1	n61	0	0	82	22.49196468750013
n84-1	n67	0	0	62	23.66584171875013
n83-1	n62	0	0	64	22.881921562500132
n78-1	n66	0	0	65	23.65649343750013
n77-1	n63	0	0	67	22.89126984375013
n70-1	n64	0	0	73	23.225137031250128
n71-1	n65	0	0	74	23.60841656250013
n72-1	n68	0	0	76	23.97967687500013
n103-1	n74	0	0	50	25.243030312500135
n102-1	n70	0	0	61	24.378982031250132
n96-1	n69	0	0	64	24.353608125000132
n87-1	n73	0	0	65	24.826364062500133
n86-1	n72	0	0	67	24.638062968750134
n88-1	n75	0	0	67	25.245701250000135
n85-1	n71	0	0	69	24.45643921875013
n104-1	n76	0	0	50	26.01893765625014
n105-1	n80	0	0	64	26.885656875000155
n99-1	n79	0	0	67	26.881650468750156
n90-1	n77	0	0	69	26.41423640625015
n91-1	n78	0	0	70	26.852270156250157
n92-1	n81	0	0	73	27.29030390625016
n107-1	n86	0	0	61	28.54030265625017
n106-1	n83	0	0	62	27.67625437500017
n101-1	n85	0	0	64	28.53228984375017
n100-1	n82	0	0	65	27.66289968750017
n94-1	n84	0	0	74	28.088914218750173
n95-1	n87	0	0	76	28.97566546875017
n130-1	n94	0	0	50	30.181593750000168
n129-1	n88	0	0	62	29.374970625000167
n111-1	n95	0	0	64	30.539499375000172
n123-1	n89	0	0	65	29.376306093750166
n110-1	n93	0	0	65	30.15621984375017
n109-1	n90	0	0	67	29.751572812500168
n131-1	n96	0	0	50	30.928120781250175
n132-1	n103	0	0	55	31.669305937500177
n126-1	n102	0	0	64	31.662628593750178
n112-1	n97	0	0	65	30.970855781250176
n115-1	n104	0	0	67	32.05659187500018
n114-1	n101	0	0	69	31.649273906250176
n113-1	n98	0	0	70	31.31140031250018
n134-1	n111	0	0	52	33.21978515625011
n133-1	n107	0	0	53	32.48394187500014
n128-1	n112	0	0	61	33.23581078125011
n127-1	n106	0	0	62	32.462574375000145
n116-1	n105	0	0	69	32.42918765625015
n117-1	n108	0	0	71	32.844518437500135
n118-1	n109	0	0	73	33.01145203125012
n119-1	n110	0	0	74	33.20910140625011
n120-1	n113	0	0	76	33.376035000000094
n121-1	n114	0	0	77	33.54964593750008
n122-1	n115	0	0	79	33.73260515625008
n150-1	n123	0	0	38	34.77427078125001
n149-1	n116	0	0	50	33.892861406250056
n143-1	n117	0	0	62	33.904880625000054
n137-1	n120	0	0	74	34.36962375000002
n140-1	n124	0	0	74	35.25904593749997
n136-1	n119	0	0	76	34.19868375000003
n138-1	n121	0	0	76	34.52453812500002
n135-1	n118	0	0	77	34.01438906250004
n139-1	n122	0	0	77	34.76492250000001
n151-1	n125	0	0	38	35.62897078124994
n152-1	n129	0	0	62	36.59585015624992
n146-1	n128	0	0	65	36.569140781249914
n142-1	n127	0	0	70	36.16983562499991
n141-1	n126	0	0	72	35.661022031249935
n154-1	n132	0	0	58	38.23981218749979
n153-1	n131	0	0	60	37.41048609374988
n148-1	n133	0	0	62	38.246489531249786
n147-1	n130	0	0	64	37.39713140624988
n168-1	deletion
n167-1	n135	0	0	60	39.025067812499785
n163-1	n134	0	0	64	39.022396874999785
n160-1	n141	0	0	64	40.22164781249964
n158-1	n138	0	0	65	39.790291406249686
n157-1	n137	0	0	67	39.59798390624971
n159-1	n140	0	0	67	39.97725703124966
n156-1	n136	0	0	69	39.43639218749973
n169-1	deletion
n170-1	n146	0	0	60	41.59450968749955
n161-1	n143	0	0	64	40.66235249999961
n164-1	n145	0	0	64	41.57047124999955
n162-1	n144	0	0	69	41.129766562499555
n172-1	n150	0	0	57	43.28254218749946
n171-1	n148	0	0	58	42.46256437499949
n166-1	n149	0	0	61	43.25049093749946
n165-1	n147	0	0	62	42.43852593749949
n195-1	n156	0	0	46	44.847711562499384
n194-1	n152	0	0	58	44.03441109374944
n190-1	n151	0	0	62	44.01838546874944
