onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0260416,1.8528646,60,29,1,0,n0,-10.0,-10.0
1.2552084,1.6236979,64,31,1,0,n1,1.026042,0.0
1.4752604,1.4036459,67,31,1,0,n2,1.026042,0.0
1.6614584,1.2174479,72,45,1,0,n3,1.026042,0.0
1.875,1.0039062,76,52,1,0,n4,1.875,1.0
2.1171875,0.76171875,67,26,1,0,n5,1.875,1.0
2.326823,0.5520833,72,39,1,0,n6,1.875,1.0
2.545573,0.33333334,76,44,1,0,n7,1.875,1.0
2.779948,2.0416667,60,32,1,0,n8,2.779948,2.0
2.9908855,1.9375,64,40,1,0,n9,2.779948,2.0
3.203125,1.6184896,67,38,1,0,n10,2.779948,2.0
3.4192708,1.4023438,72,44,1,0,n11,2.779948,2.0
3.6445312,1.1770834,76,54,1,0,n12,3.644531,3.0
3.8802083,0.94140625,67,28,1,0,n13,3.644531,3.0
4.0989585,0.72265625,72,38,1,0,n14,3.644531,3.0
4.3242188,0.49739584,76,48,1,0,n15,3.644531,3.0
4.565104,1.9791666,60,40,1,0,n16,4.565104,4.0
4.78125,1.7630209,62,49,1,0,n17,4.565104,4.0
4.9908853,1.5533854,69,49,1,0,n18,4.565104,4.0
5.2096353,1.3346354,74,49,1,0,n19,4.565104,4.0
5.4414062,1.1028646,77,50,1,0,n20,5.441406,5.0
5.6731772,0.87109375,69,37,1,0,n21,5.441406,5.0
5.8854165,0.6588542,74,44,1,0,n22,5.441406,5.0
6.1106772,0.43359375,77,48,1,0,n23,5.441406,5.0
6.3502603,2.0364583,60,45,1,0,n24,6.35026,6.0
6.5611978,1.8255209,62,46,1,0,n25,6.35026,6.0
6.7825522,1.6041666,69,51,1,0,n26,6.35026,6.0
7.0013022,1.3854166,74,54,1,0,n27,6.35026,6.0
7.2135415,1.1731771,77,52,1,0,n28,6.35026,6.0
7.4518228,0.9348958,69,37,1,0,n29,7.213542,7.0
7.6770835,0.70963544,74,34,1,0,n30,7.213542,7.0
7.8893228,0.49739584,77,38,1,0,n31,7.213542,7.0
8.109375,2.0091145,59,43,1,0,n32,8.109375,8.0
8.354167,1.7643229,62,51,1,0,n33,8.109375,8.0
8.563802,1.5546875,67,48,1,0,n34,8.109375,8.0
8.78125,1.3372396,74,51,1,0,n35,8.109375,8.0
8.994792,1.1236979,77,52,1,0,n36,8.994792,9.0
9.2213545,0.89713544,67,41,1,0,n37,8.994792,9.0
9.453125,0.66536456,74,44,1,0,n38,8.994792,9.0
9.6848955,0.43359375,77,44,1,0,n39,8.994792,9.0
9.899739,1.9830729,59,50,1,0,n40,8.994792,9.0
10.118489,1.7799479,62,48,1,0,n41,9.89974,10.0
10.3567705,1.5260416,67,50,1,0,n42,9.89974,10.0
10.5703125,1.3125,74,51,1,0,n43,9.89974,10.0
10.787761,1.0950521,77,50,1,0,n44,10.78776,11.0
11.024739,0.85807294,67,29,1,0,n45,10.78776,11.0
11.2526045,0.6302083,74,32,1,0,n46,10.78776,11.0
11.480469,0.40234375,77,41,1,0,n47,10.78776,11.0
11.723958,1.9205729,60,42,1,0,n48,11.723958,12.0
11.954427,1.6901041,64,44,1,0,n49,11.723958,12.0
12.1901045,1.4544271,67,39,1,0,n50,11.723958,12.0
12.4192705,1.2252604,72,42,1,0,n51,11.723958,12.0
12.630208,1.0143229,76,53,1,0,n52,12.630208,13.0
12.869792,0.77473956,67,33,1,0,n53,12.630208,13.0
13.084636,0.5598958,72,37,1,0,n54,12.630208,13.0
13.324219,0.3203125,76,41,1,0,n55,12.630208,13.0
13.548177,2.076823,60,35,1,0,n56,13.548177,14.0
13.7682295,1.8567709,64,36,1,0,n57,13.548177,14.0
14.009114,1.6158854,67,33,1,0,n58,13.548177,14.0
14.235677,1.3893229,72,37,1,0,n59,13.548177,14.0
14.462239,1.1627604,76,44,1,0,n60,13.548177,14.0
14.694011,0.93098956,67,36,1,0,n61,14.46224,15.0
14.920573,0.70442706,72,35,1,0,n62,14.46224,15.0
15.162761,0.4622396,76,34,1,0,n63,14.46224,15.0
15.390625,1.9375,60,37,1,0,n64,15.390625,16.0
15.6223955,1.7057291,64,48,1,0,n65,15.390625,16.0
15.817708,1.5104166,69,50,1,0,n66,15.390625,16.0
16.03125,1.296875,76,65,1,0,n67,15.390625,16.0
16.266928,1.0611979,81,67,1,0,n68,16.266928,17.0
16.50651,0.82161456,69,54,1,0,n69,16.266928,17.0
16.733072,0.59505206,76,50,1,0,n70,16.266928,17.0
16.941406,0.38671875,81,60,1,0,n71,16.266928,17.0
17.145834,1.9335938,60,54,1,0,n72,17.145832,18.0
17.391928,1.9752604,64,59,1,0,n73,17.145832,18.0
17.611979,1.4674479,69,57,1,0,n74,17.145832,18.0
17.822916,1.2565104,76,64,1,0,n75,17.145832,18.0
18.048178,1.03125,81,71,1,0,n76,18.048178,19.0
18.257812,0.82161456,69,52,1,0,n77,18.048178,19.0
18.494791,0.58463544,76,50,1,0,n78,18.048178,19.0
18.729166,0.3502604,81,53,1,0,n79,18.048178,19.0
18.924479,1.9570312,60,45,1,0,n80,18.924479,20.0
19.143229,1.7382812,62,56,1,0,n81,18.924479,20.0
19.390625,1.4908854,66,58,1,0,n82,18.924479,20.0
19.610678,1.2708334,69,60,1,0,n83,18.924479,20.0
19.839844,1.0416666,74,59,1,0,n84,19.839844,21.0
20.06901,0.8125,66,39,1,0,n85,19.839844,21.0
20.294271,0.58723956,69,44,1,0,n86,19.839844,21.0
20.546875,0.3346354,74,48,1,0,n87,19.839844,21.0
20.744791,2.0182292,60,42,1,0,n88,19.839844,21.0
20.971354,1.7916666,62,48,1,0,n89,20.744793,22.0
