onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0065104,0.4674479,49,42,1,0,n0,-10.0,-10.0
1.0143229,0.092447914,77,59,1,0,n1,1.010416,0.0
1.1132812,0.084635414,73,63,1,0,n2,1.010416,0.0
1.2473959,0.123697914,68,53,1,0,n3,1.010416,0.0
1.3671875,0.091145836,73,63,1,0,n4,1.247396,1.0
1.4674479,0.040364582,61,42,1,0,n5,1.247396,1.0
1.4791666,0.083333336,77,67,1,0,n6,1.473307,2.0
1.5651041,0.106770836,73,53,1,0,n7,1.473307,2.0
1.6875,0.106770836,78,64,1,0,n8,1.473307,2.0
1.6901041,0.3138021,51,53,1,0,n9,1.688802,3.0
1.8203125,0.069010414,73,65,1,0,n10,1.688802,3.0
1.9192709,0.08984375,78,72,1,0,n11,1.688802,3.0
2.0364583,0.069010414,73,64,1,0,n12,1.919271,4.0
2.1210938,0.096354164,78,75,1,0,n13,1.919271,4.0
2.1497395,0.046875,61,55,1,0,n14,2.135417,5.0
2.2460938,0.092447914,73,68,1,0,n15,2.135417,5.0
2.358073,0.106770836,80,78,1,0,n16,2.135417,5.0
2.3710938,0.2734375,53,57,1,0,n17,2.364584,6.0
2.4752605,0.0859375,73,65,1,0,n18,2.364584,6.0
2.578125,0.108072914,80,86,1,0,n19,2.578125,7.0
2.7057292,0.055989582,73,66,1,0,n20,2.578125,7.0
2.7890625,0.108072914,80,83,1,0,n21,2.578125,7.0
2.8085938,0.052083332,61,56,1,0,n22,2.798828,8.0
2.890625,0.11328125,73,73,1,0,n23,2.798828,8.0
3.0208333,0.115885414,82,80,1,0,n24,2.798828,8.0
3.0260417,0.27734375,54,61,1,0,n25,3.023438,9.0
3.140625,0.0859375,73,70,1,0,n26,3.023438,9.0
3.2278645,0.12760417,82,82,1,0,n27,3.023438,9.0
3.3671875,0.08203125,73,72,1,0,n28,3.227865,10.0
3.46875,0.12109375,82,81,1,0,n29,3.227865,10.0
3.4947917,0.05859375,61,50,1,0,n30,3.481771,11.0
3.5898438,0.100260414,73,66,1,0,n31,3.481771,11.0
3.7135417,0.2565104,53,66,1,0,n32,3.481771,11.0
3.7161458,0.088541664,80,70,1,0,n33,3.714844,12.0
3.813802,0.102864586,73,62,1,0,n34,3.714844,12.0
3.936198,0.088541664,80,70,1,0,n35,3.936198,13.0
4.0377603,0.072916664,73,62,1,0,n36,3.936198,13.0
4.15625,0.0546875,80,62,1,0,n37,3.936198,13.0
4.1666665,0.055989582,61,49,1,0,n38,4.161459,14.0
4.2604165,0.14713542,73,61,1,0,n39,4.161459,14.0
4.40625,0.234375,51,57,1,0,n40,4.161459,14.0
4.4140625,0.118489586,78,61,1,0,n41,4.410156,15.0
4.5208335,0.102864586,77,66,1,0,n42,4.410156,15.0
4.6367188,0.095052086,75,73,1,0,n43,4.410156,15.0
4.7382812,0.114583336,77,72,1,0,n44,4.636719,16.0
4.8476562,0.1015625,78,67,1,0,n45,4.636719,16.0
4.8632812,0.059895832,60,49,1,0,n46,4.855468,17.0
4.9440103,0.114583336,75,71,1,0,n47,4.855468,17.0
5.078125,0.115885414,77,66,1,0,n48,4.855468,17.0
5.080729,0.14322917,49,57,1,0,n49,5.079427,18.0
5.203125,0.098958336,75,70,1,0,n50,5.079427,18.0
5.328125,0.109375,73,71,1,0,n51,5.328125,19.0
5.4335938,0.115885414,75,64,1,0,n52,5.328125,19.0
5.5481772,0.53125,61,71,1,0,n53,5.328125,19.0
5.5520835,0.52734375,77,64,1,0,n54,5.55013,20.0
5.6484375,0.4309896,73,66,1,0,n55,5.55013,20.0
5.7617188,0.31770834,75,70,1,0,n56,5.55013,20.0
5.8867188,0.19270833,77,69,1,0,n57,5.761719,21.0
5.981771,0.09765625,60,45,1,0,n58,5.761719,21.0
5.9986978,0.1171875,75,72,1,0,n59,5.990234,22.0
6.1041665,0.076822914,58,59,1,0,n60,5.990234,22.0
6.1132812,0.072916664,73,69,1,0,n61,5.990234,22.0
6.1966147,0.1015625,56,60,1,0,n62,5.990234,22.0
6.2174478,0.052083332,72,63,1,0,n63,6.207032,23.0
6.3320312,0.076822914,70,68,1,0,n64,6.207032,23.0
6.34375,0.067708336,58,58,1,0,n65,6.207032,23.0
6.4518228,0.24348958,68,59,1,0,n66,6.207032,23.0
6.4635415,0.080729164,60,55,1,0,n67,6.457682,24.0
6.5625,0.072916664,56,51,1,0,n68,6.457682,24.0
6.6627603,0.13541667,51,59,1,0,n69,6.66276,25.0
6.8046875,0.045572918,56,50,1,0,n70,6.66276,25.0
6.8789062,0.04296875,80,60,1,0,n71,6.66276,25.0
6.8958335,0.0546875,60,58,1,0,n72,6.88737,26.0
6.9804688,0.096354164,56,52,1,0,n73,6.88737,26.0
7.1054688,0.2877604,70,69,1,0,n74,6.88737,26.0
7.1236978,0.080729164,61,57,1,0,n75,7.114584,27.0
7.2278647,0.07421875,56,54,1,0,n76,7.114584,27.0
7.346354,0.078125,61,64,1,0,n77,7.346354,28.0
7.440104,0.092447914,56,57,1,0,n78,7.346354,28.0
7.5559897,0.080729164,61,59,1,0,n79,7.346354,28.0
7.5638022,0.057291668,80,68,1,0,n80,7.559896,29.0
7.640625,0.1171875,56,57,1,0,n81,7.559896,29.0
7.794271,0.092447914,63,63,1,0,n82,7.559896,29.0
7.796875,0.29296875,72,82,1,0,n83,7.795573,30.0
7.8997397,0.100260414,56,62,1,0,n84,7.795573,30.0
8.0234375,0.083333336,63,70,1,0,n85,7.795573,30.0
8.121094,0.11328125,56,64,1,0,n86,8.023438,31.0
8.239583,0.055989582,80,68,1,0,n87,8.023438,31.0
8.2578125,0.092447914,63,70,1,0,n88,8.248697,32.0
8.3671875,0.098958336,56,61,1,0,n89,8.248697,32.0
8.489583,0.3372396,73,80,1,0,n90,8.248697,32.0
8.5182295,0.071614586,65,61,1,0,n91,8.503906,33.0
8.6119795,0.088541664,56,68,1,0,n92,8.503906,33.0
8.739583,0.045572918,65,65,1,0,n93,8.739583,34.0
8.842448,0.061197918,56,60,1,0,n94,8.739583,34.0
8.944011,0.052083332,80,66,1,0,n95,8.739583,34.0
8.946614,0.049479168,65,55,1,0,n96,8.945313,35.0
9.052083,0.079427086,56,63,1,0,n97,8.945313,35.0
9.186198,0.29427084,72,72,1,0,n98,8.945313,35.0
9.1901045,0.063802086,63,56,1,0,n99,9.188151,36.0
9.286458,0.095052086,56,62,1,0,n100,9.188151,36.0
9.4296875,0.053385418,63,62,1,0,n101,9.188151,36.0
9.529948,0.075520836,56,60,1,0,n102,9.429688,37.0
9.645833,0.080729164,80,63,1,0,n103,9.429688,37.0
9.660156,0.111979164,63,58,1,0,n104,9.652995,38.0
9.8307295,0.061197918,60,48,1,0,n105,9.652995,38.0
9.8984375,0.27604166,70,67,1,0,n106,9.652995,38.0
9.925781,0.12760417,61,71,1,0,n107,9.652995,38.0
10.078125,0.076822914,60,64,1,0,n108,9.927444,39.0
10.130208,0.119791664,79,57,1,0,n109,9.927444,39.0
10.2057295,0.15364583,58,42,1,0,n110,9.927444,39.0
10.4453125,0.16145833,60,57,1,0,n111,9.927444,39.0
10.494792,0.11328125,68,77,1,0,n112,10.466805,40.0
10.661458,0.09765625,56,50,1,0,n113,10.466805,40.0
10.746094,0.1015625,58,61,1,0,n114,10.466805,40.0
10.859375,0.10546875,60,70,1,0,n115,10.8513,41.0
11.088542,0.16015625,68,78,1,0,n116,10.8513,41.0
11.089844,0.12760417,60,66,1,0,n117,11.089193,42.0
11.217448,0.076822914,58,66,1,0,n118,11.089193,42.0
11.321614,0.100260414,56,65,1,0,n119,11.089193,42.0
11.425781,0.08203125,58,68,1,0,n120,11.321615,43.0
11.5286455,0.104166664,60,67,1,0,n121,11.321615,43.0
11.555989,0.46875,80,87,1,0,n122,11.542318,44.0
11.651042,0.13151042,56,63,1,0,n123,11.542318,44.0
11.769531,0.088541664,58,70,1,0,n124,11.769531,45.0
11.8776045,0.106770836,59,69,1,0,n125,11.769531,45.0
12.011719,0.091145836,58,59,1,0,n126,11.769531,45.0
12.020833,0.14973958,78,63,1,0,n127,12.016276,46.0
12.104167,0.100260414,56,60,1,0,n128,12.016276,46.0
12.1276045,0.100260414,77,67,1,0,n129,12.016276,46.0
12.227864,0.036458332,54,7,1,0,n130,12.016276,46.0
12.2526045,0.100260414,75,67,1,0,n131,12.240234,47.0
12.292969,0.108072914,53,56,1,0,n132,12.240234,47.0
12.373698,0.109375,77,59,1,0,n133,12.240234,47.0
12.4557295,0.20963542,51,46,1,0,n134,12.240234,47.0
12.498698,0.092447914,78,60,1,0,n135,12.477213,48.0
12.588542,0.09375,75,62,1,0,n136,12.477213,48.0
12.704427,0.119791664,70,59,1,0,n137,12.704427,49.0
12.8307295,0.065104164,75,62,1,0,n138,12.704427,49.0
12.876302,0.053385418,63,38,1,0,n139,12.704427,49.0
12.930989,0.109375,78,63,1,0,n140,12.903646,50.0
13.0546875,0.100260414,75,58,1,0,n141,12.903646,50.0
13.105469,0.25,53,38,1,0,n142,12.903646,50.0
13.1588545,0.072916664,80,64,1,0,n143,13.132162,51.0
13.272136,0.1015625,75,67,1,0,n144,13.132162,51.0
13.395833,0.096354164,80,73,1,0,n145,13.395833,52.0
13.5182295,0.08203125,75,70,1,0,n146,13.395833,52.0
13.602864,0.052083332,63,45,1,0,n147,13.395833,52.0
13.619792,0.088541664,80,78,1,0,n148,13.611329,53.0
13.740886,0.083333336,75,67,1,0,n149,13.611329,53.0
13.8463545,0.096354164,82,76,1,0,n150,13.611329,53.0
13.852864,0.22526042,54,48,1,0,n151,13.849609,54.0
13.967448,0.080729164,75,67,1,0,n152,13.849609,54.0
14.0755205,0.10546875,82,80,1,0,n153,13.849609,54.0
14.2005205,0.084635414,75,66,1,0,n154,14.075521,55.0
14.307292,0.078125,63,48,1,0,n155,14.075521,55.0
14.308594,0.104166664,82,75,1,0,n156,14.307943,56.0
14.4375,0.102864586,75,62,1,0,n157,14.307943,56.0
14.555989,0.2265625,56,41,1,0,n158,14.307943,56.0
14.5625,0.10546875,83,65,1,0,n159,14.559245,57.0
14.694011,0.088541664,75,58,1,0,n160,14.559245,57.0
14.811198,0.078125,83,65,1,0,n161,14.811198,58.0
14.916667,0.076822914,75,57,1,0,n162,14.811198,58.0
15.009114,0.055989582,63,45,1,0,n163,14.811198,58.0
15.026042,0.084635414,83,67,1,0,n164,15.017579,59.0
15.140625,0.072916664,75,52,1,0,n165,15.017579,59.0
15.2526045,0.100260414,82,63,1,0,n166,15.017579,59.0
15.261719,0.23046875,54,50,1,0,n167,15.257162,60.0
15.381511,0.0859375,75,61,1,0,n168,15.257162,60.0
15.498698,0.079427086,82,63,1,0,n169,15.498698,61.0
15.610677,0.07421875,75,56,1,0,n170,15.498698,61.0
15.707031,0.065104164,63,49,1,0,n171,15.498698,61.0
15.7317705,0.25390625,82,59,1,0,n172,15.719401,62.0
15.8151045,0.15104167,75,53,1,0,n173,15.719401,62.0
15.949219,0.23307292,53,57,1,0,n174,15.719401,62.0
15.957031,0.115885414,80,58,1,0,n175,15.953125,63.0
16.072916,0.091145836,78,68,1,0,n176,15.953125,63.0
16.200521,0.095052086,77,68,1,0,n177,16.200521,64.0
16.299479,0.13541667,78,69,1,0,n178,16.200521,64.0
16.423178,0.076822914,80,66,1,0,n179,16.200521,64.0
16.425781,0.037760418,62,43,1,0,n180,16.424479,65.0
16.527344,0.122395836,77,71,1,0,n181,16.424479,65.0
16.651041,0.14583333,51,65,1,0,n182,16.424479,65.0
16.665365,0.19661458,78,68,1,0,n183,16.658203,66.0
16.783854,0.100260414,77,73,1,0,n184,16.658203,66.0
16.893229,0.122395836,75,74,1,0,n185,16.893229,67.0
17.022135,0.110677086,77,67,1,0,n186,16.893229,67.0
17.13151,0.53515625,63,75,1,0,n187,16.893229,67.0
17.132812,0.5338542,78,64,1,0,n188,17.13216,68.0
17.240885,0.42578125,75,68,1,0,n189,17.13216,68.0
17.375,0.29166666,77,73,1,0,n190,17.375,69.0
17.486979,0.1875,78,70,1,0,n191,17.375,69.0
17.570312,0.096354164,61,53,1,0,n192,17.375,69.0
17.614584,0.114583336,77,71,1,0,n193,17.592447,70.0
17.716146,0.075520836,60,59,1,0,n194,17.592447,70.0
17.723959,0.087239586,75,75,1,0,n195,17.592447,70.0
17.833334,0.095052086,58,56,1,0,n196,17.592447,70.0
17.839844,0.084635414,73,63,1,0,n197,17.836588,71.0
17.941406,0.1015625,72,70,1,0,n198,17.836588,71.0
17.957031,0.055989582,60,56,1,0,n199,17.836588,71.0
18.065104,0.08203125,61,54,1,0,n200,17.836588,71.0
18.079428,0.2513021,70,66,1,0,n201,18.072266,72.0
18.161459,0.078125,58,56,1,0,n202,18.072266,72.0
18.276041,0.15104167,53,58,1,0,n203,18.072266,72.0
18.424479,0.040364582,58,53,1,0,n204,18.276043,73.0
18.49349,0.0859375,61,62,1,0,n205,18.276043,73.0
18.503906,0.048177082,82,68,1,0,n206,18.498697,74.0
18.582031,0.09375,58,56,1,0,n207,18.498697,74.0
18.72526,0.08984375,63,60,1,0,n208,18.498697,74.0
18.733072,0.3372396,72,80,1,0,n209,18.729168,75.0
18.839844,0.09765625,58,61,1,0,n210,18.729168,75.0
