onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,2.0,0.0,1.0,0,4,49,5,n7-1,0.0,1.022136
0.0,0.5,0.0,0.25,0,1,77,1,n1-1,0.0,1.022136
0.5,0.5,0.25,0.25,1,1,73,1,n2-1,0.0,1.022136
1.0,0.5,0.5,0.25,2,1,68,1,n3-1,1.0,1.263021
1.5,0.5,0.75,0.25,3,1,73,1,n4-1,1.0,1.263021
2.0,1.0,1.0,0.5,4,2,61,5,n8-1,2.0,1.477213
2.0,0.5,1.0,0.25,4,1,77,1,n5-1,2.0,1.477213
2.5,0.5,1.25,0.25,5,1,73,1,n6-1,2.0,1.477213
3.0,2.0,1.5,1.0,6,4,51,5,n15-1,3.0,1.713542
3.0,0.5,1.5,0.25,6,1,78,1,n9-1,3.0,1.713542
3.5,0.5,1.75,0.25,7,1,73,1,n10-1,3.0,1.713542
4.0,0.5,2.0,0.25,8,1,78,1,n11-1,4.0,1.971354
4.5,0.5,2.25,0.25,9,1,73,1,n12-1,4.0,1.971354
5.0,1.0,2.5,0.5,10,2,61,5,n16-1,5.0,2.197265
5.0,0.5,2.5,0.25,10,1,78,1,n13-1,5.0,2.197265
5.5,0.5,2.75,0.25,11,1,73,1,n14-1,5.0,2.197265
6.0,2.0,3.0,1.0,12,4,53,5,n23-1,6.0,2.430339
6.0,0.5,3.0,0.25,12,1,80,1,n17-1,6.0,2.430339
6.5,0.5,3.25,0.25,13,1,73,1,n18-1,6.0,2.430339
7.0,0.5,3.5,0.25,14,1,80,1,n19-1,7.0,2.679688
7.5,0.5,3.75,0.25,15,1,73,1,n20-1,7.0,2.679688
8.0,1.0,4.0,0.5,16,2,61,5,n24-1,8.0,2.91862
8.0,0.5,4.0,0.25,16,1,80,1,n21-1,8.0,2.91862
8.5,0.5,4.25,0.25,17,1,73,1,n22-1,8.0,2.91862
9.0,2.0,4.5,1.0,18,4,54,5,n31-1,9.0,3.145834
9.0,0.5,4.5,0.25,18,1,82,1,n25-1,9.0,3.145834
9.5,0.5,4.75,0.25,19,1,73,1,n26-1,9.0,3.145834
10.0,0.5,5.0,0.25,20,1,82,1,n27-1,10.0,3.380208
10.5,0.5,5.25,0.25,21,1,73,1,n28-1,10.0,3.380208
11.0,1.0,5.5,0.5,22,2,61,5,n32-1,11.0,3.611979
11.0,0.5,5.5,0.25,22,1,82,1,n29-1,11.0,3.611979
11.5,0.5,5.75,0.25,23,1,73,1,n30-1,11.0,3.611979
12.0,2.0,6.0,1.0,24,4,53,5,n39-1,12.0,3.850261
12.0,0.5,6.0,0.25,24,1,80,1,n33-1,12.0,3.850261
12.5,0.5,6.25,0.25,25,1,73,1,n34-1,12.0,3.850261
13.0,0.5,6.5,0.25,26,1,80,1,n35-1,13.0,4.083333
13.5,0.5,6.75,0.25,27,1,73,1,n36-1,13.0,4.083333
14.0,1.0,7.0,0.5,28,2,61,5,n40-1,14.0,4.316406
14.0,0.5,7.0,0.25,28,1,80,1,n37-1,14.0,4.316406
14.5,0.5,7.25,0.25,29,1,73,1,n38-1,14.0,4.316406
15.0,2.0,7.5,1.0,30,4,51,5,n47-1,15.0,4.530599
15.0,0.5,7.5,0.25,30,1,78,1,n41-1,15.0,4.530599
15.5,0.5,7.75,0.25,31,1,77,1,n42-1,15.0,4.530599
16.0,0.5,8.0,0.25,32,1,75,1,n43-1,16.0,4.759115
16.5,0.5,8.25,0.25,33,1,77,1,n44-1,16.0,4.759115
17.0,1.0,8.5,0.5,34,2,60,5,n48-1,17.0,4.968098
