onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0208334,0.13802083,77,63,1,0,n0,-10.0,-10.0
1.0234375,0.2747396,49,53,1,0,n1,1.022136,0.0
1.1471354,0.084635414,73,63,1,0,n2,1.022136,0.0
1.2630209,0.123697914,68,58,1,0,n3,1.022136,0.0
1.3867188,0.0625,73,56,1,0,n4,1.263021,1.0
1.4765625,0.114583336,77,64,1,0,n5,1.263021,1.0
1.4778646,0.04296875,61,62,1,0,n6,1.477213,2.0
1.6015625,0.12760417,73,63,1,0,n7,1.477213,2.0
1.7044271,0.29947916,51,61,1,0,n8,1.477213,2.0
1.7226562,0.096354164,78,70,1,0,n9,1.713542,3.0
1.8476562,0.111979164,73,65,1,0,n10,1.713542,3.0
1.9713541,0.079427086,78,72,1,0,n11,1.971354,4.0
2.0729167,0.109375,73,62,1,0,n12,1.971354,4.0
2.1953125,0.041666668,61,64,1,0,n13,1.971354,4.0
2.1992188,0.071614586,78,75,1,0,n14,2.197265,5.0
2.3164062,0.0859375,73,60,1,0,n15,2.197265,5.0
2.4244792,0.2747396,53,67,1,0,n16,2.197265,5.0
2.436198,0.098958336,80,75,1,0,n17,2.430339,6.0
2.561198,0.098958336,73,68,1,0,n18,2.430339,6.0
2.6796875,0.092447914,80,75,1,0,n19,2.430339,6.0
2.8072917,0.091145836,73,67,1,0,n20,2.679688,7.0
2.9166667,0.07421875,80,79,1,0,n21,2.679688,7.0
2.920573,0.041666668,61,56,1,0,n22,2.91862,8.0
3.0182292,0.096354164,73,66,1,0,n23,2.91862,8.0
3.1367188,0.3111979,54,63,1,0,n24,2.91862,8.0
3.154948,0.098958336,82,83,1,0,n25,3.145834,9.0
3.266927,0.08984375,73,71,1,0,n26,3.145834,9.0
3.3802083,0.098958336,82,82,1,0,n27,3.380208,10.0
3.4804688,0.095052086,73,74,1,0,n28,3.380208,10.0
3.6067708,0.088541664,82,77,1,0,n29,3.380208,10.0
3.6171875,0.0390625,61,68,1,0,n30,3.611979,11.0
3.704427,0.119791664,73,66,1,0,n31,3.611979,11.0
3.842448,0.30989584,53,63,1,0,n32,3.611979,11.0
3.858073,0.096354164,80,74,1,0,n33,3.850261,12.0
3.96875,0.096354164,73,70,1,0,n34,3.850261,12.0
4.0833335,0.10546875,80,72,1,0,n35,4.083333,13.0
4.1927085,0.080729164,73,66,1,0,n36,4.083333,13.0
4.315104,0.06640625,80,69,1,0,n37,4.083333,13.0
4.3177085,0.04296875,61,65,1,0,n38,4.316406,14.0
4.4179688,0.0859375,73,62,1,0,n39,4.316406,14.0
4.5273438,0.12760417,78,63,1,0,n40,4.316406,14.0
4.533854,0.26171875,51,66,1,0,n41,4.530599,15.0
4.6458335,0.08984375,77,67,1,0,n42,4.530599,15.0
4.7591147,0.11328125,75,67,1,0,n43,4.530599,15.0
