xml_id	midi_id	track	channel	pitch	onset
n7-1	n1	1	0	49	1.0250000000000001
n3-1	n3	1	0	68	1.215625
n2-1	n2	1	0	73	1.1010416666666667
n4-1	n4	1	0	73	1.3322916666666667
n1-1	n0	1	0	77	1.00625
n8-1	n6	1	0	61	1.4197916666666663
n6-1	n7	1	0	73	1.5291666666666661
n5-1	n5	1	0	77	1.4156249999999997
n15-1	n9	1	0	51	1.6406249999999996
n10-1	n10	1	0	73	1.741666666666666
n9-1	n8	1	0	78	1.6385416666666661
n12-1	n12	1	0	73	1.9624999999999995
n11-1	n11	1	0	78	1.863541666666666
n16-1	n14	1	0	61	2.0843749999999996
n14-1	n15	1	0	73	2.2072916666666664
n13-1	n13	1	0	78	2.0697916666666663
n23-1	n16	1	0	53	2.3166666666666664
n18-1	n18	1	0	73	2.4343749999999997
n17-1	n17	1	0	80	2.3166666666666664
n20-1	n20	1	0	73	2.658333333333333
n19-1	n19	1	0	80	2.542708333333333
n24-1	n22	1	0	61	2.765625
n22-1	n23	1	0	73	2.8760416666666666
n21-1	n21	1	0	80	2.7604166666666665
n31-1	n24	1	0	54	2.9937500000000004
n26-1	n26	1	0	73	3.1281250000000007
n25-1	n25	1	0	82	2.9979166666666672
n28-1	n28	1	0	73	3.375000000000001
n27-1	n27	1	0	82	3.2375000000000007
n32-1	n29	1	0	61	3.4541666666666675
n30-1	n31	1	0	73	3.611458333333334
n29-1	n30	1	0	82	3.4677083333333343
n39-1	n32	1	0	53	3.683333333333334
n34-1	n34	1	0	73	3.8197916666666676
n33-1	n33	1	0	80	3.698958333333334
n36-1	n36	1	0	73	4.0479166666666675
n35-1	n35	1	0	80	3.9197916666666672
n40-1	n37	1	0	61	4.1468750000000005
n38-1	n39	1	0	73	4.261458333333333
n37-1	n38	1	0	80	4.152083333333334
n47-1	n40	1	0	51	4.387499999999999
n42-1	n42	1	0	77	4.4781249999999995
n41-1	n41	1	0	78	4.387499999999999
n43-1	n43	1	0	75	4.582291666666666
n44-1	n44	1	0	77	4.6812499999999995
n48-1	n46	1	0	60	4.807291666666666
n46-1	n47	1	0	75	4.893749999999999
n45-1	n45	1	0	78	4.7958333333333325
n55-1	n49	1	0	49	5.026041666666665
n50-1	n50	1	0	75	5.135416666666664
n49-1	n48	1	0	77	5.021874999999999
n51-1	n51	1	0	73	5.2312499999999975
n52-1	n52	1	0	75	5.332291666666664
n56-1	n54	1	0	61	5.459374999999998
n54-1	n55	1	0	73	5.547916666666663
n53-1	n53	1	0	77	5.451041666666664
n57-1	n56	1	0	75	5.68020833333333
n58-1	n57	1	0	77	5.78020833333333
n65-1	n61	1	0	58	6.0156249999999964
n64-1	n59	1	0	60	5.9083333333333306
n60-1	n60	1	0	73	5.997916666666663
n59-1	n58	1	0	75	5.896874999999997
n66-1	n63	1	0	56	6.126041666666662
n67-1	n65	1	0	58	6.235416666666662
n62-1	n64	1	0	70	6.205208333333329
n61-1	n62	1	0	72	6.106249999999996
n71-1	n68	1	0	56	6.463541666666662
n70-1	n67	1	0	60	6.356249999999995
n68-1	n66	1	0	68	6.329166666666661
n72-1	n69	1	0	51	6.556249999999995
n73-1	n70	1	0	56	6.653124999999995
n75-1	n73	1	0	56	6.889583333333327
n74-1	n72	1	0	60	6.787499999999994
n69-1	n71	1	0	80	6.783333333333328
n79-1	n76	1	0	56	7.141666666666661
n78-1	n75	1	0	61	7.033333333333328
n76-1	n74	1	0	70	7.0239583333333275
n81-1	n78	1	0	56	7.367708333333328
n80-1	n77	1	0	61	7.262499999999995
n83-1	n81	1	0	56	7.587499999999995
n82-1	n79	1	0	61	7.474999999999995
n77-1	n80	1	0	80	7.479166666666662
n87-1	n84	1	0	56	7.826041666666662
n86-1	n83	1	0	63	7.707291666666662
n84-1	n82	1	0	72	7.702083333333329
n89-1	n86	1	0	56	8.053124999999998
n88-1	n85	1	0	63	7.93645833333333
n91-1	n89	1	0	56	8.261458333333332
n90-1	n88	1	0	63	8.154166666666665
n85-1	n87	1	0	80	8.148958333333331
n95-1	n92	1	0	56	8.50208333333333
n94-1	n90	1	0	65	8.379166666666665
n92-1	n91	1	0	73	8.392708333333331
n97-1	n94	1	0	56	8.721874999999995
n96-1	n93	1	0	65	8.616666666666664
n99-1	n97	1	0	56	8.956249999999995
n98-1	n95	1	0	65	8.854166666666663
n93-1	n96	1	0	80	8.854166666666663
n103-1	n100	1	0	56	9.199999999999998
n102-1	n99	1	0	63	9.088541666666663
n100-1	n98	1	0	72	9.077083333333329
n105-1	n102	1	0	56	9.404166666666663
n104-1	n101	1	0	63	9.310416666666663
n107-1	n105	1	0	56	9.63333333333333
n106-1	n104	1	0	63	9.53333333333333
n101-1	n103	1	0	80	9.51770833333333
n111-1	n108	1	0	60	9.872916666666661
n110-1	n107	1	0	61	9.768749999999995
n108-1	n106	1	0	70	9.757291666666662
n112-1	n109	1	0	58	9.991666666666662
n113-1	n110	1	0	60	10.092708333333329
n115-1	n113	1	0	58	10.298958333333328
n114-1	n112	1	0	61	10.20833333333333
n109-1	n111	1	0	79	10.199999999999998
n119-1	n116	1	0	58	10.546874999999996
n118-1	n115	1	0	60	10.440624999999995
n116-1	n114	1	0	68	10.431249999999995
n120-1	n117	1	0	56	10.646874999999998
n121-1	n118	1	0	58	10.756249999999998
n123-1	n121	1	0	56	10.991666666666665
n122-1	n119	1	0	60	10.868749999999999
n117-1	n120	1	0	80	10.873958333333333
n129-1	n122	1	0	58	11.109374999999998
n130-1	n123	1	0	59	11.203124999999998
n132-1	n127	1	0	56	11.430208333333331
n131-1	n125	1	0	58	11.329166666666666
n126-1	n128	1	0	77	11.435416666666665
n125-1	n124	1	0	78	11.321874999999999
n134-1	n131	1	0	53	11.634374999999999
n133-1	n129	1	0	54	11.509374999999999
n127-1	n130	1	0	75	11.535416666666665
n128-1	n132	1	0	77	11.647916666666665
n141-1	n133	1	0	51	11.76875
n136-1	n135	1	0	75	11.866666666666667
n135-1	n134	1	0	78	11.776041666666668
n137-1	n136	1	0	70	11.985416666666667
n138-1	n137	1	0	75	12.092708333333334
n142-1	n139	1	0	63	12.226041666666667
n140-1	n140	1	0	75	12.314583333333335
n139-1	n138	1	0	78	12.205208333333333
n149-1	n142	1	0	53	12.439583333333335
n144-1	n143	1	0	75	12.544791666666669
n143-1	n141	1	0	80	12.434375000000001
n146-1	n145	1	0	75	12.767708333333337
n145-1	n144	1	0	80	12.670833333333336
n150-1	n146	1	0	63	12.87916666666667
n148-1	n148	1	0	75	13.00729166666667
n147-1	n147	1	0	80	12.89479166666667
n157-1	n149	1	0	54	13.12916666666667
n152-1	n151	1	0	75	13.253125000000004
n151-1	n150	1	0	82	13.134375000000004
n154-1	n153	1	0	75	13.471875000000004
n153-1	n152	1	0	82	13.365625000000005
n158-1	n155	1	0	63	13.605208333333337
n156-1	n156	1	0	75	13.705208333333337
n155-1	n154	1	0	82	13.593750000000004
n165-1	n158	1	0	56	13.848958333333337
n160-1	n159	1	0	75	13.954166666666671
n159-1	n157	1	0	83	13.839583333333337
n162-1	n161	1	0	75	14.189583333333339
