xml_id	midi_id	track	channel	pitch	onset
n7-1	n1	1	0	49	1.0703125
n3-1	n3	1	0	68	1.2981770833333333
n2-1	n2	1	0	73	1.1640625
n4-1	n4	1	0	73	1.3606770833333333
n1-1	n0	1	0	77	1.0403645833333333
n8-1	n5	1	0	61	1.4583333333333333
n6-1	n7	1	0	73	1.587239583333333
n5-1	n6	1	0	77	1.4635416666666665
n15-1	n8	1	0	51	1.6640624999999996
n10-1	n10	1	0	73	1.8020833333333328
n9-1	n9	1	0	78	1.6940104166666663
n12-1	n12	1	0	73	2.0312499999999996
n11-1	n11	1	0	78	1.9192708333333328
n16-1	n13	1	0	61	2.131510416666666
n14-1	n15	1	0	73	2.264322916666666
n13-1	n14	1	0	78	2.1523437499999996
n23-1	n17	1	0	53	2.3749999999999996
n18-1	n18	1	0	73	2.489583333333333
n17-1	n16	1	0	80	2.373697916666666
n20-1	n20	1	0	73	2.709635416666666
n19-1	n19	1	0	80	2.6093749999999996
n24-1	n21	1	0	61	2.8242187499999996
n22-1	n23	1	0	73	2.921875
n21-1	n22	1	0	80	2.8320312499999996
n31-1	n25	1	0	54	3.0716145833333335
n26-1	n26	1	0	73	3.178385416666667
n25-1	n24	1	0	82	3.0559895833333335
n28-1	n28	1	0	73	3.403645833333334
n27-1	n27	1	0	82	3.2929687500000004
n32-1	n29	1	0	61	3.518229166666667
n30-1	n31	1	0	73	3.635416666666667
n29-1	n30	1	0	82	3.5195312500000004
n39-1	n32	1	0	53	3.727864583333334
n34-1	n34	1	0	73	3.846354166666667
n33-1	n33	1	0	80	3.7382812500000004
n36-1	n36	1	0	73	4.065104166666667
n35-1	n35	1	0	80	3.963541666666667
n40-1	n37	1	0	61	4.173177083333334
n38-1	n39	1	0	73	4.28515625
n37-1	n38	1	0	80	4.178385416666667
n47-1	n40	1	0	51	4.393229166666666
n42-1	n42	1	0	77	4.51171875
n41-1	n41	1	0	78	4.403645833333333
n43-1	n43	1	0	75	4.600260416666667
n44-1	n44	1	0	77	4.708333333333334
n48-1	n45	1	0	60	4.807291666666667
n46-1	n47	1	0	75	4.920572916666668
n45-1	n46	1	0	78	4.821614583333334
n55-1	n48	1	0	49	5.029947916666668
n50-1	n50	1	0	75	5.165364583333335
n49-1	n49	1	0	77	5.045572916666668
n51-1	n51	1	0	73	5.270833333333335
n52-1	n52	1	0	75	5.364583333333335
n56-1	n53	1	0	61	5.473958333333335
n54-1	n55	1	0	73	5.582031250000002
n53-1	n54	1	0	77	5.480468750000002
n57-1	n56	1	0	75	5.691406250000002
n58-1	n57	1	0	77	5.807291666666669
n65-1	n60	1	0	58	6.016927083333335
n64-1	n58	1	0	60	5.898437500000002
n60-1	n61	1	0	73	6.020833333333335
n59-1	n59	1	0	75	5.929687500000002
n66-1	n63	1	0	56	6.138020833333336
n67-1	n65	1	0	58	6.243489583333336
n62-1	n64	1	0	70	6.238281250000003
n61-1	n62	1	0	72	6.131510416666669
n71-1	n68	1	0	56	6.486979166666669
n70-1	n66	1	0	60	6.359375000000003
n68-1	n67	1	0	68	6.359375000000003
n72-1	n69	1	0	51	6.584635416666669
n73-1	n70	1	0	56	6.709635416666669
n75-1	n73	1	0	56	6.959635416666669
n74-1	n72	1	0	60	6.813802083333335
n69-1	n71	1	0	80	6.808593750000002
n79-1	n76	1	0	56	7.169270833333337
n78-1	n75	1	0	61	7.04557291666667
n76-1	n74	1	0	70	7.035156250000003
n81-1	n78	1	0	56	7.4101562500000036
n80-1	n77	1	0	61	7.298177083333337
n83-1	n81	1	0	56	7.653645833333337
n82-1	n79	1	0	61	7.5143229166666705
n77-1	n80	1	0	80	7.5195312500000036
n87-1	n84	1	0	56	7.868489583333336
n86-1	n83	1	0	63	7.750000000000003
n84-1	n82	1	0	72	7.74869791666667
n89-1	n86	1	0	56	8.091145833333336
n88-1	n85	1	0	63	7.985677083333336
n91-1	n89	1	0	56	8.337239583333336
n90-1	n88	1	0	63	8.21744791666667
n85-1	n87	1	0	80	8.212239583333336
