onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0403646,0.106770836,77,51,1,0,n0,-10.0,-10.0
1.0703125,0.3203125,49,33,1,0,n1,1.055338,0.0
1.1640625,0.067708336,73,50,1,0,n2,1.055338,0.0
1.2981771,0.053385418,68,40,1,0,n3,1.298177,1.0
1.3606771,0.080729164,73,51,1,0,n4,1.298177,1.0
1.4583334,0.092447914,61,40,1,0,n5,1.298177,1.0
1.4635416,0.044270832,77,62,1,0,n6,1.460938,2.0
1.5872396,0.055989582,73,55,1,0,n7,1.460938,2.0
1.6640625,0.4518229,51,52,1,0,n8,1.460938,2.0
1.6940104,0.083333336,78,65,1,0,n9,1.679036,3.0
1.8020834,0.075520836,73,56,1,0,n10,1.679036,3.0
1.9192709,0.069010414,78,66,1,0,n11,1.679036,3.0
2.03125,0.076822914,73,55,1,0,n12,1.919271,4.0
2.1315105,0.044270832,61,54,1,0,n13,1.919271,4.0
2.1523438,0.0625,78,66,1,0,n14,2.141927,5.0
2.264323,0.08203125,73,58,1,0,n15,2.141927,5.0
2.373698,0.108072914,80,71,1,0,n16,2.141927,5.0
2.375,0.4205729,53,60,1,0,n17,2.374349,6.0
2.4895833,0.080729164,73,62,1,0,n18,2.374349,6.0
2.609375,0.08203125,80,72,1,0,n19,2.609375,7.0
2.7096355,0.083333336,73,67,1,0,n20,2.609375,7.0
2.8242188,0.048177082,61,64,1,0,n21,2.609375,7.0
2.8320312,0.057291668,80,71,1,0,n22,2.828125,8.0
2.921875,0.08984375,73,65,1,0,n23,2.828125,8.0
3.0559895,0.1171875,82,72,1,0,n24,2.828125,8.0
3.0716145,0.40104166,54,67,1,0,n25,3.063802,9.0
3.1783855,0.087239586,73,66,1,0,n26,3.063802,9.0
3.2929688,0.0859375,82,73,1,0,n27,3.063802,9.0
3.4036458,0.079427086,73,63,1,0,n28,3.292969,10.0
3.5182292,0.057291668,61,52,1,0,n29,3.292969,10.0
3.5195312,0.07421875,82,71,1,0,n30,3.51888,11.0
3.6354167,0.059895832,73,55,1,0,n31,3.51888,11.0
3.7278645,0.3984375,53,56,1,0,n32,3.51888,11.0
3.7382812,0.0703125,80,62,1,0,n33,3.733073,12.0
3.8463542,0.075520836,73,57,1,0,n34,3.733073,12.0
3.9635417,0.059895832,80,55,1,0,n35,3.733073,12.0
4.065104,0.076822914,73,54,1,0,n36,3.963542,13.0
4.1731772,0.069010414,61,51,1,0,n37,3.963542,13.0
4.1783853,0.078125,80,58,1,0,n38,4.175781,14.0
4.2851562,0.055989582,73,55,1,0,n39,4.175781,14.0
4.393229,0.3658854,51,57,1,0,n40,4.175781,14.0
4.403646,0.140625,78,63,1,0,n41,4.398438,15.0
4.5117188,0.0859375,77,62,1,0,n42,4.398438,15.0
4.6002603,0.0703125,75,67,1,0,n43,4.60026,16.0
4.7083335,0.091145836,77,64,1,0,n44,4.60026,16.0
4.8072915,0.059895832,60,59,1,0,n45,4.60026,16.0
4.8216147,0.092447914,78,70,1,0,n46,4.814453,17.0
4.9205728,0.1015625,75,69,1,0,n47,4.814453,17.0
5.0299478,0.037760418,49,59,1,0,n48,4.814453,17.0
5.0455728,0.067708336,77,68,1,0,n49,5.037761,18.0
5.1653647,0.084635414,75,66,1,0,n50,5.037761,18.0
5.2708335,0.08984375,73,63,1,0,n51,5.270833,19.0
5.3645835,0.09375,75,59,1,0,n52,5.270833,19.0
5.4739585,0.39583334,61,69,1,0,n53,5.270833,19.0
5.4804688,0.067708336,77,64,1,0,n54,5.477214,20.0
5.5820312,0.069010414,73,66,1,0,n55,5.477214,20.0
5.6914062,0.104166664,75,76,1,0,n56,5.691406,21.0
5.8072915,0.108072914,77,68,1,0,n57,5.691406,21.0
5.8984375,0.08203125,60,67,1,0,n58,5.691406,21.0
5.9296875,0.045572918,75,69,1,0,n59,5.914063,22.0
6.0169272,0.104166664,58,60,1,0,n60,5.914063,22.0
6.0208335,0.092447914,73,63,1,0,n61,5.914063,22.0
6.1315103,0.055989582,72,63,1,0,n62,5.914063,22.0
6.138021,0.09375,56,62,1,0,n63,6.134766,23.0
6.2382812,0.098958336,70,55,1,0,n64,6.134766,23.0
6.2434897,0.057291668,58,60,1,0,n65,6.134766,23.0
6.359375,0.075520836,60,61,1,0,n66,6.359375,24.0
6.359375,0.46875,68,63,1,0,n67,6.359375,24.0
6.486979,0.0625,56,55,1,0,n68,6.359375,24.0
6.5846353,0.110677086,51,59,1,0,n69,6.584635,25.0
6.7096353,0.078125,56,52,1,0,n70,6.584635,25.0
6.8085938,0.0625,80,62,1,0,n71,6.584635,25.0
6.8138022,0.048177082,60,53,1,0,n72,6.811198,26.0
6.9596353,0.053385418,56,44,1,0,n73,6.811198,26.0
7.0351562,0.5078125,70,66,1,0,n74,6.811198,26.0
7.0455728,0.100260414,61,62,1,0,n75,7.040364,27.0
7.169271,0.100260414,56,62,1,0,n76,7.040364,27.0
7.2981772,0.065104164,61,65,1,0,n77,7.298177,28.0
7.4101562,0.080729164,56,63,1,0,n78,7.298177,28.0
7.5143228,0.087239586,61,71,1,0,n79,7.298177,28.0
7.5195312,0.0859375,80,71,1,0,n80,7.516927,29.0
7.653646,0.059895832,56,66,1,0,n81,7.516927,29.0
7.7486978,0.47916666,72,76,1,0,n82,7.516927,29.0
7.75,0.0859375,63,70,1,0,n83,7.749349,30.0
7.8684897,0.0859375,56,66,1,0,n84,7.749349,30.0
7.9856772,0.078125,63,70,1,0,n85,7.985677,31.0
8.0911455,0.109375,56,65,1,0,n86,7.985677,31.0
8.212239,0.072916664,80,71,1,0,n87,7.985677,31.0
8.217448,0.072916664,63,66,1,0,n88,8.214844,32.0
8.337239,0.06640625,56,64,1,0,n89,8.214844,32.0
8.4401045,0.48828125,73,79,1,0,n90,8.214844,32.0
8.441406,0.087239586,65,66,1,0,n91,8.440755,33.0
8.558594,0.092447914,56,71,1,0,n92,8.440755,33.0
8.677083,0.088541664,65,69,1,0,n93,8.677083,34.0
8.792969,0.075520836,56,63,1,0,n94,8.677083,34.0
8.907552,0.057291668,65,64,1,0,n95,8.677083,34.0
8.912761,0.083333336,80,69,1,0,n96,8.910156,35.0
9.036458,0.079427086,56,61,1,0,n97,8.910156,35.0
9.147136,0.4622396,72,70,1,0,n98,8.910156,35.0
9.154948,0.0703125,63,69,1,0,n99,9.151041,36.0
9.266927,0.0625,56,66,1,0,n100,9.151041,36.0
9.386719,0.071614586,63,64,1,0,n101,9.386719,37.0
9.4973955,0.08203125,56,63,1,0,n102,9.386719,37.0
9.5911455,0.059895832,80,63,1,0,n103,9.386719,37.0
9.6067705,0.084635414,63,70,1,0,n104,9.598959,38.0
9.7317705,0.055989582,56,41,1,0,n105,9.598959,38.0
9.786458,0.07421875,61,60,1,0,n106,9.598959,38.0
9.8203125,0.4153646,70,64,1,0,n107,9.803385,39.0
9.9140625,0.0546875,60,56,1,0,n108,9.803385,39.0
10.015625,0.092447914,58,59,1,0,n109,10.015625,40.0
10.130208,0.059895832,60,54,1,0,n110,10.015625,40.0
10.229167,0.059895832,79,68,1,0,n111,10.015625,40.0
10.233073,0.071614586,61,48,1,0,n112,10.23112,41.0
10.354167,0.05078125,58,50,1,0,n113,10.23112,41.0
10.457031,0.106770836,60,57,1,0,n114,10.23112,41.0
10.4661455,0.1171875,68,69,1,0,n115,10.461589,42.0
10.584636,0.083333336,58,55,1,0,n116,10.461589,42.0
10.688802,0.087239586,56,62,1,0,n117,10.688802,43.0
10.803386,0.067708336,58,61,1,0,n118,10.688802,43.0
10.904948,0.49609375,80,76,1,0,n119,10.688802,43.0
10.917969,0.1015625,60,60,1,0,n120,10.911458,44.0
11.03125,0.10546875,56,61,1,0,n121,10.911458,44.0
11.140625,0.1015625,58,71,1,0,n122,11.140625,45.0
11.261719,0.1015625,59,62,1,0,n123,11.140625,45.0
11.352864,0.096354164,78,70,1,0,n124,11.140625,45.0
11.384114,0.071614586,58,62,1,0,n125,11.36849,46.0
11.462239,0.102864586,77,69,1,0,n126,11.36849,46.0
11.489583,0.08984375,56,61,1,0,n127,11.36849,46.0
11.566406,0.055989582,75,65,1,0,n128,11.36849,46.0
11.5911455,0.03515625,54,37,1,0,n129,11.578776,47.0
11.6692705,0.104166664,77,64,1,0,n130,11.578776,47.0
11.8046875,0.3736979,51,57,1,0,n131,11.578776,47.0
11.8046875,0.109375,78,65,1,0,n132,11.578776,47.0
11.9192705,0.069010414,75,59,1,0,n133,11.804688,48.0
12.0078125,0.091145836,70,60,1,0,n134,12.007812,49.0
12.128906,0.098958336,75,47,1,0,n135,12.007812,49.0
12.230469,0.049479168,78,58,1,0,n136,12.007812,49.0
12.243489,0.065104164,63,52,1,0,n137,12.23698,50.0
12.334636,0.096354164,75,45,1,0,n138,12.23698,50.0
12.459636,0.087239586,80,60,1,0,n139,12.23698,50.0
12.4661455,0.43489584,53,55,1,0,n140,12.462891,51.0
12.572917,0.07421875,75,59,1,0,n141,12.462891,51.0
12.6901045,0.059895832,80,67,1,0,n142,12.690104,52.0
12.791667,0.07421875,75,63,1,0,n143,12.690104,52.0
12.899739,0.084635414,80,70,1,0,n144,12.690104,52.0
12.904948,0.048177082,63,70,1,0,n145,12.902344,53.0
13.0026045,0.0859375,75,64,1,0,n146,12.902344,53.0
13.131511,0.098958336,82,73,1,0,n147,12.902344,53.0
13.151042,0.41796875,54,74,1,0,n148,13.141276,54.0
13.233073,0.087239586,75,73,1,0,n149,13.141276,54.0
13.358073,0.080729164,82,76,1,0,n150,13.358073,55.0
13.441406,0.106770836,75,74,1,0,n151,13.358073,55.0
13.574219,0.078125,82,79,1,0,n152,13.358073,55.0
13.59375,0.04296875,63,68,1,0,n153,13.583984,56.0
13.665364,0.09375,75,69,1,0,n154,13.583984,56.0
13.785156,0.09375,83,76,1,0,n155,13.583984,56.0
13.796875,0.4205729,56,71,1,0,n156,13.791016,57.0
13.884114,0.095052086,75,72,1,0,n157,13.791016,57.0
14.0078125,0.083333336,83,73,1,0,n158,14.007812,58.0
14.09375,0.109375,75,66,1,0,n159,14.007812,58.0
14.235677,0.046875,63,63,1,0,n160,14.007812,58.0
14.238281,0.063802086,83,69,1,0,n161,14.236979,59.0
14.332031,0.0859375,75,62,1,0,n162,14.236979,59.0
14.457031,0.07421875,82,65,1,0,n163,14.236979,59.0
14.46875,0.37890625,54,60,1,0,n164,14.462891,60.0
