onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,2.0,0.0,1.0,0,4,49,5,n7-1,0.0,0.964063
0.0,0.5,0.0,0.25,0,1,77,1,n1-1,0.0,0.964063
0.5,0.5,0.25,0.25,1,1,73,1,n2-1,0.0,0.964063
1.0,0.5,0.5,0.25,2,1,68,1,n3-1,1.0,1.152083
1.5,0.5,0.75,0.25,3,1,73,1,n4-1,1.0,1.152083
2.0,1.0,1.0,0.5,4,2,61,5,n8-1,2.0,1.348437
2.0,0.5,1.0,0.25,4,1,77,1,n5-1,2.0,1.348437
2.5,0.5,1.25,0.25,5,1,73,1,n6-1,2.0,1.348437
3.0,2.0,1.5,1.0,6,4,51,5,n15-1,3.0,1.547395
3.0,0.5,1.5,0.25,6,1,78,1,n9-1,3.0,1.547395
3.5,0.5,1.75,0.25,7,1,73,1,n10-1,3.0,1.547395
4.0,0.5,2.0,0.25,8,1,78,1,n11-1,4.0,1.740625
4.5,0.5,2.25,0.25,9,1,73,1,n12-1,4.0,1.740625
5.0,1.0,2.5,0.5,10,2,61,5,n16-1,5.0,1.942188
5.0,0.5,2.5,0.25,10,1,78,1,n13-1,5.0,1.942188
5.5,0.5,2.75,0.25,11,1,73,1,n14-1,5.0,1.942188
6.0,2.0,3.0,1.0,12,4,53,5,n23-1,6.0,2.151042
6.0,0.5,3.0,0.25,12,1,80,1,n17-1,6.0,2.151042
6.5,0.5,3.25,0.25,13,1,73,1,n18-1,6.0,2.151042
7.0,0.5,3.5,0.25,14,1,80,1,n19-1,7.0,2.336458
7.5,0.5,3.75,0.25,15,1,73,1,n20-1,7.0,2.336458
8.0,1.0,4.0,0.5,16,2,61,5,n24-1,8.0,2.53125
8.0,0.5,4.0,0.25,16,1,80,1,n21-1,8.0,2.53125
8.5,0.5,4.25,0.25,17,1,73,1,n22-1,8.0,2.53125
9.0,2.0,4.5,1.0,18,4,54,5,n31-1,9.0,2.742708
9.0,0.5,4.5,0.25,18,1,82,1,n25-1,9.0,2.742708
9.5,0.5,4.75,0.25,19,1,73,1,n26-1,9.0,2.742708
10.0,0.5,5.0,0.25,20,1,82,1,n27-1,10.0,2.946875
10.5,0.5,5.25,0.25,21,1,73,1,n28-1,10.0,2.946875
11.0,1.0,5.5,0.5,22,2,61,5,n32-1,11.0,3.15
11.0,0.5,5.5,0.25,22,1,82,1,n29-1,11.0,3.15
11.5,0.5,5.75,0.25,23,1,73,1,n30-1,11.0,3.15
12.0,2.0,6.0,1.0,24,4,53,5,n39-1,12.0,3.35625
12.0,0.5,6.0,0.25,24,1,80,1,n33-1,12.0,3.35625
12.5,0.5,6.25,0.25,25,1,73,1,n34-1,12.0,3.35625
13.0,0.5,6.5,0.25,26,1,80,1,n35-1,13.0,3.547917
13.5,0.5,6.75,0.25,27,1,73,1,n36-1,13.0,3.547917
14.0,1.0,7.0,0.5,28,2,61,5,n40-1,14.0,3.749479
14.0,0.5,7.0,0.25,28,1,80,1,n37-1,14.0,3.749479
14.5,0.5,7.25,0.25,29,1,73,1,n38-1,14.0,3.749479
15.0,2.0,7.5,1.0,30,4,51,5,n47-1,15.0,3.963021
15.0,0.5,7.5,0.25,30,1,78,1,n41-1,15.0,3.963021
15.5,0.5,7.75,0.25,31,1,77,1,n42-1,15.0,3.963021
16.0,0.5,8.0,0.25,32,1,75,1,n43-1,16.0,4.173958
16.5,0.5,8.25,0.25,33,1,77,1,n44-1,16.0,4.173958
17.0,1.0,8.5,0.5,34,2,60,5,n48-1,17.0,4.363542
17.0,0.5,8.5,0.25,34,1,78,1,n45-1,17.0,4.363542
17.5,0.5,8.75,0.25,35,1,75,1,n46-1,17.0,4.363542
18.0,2.0,9.0,1.0,36,4,49,5,n55-1,18.0,4.579167
18.0,0.5,9.0,0.25,36,1,77,1,n49-1,18.0,4.579167
18.5,0.5,9.25,0.25,37,1,75,1,n50-1,18.0,4.579167
19.0,0.5,9.5,0.25,38,1,73,1,n51-1,19.0,4.783333
19.5,0.5,9.75,0.25,39,1,75,1,n52-1,19.0,4.783333
20.0,2.0,10.0,1.0,40,4,61,5,n56-1,20.0,4.991667
20.0,0.5,10.0,0.25,40,1,77,1,n53-1,20.0,4.991667
20.5,0.5,10.25,0.25,41,1,73,1,n54-1,20.0,4.991667
21.0,0.5,10.5,0.25,42,1,75,1,n57-1,21.0,5.185417
21.5,0.5,10.75,0.25,43,1,77,1,n58-1,21.0,5.185417
22.0,0.5,11.0,0.25,44,1,60,5,n64-1,22.0,5.376041
22.0,0.5,11.0,0.25,44,1,75,1,n59-1,22.0,5.376041
