onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0182291,0.46614584,49,37,1,0,n0,-10.0,-10.0
1.0286459,0.080729164,77,55,1,0,n1,1.023438,0.0
1.1471354,0.049479168,73,51,1,0,n2,1.023438,0.0
1.234375,0.08203125,68,54,1,0,n3,1.234375,1.0
1.3320312,0.087239586,73,58,1,0,n4,1.234375,1.0
1.4466146,0.049479168,77,62,1,0,n5,1.234375,1.0
1.4596354,0.040364582,61,50,1,0,n6,1.453125,2.0
1.5651041,0.057291668,73,61,1,0,n7,1.453125,2.0
1.6614584,0.38541666,51,52,1,0,n8,1.661458,3.0
1.7682291,0.045572918,73,64,1,0,n9,1.661458,3.0
1.859375,0.057291668,78,67,1,0,n10,1.859375,4.0
1.9570312,0.063802086,73,67,1,0,n11,1.859375,4.0
2.0677083,0.041666668,61,55,1,0,n12,1.859375,4.0
2.0703125,0.044270832,78,66,1,0,n13,2.06901,5.0
2.1666667,0.04296875,73,62,1,0,n14,2.06901,5.0
2.266927,0.044270832,80,65,1,0,n15,2.06901,5.0
2.2682292,0.3515625,53,54,1,0,n16,2.267578,6.0
2.358073,0.075520836,73,63,1,0,n17,2.267578,6.0
2.46875,0.046875,80,74,1,0,n18,2.46875,7.0
2.5807292,0.0625,73,64,1,0,n19,2.46875,7.0
2.6783855,0.046875,80,79,1,0,n20,2.46875,7.0
2.6940105,0.033854168,61,56,1,0,n21,2.686198,8.0
2.7786458,0.080729164,73,70,1,0,n22,2.686198,8.0
2.891927,0.044270832,82,84,1,0,n23,2.686198,8.0
2.8997395,0.32291666,54,55,1,0,n24,2.895834,9.0
2.9973958,0.072916664,73,69,1,0,n25,2.895834,9.0
3.1041667,0.055989582,82,75,1,0,n26,2.895834,9.0
3.2057292,0.076822914,73,70,1,0,n27,3.104167,10.0
3.2994792,0.059895832,82,78,1,0,n28,3.104167,10.0
3.3033855,0.04296875,61,56,1,0,n29,3.301432,11.0
3.4010417,0.076822914,73,70,1,0,n30,3.301432,11.0
3.5078125,0.055989582,80,70,1,0,n31,3.301432,11.0
3.514323,0.3359375,53,50,1,0,n32,3.511068,12.0
3.6158855,0.07421875,73,68,1,0,n33,3.511068,12.0
3.7161458,0.044270832,80,70,1,0,n34,3.511068,12.0
3.8190105,0.069010414,73,63,1,0,n35,3.716146,13.0
3.9179688,0.049479168,80,73,1,0,n36,3.716146,13.0
3.9322917,0.032552082,61,46,1,0,n37,3.92513,14.0
4.0273438,0.067708336,73,65,1,0,n38,3.92513,14.0
4.127604,0.30989584,51,47,1,0,n39,3.92513,14.0
4.1367188,0.087239586,78,70,1,0,n40,4.132162,15.0
