onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9916667,5.467708,52,33,1,0,n0,-10.0,-10.0
0.99791664,0.246875,64,48,1,0,n1,0.994792,0.0
1.253125,0.23854166,68,63,1,0,n2,0.994792,0.0
1.5041667,0.21041666,71,61,1,0,n3,0.994792,0.0
1.753125,0.29166666,76,60,1,0,n4,0.994792,0.0
1.7854167,0.83125,56,44,1,0,n5,1.769271,3.0
2.00625,0.23125,75,67,1,0,n6,1.769271,3.0
2.2510417,0.365625,76,61,1,0,n7,1.769271,3.0
2.503125,0.11354167,75,62,1,0,n8,1.769271,3.0
2.55,1.0020833,57,50,1,0,n9,2.543056,6.0
2.5760417,0.055208333,73,59,1,0,n10,2.543056,6.0
2.6510417,0.08645833,75,65,1,0,n11,2.543056,6.0
2.7135417,0.08958333,73,62,1,0,n12,2.543056,6.0
2.7833333,0.19166666,71,67,1,0,n13,2.543056,6.0
3.0416667,0.20104167,73,65,1,0,n14,2.543056,6.0
3.2885416,0.8489583,76,66,1,0,n15,2.543056,6.0
3.5520833,0.26354167,56,53,1,0,n16,3.288542,9.0
3.8177083,0.31979167,54,51,1,0,n17,3.288542,9.0
4.0729165,0.06458333,73,57,1,0,n18,3.288542,9.0
4.0979166,1.0,56,53,1,0,n19,3.288542,9.0
4.1385417,0.052083332,71,58,1,0,n20,4.103125,12.0
4.215625,0.08229167,73,66,1,0,n21,4.103125,12.0
4.289583,0.06458333,71,67,1,0,n22,4.103125,12.0
4.3541665,0.19375,69,66,1,0,n23,4.103125,12.0
4.6125,0.19791667,71,65,1,0,n24,4.103125,12.0
4.865625,0.92604166,76,63,1,0,n25,4.865625,15.0
5.1197915,0.24270834,57,51,1,0,n26,4.865625,15.0
5.384375,0.27708334,56,56,1,0,n27,4.865625,15.0
5.65625,0.23645833,69,61,1,0,n28,4.865625,15.0
5.6666665,1.571875,54,47,1,0,n29,5.661459,18.0
5.9166665,0.19895834,71,63,1,0,n30,5.661459,18.0
6.1697917,0.20208333,73,62,1,0,n31,5.661459,18.0
6.4322915,0.23020834,71,56,1,0,n32,5.661459,18.0
6.4489584,0.6020833,51,38,1,0,n33,6.440625,21.0
6.6854167,0.203125,73,59,1,0,n34,6.440625,21.0
6.94375,0.29479167,69,60,1,0,n35,6.440625,21.0
7.210417,0.215625,68,63,1,0,n36,6.440625,21.0
7.217708,0.5239583,52,48,1,0,n37,7.214062,24.0
7.4729166,0.19583334,71,73,1,0,n38,7.214062,24.0
7.48125,0.35625,56,52,1,0,n39,7.214062,24.0
7.726042,0.20625,76,73,1,0,n40,7.214062,24.0
7.75,0.25416666,59,56,1,0,n41,7.214062,24.0
7.996875,1.1510416,80,76,1,0,n42,7.214062,24.0
8.0125,0.271875,64,52,1,0,n43,8.004687,27.0
8.260417,0.25833333,63,58,1,0,n44,8.004687,27.0
8.51875,0.36666667,64,59,1,0,n45,8.004687,27.0
8.803125,1.3354167,58,59,1,0,n46,8.803125,30.0
9.064584,0.24479167,78,69,1,0,n47,8.803125,30.0
9.315625,0.27916667,61,51,1,0,n48,8.803125,30.0
9.328125,0.24895833,76,65,1,0,n49,8.803125,30.0
9.595834,0.23333333,75,65,1,0,n50,8.803125,30.0
9.611459,0.47916666,66,49,1,0,n51,9.603646,33.0
9.860416,0.221875,76,64,1,0,n52,9.603646,33.0
10.108334,0.40833333,73,62,1,0,n53,9.603646,33.0
10.370833,0.5395833,47,49,1,0,n54,9.603646,33.0
10.429167,0.10625,73,59,1,0,n55,10.4,36.0
10.54375,0.096875,75,60,1,0,n56,10.4,36.0
10.6625,0.29479167,51,44,1,0,n57,10.4,36.0
10.670834,0.088541664,76,58,1,0,n58,10.4,36.0
10.789583,0.057291668,75,53,1,0,n59,10.4,36.0
10.873959,0.07395833,76,56,1,0,n60,10.4,36.0
10.910417,0.20729166,54,52,1,0,n61,10.4,36.0
10.961458,0.077083334,75,68,1,0,n62,10.4,36.0
