xml_id	midi_id	track	channel	pitch	onset
n20-1	n0	1	0	52	1.0
n15-1	n4	1	0	56	1.8763020833333333
n1-1	n1	1	0	64	1.0052083333333333
n2-1	n2	1	0	68	1.3203125
n3-1	n3	1	0	71	1.58203125
n4-1	n5	1	0	76	1.8763020833333333
n16-1	n9	1	0	57	2.7239583333333335
n12-1	n10	1	0	73	2.7981770833333335
n14-1	n12	1	0	73	2.9322916666666665
n7-1	deletion
n5-1	n6	1	0	75	2.1666666666666665
n11-1	n8	1	0	75	2.7122395833333335
n13-1	n11	1	0	75	2.859375
n6-1	n7	1	0	76	2.4361979166666665
n8-1	n13	1	0	71	3.03125
n9-1	n14	1	0	73	3.3098958333333335
n10-1	n15	1	0	76	3.5963541666666665
n19-1	n17	1	0	54	4.171875
n18-1	n16	1	0	56	3.884114583333333
n35-1	n19	1	0	56	4.447916666666666
n32-1	n20	1	0	71	4.510416666666666
n34-1	n22	1	0	71	4.641927083333333
n21-1	deletion
n31-1	n18	1	0	73	4.428385416666666
n33-1	n21	1	0	73	4.587239583333333
n22-1	n23	1	0	69	4.744791666666667
n23-1	n24	1	0	71	5.036458333333334
n24-1	n25	1	0	76	5.337239583333334
n39-1	n29	1	0	54	6.218750000000001
n38-1	n27	1	0	56	5.910156250000001
n37-1	n26	1	0	57	5.638020833333334
n25-1	n28	1	0	69	6.210937500000001
n42-1	n32	1	0	51	7.05859375
n26-1	n30	1	0	71	6.511718750000001
n28-1	n33	1	0	71	7.08984375
n27-1	n31	1	0	73	6.791666666666667
n61-1	n36	1	0	52	7.919270833333332
n53-1	deletion
n43-1	n37	1	0	68	7.920572916666665
n30-1	n35	1	0	69	7.643229166666666
n29-1	n34	1	0	73	7.356770833333333
n54-1	n39	1	0	56	8.220052083333336
n55-1	n40	1	0	59	8.48307291666667
n56-1	n43	1	0	64	8.78776041666667
n44-1	n38	1	0	71	8.217447916666668
n45-1	n41	1	0	76	8.492187500000004
n46-1	n42	1	0	80	8.777343750000004
n62-1	n46	1	0	58	9.644531250000004
n57-1	n44	1	0	63	9.08072916666667
n58-1	n45	1	0	64	9.35416666666667
n59-1	n48	1	0	61	10.227864583333337
n60-1	n50	1	0	66	10.520833333333337
n50-1	n51	1	0	75	10.535156250000004
n49-1	n49	1	0	76	10.227864583333337
n48-1	n47	1	0	78	9.940104166666671
n80-1	n54	1	0	47	11.382812500000002
n52-1	n53	1	0	73	11.105468750000002
n70-1	n55	1	0	73	11.408854166666668
n71-1	n56	1	0	75	11.518229166666668
n63-1	deletion
n73-1	n59	1	0	75	11.726562500000004
n51-1	n52	1	0	76	10.80338541666667
n72-1	n57	1	0	76	11.621093750000002
n81-1	n58	1	0	51	11.653645833333336
n82-1	n63	1	0	54	11.936197916666671
n83-1	n65	1	0	59	12.244791666666671
n75-1	n61	1	0	75	11.867187500000004
n77-1	n64	1	0	75	12.013020833333337
n74-1	n60	1	0	76	11.794270833333336
n76-1	n62	1	0	76	11.924479166666671
n88-1	n68	1	0	52	13.106770833333337
n84-1	n66	1	0	58	12.529947916666671
n85-1	n67	1	0	59	12.800781250000004
n86-1	n70	1	0	59	13.679687500000004
n87-1	n73	1	0	64	14.00130208333334
n65-1	n69	1	0	76	13.402343750000004
n66-1	n71	1	0	78	13.679687500000004
n67-1	n72	1	0	80	14.000000000000005
n104-1	n76	1	0	54	14.912760416666671
n89-1	n77	1	0	66	14.916666666666671
n68-1	n74	1	0	73	14.312500000000005
n69-1	n75	1	0	76	14.59114583333334
n100-1	n81	1	0	63	15.800781250000007
n90-1	n78	1	0	70	15.216145833333341
n91-1	n79	1	0	73	15.490885416666675
n92-1	n80	1	0	78	15.792968750000007
n95-1	n84	1	0	68	16.645833333333343
n93-1	n82	1	0	76	16.093750000000007
n94-1	n83	1	0	78	16.384114583333343
n96-1	n85	1	0	71	16.93229166666668
n97-1	n86	1	0	75	17.235677083333346
n98-1	n87	1	0	76	17.536458333333346
n115-1	n90	1	0	58	18.42057291666668
n103-1	n89	1	0	59	18.11979166666668
n102-1	n88	1	0	61	17.83463541666668
n105-1	n91	1	0	66	18.42447916666668
n106-1	n92	1	0	70	18.72916666666668
n107-1	n93	1	0	73	18.99869791666668
n108-1	n94	1	0	76	19.29296875000001
n120-1	n96	1	0	49	19.84765625000001
n121-1	n98	1	0	50	20.175781250000007
n111-1	n99	1	0	66	20.182291666666675
n109-1	n95	1	0	75	19.57421875000001
n110-1	n97	1	0	76	19.85156250000001
n117-1	n103	1	0	59	21.079427083333346
n112-1	n100	1	0	70	20.48046875000001
n113-1	n101	1	0	73	20.763020833333346
n114-1	n102	1	0	74	21.059895833333346
n123-1	n104	1	0	52	21.361979166666682
n124-1	n105	1	0	54	21.643229166666682
n148-1	n106	1	0	55	21.936197916666682
n142-1	n108	1	0	61	22.24348958333335
n143-1	n110	1	0	62	22.52473958333335
n144-1	n111	1	0	64	22.81380208333335
n128-1	n112	1	0	73	22.824218750000018
n127-1	n109	1	0	74	22.522135416666682
n126-1	n107	1	0	76	22.240885416666682
n149-1	n116	1	0	54	23.66666666666668
n138-1	n117	1	0	70	23.720052083333343
n140-1	n119	1	0	70	23.858072916666675
n131-1	deletion
n130-1	n114	1	0	71	23.389322916666682
n137-1	n115	1	0	71	23.657552083333346
n139-1	n118	1	0	71	23.803385416666675
n129-1	n113	1	0	74	23.109375000000018
n133-1	n121	1	0	66	24.290364583333336
n132-1	n120	1	0	68	23.97135416666667
n134-1	n122	1	0	79	24.675781249999996
n151-1	n123	1	0	56	24.98307291666666
n152-1	n126	1	0	58	25.28255208333333
n162-1	n129	1	0	59	25.558593749999996
n172-1	deletion
n147-1	n127	1	0	61	25.28645833333333
n146-1	n124	1	0	63	24.98567708333333
n153-1	n130	1	0	76	25.574218749999996
n136-1	n128	1	0	77	25.289062499999996
n135-1	n125	1	0	78	24.98697916666666
n173-1	n132	1	0	53	26.139322916666657
n174-1	n134	1	0	54	26.440104166666657
n156-1	n135	1	0	73	26.455729166666657
n155-1	n133	1	0	74	26.143229166666657
n154-1	n131	1	0	75	25.85026041666666
n157-1	n136	1	0	75	26.588541666666657
n166-1	n141	1	0	47	27.386718749999993
n164-1	n137	1	0	58	26.73828124999999
n161-1	n143	1	0	63	27.433593749999993
n165-1	n140	1	0	64	27.063802083333325
n159-1	n139	1	0	70	27.059895833333325
n160-1	n142	1	0	71	27.417968749999993
n158-1	n138	1	0	76	26.74348958333332
n167-1	n144	1	0	51	27.703124999999993
n168-1	n145	1	0	54	27.983072916666654
n169-1	n146	1	0	59	28.272135416666654
n185-1	n149	1	0	56	29.14583333333332
n170-1	n147	1	0	57	28.55989583333332
n171-1	n148	1	0	59	28.83723958333332
n176-1	n150	1	0	75	29.45052083333332
n177-1	n151	1	0	78	29.726562499999986
n178-1	n152	1	0	83	30.01302083333332
n194-1	n157	1	0	53	30.861979166666654
n187-1	n153	1	0	54	30.289062499999986
n188-1	n155	1	0	56	30.585937499999986
n181-1	n158	1	0	73	30.88411458333332
n179-1	n154	1	0	81	30.307291666666654
n180-1	n156	1	0	83	30.589843749999986
n189-1	n159	1	0	56	31.16796874999999
n190-1	n161	1	0	59	31.45052083333332
n191-1	n164	1	0	62	31.75520833333332
n182-1	n160	1	0	77	31.182291666666657
n183-1	n162	1	0	80	31.45833333333332
n184-1	n163	1	0	83	31.752604166666654
n212-1	n167	1	0	54	32.62760416666666
n192-1	n165	1	0	59	32.03385416666666
n193-1	n166	1	0	61	32.34114583333332
n213-1	n171	1	0	50	33.56640624999999
n209-1	n170	1	0	59	33.55338541666666
n196-1	n168	1	0	80	32.93880208333332
n197-1	n169	1	0	81	33.23828124999999
n214-1	n175	1	0	51	34.479166666666664
n210-1	n174	1	0	60	34.459635416666664
n199-1	n172	1	0	78	33.85807291666666
n200-1	n173	1	0	80	34.16145833333333
n215-1	n179	1	0	49	35.35026041666667
n211-1	n180	1	0	61	35.35807291666667
n202-1	n176	1	0	77	34.75390625
n204-1	n178	1	0	77	35.34765625000001
n203-1	n177	1	0	78	35.04427083333334
n205-1	n181	1	0	78	35.48046875000001
n244-1	n184	1	0	47	36.31640625000002
n207-1	n183	1	0	73	35.947916666666686
n216-1	n185	1	0	74	36.32552083333336
n206-1	n182	1	0	80	35.63411458333335
n232-1	n187	1	0	50	36.677083333333364
n233-1	n189	1	0	53	36.94661458333337
n234-1	n190	1	0	56	37.22265625000004
n224-1	n191	1	0	65	37.22656250000004
n223-1	n188	1	0	68	36.93880208333337
