onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,21.0,0.0,10.5,0,420,52,6,n20-1,0.0,0.979688
0.0,1.0,0.0,0.5,0,20,64,1,n1-1,0.0,0.979688
1.0,1.0,0.5,0.5,20,20,68,1,n2-1,0.0,0.979688
2.0,1.0,1.0,0.5,40,20,71,1,n3-1,0.0,0.979688
3.0,3.0,1.5,1.5,60,60,56,5,n15-1,3.0,1.783333
3.0,1.0,1.5,0.5,60,20,76,1,n4-1,3.0,1.783333
4.0,1.0,2.0,0.5,80,20,75,1,n5-1,3.0,1.783333
5.0,1.0,2.5,0.5,100,20,76,1,n6-1,3.0,1.783333
6.0,4.0,3.0,2.0,120,80,57,5,n16-1,6.0,2.515278
6.0,1.0,3.0,0.5,120,20,73,1,n7-1,6.0,2.515278
6.0,0.2,3.0,0.1,120,4,75,2,n11-1,6.0,2.515278
6.2,0.2,3.1,0.1,124,4,73,2,n12-1,6.0,2.515278
6.4,0.2,3.2,0.1,128,4,75,2,n13-1,6.0,2.515278
6.6,0.4,3.3,0.2,132,8,73,2,n14-1,6.0,2.515278
7.0,1.0,3.5,0.5,140,20,71,1,n8-1,6.0,2.515278
8.0,1.0,4.0,0.5,160,20,73,1,n9-1,6.0,2.515278
9.0,3.0,4.5,1.5,180,60,76,1,n10-1,9.0,3.344792
10.0,1.0,5.0,0.5,200,20,56,5,n18-1,9.0,3.344792
11.0,1.0,5.5,0.5,220,20,54,5,n19-1,9.0,3.344792
12.0,4.0,6.0,2.0,240,80,56,5,n35-1,12.0,4.096875
12.0,1.0,6.0,0.5,240,20,71,1,n21-1,12.0,4.096875
12.0,0.2,6.0,0.1,240,4,73,2,n31-1,12.0,4.096875
12.2,0.2,6.1,0.1,244,4,71,2,n32-1,12.0,4.096875
12.4,0.2,6.2,0.1,248,4,73,2,n33-1,12.0,4.096875
12.6,0.4,6.3,0.2,252,8,71,2,n34-1,12.0,4.096875
13.0,1.0,6.5,0.5,260,20,69,1,n22-1,12.0,4.096875
14.0,1.0,7.0,0.5,280,20,71,1,n23-1,12.0,4.096875
15.0,3.0,7.5,1.5,300,60,76,1,n24-1,15.0,4.911458
16.0,1.0,8.0,0.5,320,20,57,5,n37-1,15.0,4.911458
17.0,1.0,8.5,0.5,340,20,56,5,n38-1,15.0,4.911458
18.0,6.0,9.0,3.0,360,120,54,5,n39-1,18.0,5.704688
18.0,1.0,9.0,0.5,360,20,69,1,n25-1,18.0,5.704688
19.0,1.0,9.5,0.5,380,20,71,1,n26-1,18.0,5.704688
20.0,1.0,10.0,0.5,400,20,73,1,n27-1,18.0,5.704688
21.0,3.0,10.5,1.5,420,60,51,6,n42-1,21.0,6.4625
21.0,1.0,10.5,0.5,420,20,71,1,n28-1,21.0,6.4625
22.0,1.0,11.0,0.5,440,20,73,1,n29-1,21.0,6.4625
23.0,1.0,11.5,0.5,460,20,69,1,n30-1,21.0,6.4625
24.0,1.0,12.0,0.5,480,20,52,7,n61-1,24.0,7.218229
24.0,1.0,12.0,0.5,480,20,52,5,n53-1,24.0,7.218229
24.0,1.0,12.0,0.5,480,20,68,1,n43-1,24.0,7.218229
25.0,1.0,12.5,0.5,500,20,56,5,n54-1,24.0,7.218229
25.0,1.0,12.5,0.5,500,20,71,1,n44-1,24.0,7.218229
26.0,1.0,13.0,0.5,520,20,59,5,n55-1,24.0,7.218229
26.0,1.0,13.0,0.5,520,20,76,1,n45-1,24.0,7.218229
27.0,1.0,13.5,0.5,540,20,64,5,n56-1,27.0,8.0125
27.0,4.0,13.5,2.0,540,80,80,1,n46-1,27.0,8.0125
28.0,1.0,14.0,0.5,560,20,63,5,n57-1,27.0,8.0125
29.0,1.0,14.5,0.5,580,20,64,5,n58-1,27.0,8.0125
30.0,6.0,15.0,3.0,600,120,58,7,n62-1,30.0,8.842708
31.0,1.0,15.5,0.5,620,20,78,1,n48-1,30.0,8.842708
32.0,1.0,16.0,0.5,640,20,61,5,n59-1,30.0,8.842708
32.0,1.0,16.0,0.5,640,20,76,1,n49-1,30.0,8.842708
33.0,3.0,16.5,1.5,660,60,66,5,n60-1,33.0,9.648438
33.0,1.0,16.5,0.5,660,20,75,1,n50-1,33.0,9.648438
34.0,1.0,17.0,0.5,680,20,76,1,n51-1,33.0,9.648438
35.0,1.0,17.5,0.5,700,20,73,1,n52-1,33.0,9.648438
36.0,1.0,18.0,0.5,720,20,47,5,n80-1,36.0,10.45
36.0,0.25,18.0,0.125,720,5,73,2,n70-1,36.0,10.45
36.0,7.0,18.0,3.5,720,140,75,1,n63-1,36.0,10.45
36.25,0.25,18.125,0.125,725,5,75,2,n71-1,36.0,10.45
36.5,0.25,18.25,0.125,730,5,76,2,n72-1,36.0,10.45
36.75,0.25,18.375,0.125,735,5,75,2,n73-1,36.0,10.45
37.0,1.0,18.5,0.5,740,20,51,5,n81-1,36.0,10.45
37.0,0.25,18.5,0.125,740,5,76,2,n74-1,36.0,10.45
37.25,0.25,18.625,0.125,745,5,75,2,n75-1,36.0,10.45
37.5,0.25,18.75,0.125,750,5,76,2,n76-1,36.0,10.45
37.75,5.25,18.875,2.625,755,105,75,2,n77-1,36.0,10.45
38.0,1.0,19.0,0.5,760,20,54,5,n82-1,36.0,10.45
39.0,1.0,19.5,0.5,780,20,59,5,n83-1,39.0,11.34375
40.0,1.0,20.0,0.5,800,20,58,5,n84-1,39.0,11.34375
41.0,1.0,20.5,0.5,820,20,59,5,n85-1,39.0,11.34375
42.0,6.0,21.0,3.0,840,120,52,6,n88-1,42.0,12.079167
43.0,1.0,21.5,0.5,860,20,76,1,n65-1,42.0,12.079167
44.0,1.0,22.0,0.5,880,20,59,5,n86-1,42.0,12.079167
44.0,1.0,22.0,0.5,880,20,78,1,n66-1,42.0,12.079167
45.0,6.0,22.5,3.0,900,120,64,5,n87-1,45.0,12.884375
45.0,1.0,22.5,0.5,900,20,80,1,n67-1,45.0,12.884375
46.0,1.0,23.0,0.5,920,20,73,1,n68-1,45.0,12.884375
47.0,1.0,23.5,0.5,940,20,76,1,n69-1,45.0,12.884375
48.0,17.0,24.0,8.5,960,340,54,6,n104-1,48.0,13.683855
48.0,1.0,24.0,0.5,960,20,66,1,n89-1,48.0,13.683855
49.0,1.0,24.5,0.5,980,20,70,1,n90-1,48.0,13.683855
50.0,1.0,25.0,0.5,1000,20,73,1,n91-1,48.0,13.683855
51.0,7.0,25.5,3.5,1020,140,63,5,n100-1,51.0,14.479167
51.0,1.0,25.5,0.5,1020,20,78,1,n92-1,51.0,14.479167
52.0,1.0,26.0,0.5,1040,20,76,1,n93-1,51.0,14.479167
53.0,1.0,26.5,0.5,1060,20,78,1,n94-1,51.0,14.479167
54.0,1.0,27.0,0.5,1080,20,68,1,n95-1,54.0,15.266667
55.0,1.0,27.5,0.5,1100,20,71,1,n96-1,54.0,15.266667
56.0,1.0,28.0,0.5,1120,20,75,1,n97-1,54.0,15.266667
57.0,3.0,28.5,1.5,1140,60,76,1,n98-1,57.0,16.077084
58.0,1.0,29.0,0.5,1160,20,61,5,n102-1,57.0,16.077084
59.0,1.0,29.5,0.5,1180,20,59,5,n103-1,57.0,16.077084
60.0,9.0,30.0,4.5,1200,180,58,5,n115-1,60.0,16.903126
60.0,1.0,30.0,0.5,1200,20,66,1,n105-1,60.0,16.903126
61.0,1.0,30.5,0.5,1220,20,70,1,n106-1,60.0,16.903126
62.0,1.0,31.0,0.5,1240,20,73,1,n107-1,60.0,16.903126
63.0,1.0,31.5,0.5,1260,20,76,1,n108-1,63.0,17.683332
64.0,1.0,32.0,0.5,1280,20,75,1,n109-1,63.0,17.683332
65.0,1.0,32.5,0.5,1300,20,49,6,n120-1,63.0,17.683332
65.0,1.0,32.5,0.5,1300,20,76,1,n110-1,63.0,17.683332
66.0,4.0,33.0,2.0,1320,80,50,6,n121-1,66.0,18.496353
66.0,1.0,33.0,0.5,1320,20,66,1,n111-1,66.0,18.496353
67.0,1.0,33.5,0.5,1340,20,70,1,n112-1,66.0,18.496353
68.0,1.0,34.0,0.5,1360,20,73,1,n113-1,66.0,18.496353
69.0,4.0,34.5,2.0,1380,80,59,5,n117-1,69.0,19.324478
