onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,0.5,0,4,53,5,n25-1,0.0,1.027604
0.0,0.5,0.0,0.25,0,2,77,1,n1-1,0.0,1.027604
0.5,0.5,0.25,0.25,2,2,72,1,n2-1,0.0,1.027604
1.0,1.0,0.5,0.5,4,4,57,5,n26-1,0.0,1.027604
1.0,0.5,0.5,0.25,4,2,69,1,n3-1,0.0,1.027604
1.5,0.5,0.75,0.25,6,2,67,1,n4-1,0.0,1.027604
2.0,1.0,1.0,0.5,8,4,60,5,n27-1,0.0,1.027604
2.0,0.5,1.0,0.25,8,2,69,1,n5-1,0.0,1.027604
2.5,0.5,1.25,0.25,10,2,72,1,n6-1,0.0,1.027604
3.0,1.0,1.5,0.5,12,4,57,5,n28-1,3.0,1.763021
3.0,0.5,1.5,0.25,12,2,65,1,n7-1,3.0,1.763021
3.5,0.5,1.75,0.25,14,2,69,1,n8-1,3.0,1.763021
4.0,1.0,2.0,0.5,16,4,53,5,n29-1,3.0,1.763021
4.0,0.5,2.0,0.25,16,2,72,1,n9-1,3.0,1.763021
4.5,0.5,2.25,0.25,18,2,75,1,n10-1,3.0,1.763021
5.0,1.0,2.5,0.5,20,4,57,5,n30-1,3.0,1.763021
5.0,0.5,2.5,0.25,20,2,74,1,n11-1,3.0,1.763021
5.5,0.5,2.75,0.25,22,2,72,1,n12-1,3.0,1.763021
6.0,1.0,3.0,0.5,24,4,58,5,n31-1,6.0,2.47448
6.0,0.5,3.0,0.25,24,2,74,1,n13-1,6.0,2.47448
6.5,0.5,3.25,0.25,26,2,70,1,n14-1,6.0,2.47448
7.0,1.0,3.5,0.5,28,4,62,5,n32-1,6.0,2.47448
7.0,0.5,3.5,0.25,28,2,65,1,n15-1,6.0,2.47448
7.5,0.5,3.75,0.25,30,2,64,1,n16-1,6.0,2.47448
8.0,1.0,4.0,0.5,32,4,58,5,n33-1,6.0,2.47448
8.0,0.5,4.0,0.25,32,2,65,1,n17-1,6.0,2.47448
8.5,0.5,4.25,0.25,34,2,70,1,n18-1,6.0,2.47448
9.0,2.0,4.5,1.0,36,8,41,5,n34-1,9.0,3.216146
9.0,0.5,4.5,0.25,36,2,62,1,n19-1,9.0,3.216146
9.5,0.5,4.75,0.25,38,2,65,1,n20-1,9.0,3.216146
10.0,0.5,5.0,0.25,40,2,69,1,n21-1,9.0,3.216146
10.5,0.5,5.25,0.25,42,2,72,1,n22-1,9.0,3.216146
11.0,0.5,5.5,0.25,44,2,70,1,n23-1,9.0,3.216146
11.5,0.5,5.75,0.25,46,2,69,1,n24-1,9.0,3.216146
12.0,1.0,6.0,0.5,48,4,53,5,n60-1,12.0,3.916667
12.0,0.5,6.0,0.25,48,2,70,1,n36-1,12.0,3.916667
12.5,0.5,6.25,0.25,50,2,67,1,n37-1,12.0,3.916667
13.0,1.0,6.5,0.5,52,4,55,5,n61-1,12.0,3.916667
13.0,0.5,6.5,0.25,52,2,64,1,n38-1,12.0,3.916667
13.5,0.5,6.75,0.25,54,2,62,1,n39-1,12.0,3.916667
14.0,1.0,7.0,0.5,56,4,58,5,n62-1,12.0,3.916667
14.0,0.5,7.0,0.25,56,2,64,1,n40-1,12.0,3.916667
14.5,0.5,7.25,0.25,58,2,67,1,n41-1,12.0,3.916667
15.0,1.0,7.5,0.5,60,4,55,5,n63-1,15.0,4.644792
15.0,0.5,7.5,0.25,60,2,60,1,n42-1,15.0,4.644792
15.5,0.5,7.75,0.25,62,2,64,1,n43-1,15.0,4.644792
16.0,1.0,8.0,0.5,64,4,52,5,n64-1,15.0,4.644792
16.0,0.5,8.0,0.25,64,2,67,1,n44-1,15.0,4.644792
16.5,0.5,8.25,0.25,66,2,70,1,n45-1,15.0,4.644792
17.0,1.0,8.5,0.5,68,4,48,5,n65-1,15.0,4.644792
17.0,0.5,8.5,0.25,68,2,69,1,n46-1,15.0,4.644792
17.5,0.5,8.75,0.25,70,2,67,1,n47-1,15.0,4.644792
18.0,1.0,9.0,0.5,72,4,53,5,n66-1,18.0,5.363021
18.0,0.5,9.0,0.25,72,2,69,1,n48-1,18.0,5.363021
18.5,0.5,9.25,0.25,74,2,67,1,n49-1,18.0,5.363021
19.0,1.0,9.5,0.5,76,4,57,5,n67-1,18.0,5.363021
19.0,0.5,9.5,0.25,76,2,65,1,n50-1,18.0,5.363021
19.5,0.5,9.75,0.25,78,2,64,1,n51-1,18.0,5.363021
