idx,matchtype,partid,ppartid
0,0,n25-1,n0
1,0,n26-1,n3
2,0,n28-1,n9
3,0,n27-1,n6
4,0,n7-1,n10
5,0,n4-1,n5
6,0,n3-1,n4
7,0,n5-1,n7
8,0,n8-1,n11
9,0,n2-1,n2
10,0,n6-1,n8
11,0,n1-1,n1
12,0,n29-1,n13
13,0,n30-1,n16
14,0,n31-1,n19
15,0,n14-1,n20
16,0,n9-1,n12
17,0,n12-1,n17
18,0,n11-1,n15
19,0,n13-1,n18
20,0,n10-1,n14
21,0,n34-1,n28
22,0,n33-1,n24
23,0,n32-1,n22
24,0,n19-1,n27
25,0,n16-1,n23
26,0,n15-1,n21
27,0,n17-1,n25
28,0,n20-1,n29
29,0,n18-1,n26
30,0,n60-1,n34
31,0,n37-1,n36
32,0,n21-1,n30
33,0,n24-1,n33
34,0,n23-1,n32
35,0,n36-1,n35
36,0,n22-1,n31
37,0,n61-1,n38
38,0,n63-1,n43
39,0,n62-1,n40
40,0,n42-1,n44
41,0,n39-1,n39
42,0,n38-1,n37
43,0,n40-1,n41
44,0,n43-1,n45
45,0,n41-1,n42
46,0,n65-1,n49
47,0,n64-1,n46
48,0,n66-1,n52
49,0,n44-1,n47
50,0,n47-1,n51
51,0,n49-1,n54
52,0,n46-1,n50
53,0,n48-1,n53
54,0,n45-1,n48
55,0,n69-1,n61
56,0,n68-1,n58
57,0,n67-1,n56
58,0,n54-1,n62
59,0,n51-1,n57
60,0,n55-1,n63
61,0,n50-1,n55
62,0,n52-1,n59
63,0,n53-1,n60
64,0,n109-1,n71
65,0,n108-1,n68
66,0,n56-1,n64
67,0,n59-1,n67
68,0,n58-1,n66
69,0,n57-1,n65
70,0,n84-1,n69
71,0,n85-1,n70
72,1,n71-1,undefined
73,0,n87-1,n73
74,0,n86-1,n72
75,0,n114-1,n85
76,0,n111-1,n76
77,0,n110-1,n74
78,0,n112-1,n79
79,0,n115-1,n88
80,0,n113-1,n82
81,0,n91-1,n77
82,0,n93-1,n80
83,0,n95-1,n83
84,0,n97-1,n86
85,0,n99-1,n89
86,1,n89-1,undefined
87,0,n88-1,n75
88,0,n92-1,n78
89,0,n94-1,n81
90,0,n96-1,n84
91,0,n98-1,n87
92,1,n90-1,undefined
93,0,n116-1,n90
94,0,n119-1,n98
95,0,n121-1,n100
96,0,n118-1,n96
97,0,n122-1,n102
98,1,n120-1,undefined
99,1,n124-1,undefined
100,0,n117-1,n93
101,0,n123-1,n104
102,0,n73-1,n103
103,0,n106-1,n97
104,0,n101-1,n92
105,0,n103-1,n95
106,0,n107-1,n99
107,1,n105-1,undefined
108,0,n100-1,n91
109,0,n102-1,n94
110,0,n72-1,n101
111,1,n104-1,undefined
112,0,n126-1,n106
113,0,n128-1,n109
114,0,n130-1,n112
115,0,n134-1,n116
116,0,n136-1,n119
117,1,n132-1,undefined
118,0,n127-1,n107
119,0,n129-1,n111
120,1,n131-1,undefined
121,0,n133-1,n114
122,0,n135-1,n118
123,1,n125-1,undefined
124,0,n78-1,n115
125,0,n75-1,n108
126,0,n74-1,n105
127,0,n76-1,n110
128,0,n79-1,n117
129,0,n77-1,n113
130,0,n143-1,n123
131,0,n142-1,n125
132,0,n183-1,n130
133,0,n187-1,n141
134,0,n190-1,n149
135,1,n144-1,undefined
136,1,n138-1,undefined
137,1,n140-1,undefined
138,0,n137-1,n121
139,1,n139-1,undefined
140,1,n141-1,undefined
141,0,n182-1,n127
142,0,n80-1,n120
143,0,n83-1,n126
144,0,n82-1,n124
145,0,n81-1,n122
146,0,n160-1,n131
147,0,n159-1,n129
148,0,n161-1,n132
149,1,n145-1,undefined
150,0,n158-1,n128
151,0,n188-1,n144
152,0,n185-1,n136
153,0,n184-1,n133
154,0,n186-1,n138
155,0,n189-1,n147
156,0,n163-1,n135
157,0,n165-1,n139
158,0,n169-1,n142
159,0,n171-1,n145
160,0,n173-1,n148
161,1,n167-1,undefined
