xml_id	midi_id	track	channel	pitch	onset
n25-1	n2	1	0	53	1.041666666666667
n21-1	n1	1	0	56	1.026041666666667
n22-1	n7	1	0	58	2.2291666666666674
n1-1	n0	1	0	65	0.9947916666666669
n14-1	deletion
n5-1	n6	1	0	67	2.2072916666666673
n15-1	deletion
n2-1	n3	1	0	68	1.357291666666667
n3-1	n4	1	0	72	1.647916666666667
n7-1	n9	1	0	76	2.739583333333335
n4-1	n5	1	0	77	1.904166666666667
n6-1	n8	1	0	77	2.4645833333333345
n8-1	n10	1	0	79	3.0041666666666678
n23-1	n12	1	0	60	3.326041666666667
n16-1	n11	1	0	68	3.2833333333333337
n9-1	deletion
n10-1	n13	1	0	72	3.5395833333333337
n12-1	n15	1	0	76	4.046875
n11-1	n14	1	0	77	3.8052083333333337
n24-1	n17	1	0	56	4.373958333333333
n20-1	n20	1	0	68	5.166666666666668
n19-1	n19	1	0	70	4.906250000000001
n18-1	n18	1	0	72	4.634375
n17-1	n16	1	0	77	4.365625
n13-1	deletion
n55-1	n21	1	0	58	5.478125000000002
n38-1	n24	1	0	67	6.089583333333336
n37-1	n23	1	0	68	5.81666666666667
n39-1	n25	1	0	70	6.363541666666669
n26-1	n22	1	0	73	5.522916666666669
n36-1	deletion
n56-1	n27	1	0	55	6.679166666666669
n40-1	n26	1	0	64	6.641666666666669
n30-1	n30	1	0	70	7.445833333333332
n29-1	n29	1	0	72	7.178125000000001
n28-1	n28	1	0	73	6.907291666666668
n57-1	n31	1	0	53	7.716666666666662
n66-1	deletion
n58-1	n34	1	0	56	8.086458333333328
n59-1	n35	1	0	60	8.34583333333333
n41-1	n33	1	0	65	7.837499999999995
n60-1	n37	1	0	65	8.621874999999998
n31-1	n32	1	0	68	7.802083333333329
n32-1	n36	1	0	70	8.606249999999998
n61-1	n39	1	0	55	8.90520833333333
n67-1	deletion
n63-1	n47	1	0	64	9.41875
n62-1	n42	1	0	65	9.179166666666664
n64-1	n50	1	0	67	9.679166666666665
n34-1	n49	1	0	68	9.667708333333332
n44-1	n40	1	0	70	9.035416666666665
n46-1	deletion
n48-1	n43	1	0	70	9.234374999999998
n50-1	n45	1	0	70	9.359374999999998
n52-1	n48	1	0	70	9.52083333333333
n35-1	n51	1	0	70	9.766666666666667
n54-1	deletion
n33-1	deletion
n43-1	n38	1	0	72	8.896874999999998
n47-1	n41	1	0	72	9.15520833333333
n49-1	n44	1	0	72	9.279166666666665
n51-1	n46	1	0	72	9.414583333333333
n45-1	deletion
n53-1	deletion
n95-1	n53	1	0	56	10.004166666666668
n105-1	deletion
n79-1	n55	1	0	64	10.548958333333335
n80-1	n56	1	0	65	10.814583333333335
n78-1	n54	1	0	68	10.293750000000001
n77-1	n52	1	0	72	9.971875
n68-1	deletion
n96-1	n58	1	0	58	11.092708333333336
n81-1	n57	1	0	61	11.085416666666669
n70-1	n60	1	0	67	11.618750000000004
n71-1	n61	1	0	70	11.88333333333334
n69-1	n59	1	0	73	11.343750000000004
n106-1	n62	1	0	48	12.118750000000006
n97-1	deletion
n98-1	n65	1	0	52	12.481250000000006
n99-1	n66	1	0	55	12.757291666666674
n82-1	n64	1	0	60	12.22395833333334
n100-1	n68	1	0	60	13.012500000000006
n72-1	n63	1	0	64	12.216666666666672
n73-1	n67	1	0	65	13.003125000000006
n107-1	n69	1	0	49	13.281250000000007
n101-1	deletion
n103-1	n77	1	0	58	13.770833333333336
n102-1	n72	1	0	60	13.547916666666671
n104-1	n80	1	0	61	13.99791666666667
n75-1	n81	1	0	64	14.03854166666667
n86-1	n71	1	0	65	13.446875000000006
n88-1	n74	1	0	65	13.635416666666671
n90-1	n76	1	0	65	13.764583333333336
n92-1	n79	1	0	65	13.929166666666669
n76-1	n82	1	0	65	14.14583333333334
n94-1	deletion
n74-1	deletion
n84-1	deletion
n83-1	n70	1	0	67	13.294791666666674
n85-1	deletion
n87-1	n73	1	0	67	13.570833333333338
n89-1	n75	1	0	67	13.695833333333336
n91-1	n78	1	0	67	13.843750000000002
n121-1	n84	1	0	67	14.322916666666673
n93-1	deletion
n149-1	n83	1	0	52	14.315625000000006
n137-1	deletion
n138-1	n87	1	0	55	14.88958333333334
n108-1	deletion
n110-1	n86	1	0	70	14.885416666666673
n109-1	n85	1	0	72	14.615625000000007
n111-1	n88	1	0	73	15.14270833333334
n140-1	n93	1	0	48	15.982291666666676
n139-1	n89	1	0	60	15.43645833333334
n122-1	n90	1	0	64	15.43645833333334
n115-1	n94	1	0	70	16.242708333333344
n114-1	n92	1	0	72	15.966666666666676
n113-1	n91	1	0	73	15.702083333333341
n150-1	n95	1	0	41	16.51770833333334
n141-1	deletion
n142-1	n98	1	0	45	16.875000000000004
n143-1	n99	1	0	48	17.135416666666668
n144-1	n101	1	0	53	17.401041666666675
n123-1	n97	1	0	63	16.633333333333336
n116-1	n96	1	0	69	16.59895833333334
n117-1	n100	1	0	70	17.391666666666676
n151-1	n102	1	0	42	17.670833333333338
n145-1	deletion
n147-1	n111	1	0	51	18.196875000000013
n146-1	n106	1	0	53	17.96041666666667
n148-1	n113	1	0	54	18.475000000000012
n124-1	n104	1	0	61	17.737500000000004
n119-1	n112	1	0	69	18.465625000000014
n128-1	n105	1	0	70	17.855208333333337
n130-1	n108	1	0	70	18.009375000000006
n132-1	n110	1	0	70	18.15312500000001
n120-1	n114	1	0	70	18.562500000000014
n136-1	deletion
n118-1	deletion
n126-1	deletion
n134-1	deletion
n125-1	n103	1	0	72	17.704166666666673
n127-1	deletion
n129-1	n107	1	0	72	17.96041666666667
n131-1	n109	1	0	72	18.06875000000001
n133-1	deletion
n135-1	deletion
n170-1	n115	1	0	45	18.76354166666668
n178-1	deletion
n171-1	n119	1	0	48	19.39166666666668
n161-1	n118	1	0	63	19.38229166666668
n160-1	n117	1	0	65	19.114583333333346
n162-1	n120	1	0	66	19.647916666666678
n152-1	n116	1	0	72	18.790625000000013
n180-1	n124	1	0	41	20.473958333333346
n179-1	n121	1	0	45	19.93541666666668
n172-1	deletion
n166-1	n125	1	0	63	20.74479166666668
n165-1	n123	1	0	65	20.46354166666668
n164-1	n122	1	0	66	20.194791666666674
n173-1	n127	1	0	46	21.070833333333344
n167-1	n126	1	0	61	21.045833333333345
n155-1	n129	1	0	70	21.575000000000014
n154-1	n128	1	0	72	21.302083333333346
n156-1	n130	1	0	73	21.83541666666668
n175-1	n132	1	0	46	22.340625000000014
n176-1	n134	1	0	48	22.614583333333346
n177-1	n138	1	0	49	22.835416666666678
n157-1	n131	1	0	67	22.09895833333335
n158-1	n135	1	0	68	22.673958333333346
n169-1	n137	1	0	68	22.819791666666678
n168-1	n133	1	0	70	22.59166666666668
insertion	n136	1	0	70	22.75312500000001
n198-1	n142	1	0	43	23.093750000000007
n199-1	n145	1	0	46	23.627083333333342
n189-1	n143	1	0	60	23.33750000000001
n190-1	n144	1	0	61	23.62187500000001
n191-1	n146	1	0	65	23.878125000000008
n181-1	n141	1	0	70	23.063541666666673
n211-1	n150	1	0	39	24.753125000000004
n210-1	n147	1	0	51	24.16458333333334
n200-1	n148	1	0	55	24.176041666666674
n195-1	n152	1	0	61	25.047916666666673
n194-1	n151	1	0	63	24.753125000000004
n193-1	n149	1	0	65	24.43333333333334
n202-1	n154	1	0	44	25.476041666666674
n212-1	deletion
n203-1	n156	1	0	48	25.803125
n204-1	n158	1	0	51	26.103125000000002
n205-1	n159	1	0	56	26.35208333333334
n196-1	n153	1	0	60	25.43333333333334
n183-1	n155	1	0	68	25.77291666666667
n184-1	n157	1	0	72	26.084375000000005
n206-1	n161	1	0	46	26.62187500000001
n213-1	deletion
n208-1	n165	1	0	55	27.183333333333348
n207-1	n163	1	0	56	26.885416666666682
n209-1	n166	1	0	58	27.414583333333347
n197-1	n160	1	0	61	26.608333333333345
n186-1	n162	1	0	70	26.870833333333348
n187-1	n164	1	0	73	27.156250000000014
n232-1	n167	1	0	48	27.67291666666668
n248-1	deletion
n233-1	n169	1	0	51	27.943750000000016
n234-1	n172	1	0	56	28.243750000000016
n235-1	n173	1	0	60	28.50416666666668
n228-1	n168	1	0	63	27.68854166666668
