xml_id	midi_id	track	channel	pitch	onset
n25-1	n2	1	0	53	1.0572916666666665
n21-1	n1	1	0	56	1.0494791666666665
n22-1	n7	1	0	58	2.374999999999999
n1-1	n0	1	0	65	1.0403645833333333
n14-1	deletion
n5-1	n6	1	0	67	2.3645833333333326
n15-1	deletion
n2-1	n3	1	0	68	1.4140624999999998
n3-1	n4	1	0	72	1.727864583333333
n7-1	n9	1	0	76	3.027343749999999
n4-1	n5	1	0	77	2.0390624999999996
n6-1	n8	1	0	77	2.6888020833333326
n8-1	n10	1	0	79	3.355468749999999
n23-1	n11	1	0	60	3.671874999999999
n16-1	n12	1	0	68	3.6783854166666656
n9-1	deletion
n10-1	n13	1	0	72	4.002604166666665
n12-1	n15	1	0	76	4.635416666666665
n11-1	n14	1	0	77	4.338541666666665
n24-1	n17	1	0	56	4.983072916666664
n20-1	n20	1	0	68	5.950520833333331
n19-1	n19	1	0	70	5.632812499999998
n18-1	n18	1	0	72	5.325520833333331
n17-1	n16	1	0	77	4.970052083333331
n13-1	deletion
n55-1	n22	1	0	58	6.290364583333331
n38-1	n24	1	0	67	6.893229166666664
n37-1	n23	1	0	68	6.595052083333331
n39-1	n25	1	0	70	7.208333333333331
n26-1	n21	1	0	73	6.276041666666664
n36-1	deletion
n56-1	n27	1	0	55	7.563802083333331
n40-1	n26	1	0	64	7.539062499999998
n30-1	n30	1	0	70	8.48958333333333
n29-1	n29	1	0	72	8.16927083333333
n28-1	n28	1	0	73	7.861979166666664
n57-1	n33	1	0	53	8.828124999999996
n66-1	deletion
n58-1	n34	1	0	56	9.160156249999996
n59-1	n35	1	0	60	9.476562499999998
n41-1	n31	1	0	65	8.816406249999996
n60-1	n37	1	0	65	9.787760416666666
n31-1	n32	1	0	68	8.816406249999996
n32-1	n36	1	0	70	9.782552083333332
n61-1	n39	1	0	55	10.100260416666664
n67-1	deletion
n63-1	n46	1	0	64	10.709635416666663
n62-1	n42	1	0	65	10.428385416666664
n64-1	n51	1	0	67	11.007812499999998
n34-1	n52	1	0	68	11.140624999999998
n44-1	n40	1	0	70	10.223958333333332
n48-1	n43	1	0	70	10.43098958333333
n46-1	deletion
n50-1	n45	1	0	70	10.601562499999996
n52-1	n48	1	0	70	10.779947916666664
n54-1	n50	1	0	70	10.999999999999998
n35-1	n53	1	0	70	11.260416666666664
n33-1	deletion
n43-1	n38	1	0	72	10.097656249999998
n45-1	n41	1	0	72	10.326822916666664
n49-1	n44	1	0	72	10.515624999999996
n47-1	deletion
n51-1	n47	1	0	72	10.710937499999996
n53-1	n49	1	0	72	10.877604166666664
n95-1	n54	1	0	56	11.377604166666664
n105-1	deletion
n79-1	n57	1	0	64	12.006510416666664
n80-1	n58	1	0	65	12.326822916666664
n78-1	n56	1	0	68	11.682291666666664
n77-1	n55	1	0	72	11.38802083333333
n68-1	deletion
n96-1	n60	1	0	58	12.64453125
n81-1	n59	1	0	61	12.643229166666666
n70-1	n62	1	0	67	13.266927083333334
n71-1	n63	1	0	70	13.582031250000002
n69-1	n61	1	0	73	12.95703125
n106-1	n64	1	0	48	13.894531250000002
n97-1	deletion
n98-1	n67	1	0	52	14.216145833333337
n99-1	n68	1	0	55	14.54947916666667
n82-1	n65	1	0	60	13.903645833333336
n100-1	n69	1	0	60	14.835937500000004
n72-1	n66	1	0	64	13.903645833333336
n73-1	n70	1	0	65	14.855468750000004
n107-1	n72	1	0	49	15.177083333333337
n101-1	deletion
n103-1	n80	1	0	58	15.79427083333334
n102-1	n75	1	0	60	15.472656250000004
n104-1	n85	1	0	61	16.10416666666667
n75-1	n84	1	0	64	16.09114583333334
n84-1	n73	1	0	65	15.289062500000004
n88-1	n76	1	0	65	15.477864583333337
n86-1	deletion
n90-1	n78	1	0	65	15.649739583333337
n92-1	n81	1	0	65	15.824218750000005
n94-1	n83	1	0	65	15.968750000000005
n76-1	n86	1	0	65	16.171875000000004
n74-1	deletion
n83-1	n71	1	0	67	15.164062500000004
n85-1	n74	1	0	67	15.391927083333337
n89-1	n77	1	0	67	15.56119791666667
n91-1	n79	1	0	67	15.726562500000005
n93-1	n82	1	0	67	15.886718750000005
n121-1	n87	1	0	67	16.33854166666667
n87-1	deletion
n149-1	n88	1	0	52	16.382812500000004
n137-1	deletion
n138-1	n90	1	0	55	16.964843750000007
n108-1	deletion
n110-1	n91	1	0	70	16.976562500000007
n109-1	n89	1	0	72	16.679687500000007
n111-1	n92	1	0	73	17.29817708333334
n140-1	n97	1	0	48	18.281250000000004
n139-1	n93	1	0	60	17.63020833333334
n122-1	n94	1	0	64	17.63802083333334
n115-1	n98	1	0	70	18.623697916666668
n114-1	n96	1	0	72	18.27994791666667
