xml_id	midi_id	track	channel	pitch	onset
n25-1	n2	1	0	53	1.10546875
n21-1	n1	1	0	56	1.09765625
n22-1	n6	1	0	58	2.8658854166666674
n1-1	n0	1	0	65	1.06640625
n14-1	deletion
n5-1	n7	1	0	67	2.8697916666666674
n15-1	deletion
n2-1	n3	1	0	68	1.8372395833333328
n3-1	n4	1	0	72	2.2252604166666665
n7-1	n9	1	0	76	3.4466145833333344
n4-1	n5	1	0	77	2.5625000000000004
n6-1	n8	1	0	77	3.160156250000001
n8-1	n10	1	0	79	3.7239583333333344
n23-1	n12	1	0	60	4.031250000000001
n16-1	n11	1	0	68	4.023437500000001
n9-1	deletion
n10-1	n13	1	0	72	4.333333333333332
n12-1	n15	1	0	76	4.902343749999997
n11-1	n14	1	0	77	4.604166666666665
n24-1	n17	1	0	56	5.2382812499999964
n20-1	n20	1	0	68	6.078124999999995
n19-1	n19	1	0	70	5.7916666666666625
n18-1	n18	1	0	72	5.510416666666663
n17-1	n16	1	0	77	5.194010416666663
n13-1	deletion
n55-1	n22	1	0	58	6.391927083333328
n38-1	n24	1	0	67	6.958333333333327
n37-1	n23	1	0	68	6.665364583333328
n39-1	n25	1	0	70	7.218749999999994
n26-1	n21	1	0	73	6.384114583333328
n36-1	deletion
n56-1	n27	1	0	55	7.558593749999994
n40-1	n26	1	0	64	7.537760416666661
n30-1	n30	1	0	70	8.453124999999995
n29-1	n29	1	0	72	8.134114583333327
n28-1	n28	1	0	73	7.841145833333327
n57-1	n33	1	0	53	8.800781249999993
n66-1	deletion
n58-1	n34	1	0	56	9.130208333333325
n59-1	n35	1	0	60	9.421874999999993
n41-1	n31	1	0	65	8.792968749999995
n60-1	n37	1	0	65	9.712239583333327
n31-1	n32	1	0	68	8.79557291666666
n32-1	n36	1	0	70	9.691406249999993
n61-1	n38	1	0	55	9.98697916666666
n67-1	deletion
n63-1	n45	1	0	64	10.542968749999993
n62-1	n42	1	0	65	10.290364583333325
n64-1	n50	1	0	67	10.80338541666666
n34-1	n49	1	0	68	10.802083333333327
n44-1	n40	1	0	70	10.123697916666659
n46-1	deletion
n48-1	n43	1	0	70	10.369791666666659
n52-1	n46	1	0	70	10.562499999999993
n54-1	n48	1	0	70	10.726562499999993
n50-1	deletion
n35-1	n51	1	0	70	10.930989583333327
n33-1	deletion
n43-1	n39	1	0	72	9.98697916666666
n47-1	n41	1	0	72	10.253906249999991
n49-1	n44	1	0	72	10.460937499999993
n53-1	n47	1	0	72	10.635416666666659
n77-1	n52	1	0	72	11.085937499999993
n51-1	deletion
n45-1	deletion
n95-1	n53	1	0	56	11.101562499999993
n105-1	deletion
n79-1	n55	1	0	64	11.654947916666659
n80-1	n56	1	0	65	11.93229166666666
n78-1	n54	1	0	68	11.374999999999993
n68-1	deletion
n96-1	n57	1	0	58	12.20442708333333
n81-1	n58	1	0	61	12.222656249999996
n70-1	n60	1	0	67	12.832031249999995
n71-1	n61	1	0	70	13.131510416666663
n69-1	n59	1	0	73	12.523437499999995
n106-1	n63	1	0	48	13.50520833333333
n97-1	deletion
n98-1	n65	1	0	52	13.824218749999998
n99-1	n66	1	0	55	14.12890625
n82-1	n64	1	0	60	13.54036458333333
n100-1	n68	1	0	60	14.460937500000002
n72-1	n62	1	0	64	13.499999999999996
n73-1	n67	1	0	65	14.427083333333334
n107-1	n69	1	0	49	14.789062500000004
n101-1	deletion
n103-1	n77	1	0	58	15.337239583333337
n102-1	n73	1	0	60	15.098958333333337
n104-1	n81	1	0	61	15.608072916666671
n75-1	n80	1	0	64	15.592447916666671
n86-1	n71	1	0	65	14.946614583333337
n84-1	deletion
n88-1	n74	1	0	65	15.160156250000004
n90-1	n76	1	0	65	15.328125000000004
n92-1	n79	1	0	65	15.473958333333337
n76-1	n82	1	0	65	15.725260416666671
n94-1	deletion
n74-1	deletion
n83-1	n70	1	0	67	14.79166666666667
n85-1	deletion
n87-1	n72	1	0	67	15.067708333333337
n89-1	n75	1	0	67	15.246093750000004
n91-1	n78	1	0	67	15.393229166666671
n121-1	n83	1	0	67	15.901041666666671
n93-1	deletion
n149-1	n84	1	0	52	15.920572916666671
n137-1	deletion
n138-1	n87	1	0	55	16.544270833333332
n108-1	deletion
n110-1	n86	1	0	70	16.509114583333332
n109-1	n85	1	0	72	16.204427083333332
n111-1	n88	1	0	73	16.800781249999996
n140-1	n93	1	0	48	17.73307291666666
n139-1	n90	1	0	60	17.122395833333332
n122-1	n89	1	0	64	17.092447916666664
n115-1	n94	1	0	70	17.980468749999993
n114-1	n92	1	0	72	17.67708333333333
n113-1	n91	1	0	73	17.38020833333333
n150-1	n97	1	0	41	18.34505208333332
n141-1	deletion
