xml_id	midi_id	track	channel	pitch	onset
n25-1	n2	1	0	53	1.028125
n21-1	n0	1	0	56	0.9968749999999998
n22-1	n7	1	0	58	2.7010416666666663
n1-1	n1	1	0	65	1.0062499999999999
n14-1	deletion
n5-1	n6	1	0	67	2.677083333333333
n15-1	deletion
n2-1	n3	1	0	68	1.6395833333333325
n3-1	n4	1	0	72	2.0083333333333324
n7-1	n9	1	0	76	3.3187500000000005
n4-1	n5	1	0	77	2.3302083333333328
n6-1	n8	1	0	77	3.0135416666666672
n8-1	n10	1	0	79	3.6458333333333344
n23-1	n11	1	0	60	3.9864583333333345
n16-1	n12	1	0	68	3.9895833333333344
n9-1	deletion
n10-1	n13	1	0	72	4.321874999999999
n12-1	n15	1	0	76	4.9656249999999975
n11-1	n14	1	0	77	4.645833333333332
n24-1	n17	1	0	56	5.358333333333328
n20-1	n20	1	0	68	6.3999999999999915
n19-1	n19	1	0	70	6.085416666666661
n18-1	n18	1	0	72	5.762499999999994
n17-1	n16	1	0	77	5.349999999999995
n13-1	deletion
n55-1	n22	1	0	58	6.779166666666655
n38-1	n24	1	0	67	7.459374999999987
n37-1	n23	1	0	68	7.108333333333321
n39-1	n25	1	0	70	7.76458333333332
n26-1	n21	1	0	73	6.757291666666656
n36-1	deletion
n56-1	n27	1	0	55	8.137499999999989
n61-1	n38	1	0	55	10.935416666666672
n67-1	deletion
n40-1	n26	1	0	64	8.128124999999988
n30-1	n30	1	0	70	9.144791666666658
n29-1	n29	1	0	72	8.813541666666655
n28-1	n28	1	0	73	8.473958333333321
n57-1	n31	1	0	53	9.547916666666659
n66-1	deletion
n58-1	n34	1	0	56	10.033333333333328
n59-1	n35	1	0	60	10.354166666666664
n41-1	n33	1	0	65	9.59166666666666
n60-1	n37	1	0	65	10.645833333333334
n31-1	n32	1	0	68	9.570833333333326
n32-1	n36	1	0	70	10.627083333333333
n63-1	n48	1	0	64	11.615625000000005
n62-1	n42	1	0	65	11.291666666666675
n64-1	n50	1	0	67	11.945833333333342
n34-1	n49	1	0	68	11.903125000000006
n78-1	n54	1	0	68	12.76250000000001
n33-1	n40	1	0	70	11.154166666666676
n44-1	n43	1	0	70	11.332291666666674
n46-1	n45	1	0	70	11.447916666666673
n48-1	n47	1	0	70	11.613541666666672
n50-1	deletion
n54-1	n51	1	0	70	12.07187500000001
n52-1	deletion
n35-1	deletion
n43-1	n39	1	0	72	11.04375000000001
n45-1	n41	1	0	72	11.232291666666676
n47-1	n44	1	0	72	11.396875000000007
n49-1	n46	1	0	72	11.53020833333334
n77-1	n52	1	0	72	12.361458333333346
n53-1	deletion
n51-1	deletion
n95-1	n53	1	0	56	12.436458333333343
n105-1	deletion
n79-1	n55	1	0	64	13.077083333333343
n80-1	n56	1	0	65	13.40416666666668
n68-1	deletion
n96-1	n57	1	0	58	13.765625000000012
n81-1	n58	1	0	61	13.767708333333346
n70-1	n60	1	0	67	14.450000000000015
n71-1	n61	1	0	70	14.788541666666685
n69-1	n59	1	0	73	14.134375000000015
n106-1	n62	1	0	48	15.17500000000002
n97-1	deletion
n98-1	n65	1	0	52	15.667708333333358
n99-1	n66	1	0	55	15.975000000000025
n82-1	n64	1	0	60	15.294791666666688
n100-1	n67	1	0	60	16.24479166666669
n72-1	n63	1	0	64	15.25937500000002
n73-1	n68	1	0	65	16.248958333333356
n107-1	n69	1	0	49	16.504166666666684
n101-1	deletion
n103-1	n78	1	0	58	17.11250000000001
n102-1	n73	1	0	60	16.823958333333344
n104-1	n80	1	0	61	17.45729166666668
n75-1	n81	1	0	64	17.466666666666683
n84-1	n71	1	0	65	16.728125000000013
n86-1	n74	1	0	65	16.88125000000001
n88-1	n76	1	0	65	17.027083333333344
n90-1	n79	1	0	65	17.165625000000013
n76-1	n82	1	0	65	17.633333333333347
n74-1	deletion
n92-1	deletion
n94-1	deletion
n83-1	n70	1	0	67	16.598958333333346
n85-1	n72	1	0	67	16.795833333333345
n87-1	n75	1	0	67	16.94791666666668
n89-1	n77	1	0	67	17.084375000000012
n91-1	deletion
n93-1	deletion
n149-1	n83	1	0	52	17.910416666666674
n137-1	deletion
n138-1	n86	1	0	55	18.64062500000001
n121-1	n84	1	0	67	17.93020833333334
n108-1	deletion
n110-1	n87	1	0	70	18.644791666666677
n109-1	n85	1	0	72	18.326041666666676
n111-1	n88	1	0	73	18.97500000000001
n140-1	n92	1	0	48	19.955208333333328
n139-1	n90	1	0	60	19.315625000000004
n122-1	n89	1	0	64	19.311458333333338
n115-1	n94	1	0	70	20.295833333333324
n114-1	n93	1	0	72	19.96666666666666
n113-1	n91	1	0	73	19.626041666666662
n150-1	n95	1	0	41	20.755208333333325
n141-1	deletion
n142-1	n98	1	0	45	21.196874999999995
n143-1	n99	1	0	48	21.50520833333333
n144-1	n100	1	0	53	21.791666666666657
n123-1	n97	1	0	63	20.83541666666666
n116-1	n96	1	0	69	20.81979166666666
n117-1	n101	1	0	70	21.79791666666666
n151-1	n102	1	0	42	22.053124999999987
n145-1	deletion
n147-1	n111	1	0	51	22.684374999999978
n146-1	n106	1	0	53	22.39062499999998
n148-1	n114	1	0	54	23.03020833333331
n124-1	n104	1	0	61	22.18541666666665
n119-1	n115	1	0	69	23.039583333333308
n128-1	n105	1	0	70	22.310416666666647
n130-1	n108	1	0	70	22.478124999999977
