onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.996875,1.8916667,56,41,1,0,n0,-10.0,-10.0
1.00625,1.7333333,65,43,1,0,n1,-10.0,-10.0
1.028125,8.648958,53,33,1,0,n2,1.010417,0.0
1.6395833,1.1645833,68,46,1,0,n3,1.010417,0.0
2.0083334,0.7875,72,55,1,0,n4,1.010417,0.0
2.3302083,0.46041667,77,63,1,0,n5,1.010417,0.0
2.6770833,1.4375,67,55,1,0,n6,1.010417,0.0
2.7010417,1.4135417,58,42,1,0,n7,2.689062,1.0
3.0135417,0.38541666,77,65,1,0,n8,2.689062,1.0
3.31875,0.828125,76,70,1,0,n9,2.689062,1.0
3.6458333,0.58229166,79,76,1,0,n10,2.689062,1.0
3.9864583,1.6510416,60,45,1,0,n11,2.689062,1.0
3.9895833,1.4458333,68,69,1,0,n12,3.988021,2.0
4.321875,1.1135417,72,71,1,0,n13,3.988021,2.0
4.6458335,0.7895833,77,74,1,0,n14,3.988021,2.0
4.965625,0.47916666,76,71,1,0,n15,3.988021,2.0
5.35,1.8395833,77,68,1,0,n16,3.988021,2.0
5.358333,1.5739583,56,45,1,0,n17,5.354166,3.0
5.7625,0.459375,72,60,1,0,n18,5.354166,3.0
6.085417,0.7885417,70,63,1,0,n19,5.354166,3.0
6.4,0.48229167,68,60,1,0,n20,5.354166,3.0
6.757292,1.5072917,73,63,1,0,n21,5.354166,3.0
6.7791667,1.49375,58,43,1,0,n22,6.76823,4.0
7.108333,0.36145833,68,55,1,0,n23,6.76823,4.0
7.459375,0.7552083,67,48,1,0,n24,6.76823,4.0
7.764583,0.4875,70,58,1,0,n25,6.76823,4.0
8.128125,1.5489583,64,52,1,0,n26,6.76823,4.0
8.1375,1.5395833,55,35,1,0,n27,8.132813,5.0
8.473958,0.396875,73,54,1,0,n28,8.132813,5.0
8.813541,0.86354166,72,60,1,0,n29,8.132813,5.0
9.144792,0.5364583,70,59,1,0,n30,8.132813,5.0
9.547916,1.4510417,53,43,1,0,n31,8.132813,5.0
9.570833,1.428125,68,53,1,0,n32,9.570139,6.0
9.591666,1.4072917,65,38,1,0,n33,9.570139,6.0
10.033334,0.98125,56,44,1,0,n34,9.570139,6.0
10.354167,0.64479166,60,45,1,0,n35,9.570139,6.0
10.627084,0.371875,70,61,1,0,n36,9.570139,6.0
10.645833,0.353125,65,35,1,0,n37,9.570139,6.0
10.935416,1.7270833,55,45,1,0,n38,9.570139,6.0
11.04375,0.094791666,72,62,1,0,n39,9.570139,6.0
11.154166,0.053125,70,63,1,0,n40,9.570139,6.0
11.232291,0.07395833,72,58,1,0,n41,11.221528,7.0
11.291667,0.36770833,65,43,1,0,n42,11.221528,7.0
11.332292,0.035416666,70,65,1,0,n43,11.221528,7.0
11.396875,0.046875,72,57,1,0,n44,11.221528,7.0
11.447917,0.05625,70,73,1,0,n45,11.221528,7.0
11.530209,0.07083333,72,73,1,0,n46,11.221528,7.0
11.613542,0.2875,70,76,1,0,n47,11.221528,7.0
11.615625,0.32291666,64,46,1,0,n48,11.221528,7.0
11.903125,0.51354164,68,68,1,0,n49,11.221528,7.0
11.945833,0.50625,67,46,1,0,n50,11.221528,7.0
12.071875,0.34479168,70,72,1,0,n51,11.221528,7.0
12.361459,1.528125,72,68,1,0,n52,11.221528,7.0
12.436459,1.3802084,56,38,1,0,n53,12.398958,8.0
12.7625,0.34166667,68,62,1,0,n54,12.398958,8.0
13.077084,0.7395833,64,54,1,0,n55,12.398958,8.0
13.404166,0.43541667,65,53,1,0,n56,12.398958,8.0
13.765625,1.571875,58,39,1,0,n57,12.398958,8.0
13.767709,1.5697917,61,57,1,0,n58,13.766666,9.0
14.134375,0.42291668,73,58,1,0,n59,13.766666,9.0
14.45,0.8875,67,54,1,0,n60,13.766666,9.0
14.788542,0.54895836,70,63,1,0,n61,13.766666,9.0
15.175,1.365625,48,45,1,0,n62,13.766666,9.0
15.259375,1.28125,64,60,1,0,n63,15.243056,10.0
15.294791,0.5104167,60,35,1,0,n64,15.243056,10.0
15.667708,0.9458333,52,46,1,0,n65,15.243056,10.0
15.975,0.615625,55,50,1,0,n66,15.243056,10.0
16.244791,0.34583333,60,45,1,0,n67,15.243056,10.0
16.248959,0.33229166,65,55,1,0,n68,15.243056,10.0
16.504168,1.5625,49,55,1,0,n69,15.243056,10.0
16.598959,0.104166664,67,58,1,0,n70,16.550716,11.0
16.728125,0.045833334,65,60,1,0,n71,16.550716,11.0
16.795834,0.06875,67,54,1,0,n72,16.550716,11.0
16.823957,0.334375,60,47,1,0,n73,16.550716,11.0
16.88125,0.044791665,65,67,1,0,n74,16.550716,11.0
16.947916,0.060416665,67,56,1,0,n75,16.550716,11.0
17.027082,0.046875,65,62,1,0,n76,16.550716,11.0
17.084375,0.075,67,52,1,0,n77,16.550716,11.0
17.1125,0.36145833,58,50,1,0,n78,16.550716,11.0
17.165625,0.29375,65,59,1,0,n79,16.550716,11.0
17.457293,0.7114583,61,46,1,0,n80,16.550716,11.0
17.466667,0.16979167,64,58,1,0,n81,16.550716,11.0
17.633333,0.34791666,65,60,1,0,n82,16.550716,11.0
17.910418,3.0270834,52,48,1,0,n83,16.550716,11.0
17.930208,1.46875,67,57,1,0,n84,17.920313,12.0
18.326042,0.359375,72,60,1,0,n85,17.920313,12.0
18.640625,0.7583333,55,49,1,0,n86,17.920313,12.0
18.644793,0.75416666,70,65,1,0,n87,17.920313,12.0
18.975,0.45,73,69,1,0,n88,17.920313,12.0
19.311459,1.6260417,64,66,1,0,n89,17.920313,12.0
19.315624,0.64375,60,48,1,0,n90,19.313541,13.0
19.626041,0.3875,73,70,1,0,n91,19.313541,13.0
19.955208,0.98229164,48,52,1,0,n92,19.313541,13.0
19.966667,0.97083336,72,72,1,0,n93,19.313541,13.0
20.295834,0.64166665,70,72,1,0,n94,19.313541,13.0
20.755209,1.4625,41,58,1,0,n95,19.313541,13.0
20.819792,1.3979167,69,64,1,0,n96,20.803473,14.0
