onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0729166,1.8354167,56,33,1,0,n0,-10.0,-10.0
1.075,1.8333334,65,50,1,0,n1,-10.0,-10.0
1.0979167,9.072917,53,35,1,0,n2,1.081945,0.0
1.5010417,1.4072917,68,46,1,0,n3,1.081945,0.0
1.859375,1.0489583,72,54,1,0,n4,1.081945,0.0
2.2239583,0.684375,77,52,1,0,n5,1.081945,0.0
2.603125,1.5260416,67,56,1,0,n6,1.081945,0.0
2.625,1.5041667,58,43,1,0,n7,2.614063,1.0
2.9854167,1.14375,77,56,1,0,n8,2.614063,1.0
3.3458333,0.78333336,76,56,1,0,n9,2.614063,1.0
3.7020833,0.42708334,79,61,1,0,n10,2.614063,1.0
4.075,2.203125,68,63,1,0,n11,2.614063,1.0
4.094792,1.4947916,60,43,1,0,n12,4.084896,2.0
4.4416666,0.42916667,72,56,1,0,n13,4.084896,2.0
4.809375,0.43020833,77,56,1,0,n14,4.084896,2.0
5.180208,0.48333332,76,63,1,0,n15,4.084896,2.0
5.58125,1.5364584,56,43,1,0,n16,4.084896,2.0
5.59375,1.5416666,77,69,1,0,n17,5.5875,3.0
5.98125,0.609375,72,54,1,0,n18,5.5875,3.0
6.358333,0.39166668,70,42,1,0,n19,5.5875,3.0
6.725,0.45104167,68,54,1,0,n20,5.5875,3.0
7.10625,1.5875,73,69,1,0,n21,5.5875,3.0
7.1302085,1.515625,58,40,1,0,n22,7.118229,4.0
7.477083,0.42291668,68,52,1,0,n23,7.118229,4.0
7.85625,0.4125,67,49,1,0,n24,7.118229,4.0
8.239583,0.46458334,70,55,1,0,n25,7.118229,4.0
8.6375,1.5333333,64,63,1,0,n26,7.118229,4.0
8.641666,1.5291667,55,41,1,0,n27,8.639584,5.0
9.025,1.1458334,73,57,1,0,n28,8.639584,5.0
9.411458,0.81041664,72,58,1,0,n29,8.639584,5.0
9.760417,0.41041666,70,58,1,0,n30,8.639584,5.0
10.161458,1.6114583,53,56,1,0,n31,8.639584,5.0
10.170834,0.74583334,65,49,1,0,n32,10.167708,6.0
10.170834,1.1135417,68,54,1,0,n33,10.167708,6.0
10.519792,0.36666667,56,50,1,0,n34,10.167708,6.0
10.895833,0.34895834,60,53,1,0,n35,10.167708,6.0
11.270833,0.50208336,65,50,1,0,n36,10.167708,6.0
11.275,0.49791667,70,56,1,0,n37,10.167708,6.0
11.605208,1.61875,55,52,1,0,n38,10.167708,6.0
11.705209,0.067708336,72,59,1,0,n39,11.666185,7.0
11.801042,0.053125,70,62,1,0,n40,11.666185,7.0
11.890625,0.059375,72,50,1,0,n41,11.666185,7.0
11.957292,0.784375,70,62,1,0,n42,11.666185,7.0
12.045834,0.3625,65,59,1,0,n43,11.666185,7.0
12.385417,0.3375,64,62,1,0,n44,11.666185,7.0
12.741667,0.18854167,68,67,1,0,n45,11.666185,7.0
12.745833,0.459375,67,58,1,0,n46,11.666185,7.0
12.934375,0.25208333,70,67,1,0,n47,11.666185,7.0
13.160417,1.5729166,56,65,1,0,n48,11.666185,7.0
13.18125,1.4291667,72,66,1,0,n49,13.170834,8.0
13.5375,0.4,68,58,1,0,n50,13.170834,8.0
13.9,0.34895834,64,58,1,0,n51,13.170834,8.0
14.25625,0.40208334,65,59,1,0,n52,13.170834,8.0
14.64375,1.6041666,58,67,1,0,n53,14.64375,9.0
14.64375,1.6041666,61,51,1,0,n54,14.64375,9.0
15.032291,0.42083332,73,66,1,0,n55,14.64375,9.0
15.402083,0.84583336,67,59,1,0,n56,14.64375,9.0
15.8125,0.43541667,70,62,1,0,n57,14.64375,9.0
16.21875,1.5697917,48,67,1,0,n58,14.64375,9.0
16.230207,0.653125,60,55,1,0,n59,16.226389,10.0
16.230207,1.5583333,64,59,1,0,n60,16.226389,10.0
16.601042,0.36145833,52,58,1,0,n61,16.226389,10.0
16.973959,0.35625,55,57,1,0,n62,16.226389,10.0
17.341667,0.446875,60,56,1,0,n63,16.226389,10.0
