xml_id	midi_id	track	channel	pitch	onset
n25-1	n2	1	0	53	0.9947916666666666
n21-1	n1	1	0	56	0.9885416666666667
n22-1	n6	1	0	58	2.2770833333333327
n1-1	n0	1	0	65	0.9791666666666666
n14-1	deletion
n5-1	n7	1	0	67	2.279166666666666
n15-1	deletion
n2-1	n3	1	0	68	1.3614583333333332
n3-1	n4	1	0	72	1.6635416666666665
n7-1	n9	1	0	76	2.9218749999999996
n4-1	n5	1	0	77	1.955208333333333
n6-1	n8	1	0	77	2.604166666666666
n8-1	n10	1	0	79	3.2281249999999995
n23-1	n12	1	0	60	3.5520833333333326
n16-1	n11	1	0	68	3.541666666666666
n9-1	deletion
n10-1	n13	1	0	72	3.8395833333333327
n12-1	n15	1	0	76	4.440625
n11-1	n14	1	0	77	4.144791666666666
n24-1	n16	1	0	56	4.734374999999999
n20-1	n20	1	0	68	5.703124999999998
n19-1	n19	1	0	70	5.399999999999999
n18-1	n18	1	0	72	5.110416666666665
n17-1	n17	1	0	77	4.786458333333332
n13-1	deletion
n55-1	n21	1	0	58	6.002083333333331
n38-1	n24	1	0	67	6.667708333333331
n37-1	n23	1	0	68	6.367708333333331
n39-1	n25	1	0	70	6.979166666666663
n26-1	n22	1	0	73	6.040624999999998
n36-1	deletion
n56-1	n27	1	0	55	7.312499999999997
n40-1	n26	1	0	64	7.297916666666664
n30-1	n30	1	0	70	8.25520833333333
n29-1	n29	1	0	72	7.936458333333331
n28-1	n28	1	0	73	7.635416666666664
n57-1	n32	1	0	53	8.624999999999998
n66-1	deletion
n58-1	n34	1	0	56	8.929166666666664
n59-1	n35	1	0	60	9.243749999999997
n41-1	n33	1	0	65	8.635416666666664
n60-1	n36	1	0	65	9.53645833333333
n31-1	n31	1	0	68	8.607291666666665
n32-1	n37	1	0	70	9.538541666666664
n61-1	n38	1	0	55	9.836458333333331
n67-1	deletion
n63-1	n45	1	0	64	10.468750000000004
n62-1	n41	1	0	65	10.18854166666667
n64-1	n49	1	0	67	10.752083333333337
n34-1	n50	1	0	68	10.76979166666667
n46-1	n40	1	0	70	10.05625
n48-1	n43	1	0	70	10.30416666666667
n52-1	n46	1	0	70	10.485416666666671
n54-1	n48	1	0	70	10.645833333333337
n35-1	n51	1	0	70	10.905208333333338
n33-1	deletion
n44-1	deletion
n50-1	deletion
n43-1	n39	1	0	72	9.874999999999998
n47-1	n42	1	0	72	10.18854166666667
n49-1	n44	1	0	72	10.377083333333337
n53-1	n47	1	0	72	10.56979166666667
n45-1	deletion
n51-1	deletion
n95-1	n52	1	0	56	11.082291666666672
n105-1	deletion
n79-1	n55	1	0	64	11.73958333333334
n80-1	n56	1	0	65	12.044791666666672
n78-1	n54	1	0	68	11.439583333333339
n77-1	n53	1	0	72	11.109375000000005
n68-1	deletion
n96-1	n57	1	0	58	12.350000000000007
n81-1	n58	1	0	61	12.365625000000007
n70-1	n60	1	0	67	12.984375000000007
n71-1	n61	1	0	70	13.282291666666675
n69-1	n59	1	0	73	12.682291666666673
n106-1	n62	1	0	48	13.680208333333344
n97-1	deletion
n98-1	n65	1	0	52	14.015625000000014
n99-1	n66	1	0	55	14.320833333333349
n82-1	n64	1	0	60	13.698958333333344
n100-1	n68	1	0	60	14.608333333333348
n72-1	n63	1	0	64	13.682291666666677
n73-1	n67	1	0	65	14.598958333333348
n107-1	n69	1	0	49	14.923958333333347
n101-1	deletion
n103-1	n76	1	0	58	15.518750000000015
n102-1	n73	1	0	60	15.24479166666668
n104-1	n80	1	0	61	15.810416666666683
n75-1	n81	1	0	64	15.81770833333335
n86-1	n71	1	0	65	15.10416666666668
n88-1	n74	1	0	65	15.34479166666668
n90-1	n77	1	0	65	15.527083333333348
n94-1	n79	1	0	65	15.702083333333348
n92-1	deletion
n76-1	n82	1	0	65	15.962500000000016
n74-1	deletion
n84-1	deletion
n83-1	n70	1	0	67	14.937500000000014
n85-1	deletion
n87-1	n72	1	0	67	15.23854166666668
n89-1	n75	1	0	67	15.431250000000015
n91-1	deletion
n93-1	n78	1	0	67	15.628125000000015
n149-1	n83	1	0	52	16.136458333333348
n137-1	deletion
n138-1	n87	1	0	55	16.80729166666669
n121-1	n84	1	0	67	16.169791666666683
n108-1	deletion
n110-1	n86	1	0	70	16.79687500000002
n109-1	n85	1	0	72	16.49375000000002
n111-1	n88	1	0	73	17.131250000000023
n140-1	n92	1	0	48	18.075000000000024
n139-1	n89	1	0	60	17.445833333333358
n122-1	n90	1	0	64	17.45104166666669
n115-1	n94	1	0	70	18.40625000000002
n114-1	n93	1	0	72	18.090625000000024
n113-1	n91	1	0	73	17.771875000000023
n150-1	n95	1	0	41	18.80937500000002
n141-1	deletion
n142-1	n98	1	0	45	19.185416666666683
n143-1	n99	1	0	48	19.481250000000017
n144-1	n101	1	0	53	19.766666666666687
n123-1	n97	1	0	63	18.829166666666687
n116-1	n96	1	0	69	18.82500000000002
n117-1	n100	1	0	70	19.760416666666686
n151-1	n102	1	0	42	20.081250000000022
n145-1	deletion
n147-1	n110	1	0	51	20.67187500000003
n146-1	n106	1	0	53	20.395833333333357
n148-1	n114	1	0	54	20.963541666666693
n124-1	n104	1	0	61	20.10729166666669
n119-1	n115	1	0	69	20.987500000000026
n128-1	n105	1	0	70	20.283333333333356
n130-1	n108	1	0	70	20.52395833333336
n134-1	n111	1	0	70	20.712500000000027
n132-1	deletion
n136-1	n113	1	0	70	20.88645833333336
n120-1	n116	1	0	70	21.138541666666693
n118-1	deletion
n126-1	deletion
n125-1	n103	1	0	72	20.09062500000002
n127-1	deletion
n129-1	n107	1	0	72	20.409375000000026
n131-1	n109	1	0	72	20.61250000000003
n135-1	n112	1	0	72	20.79270833333336
n133-1	deletion
n170-1	n117	1	0	45	21.297916666666694
n178-1	deletion
n171-1	n120	1	0	48	21.959375000000026
n161-1	n121	1	0	63	21.965625000000028
n160-1	n119	1	0	65	21.631250000000026
n162-1	n122	1	0	66	22.291666666666696
n152-1	n118	1	0	72	21.32708333333336
n180-1	n126	1	0	41	23.250000000000032
n179-1	n123	1	0	45	22.598958333333364
n172-1	deletion
n166-1	n127	1	0	63	23.547916666666698
n165-1	n125	1	0	65	23.234375000000032
n164-1	n124	1	0	66	22.911458333333364
n173-1	n129	1	0	46	23.9041666666667
n167-1	n128	1	0	61	23.8979166666667
n155-1	n131	1	0	70	24.5447916666667
n154-1	n130	1	0	72	24.234375000000036
n156-1	n132	1	0	73	24.8666666666667
n175-1	n134	1	0	46	25.51250000000003
n176-1	n135	1	0	48	25.82187500000003
n177-1	n139	1	0	49	26.132291666666696
n157-1	n133	1	0	67	25.19583333333337
n158-1	n137	1	0	68	26.002083333333363
n169-1	n140	1	0	68	26.200000000000028
n168-1	n136	1	0	70	25.844791666666698
n198-1	n143	1	0	43	26.48437500000003
n199-1	n146	1	0	46	27.137500000000028
n189-1	n145	1	0	60	26.827083333333363
n190-1	n147	1	0	61	27.150000000000027
n191-1	n148	1	0	65	27.469791666666694
n181-1	n144	1	0	70	26.488541666666695
n211-1	n153	1	0	39	28.487500000000026
n210-1	n149	1	0	51	27.791666666666693
n200-1	n150	1	0	55	27.79583333333336
n195-1	n154	1	0	61	28.822916666666693
n194-1	n152	1	0	63	28.47291666666669
n193-1	n151	1	0	65	28.12708333333336
n202-1	n155	1	0	44	29.23437500000002
n212-1	deletion
n203-1	n158	1	0	48	29.653125000000017
n204-1	n159	1	0	51	29.95833333333335
n205-1	n161	1	0	56	30.271875000000012
n196-1	n156	1	0	60	29.303125000000023
n183-1	n157	1	0	68	29.641666666666683
n184-1	n160	1	0	72	29.963541666666682
n206-1	n162	1	0	46	30.57500000000001
n213-1	deletion
n208-1	n166	1	0	55	31.19583333333334
n207-1	n164	1	0	56	30.89895833333334
n209-1	n168	1	0	58	31.527083333333337
n197-1	n163	1	0	61	30.58437500000001
n186-1	n165	1	0	70	30.913541666666674
n187-1	n167	1	0	73	31.21770833333334
n232-1	n169	1	0	48	31.815625000000004
n248-1	deletion
n233-1	n172	1	0	51	32.14687500000001
n234-1	n173	1	0	56	32.415625000000006
n235-1	n175	1	0	60	32.76562500000002
n228-1	n170	1	0	63	31.821875000000006
n215-1	n171	1	0	72	32.14375000000001
n216-1	n174	1	0	75	32.45208333333334
n236-1	n176	1	0	49	33.0572916666667
n249-1	deletion
n238-1	n180	1	0	58	33.628125000000054
n237-1	n178	1	0	60	33.360416666666715
n239-1	n182	1	0	61	33.97083333333339
n229-1	n177	1	0	65	33.06562500000003
n218-1	n179	1	0	73	33.364583333333385
n219-1	n181	1	0	77	33.68750000000006
n250-1	n183	1	0	51	34.29687500000006
n240-1	deletion
n241-1	n186	1	0	55	34.659375000000075
n242-1	n187	1	0	58	34.94687500000008
n243-1	n190	1	0	63	35.25625000000008
n230-1	n184	1	0	67	34.33020833333339
n223-1	n189	1	0	72	35.251041666666744
n222-1	n188	1	0	73	34.95937500000008
n221-1	n185	1	0	75	34.657291666666744
n251-1	n191	1	0	53	35.55625000000008
n244-1	deletion
n246-1	n195	1	0	61	36.16770833333341
n245-1	n193	1	0	63	35.866666666666745
n247-1	n198	1	0	65	36.48541666666674
n225-1	n194	1	0	67	35.87187500000008
n226-1	n196	1	0	68	36.17812500000007
n224-1	n192	1	0	70	35.559375000000074
n227-1	n197	1	0	73	36.47500000000007
n268-1	n199	1	0	55	36.787500000000065
n274-1	deletion
n271-1	n211	1	0	61	37.72500000000008
n270-1	n207	1	0	63	37.45520833333341
n269-1	n203	1	0	65	37.153125000000074
n252-1	n201	1	0	70	36.95312500000007
n264-1	n204	1	0	70	37.15833333333341
n263-1	n200	1	0	72	36.8239583333334
insertion	n202	1	0	72	37.050000000000075
n276-1	n218	1	0	55	38.731250000000074
n275-1	n215	1	0	56	38.08125000000007
n272-1	n216	1	0	60	38.09166666666673
n254-1	n217	1	0	63	38.42812500000008
n255-1	n219	1	0	65	38.74791666666674
n256-1	n220	1	0	67	39.041666666666735
n278-1	n224	1	0	49	39.97187500000007
n277-1	n221	1	0	53	39.347916666666734
n258-1	n223	1	0	67	39.66562500000007
n257-1	n222	1	0	68	39.3489583333334
n259-1	n225	1	0	68	39.98125000000007
n260-1	n226	1	0	77	40.30729166666673
n279-1	n227	1	0	51	40.62916666666673
n273-1	n230	1	0	58	40.80208333333339
n281-1	n232	1	0	58	40.97395833333341
n280-1	n228	1	0	60	40.647916666666724
insertion	n231	1	0	60	40.9239583333334
