onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9791667,1.053125,65,47,1,0,n0,-10.0,-10.0
0.98854166,1.46875,56,35,1,0,n1,0.9875,0.0
0.9947917,7.25625,53,30,1,0,n2,0.9875,0.0
1.3614583,0.365625,68,55,1,0,n3,0.9875,0.0
1.6635417,0.66979164,72,54,1,0,n4,0.9875,0.0
1.9552083,0.325,77,55,1,0,n5,0.9875,0.0
2.2770834,1.4020833,58,41,1,0,n6,0.9875,0.0
2.2791667,0.9947917,67,56,1,0,n7,2.278125,1.0
2.6041667,0.30208334,77,61,1,0,n8,2.278125,1.0
2.921875,0.5239583,76,62,1,0,n9,2.278125,1.0
3.228125,0.565625,79,66,1,0,n10,2.278125,1.0
3.5416667,1.33125,68,67,1,0,n11,2.278125,1.0
3.5520833,1.4635416,60,42,1,0,n12,3.546875,2.0
3.8395834,0.925,72,64,1,0,n13,3.546875,2.0
4.1447916,0.33229166,77,60,1,0,n14,3.546875,2.0
4.440625,0.346875,76,65,1,0,n15,3.546875,2.0
4.734375,1.4145833,56,41,1,0,n16,3.546875,2.0
4.7864585,0.83958334,77,63,1,0,n17,4.760416,3.0
5.110417,0.57604164,72,51,1,0,n18,4.760416,3.0
5.4,0.6614583,70,58,1,0,n19,4.760416,3.0
5.703125,0.390625,68,63,1,0,n20,4.760416,3.0
6.0020833,1.4760417,58,35,1,0,n21,4.760416,3.0
6.040625,1.25625,73,66,1,0,n22,6.021354,4.0
6.367708,0.35416666,68,57,1,0,n23,6.021354,4.0
6.6677084,0.31979167,67,44,1,0,n24,6.021354,4.0
6.9791665,0.67604166,70,54,1,0,n25,6.021354,4.0
7.297917,1.025,64,50,1,0,n26,6.021354,4.0
7.3125,1.0510417,55,34,1,0,n27,7.305208,5.0
7.6354165,0.36875,73,64,1,0,n28,7.305208,5.0
7.936458,0.55,72,61,1,0,n29,7.305208,5.0
8.255208,0.46666667,70,66,1,0,n30,7.305208,5.0
8.607291,1.0385417,68,54,1,0,n31,7.305208,5.0
8.625,0.921875,53,51,1,0,n32,8.62257,6.0
8.635417,0.365625,65,38,1,0,n33,8.62257,6.0
8.929167,1.06875,56,62,1,0,n34,8.62257,6.0
9.24375,0.909375,60,60,1,0,n35,8.62257,6.0
9.536458,0.38229167,65,52,1,0,n36,8.62257,6.0
9.538542,0.353125,70,72,1,0,n37,8.62257,6.0
9.836458,1.3510417,55,56,1,0,n38,8.62257,6.0
9.875,0.18125,72,59,1,0,n39,9.855234,7.0
10.05625,0.115625,70,63,1,0,n40,9.855234,7.0
10.188541,0.32604167,65,60,1,0,n41,9.855234,7.0
10.188541,0.110416666,72,65,1,0,n42,9.855234,7.0
10.304167,0.079166666,70,65,1,0,n43,9.855234,7.0
10.377084,0.114583336,72,55,1,0,n44,9.855234,7.0
10.46875,0.26979166,64,65,1,0,n45,9.855234,7.0
10.485416,0.084375,70,69,1,0,n46,9.855234,7.0
10.569792,0.104166664,72,58,1,0,n47,9.855234,7.0
10.645833,0.140625,70,67,1,0,n48,9.855234,7.0
10.752084,0.32291666,67,59,1,0,n49,9.855234,7.0
10.769792,0.19895834,68,73,1,0,n50,9.855234,7.0
10.905209,0.24895833,70,74,1,0,n51,9.855234,7.0
11.082292,1.4552083,56,53,1,0,n52,9.855234,7.0
11.109375,1.2385417,72,76,1,0,n53,11.095834,8.0
11.439584,0.371875,68,55,1,0,n54,11.095834,8.0
11.739583,0.321875,64,50,1,0,n55,11.095834,8.0
12.044791,0.34895834,65,49,1,0,n56,11.095834,8.0
12.35,1.4947916,58,43,1,0,n57,11.095834,8.0
12.365625,1.4791666,61,52,1,0,n58,12.357812,9.0
12.682292,0.353125,73,63,1,0,n59,12.357812,9.0
12.984375,0.86041665,67,61,1,0,n60,12.357812,9.0
13.282291,0.5625,70,73,1,0,n61,12.357812,9.0
13.680208,0.92604166,48,62,1,0,n62,12.357812,9.0
13.682292,0.996875,64,61,1,0,n63,12.357812,9.0
13.698958,0.5364583,60,46,1,0,n64,13.687153,10.0
14.015625,0.9770833,52,64,1,0,n65,13.687153,10.0
14.320833,0.90208334,55,67,1,0,n66,13.687153,10.0
14.598958,0.33958334,65,65,1,0,n67,13.687153,10.0
14.608334,0.44166666,60,59,1,0,n68,13.687153,10.0
14.923959,1.371875,49,67,1,0,n69,13.687153,10.0
14.9375,0.15416667,67,53,1,0,n70,14.927962,11.0
15.104167,0.10729167,65,59,1,0,n71,14.927962,11.0
15.238542,0.083333336,67,60,1,0,n72,14.927962,11.0
15.244792,0.31458333,60,67,1,0,n73,14.927962,11.0
15.344791,0.063541666,65,57,1,0,n74,14.927962,11.0
15.43125,0.08229167,67,53,1,0,n75,14.927962,11.0
15.51875,0.3125,58,64,1,0,n76,14.927962,11.0
15.527083,0.079166666,65,62,1,0,n77,14.927962,11.0
15.628125,0.11666667,67,59,1,0,n78,14.927962,11.0
15.702084,0.123958334,65,59,1,0,n79,14.927962,11.0
15.810416,0.45208332,61,56,1,0,n80,14.927962,11.0
15.817708,0.15520833,64,65,1,0,n81,14.927962,11.0
15.9625,0.15,65,63,1,0,n82,14.927962,11.0
16.136457,1.44375,52,49,1,0,n83,14.927962,11.0
16.169792,0.9947917,67,61,1,0,n84,16.153126,12.0
16.49375,0.31979167,72,64,1,0,n85,16.153126,12.0
16.796875,0.5572917,70,65,1,0,n86,16.153126,12.0
16.807291,0.79895836,55,54,1,0,n87,16.153126,12.0
17.13125,0.33645833,73,72,1,0,n88,16.153126,12.0
17.445833,0.6875,60,65,1,0,n89,16.153126,12.0
17.451042,1.5125,64,63,1,0,n90,17.448439,13.0
17.771875,0.3625,73,76,1,0,n91,17.448439,13.0
18.075,0.88854164,48,67,1,0,n92,17.448439,13.0
18.090626,0.87291664,72,78,1,0,n93,17.448439,13.0
18.40625,0.5572917,70,83,1,0,n94,17.448439,13.0
18.809376,0.94375,41,74,1,0,n95,17.448439,13.0
18.825,0.95729166,69,76,1,0,n96,18.82118,14.0
18.829166,0.97083336,63,57,1,0,n97,18.82118,14.0
19.185417,0.971875,45,67,1,0,n98,18.82118,14.0
19.48125,0.8979167,48,70,1,0,n99,18.82118,14.0
19.760416,0.34479168,70,78,1,0,n100,18.82118,14.0
19.766666,0.32708332,53,67,1,0,n101,18.82118,14.0
20.08125,1.3447917,42,69,1,0,n102,18.82118,14.0
20.090626,0.19895834,72,65,1,0,n103,20.086529,15.0
20.107292,1.3083333,61,47,1,0,n104,20.086529,15.0
20.283333,0.12291667,70,63,1,0,n105,20.086529,15.0
20.395834,0.31666666,53,68,1,0,n106,20.086529,15.0
20.409374,0.11145833,72,70,1,0,n107,20.086529,15.0
20.523958,0.09166667,70,69,1,0,n108,20.086529,15.0
20.6125,0.109375,72,62,1,0,n109,20.086529,15.0
20.671875,0.29583332,51,68,1,0,n110,20.086529,15.0
20.7125,0.08645833,70,64,1,0,n111,20.086529,15.0
20.792707,0.13229166,72,58,1,0,n112,20.086529,15.0
20.886457,0.13229166,70,62,1,0,n113,20.086529,15.0
20.963541,0.446875,54,62,1,0,n114,20.086529,15.0
20.9875,0.196875,69,74,1,0,n115,20.086529,15.0
21.138542,0.21145834,70,75,1,0,n116,20.086529,15.0
21.297916,0.9791667,45,45,1,0,n117,20.086529,15.0
21.327084,2.6760416,72,71,1,0,n118,21.3125,16.0
21.63125,0.31354168,65,56,1,0,n119,21.3125,16.0
21.959375,0.7427083,48,46,1,0,n120,21.3125,16.0
21.965626,0.48958334,63,53,1,0,n121,21.3125,16.0
22.291666,0.41770834,66,64,1,0,n122,21.3125,16.0
22.598959,0.79895836,45,48,1,0,n123,22.598957,17.0
22.911459,0.296875,66,51,1,0,n124,22.598957,17.0
23.234375,0.28645834,65,45,1,0,n125,22.598957,17.0
23.25,0.87291664,41,38,1,0,n126,22.598957,17.0
23.547916,0.34375,63,47,1,0,n127,22.598957,17.0
23.897917,2.7083333,61,50,1,0,n128,22.598957,17.0
23.904167,1.3083333,46,36,1,0,n129,23.901043,18.0
24.234375,0.30104166,72,56,1,0,n130,23.901043,18.0
24.544792,0.375,70,60,1,0,n131,23.901043,18.0
24.866667,0.37083334,73,59,1,0,n132,23.901043,18.0
25.195833,0.6010417,67,49,1,0,n133,25.195833,19.0
25.5125,0.34583333,46,46,1,0,n134,25.195833,19.0
25.821875,0.31145832,48,44,1,0,n135,25.195833,19.0
25.844791,0.13541667,70,57,1,0,n136,25.195833,19.0
26.002083,0.090625,68,57,1,0,n137,25.195833,19.0
26.109375,0.071875,70,59,1,0,n138,25.195833,19.0
26.132292,0.5052083,49,49,1,0,n139,25.195833,19.0
26.2,0.075,68,55,1,0,n140,25.195833,19.0
26.284374,0.06666667,70,60,1,0,n141,25.195833,19.0
26.361458,0.11666667,68,38,1,0,n142,25.195833,19.0
26.484375,0.434375,43,43,1,0,n143,25.195833,19.0
26.488543,2.915625,70,72,1,0,n144,26.486458,20.0
26.827084,0.3875,60,54,1,0,n145,26.486458,20.0
27.1375,0.41875,46,49,1,0,n146,26.486458,20.0
27.15,0.378125,61,60,1,0,n147,26.486458,20.0
27.469791,0.37916666,65,65,1,0,n148,26.486458,20.0
27.791666,0.41458333,51,55,1,0,n149,26.486458,20.0
27.795834,0.3,55,55,1,0,n150,27.79375,21.0
28.127083,0.37916666,65,60,1,0,n151,27.79375,21.0
28.472918,0.93125,63,49,1,0,n152,27.79375,21.0
28.4875,0.26666668,39,47,1,0,n153,27.79375,21.0
28.822916,0.58125,61,52,1,0,n154,27.79375,21.0
29.234375,1.4708333,44,37,1,0,n155,27.79375,21.0
29.303125,0.63645834,60,45,1,0,n156,29.26875,22.0
29.641666,0.40625,68,65,1,0,n157,29.26875,22.0
29.653126,1.0520834,48,39,1,0,n158,29.26875,22.0
29.958334,0.746875,51,44,1,0,n159,29.26875,22.0
29.963541,0.7416667,72,66,1,0,n160,29.26875,22.0
30.271875,0.43333334,56,57,1,0,n161,29.26875,22.0
30.575,1.4083333,46,51,1,0,n162,29.26875,22.0
30.584375,0.690625,61,60,1,0,n163,30.579687,23.0
30.898958,0.35208333,56,50,1,0,n164,30.579687,23.0
30.913542,0.35833332,70,77,1,0,n165,30.579687,23.0
31.195833,0.7875,55,55,1,0,n166,30.579687,23.0
31.217709,0.765625,73,77,1,0,n167,30.579687,23.0
31.527082,0.45625,58,71,1,0,n168,30.579687,23.0
31.815624,1.3479167,48,59,1,0,n169,30.579687,23.0
31.821875,0.709375,63,76,1,0,n170,31.81875,24.0
32.14375,0.33125,72,83,1,0,n171,31.81875,24.0
32.146873,1.0166667,51,57,1,0,n172,31.81875,24.0
32.415627,0.934375,56,59,1,0,n173,31.81875,24.0
32.452084,0.7114583,75,88,1,0,n174,31.81875,24.0
32.765625,0.39791667,60,65,1,0,n175,31.81875,24.0
33.057293,1.40625,49,63,1,0,n176,31.81875,24.0
33.065624,1.3979167,65,77,1,0,n177,33.06146,25.0
33.360416,0.32916668,60,63,1,0,n178,33.06146,25.0
33.364582,0.33333334,73,83,1,0,n179,33.06146,25.0
33.628124,0.8354167,58,64,1,0,n180,33.06146,25.0
33.6875,0.7760417,77,87,1,0,n181,33.06146,25.0
33.970833,0.49270833,61,75,1,0,n182,33.06146,25.0
34.296875,0.96875,51,54,1,0,n183,33.06146,25.0
34.330208,1.2947917,67,73,1,0,n184,34.31354,26.0
34.65729,0.35833332,75,74,1,0,n185,34.31354,26.0
34.659374,0.834375,55,53,1,0,n186,34.31354,26.0
34.946877,0.9125,58,54,1,0,n187,34.31354,26.0
34.959373,0.35104167,73,74,1,0,n188,34.31354,26.0
35.25104,0.38333333,72,76,1,0,n189,34.31354,26.0
35.25625,0.35625,63,62,1,0,n190,34.31354,26.0
35.55625,0.8489583,53,64,1,0,n191,34.31354,26.0
35.559376,0.315625,70,75,1,0,n192,35.55781,27.0
35.866665,0.35520834,63,67,1,0,n193,35.55781,27.0
35.871876,0.34270832,67,73,1,0,n194,35.55781,27.0
36.16771,0.75416666,61,68,1,0,n195,35.55781,27.0
36.178123,0.725,68,78,1,0,n196,35.55781,27.0
36.475,0.428125,73,75,1,0,n197,35.55781,27.0
36.485416,0.41770834,65,63,1,0,n198,35.55781,27.0
36.7875,1.415625,55,69,1,0,n199,35.55781,27.0
36.82396,0.11354167,72,70,1,0,n200,36.808952,28.0
36.953125,0.08229167,70,67,1,0,n201,36.808952,28.0
37.05,0.10104167,72,62,1,0,n202,36.808952,28.0
37.153126,1.05,65,67,1,0,n203,36.808952,28.0
37.158333,0.08020833,70,59,1,0,n204,36.808952,28.0
37.25,0.1,72,55,1,0,n205,36.808952,28.0
37.364582,0.078125,70,59,1,0,n206,36.808952,28.0
37.455208,0.74791664,63,74,1,0,n207,36.808952,28.0
37.465626,0.06979167,72,57,1,0,n208,36.808952,28.0
37.55521,0.077083334,70,59,1,0,n209,36.808952,28.0
37.654167,0.54895836,72,55,1,0,n210,36.808952,28.0
37.725,0.478125,61,65,1,0,n211,36.808952,28.0
37.75104,0.45208332,70,61,1,0,n212,36.808952,28.0
37.85,0.353125,72,62,1,0,n213,36.808952,28.0
37.94896,0.46770832,70,64,1,0,n214,36.808952,28.0
38.08125,0.45208332,56,69,1,0,n215,38.08125,29.0
38.091667,2.8166666,60,56,1,0,n216,38.08125,29.0
38.428123,0.36875,63,69,1,0,n217,38.08125,29.0
38.73125,0.48229167,55,64,1,0,n218,38.08125,29.0
38.747917,0.33333334,65,67,1,0,n219,38.08125,29.0
39.041668,0.34375,67,67,1,0,n220,38.08125,29.0
39.347916,0.5125,53,56,1,0,n221,38.08125,29.0
39.348957,0.32395834,68,73,1,0,n222,39.34844,30.0
39.665627,0.334375,67,67,1,0,n223,39.34844,30.0
39.971874,0.93645835,49,60,1,0,n224,39.34844,30.0
39.98125,0.9270833,68,77,1,0,n225,39.34844,30.0
40.307293,0.6010417,77,78,1,0,n226,39.34844,30.0
40.629166,1.5552083,51,49,1,0,n227,39.34844,30.0
40.647915,0.26041666,60,47,1,0,n228,39.34844,30.0
40.691666,1.4927083,75,72,1,0,n229,40.660416,31.0
40.802082,0.10625,58,59,1,0,n230,40.660416,31.0
40.923958,0.065625,60,42,1,0,n231,40.660416,31.0
40.973957,0.060416665,58,55,1,0,n232,40.660416,31.0
41.005207,0.30104166,68,65,1,0,n233,40.660416,31.0
41.090626,0.084375,60,22,1,0,n234,40.660416,31.0
41.12396,0.036458332,58,46,1,0,n235,40.660416,31.0
41.19896,0.10520833,60,36,1,0,n236,40.660416,31.0
41.275,0.909375,58,66,1,0,n237,40.660416,31.0
41.284374,0.9,67,69,1,0,n238,40.660416,31.0
41.60521,0.57916665,73,80,1,0,n239,40.660416,31.0
42.021873,1.2041667,56,49,1,0,n240,40.660416,31.0
42.029167,1.384375,44,47,1,0,n241,40.660416,31.0
42.05104,0.30729166,72,71,1,0,n242,42.034027,32.0
42.45625,0.36875,68,73,1,0,n243,42.034027,32.0
42.776043,0.38333333,72,75,1,0,n244,42.034027,32.0
43.08229,0.415625,76,69,1,0,n245,42.034027,32.0
43.4,0.35520834,77,75,1,0,n246,43.4,33.0
43.7125,0.35416666,79,80,1,0,n247,43.4,33.0
43.713543,0.34895834,56,56,1,0,n248,43.4,33.0
44.002083,0.46458334,55,51,1,0,n249,43.4,33.0
44.01979,0.36041668,76,75,1,0,n250,43.4,33.0
44.316666,0.35416666,53,55,1,0,n251,43.4,33.0
44.317707,0.40104166,77,80,1,0,n252,43.4,33.0
44.607292,1.378125,52,49,1,0,n253,43.4,33.0
44.6625,2.9010417,79,82,1,0,n254,44.634895,34.0
44.972916,1.0125,55,52,1,0,n255,44.634895,34.0
45.267708,0.71770835,58,61,1,0,n256,44.634895,34.0
45.575,0.41041666,61,68,1,0,n257,44.634895,34.0
45.896873,1.45,48,64,1,0,n258,45.896873,35.0
46.2125,0.35625,53,58,1,0,n259,45.896873,35.0
46.521873,0.825,52,56,1,0,n260,45.896873,35.0
46.84479,0.50208336,55,60,1,0,n261,45.896873,35.0
47.202084,2.071875,56,64,1,0,n262,45.896873,35.0
47.20625,1.2125,53,58,1,0,n263,47.204166,36.0
47.528126,0.378125,72,78,1,0,n264,47.204166,36.0
47.846874,0.5260417,77,79,1,0,n265,47.204166,36.0
48.18125,0.334375,80,79,1,0,n266,47.204166,36.0
48.479168,0.34895834,74,68,1,0,n267,48.479168,37.0
48.776043,0.3375,77,66,1,0,n268,48.479168,37.0
48.7875,0.515625,53,47,1,0,n269,48.479168,37.0
49.080208,0.36041668,51,46,1,0,n270,48.479168,37.0
49.09479,0.321875,71,63,1,0,n271,48.479168,37.0
49.37604,0.29791668,50,50,1,0,n272,48.479168,37.0
49.378124,0.23333333,72,69,1,0,n273,48.479168,37.0
49.70625,0.946875,55,57,1,0,n274,49.70625,38.0
49.75,0.11875,72,67,1,0,n275,49.70625,38.0
49.89375,0.075,71,56,1,0,n276,49.70625,38.0
49.975,0.059375,72,61,1,0,n277,49.70625,38.0
50.046875,0.08229167,71,55,1,0,n278,49.70625,38.0
50.08125,0.959375,59,66,1,0,n279,49.70625,38.0
50.12604,0.09166667,72,66,1,0,n280,49.70625,38.0
50.209373,0.53229165,71,62,1,0,n281,49.70625,38.0
50.378124,0.684375,62,66,1,0,n282,49.70625,38.0
50.6625,0.47083333,67,54,1,0,n283,49.70625,38.0
50.66354,0.38645834,72,81,1,0,n284,49.70625,38.0
50.96146,1.3520833,56,69,1,0,n285,49.70625,38.0
51.029167,0.171875,74,67,1,0,n286,50.99297,39.0
51.195835,0.12708333,72,72,1,0,n287,50.99297,39.0
51.326042,0.28333333,67,61,1,0,n288,50.99297,39.0
51.326042,0.110416666,74,70,1,0,n289,50.99297,39.0
51.440624,0.08645833,72,72,1,0,n290,50.99297,39.0
51.53229,0.09791667,74,65,1,0,n291,50.99297,39.0
51.58229,0.29895833,65,65,1,0,n292,50.99297,39.0
51.621876,0.09583333,72,69,1,0,n293,50.99297,39.0
51.720833,0.134375,74,64,1,0,n294,50.99297,39.0
51.790627,0.12083333,72,67,1,0,n295,50.99297,39.0
51.878124,0.38125,68,66,1,0,n296,50.99297,39.0
51.889584,0.17395833,71,78,1,0,n297,50.99297,39.0
52.028126,0.1375,72,78,1,0,n298,50.99297,39.0
52.185417,1.415625,59,62,1,0,n299,50.99297,39.0
52.19479,1.0083333,74,75,1,0,n300,52.190105,40.0
52.517708,0.34895834,79,84,1,0,n301,52.190105,40.0
52.829166,0.80833334,62,60,1,0,n302,52.190105,40.0
52.835415,0.40416667,77,78,1,0,n303,52.190105,40.0
53.173958,0.30729166,80,81,1,0,n304,52.190105,40.0
53.47604,0.815625,67,67,1,0,n305,52.190105,40.0
53.489582,1.1947917,71,70,1,0,n306,53.482815,41.0
53.802082,0.34375,80,82,1,0,n307,53.482815,41.0
54.102085,0.7104167,55,62,1,0,n308,53.482815,41.0
54.111458,0.36875,79,76,1,0,n309,53.482815,41.0
54.427082,0.35,77,76,1,0,n310,53.482815,41.0
54.741665,4.241667,60,58,1,0,n311,53.482815,41.0
54.744793,0.72291666,75,75,1,0,n312,54.74323,42.0
55.139584,0.6614583,84,79,1,0,n313,54.74323,42.0
55.44375,0.7239583,56,65,1,0,n314,54.74323,42.0
55.458332,0.67083335,77,75,1,0,n315,54.74323,42.0
55.760418,0.36770833,83,85,1,0,n316,54.74323,42.0
56.05521,0.59583336,51,58,1,0,n317,54.74323,42.0
56.072918,0.71770835,84,89,1,0,n318,56.06406,43.0
56.389584,0.39166668,79,85,1,0,n319,56.06406,43.0
56.675,0.7114583,53,55,1,0,n320,56.06406,43.0
56.682293,0.3625,80,78,1,0,n321,56.06406,43.0
57.01979,0.44791666,77,78,1,0,n322,56.06406,43.0
57.35625,2.875,55,53,1,0,n323,56.06406,43.0
57.446877,1.5364584,75,75,1,0,n324,57.40156,44.0
57.825,0.309375,71,54,1,0,n325,57.40156,44.0
58.12396,0.859375,72,62,1,0,n326,57.40156,44.0
58.41771,0.565625,66,48,1,0,n327,57.40156,44.0
58.747917,0.61041665,67,54,1,0,n328,58.747917,45.0
59.05625,0.35833332,72,65,1,0,n329,58.747917,45.0
59.380207,0.78229165,59,46,1,0,n330,58.747917,45.0
59.38646,0.7760417,74,60,1,0,n331,58.747917,45.0
59.709373,0.453125,65,52,1,0,n332,58.747917,45.0
60.067707,2.3364584,48,43,1,0,n333,58.747917,45.0
60.072918,2.053125,72,62,1,0,n334,58.747917,45.0
60.085415,0.421875,60,38,1,0,n335,60.075348,46.0
60.435417,0.40104166,65,54,1,0,n336,60.075348,46.0
60.791668,1.2197917,55,51,1,0,n337,60.075348,46.0
60.804165,0.325,64,49,1,0,n338,60.075348,46.0
61.12604,0.359375,67,42,1,0,n339,60.075348,46.0
61.45,0.3875,60,43,1,0,n340,61.45,47.0
61.760418,0.38958332,53,42,1,0,n341,61.45,47.0
62.09375,0.35,52,41,1,0,n342,61.45,47.0
62.434376,0.746875,55,40,1,0,n343,61.45,47.0
62.897915,1.509375,45,33,1,0,n344,61.45,47.0
62.91354,1.49375,65,46,1,0,n345,62.90573,48.0
63.303123,0.45416668,69,54,1,0,n346,62.90573,48.0
63.619793,0.8822917,53,42,1,0,n347,62.90573,48.0
63.629166,0.778125,72,53,1,0,n348,62.90573,48.0
63.942707,0.46458334,75,62,1,0,n349,62.90573,48.0
64.25208,1.371875,41,46,1,0,n350,62.90573,48.0
64.26875,1.3552083,69,56,1,0,n351,64.260414,49.0
64.578125,0.425,78,65,1,0,n352,64.260414,49.0
64.90104,0.72291666,53,37,1,0,n353,64.260414,49.0
64.902084,0.721875,72,56,1,0,n354,64.260414,49.0
65.21562,0.40833333,75,67,1,0,n355,64.260414,49.0
65.532295,1.371875,46,46,1,0,n356,64.260414,49.0
65.53646,1.3989583,73,69,1,0,n357,65.53438,50.0
65.87708,1.0270833,49,51,1,0,n358,65.53438,50.0
66.19063,0.7135417,70,66,1,0,n359,65.53438,50.0
66.19896,0.70520836,53,52,1,0,n360,65.53438,50.0
66.50208,0.40208334,58,59,1,0,n361,65.53438,50.0
66.79271,0.809375,48,52,1,0,n362,65.53438,50.0
66.81771,1.3864583,64,63,1,0,n363,66.80521,51.0
67.12813,0.33333334,58,61,1,0,n364,66.80521,51.0
67.416664,0.7875,72,74,1,0,n365,66.80521,51.0
