xml_id	midi_id	track	channel	pitch	onset
n1-1	n0	1	0	66	0.9830729166666666
n2-1	n1	1	0	70	1.22265625
n4-1	n3	1	0	70	1.64453125
n3-1	n2	1	0	73	1.4270833333333333
n9-1	n6	1	0	54	2.28125
n5-1	n4	1	0	66	1.8776041666666667
n6-1	n5	1	0	73	2.078125
n7-1	n8	1	0	73	2.4466145833333335
n10-1	n9	1	0	58	2.51171875
n12-1	n17	1	0	58	2.9361979166666665
n11-1	n13	1	0	61	2.7239583333333335
n13-1	n22	1	0	54	3.1562499999999996
n14-1	n23	1	0	63	3.3697916666666665
n24-1	n24	1	0	63	3.602864583333333
n25-1	n27	1	0	61	4.279947916666666
n16-1	n25	1	0	70	3.821614583333333
n17-1	n26	1	0	71	4.048177083333333
n26-1	n30	1	0	59	4.988281249999999
n19-1	n29	1	0	70	4.740885416666666
n18-1	n28	1	0	73	4.509114583333333
n27-1	n33	1	0	58	5.692708333333333
n21-1	n32	1	0	68	5.453125
n20-1	n31	1	0	75	5.210937499999999
n38-1	n36	1	0	56	6.385416666666666
n23-1	n35	1	0	66	6.156249999999999
n22-1	n34	1	0	70	5.924479166666666
n39-1	n39	1	0	54	7.096354166666666
n30-1	n38	1	0	65	6.859374999999999
n29-1	n37	1	0	71	6.617187499999999
n40-1	n42	1	0	53	7.799479166666667
n32-1	n41	1	0	63	7.557291666666667
n31-1	n40	1	0	71	7.325520833333333
n41-1	n46	1	0	49	8.506510416666668
n34-1	n44	1	0	61	8.247395833333334
n35-1	n45	1	0	65	8.494791666666668
n33-1	n43	1	0	71	8.032552083333334
n51-1	n50	1	0	54	9.200520833333336
n36-1	n47	1	0	68	8.736979166666668
n42-1	n49	1	0	70	9.180989583333336
n37-1	n48	1	0	71	8.941406250000002
n52-1	n53	1	0	56	9.902343750000002
n43-1	n51	1	0	66	9.411458333333336
n44-1	n52	1	0	72	9.649739583333336
n53-1	n56	1	0	58	10.591145833333334
n45-1	n54	1	0	66	10.119791666666668
n46-1	n55	1	0	73	10.354166666666668
n54-1	n59	1	0	60	11.295572916666666
n47-1	n57	1	0	66	10.8203125
n48-1	n58	1	0	75	11.063802083333332
n67-1	n62	1	0	61	11.989583333333332
n49-1	n60	1	0	68	11.516927083333332
n50-1	n61	1	0	77	11.755208333333332
n68-1	n65	1	0	56	12.703124999999998
n57-1	n64	1	0	73	12.471354166666664
n56-1	n63	1	0	80	12.230468749999998
n69-1	n69	1	0	58	13.398437499999996
n59-1	n67	1	0	72	13.166666666666664
n60-1	n68	1	0	73	13.38802083333333
n58-1	n66	1	0	75	12.936197916666664
n70-1	n72	1	0	53	14.0546875
n62-1	n71	1	0	73	13.848958333333332
n63-1	n73	1	0	73	14.0546875
n61-1	n70	1	0	77	13.61848958333333
n82-1	n77	1	0	54	14.733072916666668
n66-1	n76	1	0	73	14.479166666666668
n65-1	n75	1	0	75	14.3671875
n64-1	n74	1	0	77	14.27734375
n83-1	n80	1	0	56	15.441406250000002
n73-1	n79	1	0	73	15.203125000000002
n72-1	n78	1	0	82	14.964843750000002
n84-1	n84	1	0	49	16.151041666666668
n75-1	n82	1	0	72	15.907552083333336
n76-1	n83	1	0	73	16.1328125
n74-1	n81	1	0	75	15.678385416666668
n77-1	n85	1	0	77	16.364583333333336
n79-1	n87	1	0	77	16.807291666666668
n78-1	n86	1	0	80	16.579427083333336
n99-1	n90	1	0	49	17.454427083333336
n80-1	n88	1	0	73	17.033854166666668
n81-1	n89	1	0	80	17.230468750000004
n86-1	n92	1	0	80	17.615885416666668
n93-1	n95	1	0	80	17.80338541666667
n92-1	n91	1	0	82	17.470052083333336
n94-1	n94	1	0	82	17.714843750000004
n100-1	n93	1	0	53	17.708333333333336
n102-1	n101	1	0	53	18.132812500000004
n101-1	n97	1	0	56	17.91666666666667
n95-1	n98	1	0	80	17.94401041666667
n97-1	n100	1	0	80	18.08854166666667
n98-1	n103	1	0	80	18.22916666666667
n96-1	n96	1	0	82	17.87760416666667
n103-1	n106	1	0	49	18.313802083333336
n104-1	n109	1	0	58	18.554687500000004
n105-1	n110	1	0	58	18.789062500000004
n106-1	n113	1	0	56	19.49088541666667
n88-1	n111	1	0	77	19.023437500000004
n89-1	n112	1	0	78	19.26302083333334
n117-1	n116	1	0	54	20.194010416666675
n91-1	n115	1	0	77	19.983072916666675
n90-1	n114	1	0	80	19.73177083333334
n118-1	n119	1	0	53	20.902343750000004
n109-1	n118	1	0	75	20.68229166666667
n108-1	n117	1	0	82	20.425781250000007
n119-1	n122	1	0	51	21.60677083333334
n111-1	n121	1	0	74	21.35677083333334
n110-1	n120	1	0	77	21.13541666666667
n112-1	n123	1	0	78	21.609375000000007
n120-1	n126	1	0	49	22.312500000000004
n113-1	n124	1	0	70	21.863281250000007
n114-1	n125	1	0	71	22.08854166666667
n130-1	n129	1	0	47	23.007812500000004
n116-1	n128	1	0	70	22.774739583333336
n115-1	n127	1	0	73	22.535156250000004
n131-1	n132	1	0	46	23.725260416666668
n123-1	n131	1	0	68	23.476562500000004
n122-1	n130	1	0	75	23.246093750000004
n132-1	n135	1	0	44	24.425781250000007
n125-1	n134	1	0	66	24.19010416666667
n124-1	n133	1	0	70	23.958333333333336
n133-1	n138	1	0	42	25.13802083333334
n127-1	n137	1	0	64	24.91145833333334
n126-1	n136	1	0	71	24.67317708333334
n143-1	n141	1	0	41	25.859375000000004
n129-1	n140	1	0	63	25.636718750000004
n128-1	n139	1	0	66	25.39192708333334
n134-1	n142	1	0	68	25.891927083333336
n144-1	n145	1	0	51	26.602864583333336
n135-1	n143	1	0	62	26.115885416666668
n136-1	n144	1	0	63	26.348958333333336
n145-1	n148	1	0	50	27.307291666666668
n137-1	n146	1	0	62	26.834635416666668
n138-1	n147	1	0	68	27.08203125
n146-1	deletion
n139-1	n149	1	0	65	27.532552083333336
n140-1	n150	1	0	71	27.786458333333336
n156-1	n154	1	0	51	28.72916666666667
n141-1	n152	1	0	68	28.226562500000004
n142-1	n153	1	0	77	28.47916666666667
n157-1	n157	1	0	54	29.442708333333336
n148-1	n155	1	0	65	28.953125000000004
n149-1	n156	1	0	66	29.200520833333336
n158-1	n160	1	0	56	30.15625
n150-1	n158	1	0	70	29.653645833333336
n151-1	n159	1	0	75	29.904947916666668
n159-1	n163	1	0	58	30.85546875
n152-1	n161	1	0	65	30.38671875
n153-1	n162	1	0	68	30.627604166666668
n174-1	n166	1	0	51	31.579427083333332
n154-1	n164	1	0	70	31.098958333333332
n155-1	n165	1	0	74	31.346354166666668
n160-1	n168	1	0	75	31.763020833333336
n168-1	n171	1	0	75	31.923177083333336
n167-1	n167	1	0	77	31.6328125
n169-1	n169	1	0	77	31.845052083333336
n175-1	n170	1	0	54	31.859375000000004
n177-1	n178	1	0	54	32.28515625000001
n176-1	n173	1	0	58	32.05729166666667
n170-1	n174	1	0	75	32.06250000000001
n172-1	n176	1	0	75	32.21223958333334
n173-1	n179	1	0	75	32.33854166666667
n171-1	n172	1	0	77	31.997395833333336
n178-1	n182	1	0	51	32.468750000000014
n179-1	n185	1	0	60	32.69791666666668
n182-1	n187	1	0	60	33.03645833333334
n180-1	deletion
n181-1	n186	1	0	61	32.90885416666668
n183-1	n189	1	0	61	33.15755208333334
n184-1	n190	1	0	60	33.22526041666668
n186-1	n193	1	0	60	33.40625000000001
n187-1	n196	1	0	60	33.587239583333336
n185-1	n191	1	0	61	33.31380208333334
n162-1	n188	1	0	78	33.11458333333334
n164-1	n195	1	0	78	33.528645833333336
n163-1	n192	1	0	82	33.32812500000001
n195-1	n205	1	0	82	34.18359375000001
n197-1	n208	1	0	82	34.41927083333335
n165-1	n199	1	0	75	33.76432291666668
n166-1	n202	1	0	81	33.95312500000001
n188-1	n206	1	0	81	34.32682291666668
n196-1	n209	1	0	81	34.50130208333335
n203-1	n207	1	0	63	34.390625000000014
n205-1	n215	1	0	63	34.85156250000001
n204-1	n211	1	0	66	34.61588541666668
n198-1	n212	1	0	81	34.67187500000001
n200-1	n214	1	0	81	34.80859375000001
n201-1	n217	1	0	81	34.94401041666667
n199-1	n210	1	0	82	34.574218750000014
n206-1	n219	1	0	60	35.06510416666667
n207-1	n223	1	0	66	35.27734375000001
n208-1	n224	1	0	66	35.51041666666667
n211-1	n230	1	0	61	36.20703125000001
n210-1	n228	1	0	63	36.00781250000001
n209-1	n226	1	0	65	35.76171875
n192-1	n229	1	0	77	36.20572916666667
n190-1	n225	1	0	82	35.751302083333336
n191-1	n227	1	0	84	35.97916666666667
n226-1	n236	1	0	58	36.94401041666668
n212-1	n232	1	0	63	36.454427083333336
n213-1	n234	1	0	65	36.692708333333336
n214-1	n235	1	0	73	36.93098958333334
n194-1	n233	1	0	75	36.680989583333336
n193-1	n231	1	0	78	36.44791666666667
n227-1	n239	1	0	53	37.60416666666668
n216-1	n238	1	0	70	37.39322916666668
n215-1	n237	1	0	77	37.15885416666668
n228-1	n242	1	0	54	38.309895833333336
n218-1	n241	1	0	69	38.08333333333334
n219-1	n243	1	0	70	38.313802083333336
n217-1	n240	1	0	72	37.839843750000014
n229-1	n247	1	0	49	39.00520833333333
n221-1	n245	1	0	70	38.768229166666664
n222-1	n246	1	0	70	38.983072916666664
n220-1	n244	1	0	73	38.5390625
n241-1	n251	1	0	51	39.682291666666664
n225-1	n250	1	0	70	39.43489583333333
n224-1	n249	1	0	72	39.32942708333333
n223-1	n248	1	0	73	39.22786458333333
n242-1	n254	1	0	53	40.37369791666667
n232-1	n253	1	0	70	40.141927083333336
n231-1	n252	1	0	78	39.90364583333333
n243-1	n258	1	0	46	41.10416666666668
n234-1	n256	1	0	69	40.85807291666668
n235-1	n257	1	0	70	41.097656250000014
n233-1	n255	1	0	72	40.61718750000001
n236-1	n259	1	0	73	41.34505208333334
n238-1	n261	1	0	73	41.79166666666667
n237-1	n260	1	0	77	41.55468750000001
n252-1	n264	1	0	51	42.454427083333336
n239-1	n262	1	0	70	42.00651041666667
n240-1	n263	1	0	79	42.227864583333336
n245-1	n266	1	0	79	42.6015625
n253-1	n268	1	0	55	42.71875
n255-1	n276	1	0	55	43.149739583333336
n254-1	n271	1	0	58	42.92838541666667
n256-1	n280	1	0	51	43.34244791666667
n257-1	n281	1	0	61	43.57291666666667
n258-1	n282	1	0	61	43.825520833333336
n259-1	n286	1	0	55	44.53776041666666
n249-1	n285	1	0	73	44.53515624999999
n248-1	n284	1	0	75	44.28515625
n247-1	n283	1	0	82	44.075520833333336
n272-1	n290	1	0	56	45.24869791666666
n251-1	n288	1	0	70	45.00651041666666
n250-1	n287	1	0	71	44.78124999999999
n260-1	n289	1	0	71	45.23958333333332
n273-1	n293	1	0	51	45.946614583333314
n262-1	n292	1	0	68	45.722656249999986
n261-1	n291	1	0	75	45.48177083333332
n274-1	n297	1	0	52	46.63932291666664
n264-1	n295	1	0	67	46.40104166666664
n265-1	n296	1	0	68	46.63671874999998
n263-1	n294	1	0	70	46.17968749999998
n275-1	n300	1	0	47	47.31640624999997
n267-1	n299	1	0	68	47.10546874999997
n268-1	n301	1	0	68	47.32031249999997
n266-1	n298	1	0	71	46.88151041666664
n287-1	n305	1	0	49	48.03515624999998
n271-1	n304	1	0	68	47.75651041666664
n270-1	n303	1	0	70	47.63541666666664
n269-1	n302	1	0	71	47.54166666666664
n288-1	n308	1	0	51	48.75781249999998
n278-1	n307	1	0	68	48.50651041666664
n277-1	n306	1	0	76	48.27734374999998
n289-1	n312	1	0	44	49.466145833333314
n280-1	n310	1	0	67	49.22135416666665
n281-1	n311	1	0	68	49.454427083333314
n279-1	n309	1	0	70	48.993489583333314
