onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.98307294,0.2721354,66,46,1,0,n0,-10.0,-10.0
1.2226562,0.05859375,70,55,1,0,n1,0.983073,0.0
1.4270834,0.078125,73,65,1,0,n2,0.983073,0.0
1.6445312,0.25390625,70,68,1,0,n3,1.644531,3.0
1.8776041,0.052083332,66,65,1,0,n4,1.644531,3.0
2.078125,0.095052086,73,76,1,0,n5,1.644531,3.0
2.28125,0.2421875,54,48,1,0,n6,1.644531,3.0
2.3046875,0.13411458,75,66,1,0,n7,2.293165,6.0
2.4466145,0.061197918,73,64,1,0,n8,2.293165,6.0
2.5117188,0.05859375,58,56,1,0,n9,2.293165,6.0
2.5234375,0.071614586,75,60,1,0,n10,2.293165,6.0
2.6445312,0.044270832,73,47,1,0,n11,2.293165,6.0
2.7057292,0.053385418,75,63,1,0,n12,2.293165,6.0
2.7239583,0.046875,61,63,1,0,n13,2.293165,6.0
2.7851562,0.041666668,73,67,1,0,n14,2.293165,6.0
2.8463542,0.044270832,75,56,1,0,n15,2.293165,6.0
2.9088542,0.046875,73,70,1,0,n16,2.293165,6.0
2.936198,0.19140625,58,60,1,0,n17,2.936198,9.0
2.9778645,0.0390625,75,63,1,0,n18,2.936198,9.0
3.0273438,0.049479168,73,58,1,0,n19,2.936198,9.0
3.0859375,0.079427086,75,74,1,0,n20,2.936198,9.0
3.1445312,0.71484375,73,75,1,0,n21,2.936198,9.0
3.15625,0.061197918,54,57,1,0,n22,2.936198,9.0
3.3697917,0.092447914,63,65,1,0,n23,2.936198,9.0
3.6028645,0.484375,63,69,1,0,n24,2.936198,9.0
3.8216145,0.0859375,70,73,1,0,n25,3.602865,12.0
4.0481772,0.47265625,71,74,1,0,n26,3.602865,12.0
4.2799478,0.53515625,61,60,1,0,n27,3.602865,12.0
4.5091147,0.071614586,73,75,1,0,n28,4.279948,15.0
4.7408853,0.5,70,72,1,0,n29,4.279948,15.0
4.9882812,0.51692706,59,58,1,0,n30,4.988281,18.0
5.2109375,0.071614586,75,81,1,0,n31,4.988281,18.0
5.453125,0.51171875,68,77,1,0,n32,4.988281,18.0
5.6927085,0.50130206,58,64,1,0,n33,5.692708,21.0
