xml_id	midi_id	track	channel	pitch	onset
n26-1	n4	1	0	43	1.4270833333333335
n25-1	n0	1	0	55	1.08203125
n1-1	n1	1	0	67	1.0859375
n2-1	n2	1	0	71	1.1927083333333333
n3-1	n3	1	0	74	1.31640625
n4-1	n5	1	0	79	1.4283854166666667
n6-1	n7	1	0	71	1.65625
n5-1	n6	1	0	74	1.5416666666666667
n7-1	n8	1	0	74	1.78125
n28-1	n11	1	0	55	2.109375
n9-1	n10	1	0	67	2.0065104166666665
n8-1	n9	1	0	71	1.8854166666666665
n10-1	n12	1	0	71	2.1236979166666665
n29-1	n15	1	0	55	2.4414062499999996
n12-1	n14	1	0	62	2.345052083333333
n13-1	n16	1	0	64	2.4648437499999996
n11-1	n13	1	0	67	2.2252604166666665
n30-1	n19	1	0	43	2.819010416666666
n14-1	n17	1	0	67	2.5781249999999996
n15-1	n18	1	0	72	2.682291666666666
n16-1	n20	1	0	76	2.819010416666666
n18-1	n22	1	0	67	3.0312499999999996
n17-1	n21	1	0	72	2.9218749999999996
n19-1	n23	1	0	72	3.153645833333333
n32-1	n26	1	0	55	3.4765625
n21-1	n25	1	0	64	3.368489583333334
n20-1	n24	1	0	67	3.2630208333333335
n22-1	n27	1	0	67	3.4765625
n57-1	n30	1	0	55	3.8203125000000004
n33-1	n31	1	0	57	3.822916666666667
n24-1	n29	1	0	60	3.6796875000000004
n23-1	n28	1	0	64	3.576822916666667
n58-1	n34	1	0	43	4.161458333333333
n34-1	n32	1	0	60	3.9140625000000004
n35-1	n33	1	0	66	4.04296875
n36-1	n35	1	0	69	4.173177083333333
n38-1	n37	1	0	60	4.385416666666666
n37-1	n36	1	0	66	4.261718749999999
n39-1	n38	1	0	66	4.488281249999998
n60-1	n42	1	0	55	4.805989583333331
n41-1	n40	1	0	57	4.707031249999998
n40-1	n39	1	0	60	4.597656249999999
n42-1	n41	1	0	60	4.792968749999998
n44-1	n44	1	0	54	5.014322916666663
n45-1	n45	1	0	55	5.13802083333333
n61-1	deletion
n43-1	n43	1	0	57	4.89973958333333
n62-1	n48	1	0	43	5.4687499999999964
n46-1	n46	1	0	59	5.2421874999999964
n47-1	n47	1	0	62	5.365885416666663
n48-1	n49	1	0	67	5.471354166666663
n50-1	n51	1	0	59	5.68489583333333
n49-1	n50	1	0	62	5.5585937499999964
n51-1	n52	1	0	62	5.795572916666663
n53-1	n54	1	0	55	6.00130208333333
n64-1	n56	1	0	55	6.108072916666663
n52-1	n53	1	0	59	5.8984374999999964
n54-1	n55	1	0	59	6.08333333333333
n56-1	n58	1	0	52	6.29427083333333
n55-1	n57	1	0	55	6.190104166666663
n81-1	n60	1	0	55	6.408854166666664
n65-1	n59	1	0	57	6.401041666666664
n82-1	n64	1	0	43	6.756510416666663
