onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0820312,0.3658854,55,90,1,0,n0,-10.0,-10.0
1.0859375,0.118489586,67,85,1,0,n1,1.083984,0.0
1.1927084,0.14192708,71,85,1,0,n2,1.083984,0.0
1.3164062,0.1171875,74,78,1,0,n3,1.083984,0.0
1.4270834,0.31770834,43,78,1,0,n4,1.083984,0.0
1.4283854,0.31640625,79,85,1,0,n5,1.427734,3.0
1.5416666,0.203125,74,74,1,0,n6,1.427734,3.0
1.65625,0.119791664,71,75,1,0,n7,1.427734,3.0
1.78125,0.095052086,74,73,1,0,n8,1.78125,6.0
1.8854166,0.0390625,71,68,1,0,n9,1.78125,6.0
2.0065105,0.036458332,67,67,1,0,n10,1.78125,6.0
2.109375,0.033854168,55,67,1,0,n11,1.78125,6.0
2.123698,0.102864586,71,71,1,0,n12,2.116537,9.0
2.2252605,0.109375,67,69,1,0,n13,2.116537,9.0
2.345052,0.049479168,62,75,1,0,n14,2.116537,9.0
2.4414062,0.3736979,55,78,1,0,n15,2.116537,9.0
2.4648438,0.084635414,64,70,1,0,n16,2.453125,12.0
2.578125,0.09765625,67,69,1,0,n17,2.453125,12.0
2.6822917,0.13541667,72,76,1,0,n18,2.453125,12.0
2.8190105,0.055989582,43,53,1,0,n19,2.81901,15.0
2.8190105,0.104166664,76,73,1,0,n20,2.81901,15.0
2.921875,0.10546875,72,68,1,0,n21,2.81901,15.0
3.03125,0.102864586,67,72,1,0,n22,2.81901,15.0
3.1536458,0.088541664,72,69,1,0,n23,2.81901,15.0
3.2630208,0.032552082,67,71,1,0,n24,3.153646,18.0
3.3684895,0.040364582,64,63,1,0,n25,3.153646,18.0
3.4765625,0.03125,55,66,1,0,n26,3.476562,21.0
3.4765625,0.100260414,67,70,1,0,n27,3.476562,21.0
3.576823,0.057291668,64,61,1,0,n28,3.476562,21.0
3.6796875,0.083333336,60,71,1,0,n29,3.476562,21.0
3.8203125,0.3138021,55,79,1,0,n30,3.476562,21.0
3.8229167,0.053385418,57,66,1,0,n31,3.821614,24.0
3.9140625,0.076822914,60,76,1,0,n32,3.821614,24.0
4.0429688,0.10546875,66,77,1,0,n33,3.821614,24.0
