onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9447917,0.041666668,55,69,1,0,n0,-10.0,-10.0
0.95208335,0.06979167,67,66,1,0,n1,0.948438,0.0
1.0614583,0.09375,71,66,1,0,n2,0.948438,0.0
1.1604167,0.096875,74,69,1,0,n3,0.948438,0.0
1.2739583,0.096875,79,65,1,0,n4,0.948438,0.0
1.2833333,0.039583333,43,61,1,0,n5,1.278646,3.0
1.39375,0.072916664,74,62,1,0,n6,1.278646,3.0
1.4958333,0.08958333,71,60,1,0,n7,1.278646,3.0
1.6072917,0.09166667,74,66,1,0,n8,1.278646,3.0
1.7208333,0.053125,71,63,1,0,n9,1.607292,6.0
1.8104167,0.048958335,67,65,1,0,n10,1.607292,6.0
1.9104167,0.10520833,71,77,1,0,n11,1.607292,6.0
1.915625,0.0375,55,70,1,0,n12,1.913021,9.0
2.0239584,0.092708334,67,69,1,0,n13,1.913021,9.0
2.1333334,0.07604167,62,74,1,0,n14,1.913021,9.0
2.2427084,0.040625,57,60,1,0,n15,1.913021,9.0
2.2458334,0.052083332,64,76,1,0,n16,1.913021,9.0
2.2791667,0.046875,55,39,1,0,n17,2.2625,12.0
2.346875,0.0875,67,74,1,0,n18,2.2625,12.0
2.446875,0.09791667,72,74,1,0,n19,2.2625,12.0
2.55,0.109375,76,76,1,0,n20,2.2625,12.0
2.5552084,0.032291666,43,75,1,0,n21,2.552604,15.0
2.665625,0.065625,72,77,1,0,n22,2.552604,15.0
2.7604167,0.077083334,67,67,1,0,n23,2.552604,15.0
2.8625,0.084375,72,68,1,0,n24,2.8625,18.0
2.9729166,0.05,67,68,1,0,n25,2.8625,18.0
3.0552084,0.065625,64,70,1,0,n26,2.8625,18.0
3.1635416,0.09375,67,72,1,0,n27,2.8625,18.0
3.171875,0.033333335,55,73,1,0,n28,3.167708,21.0
3.2822917,0.08541667,64,66,1,0,n29,3.167708,21.0
3.3791666,0.090625,60,70,1,0,n30,3.167708,21.0
3.4822917,0.046875,55,77,1,0,n31,3.167708,21.0
3.490625,0.075,57,73,1,0,n32,3.486458,24.0
3.5927083,0.08645833,60,71,1,0,n33,3.486458,24.0
3.6895833,0.11145833,66,70,1,0,n34,3.486458,24.0
3.8041666,0.114583336,69,73,1,0,n35,3.486458,24.0
3.8072917,0.035416666,43,69,1,0,n36,3.805729,27.0
3.9302084,0.063541666,66,63,1,0,n37,3.805729,27.0
4.0135417,0.079166666,60,68,1,0,n38,3.805729,27.0
4.1270833,0.075,66,64,1,0,n39,4.127083,30.0
4.227083,0.048958335,60,58,1,0,n40,4.127083,30.0
4.313542,0.084375,57,62,1,0,n41,4.127083,30.0
4.4322915,0.030208332,55,59,1,0,n42,4.127083,30.0
4.436458,0.071875,60,50,1,0,n43,4.434375,33.0
4.5489583,0.065625,57,54,1,0,n44,4.434375,33.0
4.646875,0.052083332,54,61,1,0,n45,4.434375,33.0
4.7447915,0.041666668,55,70,1,0,n46,4.434375,33.0
4.8708334,0.059375,59,60,1,0,n47,4.744792,36.0
4.9708333,0.07083333,62,53,1,0,n48,4.744792,36.0
5.0666666,0.042708334,43,58,1,0,n49,4.744792,36.0
5.071875,0.092708334,67,54,1,0,n50,5.069271,39.0
5.19375,0.060416665,62,56,1,0,n51,5.069271,39.0
5.2854166,0.084375,59,64,1,0,n52,5.069271,39.0
5.397917,0.0625,62,62,1,0,n53,5.397917,42.0
5.485417,0.054166667,59,66,1,0,n54,5.397917,42.0
5.584375,0.046875,55,68,1,0,n55,5.397917,42.0
5.6854167,0.0375,55,79,1,0,n56,5.397917,42.0
5.6927085,0.10104167,59,74,1,0,n57,5.689063,45.0
5.795833,0.10104167,55,71,1,0,n58,5.689063,45.0
5.898958,0.039583333,52,73,1,0,n59,5.689063,45.0
6.0104165,0.044791665,55,79,1,0,n60,5.689063,45.0
6.0208335,0.1125,57,72,1,0,n61,6.015625,48.0
6.1302085,0.121875,61,76,1,0,n62,6.015625,48.0
6.240625,0.0875,64,74,1,0,n63,6.015625,48.0
6.321875,0.03125,43,74,1,0,n64,6.015625,48.0
6.334375,0.110416666,69,80,1,0,n65,6.328125,51.0
6.446875,0.078125,64,76,1,0,n66,6.328125,51.0
6.539583,0.088541664,61,76,1,0,n67,6.328125,51.0
6.6458335,0.08229167,64,72,1,0,n68,6.645833,54.0
6.733333,0.075,61,70,1,0,n69,6.645833,54.0
6.834375,0.084375,57,67,1,0,n70,6.645833,54.0
6.9322915,0.032291666,55,66,1,0,n71,6.645833,54.0
6.944792,0.071875,61,68,1,0,n72,6.938542,57.0
7.0375,0.072916664,57,63,1,0,n73,6.938542,57.0
7.133333,0.078125,52,63,1,0,n74,6.938542,57.0
7.2541666,0.128125,54,60,1,0,n75,6.938542,57.0
7.2927084,0.055208333,62,20,1,0,n76,7.273438,60.0
7.3791666,0.09375,57,58,1,0,n77,7.273438,60.0
7.475,0.083333336,61,70,1,0,n78,7.273438,60.0
7.5739584,0.07604167,62,67,1,0,n79,7.573958,63.0
7.665625,0.1,57,69,1,0,n80,7.573958,63.0
7.775,0.09375,54,77,1,0,n81,7.573958,63.0
7.8802085,0.083333336,57,67,1,0,n82,7.880208,66.0
7.9666667,0.088541664,54,72,1,0,n83,7.880208,66.0
8.059375,0.092708334,50,72,1,0,n84,7.880208,66.0
8.178125,0.027083334,62,86,1,0,n85,7.880208,66.0
8.179167,0.079166666,54,74,1,0,n86,8.178646,69.0
8.263541,0.09166667,50,69,1,0,n87,8.178646,69.0
8.377084,0.094791666,47,64,1,0,n88,8.178646,69.0
8.509375,0.040625,52,64,1,0,n89,8.178646,69.0
8.514584,0.059375,62,66,1,0,n90,8.511979,72.0
8.625,0.071875,61,58,1,0,n91,8.511979,72.0
8.733334,0.046875,62,50,1,0,n92,8.511979,72.0
8.828125,0.041666668,40,57,1,0,n93,8.511979,72.0
8.836458,0.054166667,64,59,1,0,n94,8.832292,75.0
8.951041,0.052083332,61,52,1,0,n95,8.832292,75.0
9.051042,0.067708336,62,50,1,0,n96,8.832292,75.0
9.15,0.057291668,66,59,1,0,n97,9.15,78.0
9.255208,0.057291668,61,56,1,0,n98,9.15,78.0
9.351042,0.048958335,62,60,1,0,n99,9.15,78.0
9.457292,0.040625,52,64,1,0,n100,9.15,78.0
9.472917,0.06979167,67,64,1,0,n101,9.465105,81.0
9.571875,0.05625,61,63,1,0,n102,9.465105,81.0
9.675,0.12708333,62,63,1,0,n103,9.465105,81.0
9.790625,0.10729167,69,81,1,0,n104,9.465105,81.0
9.798959,0.041666668,49,65,1,0,n105,9.794792,84.0
9.9,0.08020833,61,69,1,0,n106,9.794792,84.0
9.992708,0.096875,62,70,1,0,n107,9.794792,84.0
10.11875,0.077083334,71,82,1,0,n108,9.794792,84.0
10.127084,0.040625,45,68,1,0,n109,10.122917,87.0
10.236459,0.0875,61,74,1,0,n110,10.122917,87.0
10.3625,0.11145833,62,58,1,0,n111,10.122917,87.0
10.466666,0.067708336,69,71,1,0,n112,10.122917,87.0
10.478125,0.036458332,47,58,1,0,n113,10.472396,90.0
10.571875,0.057291668,61,62,1,0,n114,10.472396,90.0
10.66875,0.123958334,62,55,1,0,n115,10.472396,90.0
10.789583,0.057291668,67,59,1,0,n116,10.472396,90.0
10.808333,0.033333335,49,63,1,0,n117,10.798958,93.0
10.892709,0.047916666,61,50,1,0,n118,10.798958,93.0
10.983334,0.092708334,62,50,1,0,n119,10.798958,93.0
11.115625,0.035416666,50,68,1,0,n120,10.798958,93.0
11.120833,0.04375,66,61,1,0,n121,11.118229,96.0
11.259375,0.05625,61,52,1,0,n122,11.118229,96.0
11.35625,0.05625,62,54,1,0,n123,11.118229,96.0
11.454166,0.046875,52,63,1,0,n124,11.118229,96.0
11.465625,0.038541667,67,64,1,0,n125,11.459896,99.0
11.563541,0.059375,61,63,1,0,n126,11.459896,99.0
11.675,0.06458333,62,59,1,0,n127,11.459896,99.0
11.783334,0.041666668,69,84,1,0,n128,11.459896,99.0
11.792708,0.09791667,54,62,1,0,n129,11.788021,102.0
11.903125,0.075,61,62,1,0,n130,11.788021,102.0
12.00625,0.08020833,62,63,1,0,n131,11.788021,102.0
12.120833,0.052083332,71,86,1,0,n132,11.788021,102.0
12.130208,0.077083334,55,65,1,0,n133,12.125521,105.0
12.24375,0.065625,61,65,1,0,n134,12.125521,105.0
12.361459,0.0625,62,64,1,0,n135,12.125521,105.0
12.463542,0.044791665,69,89,1,0,n136,12.125521,105.0
12.470834,0.083333336,54,68,1,0,n137,12.467188,108.0
12.583333,0.054166667,61,64,1,0,n138,12.467188,108.0
12.692708,0.083333336,62,65,1,0,n139,12.467188,108.0
12.815625,0.039583333,67,79,1,0,n140,12.467188,108.0
12.821875,0.053125,52,63,1,0,n141,12.81875,111.0
12.93125,0.046875,61,68,1,0,n142,12.81875,111.0
13.027083,0.065625,62,67,1,0,n143,12.81875,111.0
13.139584,0.048958335,66,85,1,0,n144,12.81875,111.0
13.147917,0.042708334,50,66,1,0,n145,13.14375,114.0
13.25625,0.06458333,61,65,1,0,n146,13.14375,114.0
13.35625,0.0875,62,67,1,0,n147,13.14375,114.0
13.464583,0.092708334,54,74,1,0,n148,13.14375,114.0
13.477083,0.041666668,69,89,1,0,n149,13.470833,117.0
13.577084,0.083333336,61,71,1,0,n150,13.470833,117.0
13.680208,0.0375,62,70,1,0,n151,13.470833,117.0
13.801042,0.094791666,68,88,1,0,n152,13.470833,117.0
13.814584,0.30104166,47,83,1,0,n153,13.807813,120.0
13.913542,0.146875,71,84,1,0,n154,13.807813,120.0
14.028125,0.115625,74,81,1,0,n155,13.807813,120.0
14.134375,0.123958334,77,85,1,0,n156,13.807813,120.0
14.136458,0.035416666,59,93,1,0,n157,14.135416,123.0
14.25625,0.083333336,74,73,1,0,n158,14.135416,123.0
14.364583,0.045833334,71,75,1,0,n159,14.135416,123.0
14.467709,0.094791666,74,74,1,0,n160,14.467708,126.0
14.563541,0.094791666,71,75,1,0,n161,14.467708,126.0
14.671875,0.08645833,68,78,1,0,n162,14.467708,126.0
14.75625,0.035416666,57,75,1,0,n163,14.467708,126.0
14.776042,0.096875,71,76,1,0,n164,14.766146,129.0
14.875,0.078125,68,81,1,0,n165,14.766146,129.0
14.98125,0.103125,64,70,1,0,n166,14.766146,129.0
15.084375,0.32291666,56,88,1,0,n167,14.766146,129.0
15.086458,0.083333336,62,80,1,0,n168,15.085416,132.0
15.2,0.119791664,65,76,1,0,n169,15.085416,132.0
15.297916,0.10208333,68,81,1,0,n170,15.085416,132.0
15.39375,0.036458332,44,80,1,0,n171,15.085416,132.0
15.402083,0.11666667,71,78,1,0,n172,15.397917,135.0
15.514584,0.08645833,68,78,1,0,n173,15.397917,135.0
15.621875,0.08958333,65,71,1,0,n174,15.397917,135.0
15.723958,0.08958333,68,81,1,0,n175,15.723958,138.0
15.834375,0.061458334,65,66,1,0,n176,15.723958,138.0
15.917708,0.058333334,62,65,1,0,n177,15.723958,138.0
16.016666,0.039583333,56,68,1,0,n178,15.723958,138.0
16.026041,0.060416665,65,60,1,0,n179,16.021355,141.0
16.136457,0.0625,62,54,1,0,n180,16.021355,141.0
16.215626,0.075,59,63,1,0,n181,16.021355,141.0
16.335417,0.045833334,60,61,1,0,n182,16.021355,141.0
16.35,0.06458333,57,54,1,0,n183,16.342709,144.0
16.540625,0.07604167,64,68,1,0,n184,16.342709,144.0
16.645834,0.054166667,69,68,1,0,n185,16.342709,144.0
16.65,0.03125,77,71,1,0,n186,16.647917,147.0
16.751041,0.057291668,64,70,1,0,n187,16.647917,147.0
16.860416,0.067708336,60,61,1,0,n188,16.647917,147.0
16.959375,0.038541667,72,77,1,0,n189,16.647917,147.0
16.961458,0.060416665,64,67,1,0,n190,16.960417,150.0
17.069792,0.077083334,60,69,1,0,n191,16.960417,150.0
17.176043,0.08229167,57,65,1,0,n192,16.960417,150.0
17.290625,0.032291666,69,83,1,0,n193,16.960417,150.0
17.29375,0.061458334,60,71,1,0,n194,17.292187,153.0
17.392708,0.072916664,57,70,1,0,n195,17.292187,153.0
17.488543,0.11666667,52,66,1,0,n196,17.292187,153.0
17.61875,0.044791665,64,80,1,0,n197,17.292187,153.0
17.619791,0.09166667,48,67,1,0,n198,17.61927,156.0
17.733334,0.063541666,52,47,1,0,n199,17.61927,156.0
17.75,0.040625,53,57,1,0,n200,17.61927,156.0
17.821875,0.090625,57,75,1,0,n201,17.61927,156.0
17.935417,0.06875,60,71,1,0,n202,17.61927,156.0
17.940624,0.05,76,87,1,0,n203,17.93802,159.0
18.038542,0.08125,57,77,1,0,n204,17.93802,159.0
18.148958,0.09166667,52,68,1,0,n205,17.93802,159.0
18.2625,0.05,72,90,1,0,n206,17.93802,159.0
18.26875,0.077083334,57,67,1,0,n207,18.265625,162.0
18.367708,0.09583333,52,81,1,0,n208,18.265625,162.0
18.472918,0.09166667,48,72,1,0,n209,18.265625,162.0
18.588541,0.08958333,52,76,1,0,n210,18.265625,162.0
18.596874,0.036458332,69,91,1,0,n211,18.592709,165.0
18.683332,0.09791667,48,74,1,0,n212,18.592709,165.0
18.778126,0.12708333,45,74,1,0,n213,18.592709,165.0
18.915625,0.31145832,42,83,1,0,n214,18.915625,168.0
18.915625,0.109375,75,89,1,0,n215,18.915625,168.0
19.01875,0.134375,78,84,1,0,n216,18.915625,168.0
19.134375,0.10520833,81,82,1,0,n217,18.915625,168.0
19.235416,0.045833334,54,92,1,0,n218,18.915625,168.0
19.2375,0.115625,84,82,1,0,n219,19.23646,171.0
19.344791,0.10520833,81,84,1,0,n220,19.23646,171.0
19.447916,0.12083333,78,82,1,0,n221,19.23646,171.0
19.566668,0.115625,81,75,1,0,n222,19.566668,174.0
