xml_id	midi_id	track	channel	pitch	onset
n26-1	n4	1	0	43	1.29375
n25-1	n1	1	0	55	1.0135416666666666
n1-1	n0	1	0	67	0.9916666666666665
n2-1	n2	1	0	71	1.0885416666666665
n3-1	n3	1	0	74	1.1906249999999998
n4-1	n5	1	0	79	1.29375
n6-1	n7	1	0	71	1.4927083333333333
n5-1	n6	1	0	74	1.3833333333333333
n7-1	n8	1	0	74	1.5843749999999999
n28-1	n11	1	0	55	1.8687499999999997
n9-1	n10	1	0	67	1.7770833333333331
n8-1	n9	1	0	71	1.680208333333333
n10-1	n12	1	0	71	1.8729166666666663
n29-1	n15	1	0	55	2.164583333333333
n12-1	n14	1	0	62	2.0760416666666663
n13-1	n16	1	0	64	2.1687499999999997
n11-1	n13	1	0	67	1.9666666666666663
n30-1	n19	1	0	43	2.4697916666666666
n14-1	n17	1	0	67	2.284375
n15-1	n18	1	0	72	2.375
n16-1	n20	1	0	76	2.490625
n18-1	n22	1	0	67	2.691666666666667
n17-1	n21	1	0	72	2.579166666666667
n19-1	n23	1	0	72	2.779166666666667
n32-1	n26	1	0	55	3.0552083333333333
n21-1	n25	1	0	64	2.9645833333333336
n20-1	n24	1	0	67	2.8739583333333334
n22-1	n27	1	0	67	3.071875
n57-1	n30	1	0	55	3.3458333333333337
n33-1	n31	1	0	57	3.357291666666667
n24-1	n29	1	0	60	3.2583333333333333
n23-1	n28	1	0	64	3.1625
n58-1	n34	1	0	43	3.6489583333333333
n34-1	n32	1	0	60	3.465625
n35-1	n33	1	0	66	3.5479166666666666
n36-1	n35	1	0	69	3.6583333333333337
n38-1	n37	1	0	60	3.842708333333334
n37-1	n36	1	0	66	3.741666666666667
n39-1	n38	1	0	66	3.933333333333334
n60-1	n41	1	0	55	4.225000000000001
n41-1	n40	1	0	57	4.1364583333333345
n40-1	n39	1	0	60	4.030208333333334
n42-1	n42	1	0	60	4.2302083333333345
n44-1	n44	1	0	54	4.427083333333336
n45-1	n45	1	0	55	4.511458333333336
n61-1	deletion
n43-1	n43	1	0	57	4.319791666666669
n62-1	n48	1	0	43	4.813541666666669
n46-1	n46	1	0	59	4.6125000000000025
n47-1	n47	1	0	62	4.710416666666669
n48-1	n49	1	0	67	4.817708333333336
n50-1	n51	1	0	59	5.028125000000002
n49-1	n50	1	0	62	4.919791666666669
n51-1	n52	1	0	62	5.108333333333336
n53-1	n54	1	0	55	5.293750000000004
n64-1	deletion
n52-1	n53	1	0	59	5.189583333333337
n54-1	n55	1	0	59	5.384375000000004
n56-1	n56	1	0	52	5.5677083333333375
n81-1	n58	1	0	55	5.67916666666667
n55-1	deletion
n65-1	n57	1	0	57	5.6718750000000036
n82-1	n61	1	0	43	5.960416666666669
n66-1	n59	1	0	61	5.780208333333336
n67-1	n60	1	0	64	5.8833333333333355
n68-1	n62	1	0	69	5.969791666666668
n70-1	n64	1	0	61	6.169791666666668
n69-1	n63	1	0	64	6.060416666666668
n71-1	n65	1	0	64	6.255208333333334
n84-1	n68	1	0	55	6.515625000000001
n73-1	n67	1	0	57	6.441666666666667
n72-1	n66	1	0	61	6.347916666666667
n74-1	n69	1	0	61	6.5531250000000005
n76-1	n71	1	0	52	6.731250000000001
n85-1	n72	1	0	54	6.831250000000001
n75-1	n70	1	0	57	6.6520833333333345
n77-1	n73	1	0	62	6.8656250000000005
n86-1	n75	1	0	57	6.943750000000001
n87-1	n76	1	0	61	7.041666666666668
n88-1	n77	1	0	62	7.1572916666666675
n90-1	n80	1	0	54	7.311458333333333
n89-1	n79	1	0	57	7.233333333333333
n91-1	n81	1	0	57	7.426041666666667
n93-1	n83	1	0	50	7.621875
n92-1	n82	1	0	54	7.5218750000000005
n94-1	n85	1	0	54	7.713541666666667
n80-1	n84	1	0	62	7.711458333333334
n96-1	n87	1	0	47	7.90625
n95-1	n86	1	0	50	7.8
n121-1	n88	1	0	52	7.995833333333334
n97-1	n89	1	0	62	8.014583333333334
n122-1	n92	1	0	40	8.298958333333333
n98-1	n90	1	0	61	8.102083333333333
n99-1	n91	1	0	62	8.181249999999999
n100-1	n93	1	0	64	8.298958333333333
n101-1	n94	1	0	61	8.401041666666666
n102-1	n95	1	0	62	8.489583333333334
n103-1	n96	1	0	66	8.589583333333334
n124-1	n99	1	0	52	8.908333333333333
n104-1	n97	1	0	61	8.69375
n105-1	n98	1	0	62	8.795833333333333
n106-1	n100	1	0	67	8.908333333333333
n125-1	n104	1	0	49	9.229166666666664
n107-1	n101	1	0	61	9.017708333333333
n108-1	n102	1	0	62	9.108333333333333
n109-1	n103	1	0	69	9.214583333333332
n126-1	n108	1	0	45	9.544791666666665
n110-1	n105	1	0	61	9.310416666666663
n111-1	n106	1	0	62	9.398958333333331
n112-1	n107	1	0	71	9.517708333333331
n127-1	n111	1	0	47	9.832291666666665
n113-1	n109	1	0	61	9.61458333333333
n114-1	n110	1	0	62	9.719791666666664
n115-1	n112	1	0	69	9.836458333333331
n128-1	n115	1	0	49	10.135416666666666
n116-1	n113	1	0	61	9.937499999999998
n117-1	n114	1	0	62	10.052083333333332
n118-1	n116	1	0	67	10.154166666666667
n137-1	n119	1	0	50	10.441666666666666
n119-1	n117	1	0	61	10.257291666666667
n120-1	n118	1	0	62	10.353125
n129-1	n120	1	0	66	10.464583333333334
n140-1	n123	1	0	52	10.764583333333333
n138-1	n121	1	0	61	10.566666666666666
