onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9916667,0.06979167,67,80,1,0,n0,-10.0,-10.0
1.0135417,0.036458332,55,72,1,0,n1,1.002604,0.0
1.0885416,0.09791667,71,82,1,0,n2,1.002604,0.0
1.190625,0.092708334,74,82,1,0,n3,1.002604,0.0
1.29375,0.032291666,43,72,1,0,n4,1.29375,3.0
1.29375,0.096875,79,91,1,0,n5,1.29375,3.0
1.3833333,0.084375,74,81,1,0,n6,1.29375,3.0
1.4927083,0.08645833,71,77,1,0,n7,1.29375,3.0
1.584375,0.06666667,74,81,1,0,n8,1.584375,6.0
1.6802083,0.06458333,71,77,1,0,n9,1.584375,6.0
1.7770833,0.060416665,67,72,1,0,n10,1.584375,6.0
1.86875,0.038541667,55,73,1,0,n11,1.584375,6.0
1.8729167,0.09791667,71,84,1,0,n12,1.870833,9.0
1.9666667,0.088541664,67,75,1,0,n13,1.870833,9.0
2.0760417,0.048958335,62,67,1,0,n14,1.870833,9.0
2.1645834,0.057291668,55,80,1,0,n15,1.870833,9.0
2.16875,0.08229167,64,67,1,0,n16,2.166667,12.0
2.284375,0.083333336,67,77,1,0,n17,2.166667,12.0
2.375,0.119791664,72,82,1,0,n18,2.166667,12.0
2.4697917,0.047916666,43,72,1,0,n19,2.166667,12.0
2.490625,0.10520833,76,84,1,0,n20,2.480208,15.0
2.5791667,0.094791666,72,79,1,0,n21,2.480208,15.0
2.6916666,0.08125,67,76,1,0,n22,2.480208,15.0
2.7791667,0.088541664,72,80,1,0,n23,2.480208,15.0
2.8739583,0.075,67,75,1,0,n24,2.779167,18.0
2.9645834,0.071875,64,75,1,0,n25,2.779167,18.0
3.0552084,0.0375,55,73,1,0,n26,2.779167,18.0
3.071875,0.08541667,67,77,1,0,n27,3.063542,21.0
3.1625,0.063541666,64,72,1,0,n28,3.063542,21.0
3.2583334,0.06666667,60,71,1,0,n29,3.063542,21.0
3.3458333,0.048958335,55,76,1,0,n30,3.063542,21.0
3.3572917,0.060416665,57,71,1,0,n31,3.351563,24.0
3.465625,0.042708334,60,66,1,0,n32,3.351563,24.0
3.5479167,0.10625,66,67,1,0,n33,3.351563,24.0
3.6489584,0.039583333,43,59,1,0,n34,3.351563,24.0
3.6583333,0.07395833,69,64,1,0,n35,3.653646,27.0
3.7416666,0.08645833,66,67,1,0,n36,3.653646,27.0
3.8427083,0.06979167,60,66,1,0,n37,3.653646,27.0
3.9333334,0.083333336,66,66,1,0,n38,3.933333,30.0
4.030208,0.057291668,60,70,1,0,n39,3.933333,30.0
4.1364584,0.055208333,57,56,1,0,n40,3.933333,30.0
4.225,0.044791665,55,61,1,0,n41,3.933333,30.0
4.2302084,0.08125,60,68,1,0,n42,4.227604,33.0
4.319792,0.061458334,57,64,1,0,n43,4.227604,33.0
4.4270835,0.039583333,54,62,1,0,n44,4.227604,33.0
4.5114584,0.0625,55,72,1,0,n45,4.511458,36.0
4.6125,0.067708336,59,69,1,0,n46,4.511458,36.0
4.710417,0.077083334,62,70,1,0,n47,4.511458,36.0
4.813542,0.05,43,51,1,0,n48,4.511458,36.0
4.8177085,0.06458333,67,62,1,0,n49,4.815625,39.0
4.9197917,0.060416665,62,61,1,0,n50,4.815625,39.0
5.028125,0.039583333,59,56,1,0,n51,4.815625,39.0
5.108333,0.055208333,62,64,1,0,n52,5.108333,42.0
5.1895833,0.058333334,59,61,1,0,n53,5.108333,42.0
5.29375,0.046875,55,56,1,0,n54,5.108333,42.0
5.384375,0.08020833,59,68,1,0,n55,5.384375,45.0
5.5677085,0.038541667,52,53,1,0,n56,5.384375,45.0
5.671875,0.053125,57,75,1,0,n57,5.384375,45.0
5.679167,0.05,55,62,1,0,n58,5.675521,48.0
5.780208,0.083333336,61,70,1,0,n59,5.675521,48.0
5.883333,0.08125,64,73,1,0,n60,5.675521,48.0
5.960417,0.042708334,43,57,1,0,n61,5.675521,48.0
5.969792,0.08541667,69,73,1,0,n62,5.965104,51.0
6.0604167,0.092708334,64,72,1,0,n63,5.965104,51.0
6.1697917,0.078125,61,72,1,0,n64,5.965104,51.0
6.2552085,0.092708334,64,73,1,0,n65,6.255208,54.0
6.3479166,0.06458333,61,66,1,0,n66,6.255208,54.0
6.4416666,0.06458333,57,67,1,0,n67,6.255208,54.0
6.515625,0.046875,55,61,1,0,n68,6.255208,54.0
6.553125,0.06666667,61,63,1,0,n69,6.534375,57.0
6.6520834,0.05,57,56,1,0,n70,6.534375,57.0
6.73125,0.08125,52,60,1,0,n71,6.534375,57.0
6.83125,0.08541667,54,63,1,0,n72,6.534375,57.0
6.865625,0.061458334,62,54,1,0,n73,6.848437,60.0
6.905208,0.052083332,60,29,1,0,n74,6.848437,60.0
6.94375,0.103125,57,67,1,0,n75,6.848437,60.0
7.0416665,0.041666668,61,78,1,0,n76,6.848437,60.0
