xml_id	midi_id	track	channel	pitch	onset
n26-1	n5	1	0	43	1.3281249999999996
n25-1	n1	1	0	55	1.0260416666666665
n1-1	n0	1	0	67	1.0182291666666665
n2-1	n2	1	0	71	1.1315104166666665
n3-1	n3	1	0	74	1.223958333333333
n4-1	n4	1	0	79	1.3229166666666663
n6-1	n7	1	0	71	1.4999999999999996
n5-1	n6	1	0	74	1.4036458333333328
n7-1	n8	1	0	74	1.5937499999999996
n28-1	n11	1	0	55	1.9244791666666663
n9-1	n10	1	0	67	1.8085937499999996
n8-1	n9	1	0	71	1.7070312499999996
n10-1	n12	1	0	71	1.934895833333333
n29-1	n15	1	0	55	2.22265625
n12-1	n14	1	0	62	2.1315104166666665
n13-1	n16	1	0	64	2.2434895833333335
n11-1	n13	1	0	67	2.0260416666666665
n30-1	n19	1	0	43	2.5533854166666674
n14-1	n17	1	0	67	2.354166666666667
n15-1	n18	1	0	72	2.446614583333334
n16-1	n20	1	0	76	2.554687500000001
n18-1	n22	1	0	67	2.7643229166666674
n17-1	n21	1	0	72	2.652343750000001
n19-1	n23	1	0	72	2.8658854166666674
n32-1	n26	1	0	55	3.203125000000001
n21-1	n25	1	0	64	3.078125000000001
n20-1	n24	1	0	67	2.976562500000001
n22-1	n27	1	0	67	3.203125000000001
n57-1	n30	1	0	55	3.5195312500000013
n33-1	n31	1	0	57	3.520833333333335
n24-1	n29	1	0	60	3.404947916666668
n23-1	n28	1	0	64	3.3020833333333344
n58-1	n35	1	0	43	3.8515625000000018
n34-1	n32	1	0	60	3.6328125000000013
n35-1	n33	1	0	66	3.727864583333335
n36-1	n34	1	0	69	3.8502604166666683
n38-1	n37	1	0	60	4.062500000000002
n37-1	n36	1	0	66	3.9531250000000018
n39-1	n38	1	0	66	4.154947916666669
n60-1	n41	1	0	55	4.473958333333335
n41-1	n40	1	0	57	4.372395833333335
n40-1	n39	1	0	60	4.260416666666669
n42-1	n42	1	0	60	4.492187500000002
n44-1	n44	1	0	54	4.667968750000001
n45-1	n45	1	0	55	4.795572916666668
n61-1	deletion
n43-1	n43	1	0	57	4.576822916666668
n62-1	n49	1	0	43	5.139322916666668
n46-1	n46	1	0	59	4.902343750000001
n47-1	n47	1	0	62	5.028645833333335
n48-1	n48	1	0	67	5.126302083333335
n50-1	n51	1	0	59	5.324218750000002
n49-1	n50	1	0	62	5.229166666666668
n51-1	n52	1	0	62	5.440104166666668
n53-1	n54	1	0	55	5.622395833333334
n64-1	n55	1	0	55	5.73828125
n52-1	n53	1	0	59	5.527343750000001
n54-1	n56	1	0	59	5.743489583333333
n56-1	n58	1	0	52	5.941406249999999
n55-1	n57	1	0	55	5.861979166666666
n81-1	n60	1	0	55	6.076822916666666
n65-1	n59	1	0	57	6.075520833333333
n82-1	n63	1	0	43	6.394531249999999
n66-1	n61	1	0	61	6.191406249999999
