onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0872396,0.5416667,56,67,1,0,n0,-10.0,-10.0
1.0872396,0.5416667,63,90,1,0,n1,-10.0,-10.0
1.0898438,0.5390625,60,67,1,0,n2,1.088108,0.0
1.4401041,0.18880208,68,81,1,0,n3,1.088108,0.0
1.5546875,0.12890625,67,89,1,0,n4,1.088108,0.0
1.6848959,0.029947916,68,72,1,0,n5,1.088108,0.0
1.9791666,0.05859375,72,72,1,0,n6,1.684896,1.0
2.2682292,0.115885414,63,74,1,0,n7,2.268229,2.0
2.5494792,0.036458332,68,80,1,0,n8,2.268229,2.0
2.8528645,0.30208334,63,93,1,0,n9,2.268229,2.0
2.8541667,0.28515625,55,77,1,0,n10,2.268229,2.0
2.858073,0.3190104,58,74,1,0,n11,2.855035,3.0
3.1601562,0.12630208,70,82,1,0,n12,2.855035,3.0
3.266927,0.12109375,68,90,1,0,n13,2.855035,3.0
3.3789062,0.080729164,70,85,1,0,n14,3.378906,4.0
3.6783855,0.048177082,73,78,1,0,n15,3.378906,4.0
3.936198,0.041666668,63,65,1,0,n16,3.936198,5.0
4.2174478,0.0546875,70,70,1,0,n17,3.936198,5.0
4.502604,0.52213544,72,75,1,0,n18,4.502604,6.0
4.7890625,0.23567708,56,71,1,0,n19,4.502604,6.0
4.8854165,0.13932292,55,66,1,0,n20,4.502604,6.0
5.0247397,0.328125,75,58,1,0,n21,4.502604,6.0
5.0273438,0.03515625,56,67,1,0,n22,4.502604,6.0
5.028646,0.84244794,80,93,1,0,n23,5.028646,7.0
5.033854,0.5572917,72,75,1,0,n24,5.028646,7.0
5.3294272,0.036458332,60,59,1,0,n25,5.028646,7.0
5.6158853,0.048177082,51,65,1,0,n26,5.615885,8.0
5.859375,0.0390625,75,77,1,0,n27,5.615885,8.0
5.8645835,0.033854168,56,64,1,0,n28,5.615885,8.0
5.8671875,0.02734375,72,67,1,0,n29,5.615885,8.0
6.1497397,0.54036456,73,82,1,0,n30,5.615885,8.0
6.1510415,0.5390625,70,82,1,0,n31,6.150391,9.0
6.466146,0.22395833,58,75,1,0,n32,6.150391,9.0
6.559896,0.13151042,56,76,1,0,n33,6.150391,9.0
6.7044272,0.041666668,58,76,1,0,n34,6.150391,9.0
6.7174478,0.6692708,79,94,1,0,n35,6.710938,10.0
7.0208335,0.048177082,61,70,1,0,n36,6.710938,10.0
7.268229,0.063802086,51,67,1,0,n37,7.268229,11.0
7.5403647,0.0390625,79,77,1,0,n38,7.268229,11.0
7.5481772,0.037760418,58,66,1,0,n39,7.268229,11.0
7.5559897,0.028645834,70,65,1,0,n40,7.268229,11.0
7.5820312,0.044270832,73,33,1,0,n41,7.268229,11.0
7.8424478,0.6510417,80,93,1,0,n42,7.268229,11.0
7.846354,0.64713544,68,84,1,0,n43,7.268229,11.0
7.856771,0.63671875,75,71,1,0,n44,7.848524,12.0
8.1536455,0.33984375,60,72,1,0,n45,7.848524,12.0
8.253906,0.23958333,58,71,1,0,n46,7.848524,12.0
8.3776045,0.73307294,75,97,1,0,n47,7.848524,12.0
8.394531,0.098958336,60,64,1,0,n48,8.386067,13.0
8.7005205,0.05078125,63,63,1,0,n49,8.386067,13.0
8.979167,0.055989582,56,58,1,0,n50,8.979167,14.0
9.2265625,0.03125,60,51,1,0,n51,8.979167,14.0
9.2265625,0.046875,75,72,1,0,n52,8.979167,14.0
9.233073,0.024739584,70,55,1,0,n53,8.979167,14.0
9.520833,0.46875,53,58,1,0,n54,8.979167,14.0
9.532552,0.45703125,75,67,1,0,n55,9.529948,15.0
9.536458,0.453125,68,55,1,0,n56,9.529948,15.0
9.842448,0.14713542,80,71,1,0,n57,9.529948,15.0
9.947917,0.122395836,79,71,1,0,n58,9.529948,15.0
10.042969,0.29427084,65,70,1,0,n59,9.529948,15.0
10.078125,0.20703125,80,76,1,0,n60,10.060547,16.0
10.342448,0.055989582,77,74,1,0,n61,10.060547,16.0
10.639323,0.046875,72,70,1,0,n62,10.639323,17.0
10.9036455,0.037760418,75,68,1,0,n63,10.639323,17.0
11.188802,0.5755208,73,76,1,0,n64,10.639323,17.0
11.196614,0.51953125,70,67,1,0,n65,11.192709,18.0
11.514323,0.096354164,58,68,1,0,n66,11.192709,18.0
11.614583,0.1328125,56,76,1,0,n67,11.192709,18.0
11.746094,0.063802086,58,78,1,0,n68,11.192709,18.0
11.753906,0.8541667,80,83,1,0,n69,11.75,19.0
12.052083,0.055989582,61,75,1,0,n70,11.75,19.0
12.3151045,0.067708336,55,66,1,0,n71,12.315104,20.0
12.583333,0.036458332,68,71,1,0,n72,12.315104,20.0
12.5859375,0.037760418,58,68,1,0,n73,12.315104,20.0
12.59375,0.041666668,73,65,1,0,n74,12.315104,20.0
12.875,0.033854168,51,79,1,0,n75,12.315104,20.0
12.891927,0.0234375,67,63,1,0,n76,12.886719,21.0
12.8932295,0.4921875,73,70,1,0,n77,12.886719,21.0
13.191406,0.19401042,82,76,1,0,n78,12.886719,21.0
13.286458,0.13802083,80,82,1,0,n79,12.886719,21.0
13.415364,0.37239584,63,93,1,0,n80,12.886719,21.0
13.415364,0.2265625,82,85,1,0,n81,12.886719,21.0
13.729167,0.05078125,79,78,1,0,n82,13.415365,22.0
13.994792,0.045572918,73,71,1,0,n83,13.994792,23.0
14.238281,0.046875,82,78,1,0,n84,13.994792,23.0
14.2526045,0.029947916,73,63,1,0,n85,13.994792,23.0
14.253906,0.03125,67,52,1,0,n86,13.994792,23.0
14.5598955,0.37890625,72,72,1,0,n87,13.994792,23.0
14.563802,0.40234375,68,58,1,0,n88,14.561849,24.0
14.868489,0.09375,56,68,1,0,n89,14.561849,24.0
14.975261,0.12630208,55,66,1,0,n90,14.561849,24.0
15.09375,0.044270832,56,82,1,0,n91,15.09375,25.0
15.260417,0.1015625,75,59,1,0,n92,15.09375,25.0
15.368489,0.028645834,60,61,1,0,n93,15.09375,25.0
15.395833,0.15364583,77,60,1,0,n94,15.09375,25.0
15.516927,0.087239586,79,67,1,0,n95,15.09375,25.0
15.636719,0.05078125,53,58,1,0,n96,15.09375,25.0
15.640625,0.140625,80,73,1,0,n97,15.638672,26.0
15.776042,0.12630208,77,63,1,0,n98,15.638672,26.0
15.897136,0.0390625,56,55,1,0,n99,15.638672,26.0
15.90625,0.123697914,74,60,1,0,n100,15.638672,26.0
16.023438,0.106770836,77,61,1,0,n101,15.638672,26.0
16.153646,0.0390625,50,57,1,0,n102,15.638672,26.0
16.169271,0.44140625,70,73,1,0,n103,16.161457,27.0
16.46224,0.1171875,55,72,1,0,n104,16.161457,27.0
16.575521,0.13020833,53,74,1,0,n105,16.161457,27.0
16.708334,0.065104164,55,82,1,0,n106,16.708332,28.0
16.846354,0.08203125,74,61,1,0,n107,16.708332,28.0
16.972656,0.088541664,75,66,1,0,n108,16.708332,28.0
16.973959,0.03515625,58,55,1,0,n109,16.708332,28.0
17.085938,0.14192708,77,69,1,0,n110,16.708332,28.0
17.220053,0.045572918,51,53,1,0,n111,16.708332,28.0
17.235678,0.14322917,79,64,1,0,n112,17.227863,29.0
17.352865,0.13541667,75,63,1,0,n113,17.227863,29.0
17.494791,0.05859375,55,52,1,0,n114,17.227863,29.0
17.496094,0.114583336,72,67,1,0,n115,17.227863,29.0
17.626303,0.040364582,75,63,1,0,n116,17.227863,29.0
17.748697,0.052083332,48,58,1,0,n117,17.227863,29.0
17.764322,0.1328125,68,77,1,0,n118,17.756512,30.0
17.885416,0.0859375,70,68,1,0,n119,17.756512,30.0
18.011719,0.114583336,53,65,1,0,n120,17.756512,30.0
18.015625,0.111979164,67,71,1,0,n121,17.756512,30.0
18.138021,0.0703125,70,72,1,0,n122,17.756512,30.0
18.139322,0.088541664,51,67,1,0,n123,17.756512,30.0
18.27474,0.0546875,53,79,1,0,n124,17.756512,30.0
18.278646,0.09375,68,74,1,0,n125,18.276693,31.0
18.419271,0.09765625,72,65,1,0,n126,18.276693,31.0
18.546875,0.13671875,74,64,1,0,n127,18.276693,31.0
18.552084,0.032552082,56,53,1,0,n128,18.276693,31.0
18.664062,0.16276042,75,67,1,0,n129,18.276693,31.0
18.803385,0.048177082,50,58,1,0,n130,18.276693,31.0
18.8125,0.14973958,77,63,1,0,n131,18.807943,32.0
18.936197,0.078125,74,68,1,0,n132,18.807943,32.0
19.063803,0.045572918,53,65,1,0,n133,18.807943,32.0
19.075521,0.114583336,70,68,1,0,n134,18.807943,32.0
19.201822,0.069010414,74,65,1,0,n135,18.807943,32.0
19.322916,0.069010414,46,64,1,0,n136,18.807943,32.0
19.335938,0.13020833,67,69,1,0,n137,19.329428,33.0
