idx,matchtype,partid,ppartid
0,0,n17-1,n11
1,0,n16-1,n1
2,0,n10-1,n0
3,0,n12-1,n8
4,0,n11-1,n5
5,0,n1-1,n2
6,0,n4-1,n6
7,0,n2-1,n3
8,0,n5-1,n7
9,0,n3-1,n4
10,0,n6-1,n9
11,0,n7-1,n10
12,0,n29-1,n17
13,0,n15-1,n15
14,0,n30-1,n18
15,0,n14-1,n13
16,0,n18-1,n16
17,1,n21-1,undefined
18,0,n9-1,n14
19,0,n8-1,n12
20,0,n32-1,n22
21,0,n33-1,n25
22,0,n31-1,n20
23,0,n34-1,n26
24,0,n35-1,n28
25,0,n22-1,n24
26,0,n25-1,n23
27,1,n24-1,undefined
28,0,n20-1,n27
29,0,n19-1,n19
30,0,n52-1,n33
31,0,n37-1,n31
32,0,n38-1,n30
33,1,n36-1,undefined
34,0,n28-1,n32
35,0,n27-1,n29
36,0,n51-1,n35
37,0,n39-1,n34
38,0,n40-1,n36
39,0,n53-1,n43
40,0,n56-1,n40
41,0,n55-1,n37
42,0,n42-1,n39
43,0,n43-1,n41
44,0,n45-1,n44
45,0,n44-1,n42
46,0,n46-1,n45
47,0,n41-1,n38
48,0,n72-1,n52
49,0,n59-1,n49
50,0,n58-1,n47
51,0,n48-1,n48
52,0,n49-1,n50
53,0,n60-1,n53
54,0,n50-1,n51
55,0,n61-1,n54
56,0,n47-1,n46
57,0,n73-1,n58
58,0,n74-1,n62
59,0,n78-1,n56
60,0,n66-1,n61
61,0,n63-1,n57
62,0,n67-1,n63
63,0,n64-1,n59
64,0,n65-1,n60
65,0,n62-1,n55
66,0,n75-1,n64
67,0,n76-1,n68
68,0,n94-1,n72
69,1,n103-1,undefined
70,0,n81-1,n69
71,0,n95-1,n75
72,0,n80-1,n65
73,0,n69-1,n67
74,0,n68-1,n66
75,0,n70-1,n70
76,0,n82-1,n73
77,0,n71-1,n71
78,0,n83-1,n74
79,0,n97-1,n78
80,0,n98-1,n80
81,0,n96-1,n77
82,0,n99-1,n82
83,0,n100-1,n84
84,0,n89-1,n86
85,0,n88-1,n85
86,0,n85-1,n79
87,0,n86-1,n81
88,0,n84-1,n76
89,0,n87-1,n83
90,0,n123-1,n93
91,0,n124-1,n96
92,0,n116-1,n94
93,0,n102-1,n90
94,0,n117-1,n95
95,0,n101-1,n88
96,0,n91-1,n89
97,0,n90-1,n87
98,0,n92-1,n91
99,0,n93-1,n92
100,0,n126-1,n100
101,0,n127-1,n102
102,0,n125-1,n97
103,0,n128-1,n104
104,0,n129-1,n106
105,0,n122-1,n107
106,0,n119-1,n101
107,0,n120-1,n103
108,0,n118-1,n99
109,0,n121-1,n105
110,0,n109-1,n98
111,0,n111-1,n108
112,0,n147-1,n116
113,0,n131-1,n112
114,0,n148-1,n117
115,0,n130-1,n109
116,0,n132-1,n115
117,0,n112-1,n110
118,0,n115-1,n114
119,0,n113-1,n111
120,0,n114-1,n113
121,0,n150-1,n120
122,0,n151-1,n122
123,0,n149-1,n118
124,0,n152-1,n125
125,0,n141-1,n121
126,0,n140-1,n119
127,0,n143-1,n124
128,0,n153-1,n126
129,0,n142-1,n123
130,0,n144-1,n127
131,0,n134-1,n128
132,0,n173-1,n137
133,0,n155-1,n135
134,0,n154-1,n129
135,0,n146-1,n134
136,0,n145-1,n131
137,0,n156-1,n138
138,0,n157-1,n139
139,0,n136-1,n132
140,0,n135-1,n130
141,0,n137-1,n133
142,0,n138-1,n136
143,0,n169-1,n147
144,0,n175-1,n150
145,0,n167-1,n142
146,0,n166-1,n140
147,0,n168-1,n144
148,0,n170-1,n149
149,0,n159-1,n143
150,0,n160-1,n145
151,0,n158-1,n141
152,0,n161-1,n146
153,0,n162-1,n148
154,0,n179-1,n158
155,0,n178-1,n156
156,0,n192-1,n159
157,0,n177-1,n154
158,0,n176-1,n151
159,0,n183-1,n161
160,0,n184-1,n162
161,0,n171-1,n153
162,0,n172-1,n157
163,0,n180-1,n160
164,0,n164-1,n155
165,0,n163-1,n152
166,0,n193-1,n168
167,0,n186-1,n164
168,0,n187-1,n165
169,0,n185-1,n163
170,0,n188-1,n167
171,0,n194-1,n171
172,0,n189-1,n170
173,0,n182-1,n169
174,0,n181-1,n166
175,0,n198-1,n177
176,0,n197-1,n176
177,0,n210-1,n178
178,0,n196-1,n174
179,0,n195-1,n172
180,0,n208-1,n179
181,0,n191-1,n175
182,0,n190-1,n173
183,0,n200-1,n180
184,0,n212-1,n187
185,0,n209-1,n186
186,0,n205-1,n185
187,0,n204-1,n184
188,0,n201-1,n181
189,0,n203-1,n183
190,0,n202-1,n182
