onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,3.0,0.0,1.5,0,24,56,6,n16-1,0.0,1.02908
0.0,1.0,0.0,0.5,0,8,59,5,n10-1,0.0,1.02908
0.0,0.5,0.0,0.25,0,4,68,1,n1-1,0.0,1.02908
0.5,0.5,0.25,0.25,4,4,70,1,n2-1,0.0,1.02908
1.0,1.0,0.5,0.5,8,8,63,5,n11-1,0.0,1.02908
1.0,0.5,0.5,0.25,8,4,71,1,n3-1,0.0,1.02908
1.5,0.5,0.75,0.25,12,4,68,1,n4-1,0.0,1.02908
2.0,2.0,1.0,1.0,16,16,61,5,n12-1,0.0,1.02908
2.0,0.5,1.0,0.25,16,4,70,1,n5-1,0.0,1.02908
2.5,0.5,1.25,0.25,20,4,73,1,n6-1,0.0,1.02908
3.0,3.0,1.5,1.5,24,24,55,6,n17-1,3.0,2.773438
3.0,1.0,1.5,0.5,24,8,76,1,n7-1,3.0,2.773438
4.0,1.0,2.0,0.5,32,8,59,5,n14-1,3.0,2.773438
4.0,1.0,2.0,0.5,32,8,75,1,n8-1,3.0,2.773438
5.0,1.0,2.5,0.5,40,8,58,5,n15-1,3.0,2.773438
5.0,1.0,2.5,0.5,40,8,73,1,n9-1,3.0,2.773438
6.0,0.5,3.0,0.25,48,4,56,5,n29-1,6.0,4.59375
6.0,1.0,3.0,0.5,48,8,71,1,n18-1,6.0,4.59375
6.0,2.0,3.0,1.0,48,16,71,2,n21-1,6.0,4.59375
6.5,0.5,3.25,0.25,52,4,58,5,n30-1,6.0,4.59375
7.0,0.5,3.5,0.25,56,4,59,5,n31-1,6.0,4.59375
7.0,1.0,3.5,0.5,56,8,76,3,n24-1,6.0,4.59375
7.0,2.0,3.5,1.0,56,16,80,1,n19-1,6.0,4.59375
7.5,0.5,3.75,0.25,60,4,56,5,n32-1,6.0,4.59375
8.0,0.5,4.0,0.25,64,4,58,5,n33-1,6.0,4.59375
8.0,2.0,4.0,1.0,64,16,70,2,n22-1,6.0,4.59375
8.0,2.0,4.0,1.0,64,16,73,3,n25-1,6.0,4.59375
8.5,0.5,4.25,0.25,68,4,61,5,n34-1,6.0,4.59375
9.0,1.0,4.5,0.5,72,8,64,5,n35-1,9.0,6.361979
9.0,3.0,4.5,1.5,72,24,79,1,n20-1,9.0,6.361979
10.0,3.0,5.0,1.5,80,24,63,7,n38-1,9.0,6.361979
10.0,1.0,5.0,0.5,80,8,63,5,n36-1,9.0,6.361979
10.0,1.0,5.0,0.5,80,8,71,3,n27-1,9.0,6.361979
11.0,1.0,5.5,0.5,88,8,61,5,n37-1,9.0,6.361979
11.0,1.0,5.5,0.5,88,8,70,3,n28-1,9.0,6.361979
12.0,3.0,6.0,1.5,96,24,59,5,n52-1,12.0,8.157986
12.0,1.0,6.0,0.5,96,8,75,2,n51-1,12.0,8.157986
12.0,0.5,6.0,0.25,96,4,80,1,n39-1,12.0,8.157986
12.5,0.5,6.25,0.25,100,4,82,1,n40-1,12.0,8.157986
13.0,1.0,6.5,0.5,104,8,68,7,n55-1,12.0,8.157986
13.0,0.5,6.5,0.25,104,4,83,1,n41-1,12.0,8.157986
13.5,0.5,6.75,0.25,108,4,75,1,n42-1,12.0,8.157986
14.0,2.0,7.0,1.0,112,16,61,7,n56-1,12.0,8.157986
14.0,0.5,7.0,0.25,112,4,76,1,n43-1,12.0,8.157986
14.5,0.5,7.25,0.25,116,4,80,1,n44-1,12.0,8.157986
15.0,3.0,7.5,1.5,120,24,58,5,n53-1,15.0,9.836589
15.0,0.5,7.5,0.25,120,4,78,1,n45-1,15.0,9.836589
15.5,0.5,7.75,0.25,124,4,80,1,n46-1,15.0,9.836589
16.0,1.0,8.0,0.5,128,8,66,7,n58-1,15.0,9.836589
16.0,0.5,8.0,0.25,128,4,82,1,n47-1,15.0,9.836589
16.5,0.5,8.25,0.25,132,4,73,1,n48-1,15.0,9.836589
17.0,2.0,8.5,1.0,136,16,59,7,n59-1,15.0,9.836589
17.0,0.5,8.5,0.25,136,4,75,1,n49-1,15.0,9.836589
17.5,0.5,8.75,0.25,140,4,78,1,n50-1,15.0,9.836589
18.0,2.0,9.0,1.0,144,16,56,5,n72-1,18.0,11.542317
18.0,0.5,9.0,0.25,144,4,76,1,n60-1,18.0,11.542317
18.5,0.5,9.25,0.25,148,4,78,1,n61-1,18.0,11.542317
19.0,3.0,9.5,1.5,152,24,64,7,n78-1,18.0,11.542317
19.0,0.5,9.5,0.25,152,4,80,1,n62-1,18.0,11.542317
19.5,0.5,9.75,0.25,156,4,71,1,n63-1,18.0,11.542317
20.0,1.0,10.0,0.5,160,8,52,5,n73-1,18.0,11.542317
20.0,0.5,10.0,0.25,160,4,73,1,n64-1,18.0,11.542317
20.5,0.5,10.25,0.25,164,4,76,1,n65-1,18.0,11.542317
21.0,1.0,10.5,0.5,168,8,54,5,n74-1,21.0,13.219401
21.0,0.5,10.5,0.25,168,4,70,1,n66-1,21.0,13.219401
21.5,0.5,10.75,0.25,172,4,71,1,n67-1,21.0,13.219401
22.0,1.0,11.0,0.5,176,8,56,5,n75-1,21.0,13.219401
22.0,1.0,11.0,0.5,176,8,63,7,n80-1,21.0,13.219401
