onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,1.0,0,8,45,6,n15-1,0.0,1.021354
0.0,0.25,0.0,0.25,0,2,69,1,n1-1,0.0,1.021354
0.25,0.25,0.25,0.25,2,2,71,1,n2-1,0.0,1.021354
0.5,0.25,0.5,0.25,4,2,73,1,n3-1,0.0,1.021354
0.75,0.25,0.75,0.25,6,2,69,1,n4-1,0.0,1.021354
1.0,1.0,1.0,1.0,8,8,57,6,n16-1,1.0,1.611979
1.0,0.5,1.0,0.5,8,4,78,1,n5-1,1.0,1.611979
1.5,0.5,1.5,0.5,12,4,78,1,n6-1,1.0,1.611979
2.0,1.0,2.0,1.0,16,8,56,6,n17-1,2.0,2.275
2.0,0.25,2.0,0.25,16,2,78,1,n7-1,2.0,2.275
2.25,0.25,2.25,0.25,18,2,75,1,n8-1,2.0,2.275
2.5,0.5,2.5,0.5,20,4,76,1,n9-1,2.0,2.275
3.0,1.0,3.0,1.0,24,8,55,6,n18-1,3.0,2.908333
3.25,0.25,3.25,0.25,26,2,76,1,n11-1,3.0,2.908333
3.5,1.0,3.5,1.0,28,8,64,5,n14-1,3.0,2.908333
3.5,0.25,3.5,0.25,28,2,78,1,n12-1,3.0,2.908333
3.75,0.25,3.75,0.25,30,2,79,1,n13-1,3.0,2.908333
4.0,1.0,4.0,1.0,32,8,54,6,n41-1,4.0,3.548958
4.0,0.25,4.0,0.25,32,2,81,1,n19-1,4.0,3.548958
4.25,0.25,4.25,0.25,34,2,79,1,n20-1,4.0,3.548958
4.5,0.5,4.5,0.5,36,4,57,5,n36-1,4.0,3.548958
4.5,0.25,4.5,0.25,36,2,78,1,n21-1,4.0,3.548958
4.75,0.25,4.75,0.25,38,2,81,1,n22-1,4.0,3.548958
5.0,1.0,5.0,1.0,40,8,59,6,n42-1,5.0,4.180729
5.0,0.25,5.0,0.25,40,2,74,1,n23-1,5.0,4.180729
5.25,0.25,5.25,0.25,42,2,73,1,n24-1,5.0,4.180729
5.5,1.0,5.5,1.0,44,8,62,5,n37-1,5.0,4.180729
5.5,0.25,5.5,0.25,44,2,71,1,n25-1,5.0,4.180729
5.75,0.25,5.75,0.25,46,2,81,1,n26-1,5.0,4.180729
6.0,1.0,6.0,1.0,48,8,52,6,n43-1,6.0,4.797396
6.0,0.25,6.0,0.25,48,2,80,1,n27-1,6.0,4.797396
6.25,0.25,6.25,0.25,50,2,78,1,n28-1,6.0,4.797396
6.5,0.5,6.5,0.5,52,4,56,5,n39-1,6.0,4.797396
6.5,0.25,6.5,0.25,52,2,76,1,n29-1,6.0,4.797396
6.75,0.25,6.75,0.25,54,2,80,1,n30-1,6.0,4.797396
7.0,1.0,7.0,1.0,56,8,57,6,n44-1,7.0,5.423958
7.0,0.25,7.0,0.25,56,2,73,1,n31-1,7.0,5.423958
7.25,0.25,7.25,0.25,58,2,71,1,n32-1,7.0,5.423958
7.5,1.0,7.5,1.0,60,8,61,5,n40-1,7.0,5.423958
7.5,0.25,7.5,0.25,60,2,69,1,n33-1,7.0,5.423958
7.75,0.25,7.75,0.25,62,2,79,1,n34-1,7.0,5.423958
8.0,1.0,8.0,1.0,64,8,50,6,n67-1,8.0,6.056771
8.0,0.25,8.0,0.25,64,2,78,1,n45-1,8.0,6.056771
8.25,0.25,8.25,0.25,66,2,76,1,n46-1,8.0,6.056771
8.5,0.25,8.5,0.25,68,2,59,5,n62-1,8.0,6.056771
8.5,0.25,8.5,0.25,68,2,74,1,n47-1,8.0,6.056771
8.75,0.25,8.75,0.25,70,2,57,5,n63-1,8.0,6.056771
8.75,0.25,8.75,0.25,70,2,78,1,n48-1,8.0,6.056771
9.0,1.0,9.0,1.0,72,8,52,6,n68-1,9.0,6.670139
9.0,0.75,9.0,0.75,72,6,56,5,n64-1,9.0,6.670139
9.0,0.125,9.0,0.125,72,1,57,8,n73-1,9.0,6.670139
9.0,0.25,9.0,0.25,72,2,71,1,n49-1,9.0,6.670139
9.125,0.125,9.125,0.125,73,1,56,8,n74-1,9.0,6.670139
9.25,0.125,9.25,0.125,74,1,57,8,n75-1,9.0,6.670139
9.25,0.25,9.25,0.25,74,2,78,1,n50-1,9.0,6.670139
9.375,0.375,9.375,0.375,75,3,56,8,n76-1,9.0,6.670139
9.5,0.25,9.5,0.25,76,2,76,1,n51-1,9.0,6.670139
9.75,0.25,9.75,0.25,78,2,56,5,n65-1,9.0,6.670139
9.75,0.25,9.75,0.25,78,2,74,1,n52-1,9.0,6.670139
10.0,0.5,10.0,0.5,80,4,45,6,n69-1,10.0,7.303472
10.0,0.5,10.0,0.5,80,4,57,5,n66-1,10.0,7.303472
10.0,0.25,10.0,0.25,80,2,73,1,n53-1,10.0,7.303472
10.25,0.25,10.25,0.25,82,2,71,1,n54-1,10.0,7.303472
10.5,0.5,10.5,0.5,84,4,57,6,n70-1,10.0,7.303472
10.5,0.25,10.5,0.25,84,2,69,1,n55-1,10.0,7.303472
10.75,0.25,10.75,0.25,86,2,71,1,n56-1,10.0,7.303472
11.0,0.5,11.0,0.5,88,4,56,6,n71-1,11.0,7.910417
11.0,0.25,11.0,0.25,88,2,73,1,n57-1,11.0,7.910417
11.25,0.25,11.25,0.25,90,2,75,1,n58-1,11.0,7.910417
11.5,0.5,11.5,0.5,92,4,54,6,n72-1,11.0,7.910417
11.5,0.25,11.5,0.25,92,2,76,1,n59-1,11.0,7.910417
11.75,0.25,11.75,0.25,94,2,78,1,n60-1,11.0,7.910417
12.0,0.25,12.0,0.25,96,2,52,5,n94-1,12.0,8.533333
12.0,0.25,12.0,0.25,96,2,80,1,n77-1,12.0,8.533333
12.25,0.25,12.25,0.25,98,2,54,5,n95-1,12.0,8.533333
12.25,0.25,12.25,0.25,98,2,81,1,n78-1,12.0,8.533333
12.5,0.25,12.5,0.25,100,2,56,5,n96-1,12.0,8.533333
12.5,0.25,12.5,0.25,100,2,83,1,n79-1,12.0,8.533333
12.75,0.25,12.75,0.25,102,2,52,5,n97-1,12.0,8.533333
12.75,0.25,12.75,0.25,102,2,80,1,n80-1,12.0,8.533333
13.0,0.5,13.0,0.5,104,4,61,5,n98-1,13.0,9.154166
13.0,0.25,13.0,0.25,104,2,76,1,n81-1,13.0,9.154166
13.0,1.0,13.0,1.0,104,8,76,2,n91-1,13.0,9.154166
13.25,0.25,13.25,0.25,106,2,78,1,n82-1,13.0,9.154166
13.5,0.5,13.5,0.5,108,4,61,5,n99-1,13.0,9.154166
13.5,0.25,13.5,0.25,108,2,80,1,n83-1,13.0,9.154166
13.75,0.25,13.75,0.25,110,2,76,1,n84-1,13.0,9.154166
14.0,0.25,14.0,0.25,112,2,61,5,n100-1,14.0,9.789236
14.0,1.0,14.0,1.0,112,8,75,2,n92-1,14.0,9.789236
14.0,0.25,14.0,0.25,112,2,78,1,n85-1,14.0,9.789236
14.25,0.25,14.25,0.25,114,2,58,5,n101-1,14.0,9.789236
14.25,0.25,14.25,0.25,114,2,80,1,n86-1,14.0,9.789236
14.5,0.5,14.5,0.5,116,4,59,5,n102-1,14.0,9.789236
14.5,0.25,14.5,0.25,116,2,81,1,n87-1,14.0,9.789236
14.75,0.25,14.75,0.25,118,2,78,1,n88-1,14.0,9.789236
15.0,0.5,15.0,0.5,120,4,71,1,n89-1,15.0,10.429167
15.0,1.0,15.0,1.0,120,8,74,2,n93-1,15.0,10.429167
15.25,0.25,15.25,0.25,122,2,59,5,n104-1,15.0,10.429167
15.5,0.25,15.5,0.25,124,2,61,5,n105-1,15.0,10.429167
15.5,1.0,15.5,1.0,124,8,83,1,n90-1,15.0,10.429167
15.75,0.25,15.75,0.25,126,2,62,5,n106-1,15.0,10.429167
16.0,0.25,16.0,0.25,128,2,64,5,n117-1,16.0,11.090104
16.0,1.0,16.0,1.0,128,8,73,2,n113-1,16.0,11.090104
16.25,0.25,16.25,0.25,130,2,62,5,n118-1,16.0,11.090104
16.5,0.25,16.5,0.25,132,2,61,5,n119-1,16.0,11.090104
16.5,0.5,16.5,0.5,132,4,76,1,n108-1,16.0,11.090104
16.75,0.25,16.75,0.25,134,2,64,5,n120-1,16.0,11.090104
17.0,0.25,17.0,0.25,136,2,57,5,n121-1,17.0,11.732291
17.0,1.0,17.0,1.0,136,8,78,2,n114-1,17.0,11.732291
17.25,0.25,17.25,0.25,138,2,56,5,n122-1,17.0,11.732291
17.5,0.25,17.5,0.25,140,2,54,5,n123-1,17.0,11.732291
17.5,1.0,17.5,1.0,140,8,81,1,n109-1,17.0,11.732291
17.75,0.25,17.75,0.25,142,2,64,5,n124-1,17.0,11.732291
18.0,0.25,18.0,0.25,144,2,63,5,n125-1,18.0,12.367708
18.0,1.0,18.0,1.0,144,8,71,2,n115-1,18.0,12.367708
18.25,0.25,18.25,0.25,146,2,61,5,n126-1,18.0,12.367708
18.5,0.25,18.5,0.25,148,2,59,5,n127-1,18.0,12.367708
18.5,0.5,18.5,0.5,148,4,75,1,n111-1,18.0,12.367708
18.75,0.25,18.75,0.25,150,2,63,5,n128-1,18.0,12.367708
19.0,0.25,19.0,0.25,152,2,56,5,n129-1,19.0,13.011979
19.0,2.0,19.0,2.0,152,16,76,2,n116-1,19.0,13.011979
19.25,0.25,19.25,0.25,154,2,54,5,n130-1,19.0,13.011979
19.5,0.25,19.5,0.25,156,2,52,5,n131-1,19.0,13.011979
19.5,0.5,19.5,0.5,156,4,80,1,n112-1,19.0,13.011979
19.75,0.25,19.75,0.25,158,2,62,5,n132-1,19.0,13.011979
20.0,0.25,20.0,0.25,160,2,61,5,n149-1,20.0,13.654688
20.0,0.25,20.0,0.25,160,2,81,1,n133-1,20.0,13.654688
20.25,0.25,20.25,0.25,162,2,59,5,n150-1,20.0,13.654688
20.25,0.25,20.25,0.25,162,2,80,1,n134-1,20.0,13.654688
20.5,0.25,20.5,0.25,164,2,57,5,n151-1,20.0,13.654688
20.5,0.25,20.5,0.25,164,2,78,1,n135-1,20.0,13.654688
20.75,0.25,20.75,0.25,166,2,61,5,n152-1,20.0,13.654688
