xml_id	midi_id	track	channel	pitch	onset
n11-1	n1	1	0	45	0.9752604166666666
n13-1	n7	1	0	56	1.7786458333333335
n12-1	n6	1	0	57	1.6770833333333333
n1-1	n0	1	0	69	0.9622395833333333
n2-1	n2	1	0	71	1.0638020833333333
n3-1	n3	1	0	72	1.1809895833333333
n5-1	n5	1	0	72	1.6497395833333333
n4-1	n4	1	0	76	1.4231770833333333
n15-1	n10	1	0	56	1.9856770833333335
n17-1	n13	1	0	56	2.2044270833333335
n14-1	n9	1	0	57	1.8932291666666667
n16-1	n11	1	0	57	2.0989583333333335
n18-1	n15	1	0	57	2.321614583333334
n7-1	n12	1	0	64	2.111979166666667
n6-1	n8	1	0	69	1.8854166666666667
n8-1	n14	1	0	69	2.3203125000000004
n31-1	n20	1	0	45	2.984375000000001
n20-1	n18	1	0	48	2.761718750000001
n19-1	n17	1	0	52	2.544270833333334
n21-1	n21	1	0	71	2.988281250000001
n9-1	n16	1	0	72	2.5377604166666674
n22-1	n22	1	0	72	3.0911458333333344
n10-1	n19	1	0	76	2.761718750000001
n33-1	n27	1	0	56	3.753906250000001
n32-1	n26	1	0	57	3.657552083333334
n23-1	n23	1	0	74	3.195312500000001
n25-1	n25	1	0	74	3.649739583333334
n24-1	n24	1	0	77	3.430989583333334
n35-1	n30	1	0	56	3.944010416666668
n37-1	n33	1	0	56	4.158854166666668
n34-1	n28	1	0	57	3.8450520833333344
n36-1	n31	1	0	57	4.054687500000001
n38-1	n35	1	0	57	4.283854166666669
n27-1	n32	1	0	68	4.070312500000001
n26-1	n29	1	0	71	3.8645833333333344
n28-1	n34	1	0	71	4.273437500000002
n51-1	n41	1	0	45	4.916666666666669
n40-1	n38	1	0	50	4.692708333333336
n39-1	n37	1	0	53	4.489583333333335
n29-1	n36	1	0	74	4.485677083333335
n41-1	n40	1	0	74	4.911458333333336
n42-1	n42	1	0	76	5.003906250000002
n30-1	n39	1	0	77	4.696614583333336
n53-1	n47	1	0	56	5.674479166666668
n52-1	n46	1	0	57	5.574218750000001
n43-1	n43	1	0	77	5.114583333333335
n45-1	n45	1	0	77	5.558593750000001
n44-1	n44	1	0	80	5.346354166666668
n55-1	n50	1	0	56	5.875000000000002
n57-1	n53	1	0	56	6.066406250000002
n54-1	n49	1	0	57	5.772135416666668
n56-1	n52	1	0	57	5.983072916666669
n58-1	n55	1	0	57	6.178385416666668
n47-1	n51	1	0	71	5.968750000000002
n46-1	n48	1	0	74	5.763020833333335
n48-1	n54	1	0	74	6.165364583333335
n70-1	n61	1	0	45	6.822916666666667
n60-1	n58	1	0	50	6.576822916666667
n59-1	n57	1	0	53	6.380208333333334
n49-1	n56	1	0	77	6.375000000000001
n50-1	n59	1	0	80	6.578125
n61-1	n60	1	0	81	6.819010416666667
n66-1	n66	1	0	72	7.473958333333334
n65-1	n65	1	0	74	7.360677083333334
n64-1	n64	1	0	76	7.25390625
n63-1	n63	1	0	77	7.1484375
n62-1	n62	1	0	79	7.045572916666667
n74-1	n69	1	0	60	8.127604166666666
n73-1	n68	1	0	64	7.91796875
n72-1	n67	1	0	69	7.703125
n92-1	n72	1	0	52	8.768229166666666
n93-1	n76	1	0	54	8.848958333333332
n75-1	n70	1	0	57	8.335937499999998
n76-1	n71	1	0	63	8.536458333333332
n91-1	n75	1	0	71	8.798177083333332
n77-1	n73	1	0	76	8.77734375
n78-1	n74	1	0	79	8.779947916666666
n94-1	n77	1	0	55	8.973958333333332
n96-1	n79	1	0	55	9.403645833333334
n95-1	n78	1	0	59	9.201822916666666
n80-1	n81	1	0	75	9.5078125
n79-1	n80	1	0	76	9.419270833333334
n98-1	n86	1	0	47	9.848958333333332
n97-1	n82	1	0	52	9.611979166666666
n99-1	n89	1	0	52	10.06640625
n86-1	n90	1	0	71	10.162760416666668
n82-1	n84	1	0	75	9.72265625
n84-1	n87	1	0	75	9.942708333333332
n81-1	n83	1	0	76	9.615885416666666
n83-1	n85	1	0	76	9.838541666666666
n85-1	n88	1	0	76	10.0546875
n118-1	n97	1	0	54	10.705729166666668
n100-1	n92	1	0	55	10.287760416666668
n119-1	n100	1	0	55	10.803385416666666
n101-1	n94	1	0	59	10.48046875
n90-1	n96	1	0	64	10.580729166666668
n89-1	n95	1	0	66	10.48828125
n88-1	n93	1	0	67	10.373697916666668
n87-1	n91	1	0	69	10.276041666666668
n110-1	n99	1	0	69	10.7109375
n111-1	n98	1	0	72	10.708333333333334
n120-1	n101	1	0	57	10.91796875
n122-1	n103	1	0	57	11.364583333333334
n121-1	n102	1	0	60	11.157552083333334
n113-1	n104	1	0	71	11.470052083333334
n124-1	n108	1	0	51	11.785156250000002
n123-1	n105	1	0	54	11.567708333333334
n125-1	n111	1	0	54	11.997395833333336
n115-1	n107	1	0	71	11.692708333333336
n117-1	n110	1	0	71	11.886718750000004
n114-1	n106	1	0	72	11.580729166666668
n116-1	n109	1	0	72	11.785156250000002
n104-1	n112	1	0	72	12.007812500000002
n105-1	n113	1	0	79	12.151041666666668
n126-1	n114	1	0	57	12.210937500000002
n144-1	n121	1	0	57	12.65885416666667
n145-1	n126	1	0	59	12.805989583333337
n127-1	n117	1	0	60	12.423177083333334
n128-1	n124	1	0	66	12.712239583333337
