onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.96223956,0.0390625,69,76,1,0,n0,-10.0,-10.0
0.97526044,0.42447916,45,61,1,0,n1,0.96875,0.0
1.0638021,0.0625,71,75,1,0,n2,0.96875,0.0
1.1809896,0.032552082,72,78,1,0,n3,0.96875,0.0
1.4231771,0.037760418,76,76,1,0,n4,0.96875,0.0
1.6497396,0.045572918,72,70,1,0,n5,0.96875,0.0
1.6770834,0.075520836,57,61,1,0,n6,1.663412,3.0
1.7786459,0.08984375,56,62,1,0,n7,1.663412,3.0
1.8854166,0.046875,69,71,1,0,n8,1.663412,3.0
1.8932291,0.06640625,57,66,1,0,n9,1.663412,3.0
1.9856771,0.072916664,56,65,1,0,n10,1.663412,3.0
2.0989583,0.059895832,57,67,1,0,n11,1.663412,3.0
2.1119792,0.036458332,64,74,1,0,n12,1.663412,3.0
2.204427,0.095052086,56,62,1,0,n13,1.663412,3.0
2.3203125,0.033854168,69,82,1,0,n14,1.663412,3.0
2.3216145,0.044270832,57,68,1,0,n15,2.320963,6.0
2.5377605,0.048177082,72,77,1,0,n16,2.320963,6.0
2.5442708,0.036458332,52,64,1,0,n17,2.320963,6.0
2.7617188,0.040364582,48,63,1,0,n18,2.320963,6.0
2.7617188,0.04296875,76,82,1,0,n19,2.320963,6.0
2.984375,0.3815104,45,73,1,0,n20,2.320963,6.0
2.9882812,0.0390625,71,81,1,0,n21,2.986328,9.0
3.0911458,0.057291668,72,84,1,0,n22,2.986328,9.0
3.1953125,0.049479168,74,84,1,0,n23,2.986328,9.0
3.4309895,0.03515625,77,81,1,0,n24,2.986328,9.0
3.6497395,0.04296875,74,75,1,0,n25,2.986328,9.0
3.657552,0.063802086,57,55,1,0,n26,3.653646,12.0
3.7539062,0.055989582,56,70,1,0,n27,3.653646,12.0
3.845052,0.091145836,57,65,1,0,n28,3.653646,12.0
3.8645833,0.063802086,71,83,1,0,n29,3.653646,12.0
3.9440105,0.087239586,56,73,1,0,n30,3.653646,12.0
4.0546875,0.084635414,57,72,1,0,n31,3.653646,12.0
4.0703125,0.045572918,68,89,1,0,n32,3.653646,12.0
4.158854,0.096354164,56,68,1,0,n33,3.653646,12.0
4.2734375,0.05078125,71,86,1,0,n34,3.653646,12.0
4.283854,0.069010414,57,71,1,0,n35,4.278646,15.0
4.4856772,0.033854168,74,78,1,0,n36,4.278646,15.0
4.4895835,0.036458332,53,66,1,0,n37,4.278646,15.0
4.6927085,0.040364582,50,64,1,0,n38,4.278646,15.0
4.6966147,0.048177082,77,87,1,0,n39,4.278646,15.0
4.9114585,0.084635414,74,82,1,0,n40,4.278646,15.0
4.9166665,0.37760416,45,73,1,0,n41,4.914063,18.0
5.0039062,0.0625,76,82,1,0,n42,4.914063,18.0
5.1145835,0.083333336,77,85,1,0,n43,4.914063,18.0
5.346354,0.063802086,80,78,1,0,n44,4.914063,18.0
5.5585938,0.037760418,77,81,1,0,n45,4.914063,18.0
5.5742188,0.063802086,57,53,1,0,n46,5.566407,21.0
5.674479,0.076822914,56,63,1,0,n47,5.566407,21.0
5.763021,0.048177082,74,85,1,0,n48,5.566407,21.0
