onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,3.0,0.0,1.5,0,6,45,5,n11-1,0.0,1.041667
0.0,0.5,0.0,0.25,0,1,69,1,n1-1,0.0,1.041667
0.5,0.5,0.25,0.25,1,1,71,1,n2-1,0.0,1.041667
1.0,1.0,0.5,0.5,2,2,72,1,n3-1,0.0,1.041667
2.0,1.0,1.0,0.5,4,2,76,1,n4-1,0.0,1.041667
3.0,0.5,1.5,0.25,6,1,57,5,n12-1,3.0,1.809375
3.0,1.0,1.5,0.5,6,2,72,1,n5-1,3.0,1.809375
3.5,0.5,1.75,0.25,7,1,56,5,n13-1,3.0,1.809375
4.0,0.5,2.0,0.25,8,1,57,5,n14-1,3.0,1.809375
4.0,1.0,2.0,0.5,8,2,69,1,n6-1,3.0,1.809375
4.5,0.5,2.25,0.25,9,1,56,5,n15-1,3.0,1.809375
5.0,0.5,2.5,0.25,10,1,57,5,n16-1,3.0,1.809375
5.0,1.0,2.5,0.5,10,2,64,1,n7-1,3.0,1.809375
5.5,0.5,2.75,0.25,11,1,56,5,n17-1,3.0,1.809375
6.0,1.0,3.0,0.5,12,2,57,5,n18-1,6.0,2.529167
6.0,1.0,3.0,0.5,12,2,69,1,n8-1,6.0,2.529167
7.0,1.0,3.5,0.5,14,2,52,5,n19-1,6.0,2.529167
7.0,1.0,3.5,0.5,14,2,72,1,n9-1,6.0,2.529167
8.0,1.0,4.0,0.5,16,2,48,5,n20-1,6.0,2.529167
8.0,1.0,4.0,0.5,16,2,76,1,n10-1,6.0,2.529167
9.0,3.0,4.5,1.5,18,6,45,5,n31-1,9.0,3.331771
9.0,0.5,4.5,0.25,18,1,71,1,n21-1,9.0,3.331771
9.5,0.5,4.75,0.25,19,1,72,1,n22-1,9.0,3.331771
10.0,1.0,5.0,0.5,20,2,74,1,n23-1,9.0,3.331771
11.0,1.0,5.5,0.5,22,2,77,1,n24-1,9.0,3.331771
12.0,0.5,6.0,0.25,24,1,57,5,n32-1,12.0,4.052604
12.0,1.0,6.0,0.5,24,2,74,1,n25-1,12.0,4.052604
12.5,0.5,6.25,0.25,25,1,56,5,n33-1,12.0,4.052604
13.0,0.5,6.5,0.25,26,1,57,5,n34-1,12.0,4.052604
13.0,1.0,6.5,0.5,26,2,71,1,n26-1,12.0,4.052604
13.5,0.5,6.75,0.25,27,1,56,5,n35-1,12.0,4.052604
14.0,0.5,7.0,0.25,28,1,57,5,n36-1,12.0,4.052604
14.0,1.0,7.0,0.5,28,2,68,1,n27-1,12.0,4.052604
14.5,0.5,7.25,0.25,29,1,56,5,n37-1,12.0,4.052604
15.0,1.0,7.5,0.5,30,2,57,5,n38-1,15.0,4.747396
15.0,1.0,7.5,0.5,30,2,71,1,n28-1,15.0,4.747396
16.0,1.0,8.0,0.5,32,2,53,5,n39-1,15.0,4.747396
16.0,1.0,8.0,0.5,32,2,74,1,n29-1,15.0,4.747396
17.0,1.0,8.5,0.5,34,2,50,5,n40-1,15.0,4.747396
17.0,1.0,8.5,0.5,34,2,77,1,n30-1,15.0,4.747396
18.0,3.0,9.0,1.5,36,6,45,5,n51-1,18.0,5.511458
18.0,0.5,9.0,0.25,36,1,74,1,n41-1,18.0,5.511458
18.5,0.5,9.25,0.25,37,1,76,1,n42-1,18.0,5.511458
19.0,1.0,9.5,0.5,38,2,77,1,n43-1,18.0,5.511458
20.0,1.0,10.0,0.5,40,2,80,1,n44-1,18.0,5.511458
21.0,0.5,10.5,0.25,42,1,57,5,n52-1,21.0,6.233333
21.0,1.0,10.5,0.5,42,2,77,1,n45-1,21.0,6.233333
21.5,0.5,10.75,0.25,43,1,56,5,n53-1,21.0,6.233333
22.0,0.5,11.0,0.25,44,1,57,5,n54-1,21.0,6.233333
22.0,1.0,11.0,0.5,44,2,74,1,n46-1,21.0,6.233333
22.5,0.5,11.25,0.25,45,1,56,5,n55-1,21.0,6.233333
23.0,0.5,11.5,0.25,46,1,57,5,n56-1,21.0,6.233333
23.0,1.0,11.5,0.5,46,2,71,1,n47-1,21.0,6.233333
23.5,0.5,11.75,0.25,47,1,56,5,n57-1,21.0,6.233333
24.0,1.0,12.0,0.5,48,2,57,5,n58-1,24.0,6.941667
24.0,1.0,12.0,0.5,48,2,74,1,n48-1,24.0,6.941667
25.0,1.0,12.5,0.5,50,2,53,5,n59-1,24.0,6.941667
25.0,1.0,12.5,0.5,50,2,77,1,n49-1,24.0,6.941667
26.0,1.0,13.0,0.5,52,2,50,5,n60-1,24.0,6.941667
26.0,1.0,13.0,0.5,52,2,80,1,n50-1,24.0,6.941667
27.0,3.0,13.5,1.5,54,6,45,5,n70-1,27.0,7.703125
27.0,1.0,13.5,0.5,54,2,81,1,n61-1,27.0,7.703125
28.0,0.5,14.0,0.25,56,1,79,1,n62-1,27.0,7.703125
28.5,0.5,14.25,0.25,57,1,77,1,n63-1,27.0,7.703125
29.0,0.5,14.5,0.25,58,1,76,1,n64-1,27.0,7.703125
29.5,0.5,14.75,0.25,59,1,74,1,n65-1,27.0,7.703125
30.0,1.0,15.0,0.5,60,2,72,1,n66-1,30.0,8.40625
31.0,1.0,15.5,0.5,62,2,69,5,n72-1,30.0,8.40625
32.0,1.0,16.0,0.5,64,2,64,5,n73-1,30.0,8.40625
33.0,1.0,16.5,0.5,66,2,60,5,n74-1,33.0,9.146875
34.0,1.0,17.0,0.5,68,2,57,5,n75-1,33.0,9.146875
35.0,1.0,17.5,0.5,70,2,63,5,n76-1,33.0,9.146875
