onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0291667,0.7708333,45,42,1,0,n0,-10.0,-10.0
1.0541667,0.075,69,66,1,0,n1,1.041667,0.0
1.159375,0.084375,71,68,1,0,n2,1.041667,0.0
1.2760416,0.035416666,72,72,1,0,n3,1.041667,0.0
1.553125,0.038541667,76,68,1,0,n4,1.041667,0.0
1.8072916,0.06875,57,54,1,0,n5,1.041667,0.0
1.8114583,0.042708334,72,72,1,0,n6,1.809375,3.0
1.9239583,0.06666667,56,62,1,0,n7,1.809375,3.0
2.0427084,0.05625,57,59,1,0,n8,1.809375,3.0
2.0458333,0.051041666,69,74,1,0,n9,1.809375,3.0
2.1479166,0.072916664,56,68,1,0,n10,1.809375,3.0
2.290625,0.051041666,57,53,1,0,n11,1.809375,3.0
2.290625,0.04375,64,69,1,0,n12,1.809375,3.0
2.378125,0.071875,56,64,1,0,n13,1.809375,3.0
2.51875,0.063541666,57,47,1,0,n14,1.809375,3.0
2.5395834,0.03125,69,70,1,0,n15,2.529167,6.0
2.8041666,0.045833334,52,49,1,0,n16,2.529167,6.0
2.8072917,0.042708334,72,71,1,0,n17,2.529167,6.0
3.0447917,0.046875,48,49,1,0,n18,2.529167,6.0
3.0458333,0.042708334,76,73,1,0,n19,2.529167,6.0
3.33125,0.06458333,71,79,1,0,n20,2.529167,6.0
3.3322916,0.7114583,45,48,1,0,n21,3.331771,9.0
3.425,0.0625,72,82,1,0,n22,3.331771,9.0
3.5385416,0.03125,74,78,1,0,n23,3.331771,9.0
3.8072917,0.038541667,77,63,1,0,n24,3.331771,9.0
4.0520835,0.07083333,57,59,1,0,n25,3.331771,9.0
4.053125,0.039583333,74,70,1,0,n26,4.052604,12.0
4.164583,0.046875,56,65,1,0,n27,4.052604,12.0
4.275,0.054166667,57,66,1,0,n28,4.052604,12.0
4.2864585,0.041666668,71,70,1,0,n29,4.052604,12.0
4.3802085,0.059375,56,65,1,0,n30,4.052604,12.0
4.5020833,0.05,57,65,1,0,n31,4.052604,12.0
4.509375,0.072916664,68,78,1,0,n32,4.052604,12.0
4.592708,0.08541667,56,76,1,0,n33,4.052604,12.0
4.7395835,0.051041666,57,56,1,0,n34,4.052604,12.0
4.7552085,0.030208332,71,85,1,0,n35,4.747396,15.0
5.0041666,0.040625,74,79,1,0,n36,4.747396,15.0
5.009375,0.039583333,53,57,1,0,n37,4.747396,15.0
5.248958,0.051041666,77,86,1,0,n38,4.747396,15.0
5.25,0.058333334,50,51,1,0,n39,4.747396,15.0
5.5041666,0.69375,45,51,1,0,n40,4.747396,15.0
5.51875,0.059375,74,82,1,0,n41,5.511458,18.0
5.626042,0.07083333,76,85,1,0,n42,5.511458,18.0
5.742708,0.030208332,77,83,1,0,n43,5.511458,18.0
5.9875,0.14791666,80,88,1,0,n44,5.511458,18.0
6.2291665,0.042708334,77,74,1,0,n45,5.511458,18.0
6.2375,0.07083333,57,63,1,0,n46,6.233333,21.0
6.353125,0.053125,56,70,1,0,n47,6.233333,21.0
6.4625,0.06458333,57,67,1,0,n48,6.233333,21.0
6.469792,0.039583333,74,75,1,0,n49,6.233333,21.0
6.585417,0.053125,56,69,1,0,n50,6.233333,21.0
6.703125,0.072916664,71,83,1,0,n51,6.233333,21.0
6.704167,0.0625,57,64,1,0,n52,6.233333,21.0
6.8125,0.06458333,56,66,1,0,n53,6.233333,21.0
6.9416666,0.045833334,57,59,1,0,n54,6.233333,21.0
6.9416666,0.054166667,74,84,1,0,n55,6.233333,21.0
7.190625,0.052083332,77,86,1,0,n56,6.941667,24.0
7.202083,0.041666668,53,59,1,0,n57,6.941667,24.0
7.43125,0.047916666,50,54,1,0,n58,6.941667,24.0
7.43125,0.06979167,80,88,1,0,n59,6.941667,24.0
7.4635415,0.035416666,76,28,1,0,n60,6.941667,24.0
7.702083,0.45104167,45,51,1,0,n61,6.941667,24.0
7.704167,0.26666668,81,84,1,0,n62,7.703125,27.0
7.978125,0.114583336,79,71,1,0,n63,7.703125,27.0
8.079166,0.11145833,77,67,1,0,n64,7.703125,27.0
8.178125,0.08125,76,71,1,0,n65,7.703125,27.0
8.291667,0.103125,74,70,1,0,n66,7.703125,27.0
8.40625,0.23958333,72,70,1,0,n67,8.40625,30.0
8.651042,0.034375,69,68,1,0,n68,8.40625,30.0
8.905209,0.05,64,58,1,0,n69,8.40625,30.0
9.146875,0.051041666,60,65,1,0,n70,9.146875,33.0
9.402083,0.044791665,57,62,1,0,n71,9.146875,33.0
9.621875,0.042708334,63,75,1,0,n72,9.146875,33.0
9.885417,0.9375,79,75,1,0,n73,9.146875,33.0
9.886458,0.08645833,52,76,1,0,n74,9.146875,33.0
9.898958,0.7114583,71,49,1,0,n75,9.890278,36.0
10.017709,0.060416665,54,84,1,0,n76,9.890278,36.0
10.141666,0.051041666,55,83,1,0,n77,9.890278,36.0
10.388541,0.039583333,59,81,1,0,n78,9.890278,36.0
10.646875,0.046875,55,55,1,0,n79,9.890278,36.0
10.651042,0.058333334,76,64,1,0,n80,10.648958,39.0
10.744792,0.096875,75,71,1,0,n81,10.648958,39.0
10.851042,0.075,76,68,1,0,n82,10.648958,39.0
10.866667,0.041666668,52,64,1,0,n83,10.648958,39.0
10.94375,0.052083332,50,3,1,0,n84,10.648958,39.0
10.96875,0.08125,75,73,1,0,n85,10.648958,39.0
11.089583,0.09583333,76,62,1,0,n86,10.648958,39.0
11.101042,0.05625,47,71,1,0,n87,10.648958,39.0
11.13125,0.040625,50,28,1,0,n88,10.648958,39.0
11.205209,0.115625,75,70,1,0,n89,10.648958,39.0
11.322917,0.09375,76,75,1,0,n90,10.648958,39.0
11.323958,0.047916666,52,74,1,0,n91,11.323438,42.0
11.463542,0.079166666,71,77,1,0,n92,11.323438,42.0
11.5625,0.046875,55,73,1,0,n93,11.323438,42.0
11.567708,0.16145833,69,78,1,0,n94,11.323438,42.0
11.688541,0.079166666,67,73,1,0,n95,11.323438,42.0
11.778125,0.061458334,59,79,1,0,n96,11.323438,42.0
11.780209,0.10104167,66,76,1,0,n97,11.323438,42.0
11.8875,0.7,64,74,1,0,n98,11.323438,42.0
12.014584,0.07083333,54,79,1,0,n99,11.323438,42.0
12.026042,0.81875,72,83,1,0,n100,11.323438,42.0
12.047916,0.060416665,69,20,1,0,n101,12.029514,45.0
12.119792,0.067708336,55,87,1,0,n102,12.029514,45.0
12.247916,0.039583333,57,78,1,0,n103,12.029514,45.0
12.520833,0.044791665,60,73,1,0,n104,12.029514,45.0
12.771875,0.051041666,57,65,1,0,n105,12.771875,48.0
12.8625,0.103125,71,67,1,0,n106,12.771875,48.0
12.982291,0.08958333,72,80,1,0,n107,12.771875,48.0
12.99375,0.046875,54,63,1,0,n108,12.771875,48.0
13.095834,0.1125,71,81,1,0,n109,12.771875,48.0
13.210417,0.06979167,72,82,1,0,n110,12.771875,48.0
13.216666,0.061458334,51,64,1,0,n111,12.771875,48.0
13.327084,0.059375,71,81,1,0,n112,12.771875,48.0
13.445833,0.052083332,54,75,1,0,n113,13.445833,51.0
13.445833,0.14791666,72,80,1,0,n114,13.445833,51.0
13.571875,0.12604167,79,76,1,0,n115,13.445833,51.0
13.66875,0.042708334,57,79,1,0,n116,13.445833,51.0
13.680208,0.10520833,78,77,1,0,n117,13.445833,51.0
13.782291,0.11145833,76,78,1,0,n118,13.445833,51.0
