xml_id	midi_id	track	channel	pitch	onset
n36-1	n12	0	0	53	2.9732934229166665
n34-1	n4	0	0	57	2.3493612062500002
n33-1	n0	0	0	58	2.0491472458333337
n35-1	n8	0	0	58	2.653848675
n2-1	n1	0	0	65	2.127138772916667
n4-1	n3	0	0	65	2.2799166958333337
n6-1	n5	0	0	65	2.4423100125
n8-1	n7	0	0	65	2.5790622791666666
n10-1	n9	0	0	65	2.7264983166666665
n12-1	n11	0	0	65	2.892096764583333
n14-1	n13	0	0	69	3.064105475
n16-1	n15	0	0	69	3.1848320854166667
n7-1	n6	0	0	72	2.4957288666666666
n3-1	n2	0	0	74	2.1794892500000005
n11-1	n10	0	0	74	2.811968483333333
n15-1	n14	0	0	77	3.1324816083333333
n38-1	n20	0	0	53	3.6143196729166673
n37-1	n16	0	0	55	3.2895330395833335
n18-1	n17	0	0	62	3.3685929437500004
n20-1	n19	0	0	62	3.517097358333334
n22-1	n21	0	0	62	3.6891060687500006
n24-1	n23	0	0	62	3.8408156145833345
n23-1	n22	0	0	69	3.789533514583334
n19-1	n18	0	0	70	3.4423109625000006
n40-1	n28	0	0	50	4.231841627083334
n39-1	n24	0	0	55	3.9326960437500014
n26-1	n25	0	0	62	4.003208931250001
n28-1	n27	0	0	62	4.125003918750001
n30-1	n29	0	0	65	4.303422891666667
n32-1	n31	0	0	65	4.430559764583334
n27-1	n26	0	0	70	4.073721818750001
n31-1	n30	0	0	74	4.376072533333334
n74-1	n36	0	0	50	4.866457614583334
n73-1	n32	0	0	51	4.554491506250001
n42-1	n33	0	0	58	4.621799262500001
n44-1	n35	0	0	58	4.772440431250001
n46-1	n37	0	0	58	4.9348337479166675
n48-1	n39	0	0	58	5.083338162500001
n47-1	n38	0	0	65	5.020303914583335
n43-1	n34	0	0	67	4.706201052083334
n76-1	n44	0	0	46	5.479706060416667
n75-1	n40	0	0	51	5.164534820833334
n50-1	n41	0	0	58	5.264962266666668
n52-1	n43	0	0	58	5.398509402083334
n54-1	n45	0	0	62	5.5790651291666675
n56-1	n47	0	0	62	5.7115438875
n51-1	n42	0	0	67	5.325859760416668
n55-1	n46	0	0	70	5.641031000000001
n78-1	n52	0	0	46	6.1346212125
n77-1	n48	0	0	48	5.8141080875
n58-1	n49	0	0	62	5.898509877083334
n60-1	n51	0	0	62	6.039535652083333
n62-1	n53	0	0	62	6.21474949375
n64-1	n55	0	0	62	6.3653906625
n59-1	n50	0	0	63	5.961544125
n63-1	n54	0	0	67	6.2884675125000005
n80-1	deletion
n79-1	n56	0	0	45	6.443382189583334
n70-1	n61	0	0	57	6.866459514583333
n72-1	n63	0	0	57	6.997869895833333
n66-1	n57	0	0	60	6.555561783333333
n68-1	n59	0	0	60	6.672014885416667
n71-1	n62	0	0	63	6.928425385416666
n67-1	n58	0	0	65	6.6175276541666666
n106-1	n68	0	0	53	7.431630991666667
n105-1	n64	0	0	58	7.10257085
n86-1	n69	0	0	58	7.525648175000001
n88-1	n71	0	0	58	7.663468818750001
n82-1	n65	0	0	62	7.19551965625
n84-1	n67	0	0	62	7.330135168750001
n87-1	n70	0	0	62	7.589750800000001
n83-1	n66	0	0	65	7.2777846916666675
n108-1	n76	0	0	46	8.070520487500001
n107-1	n72	0	0	50	7.766033018750001
n92-1	n77	0	0	50	8.167742802083335
n94-1	n79	0	0	50	8.304495068750002
n89-1	n73	0	0	53	7.851503185416668
n91-1	n75	0	0	53	7.985050320833334
n93-1	n78	0	0	53	8.209409508333335
n90-1	n74	0	0	58	7.9220160729166675
