onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.5,0.0,0.5,0,4,58,5,n33-1,0.0,2.04915
0.125,0.125,0.125,0.125,1,1,65,1,n2-1,0.0,2.04915
0.25,0.125,0.25,0.125,2,1,74,1,n3-1,0.0,2.04915
0.375,0.125,0.375,0.125,3,1,65,1,n4-1,0.0,2.04915
0.5,0.5,0.5,0.5,4,4,57,5,n34-1,0.0,2.04915
0.625,0.125,0.625,0.125,5,1,65,1,n6-1,0.0,2.04915
0.75,0.125,0.75,0.125,6,1,72,1,n7-1,0.0,2.04915
0.875,0.125,0.875,0.125,7,1,65,1,n8-1,0.0,2.04915
1.0,0.5,1.0,0.5,8,4,58,5,n35-1,1.0,2.65385
1.125,0.125,1.125,0.125,9,1,65,1,n10-1,1.0,2.65385
1.25,0.125,1.25,0.125,10,1,74,1,n11-1,1.0,2.65385
1.375,0.125,1.375,0.125,11,1,65,1,n12-1,1.0,2.65385
1.5,0.5,1.5,0.5,12,4,53,5,n36-1,1.0,2.65385
1.625,0.125,1.625,0.125,13,1,69,1,n14-1,1.0,2.65385
1.75,0.125,1.75,0.125,14,1,77,1,n15-1,1.0,2.65385
1.875,0.125,1.875,0.125,15,1,69,1,n16-1,1.0,2.65385
2.0,0.5,2.0,0.5,16,4,55,5,n37-1,2.0,3.28953
2.125,0.125,2.125,0.125,17,1,62,1,n18-1,2.0,3.28953
2.25,0.125,2.25,0.125,18,1,70,1,n19-1,2.0,3.28953
2.375,0.125,2.375,0.125,19,1,62,1,n20-1,2.0,3.28953
2.5,0.5,2.5,0.5,20,4,53,5,n38-1,2.0,3.28953
2.625,0.125,2.625,0.125,21,1,62,1,n22-1,2.0,3.28953
2.75,0.125,2.75,0.125,22,1,69,1,n23-1,2.0,3.28953
2.875,0.125,2.875,0.125,23,1,62,1,n24-1,2.0,3.28953
3.0,0.5,3.0,0.5,24,4,55,5,n39-1,3.0,3.9327
