xml_id	midi_id	track	channel	pitch	onset
n30-1	n1	1	0	58	0.9739583333333333
n31-1	n3	1	0	58	1.770833333333333
n32-1	n8	1	0	58	2.6028645833333326
n33-1	n13	1	0	58	3.4622395833333326
n26-1	n0	1	0	61	0.9544270833333333
n27-1	n12	1	0	61	3.457031249999999
n19-1	n4	1	0	65	1.7773437499999996
n21-1	n9	1	0	65	3.4283854166666656
n1-1	n2	1	0	70	1.7486979166666663
n3-1	n7	1	0	70	2.601562499999999
n5-1	n10	1	0	70	3.4361979166666656
n2-1	n5	1	0	72	2.1523437499999996
n4-1	n6	1	0	73	2.5872395833333326
n6-1	n11	1	0	73	3.4361979166666656
n34-1	n18	1	0	58	4.343750000000001
n35-1	n19	1	0	58	5.148437499999998
n28-1	n15	1	0	63	4.330729166666667
n22-1	n16	1	0	66	4.333333333333334
n9-1	n21	1	0	69	5.160156249999998
n7-1	n17	1	0	70	4.339843750000001
n11-1	n23	1	0	70	5.576822916666665
n10-1	n20	1	0	72	5.153645833333331
n8-1	n14	1	0	73	4.326822916666667
n12-1	n22	1	0	73	5.570312499999998
n36-1	n26	1	0	58	6.019531249999998
n37-1	n28	1	0	58	6.851562499999999
n29-1	n33	1	0	60	6.869791666666665
n24-1	n31	1	0	63	6.860677083333332
n25-1	n27	1	0	66	6.847656249999999
n15-1	n32	1	0	69	6.861979166666665
n13-1	n24	1	0	72	5.996093749999998
n16-1	n30	1	0	72	6.855468749999999
n14-1	n25	1	0	75	6.002604166666665
n17-1	n29	1	0	75	6.851562499999999
n69-1	n35	1	0	58	7.75520833333333
n70-1	n41	1	0	58	8.57552083333333
n65-1	n36	1	0	61	7.75520833333333
n59-1	n34	1	0	65	7.74348958333333
n40-1	n39	1	0	70	8.554687499999996
n38-1	n37	1	0	72	7.76302083333333
n42-1	n43	1	0	72	8.957031249999998
n41-1	n40	1	0	73	8.55989583333333
n39-1	n38	1	0	75	7.76302083333333
n43-1	n42	1	0	75	8.951822916666664
n71-1	n46	1	0	58	9.420572916666664
n72-1	n50	1	0	58	10.235677083333329
n66-1	n52	1	0	61	10.239583333333329
n61-1	n47	1	0	65	10.216145833333329
n46-1	n48	1	0	70	10.223958333333329
n44-1	n45	1	0	73	9.41145833333333
n47-1	n51	1	0	73	10.238281249999995
n45-1	n44	1	0	77	9.397135416666664
n48-1	n49	1	0	77	10.227864583333329
n73-1	n55	1	0	58	11.194010416666664
n74-1	n60	1	0	58	12.0234375
n75-1	n63	1	0	58	12.876302083333334
n76-1	n66	1	0	58	13.717447916666668
n110-1	n74	1	0	58	14.75
n100-1	deletion
n67-1	n57	1	0	60	11.212239583333332
n62-1	n53	1	0	69	11.186197916666664
n51-1	n58	1	0	72	12.010416666666666
n49-1	n56	1	0	73	11.201822916666664
n53-1	n62	1	0	73	12.420572916666668
n52-1	n59	1	0	75	12.010416666666666
n50-1	n54	1	0	77	11.191406249999998
n54-1	n61	1	0	77	12.419270833333334
n68-1	n67	1	0	60	13.721354166666668
n64-1	n68	1	0	69	13.722656250000002
n55-1	n65	1	0	75	12.885416666666666
n57-1	n70	1	0	75	13.733072916666668
n56-1	n64	1	0	78	12.8828125
n58-1	n69	1	0	78	13.729166666666668
n101-1	n75	1	0	58	15.634114583333336
n102-1	n78	1	0	60	16.039062500000004
n96-1	n71	1	0	70	14.734375000000002
n89-1	n77	1	0	73	15.64713541666667
n88-1	n73	1	0	75	14.739583333333334
n79-1	n79	1	0	75	16.042968750000004
n78-1	n76	1	0	77	15.645833333333336
n77-1	n72	1	0	78	14.736979166666668
n103-1	n80	1	0	61	16.49739583333334
n104-1	n83	1	0	61	17.322916666666668
n91-1	n82	1	0	70	17.3203125
n92-1	n84	1	0	73	17.325520833333336
n80-1	n81	1	0	77	16.51302083333334
n81-1	n85	1	0	77	17.330729166666668
n106-1	n92	1	0	60	19.101562500000004
n105-1	n87	1	0	61	18.26041666666667
n107-1	n93	1	0	61	19.48697916666667
n99-1	n90	1	0	66	19.08723958333334
n98-1	n86	1	0	67	18.246093750000004
n93-1	n88	1	0	70	18.26041666666667
n84-1	n94	1	0	73	19.49088541666667
n83-1	n91	1	0	75	19.09635416666667
n108-1	n95	1	0	63	19.930989583333336
n109-1	n98	1	0	63	20.730468750000007
n94-1	n99	1	0	66	20.730468750000007
n95-1	n100	1	0	70	20.730468750000007
