onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.95442706,2.71875,61,60,1,0,n0,-10.0,-10.0
0.9739583,1.0559896,58,45,1,0,n1,0.964193,0.0
1.7486979,0.5520833,70,50,1,0,n2,0.964193,0.0
1.7708334,0.49479166,58,31,1,0,n3,0.964193,0.0
1.7773438,1.1653646,65,36,1,0,n4,0.964193,0.0
2.1523438,0.59505206,72,64,1,0,n5,0.964193,0.0
2.5872395,1.0859375,73,55,1,0,n6,0.964193,0.0
2.6015625,1.0716146,70,41,1,0,n7,2.597222,1.0
2.6028645,1.0703125,58,25,1,0,n8,2.597222,1.0
3.4283855,1.1822916,65,71,1,0,n9,2.597222,1.0
3.436198,1.078125,70,58,1,0,n10,2.597222,1.0
3.436198,1.078125,73,64,1,0,n11,2.597222,1.0
3.4570312,1.0572916,61,55,1,0,n12,2.597222,1.0
3.4622395,0.44791666,58,46,1,0,n13,2.597222,1.0
4.3268228,0.95963544,73,56,1,0,n14,2.597222,1.0
4.330729,2.717448,63,52,1,0,n15,2.597222,1.0
4.3333335,2.7148438,66,50,1,0,n16,2.597222,1.0
4.3398438,0.9635417,70,47,1,0,n17,4.334896,2.0
4.34375,0.5234375,58,41,1,0,n18,4.334896,2.0
5.1484375,0.640625,58,38,1,0,n19,4.334896,2.0
5.153646,0.54817706,72,48,1,0,n20,4.334896,2.0
5.1601562,0.99088544,69,38,1,0,n21,4.334896,2.0
5.5703125,0.6380208,73,65,1,0,n22,4.334896,2.0
5.5768228,0.6588542,70,55,1,0,n23,4.334896,2.0
5.9960938,1.0520834,72,57,1,0,n24,4.334896,2.0
6.002604,1.0455729,75,64,1,0,n25,4.334896,2.0
6.0195312,1.0286459,58,41,1,0,n26,6.006076,3.0
6.8476562,1.15625,66,70,1,0,n27,6.006076,3.0
6.8515625,0.46614584,58,51,1,0,n28,6.006076,3.0
6.8515625,0.6848958,75,64,1,0,n29,6.006076,3.0
6.8554688,0.6458333,72,56,1,0,n30,6.006076,3.0
6.8606772,0.56119794,63,59,1,0,n31,6.006076,3.0
6.861979,0.5572917,69,53,1,0,n32,6.006076,3.0
6.8697915,0.96484375,60,58,1,0,n33,6.006076,3.0
7.7434897,2.6354167,65,49,1,0,n34,6.006076,3.0
7.7552085,0.56380206,58,34,1,0,n35,6.006076,3.0
7.7552085,2.623698,61,46,1,0,n36,6.006076,3.0
7.763021,0.96875,72,49,1,0,n37,7.75599,4.0
7.763021,0.9401042,75,56,1,0,n38,7.75599,4.0
