xml_id	midi_id	track	channel	pitch	onset
n19-1	n1	1	0	59	1.0078125
n15-1	n0	1	0	63	1.0
n16-1	n5	1	0	64	1.87109375
n2-1	n3	1	0	70	1.4583333333333335
n5-1	n7	1	0	70	2.0677083333333335
n1-1	n2	1	0	71	1.2369791666666667
n3-1	n4	1	0	71	1.6653645833333335
n6-1	n8	1	0	71	2.2734375
n4-1	n6	1	0	73	1.87109375
n7-1	n9	1	0	73	2.4674479166666665
n17-1	n10	1	0	66	2.6861979166666665
n9-1	n12	1	0	73	3.0703125
n8-1	n11	1	0	75	2.8671875
n10-1	n13	1	0	75	3.2682291666666665
n18-1	n15	1	0	68	3.4882812499999996
n12-1	n16	1	0	73	3.6640624999999996
n13-1	n17	1	0	75	3.8671874999999996
n11-1	n14	1	0	76	3.4843749999999996
n14-1	n18	1	0	76	4.05859375
n28-1	n19	1	0	70	4.319010416666667
n21-1	n21	1	0	75	4.769531250000001
n20-1	n20	1	0	76	4.555989583333334
n22-1	n22	1	0	76	4.975260416666668
n24-1	n24	1	0	73	5.358072916666669
n25-1	n25	1	0	75	5.567708333333336
n26-1	n26	1	0	76	5.743489583333335
n23-1	n23	1	0	78	5.179687500000002
n30-1	n29	1	0	68	6.410156250000002
n29-1	n28	1	0	70	6.223958333333335
n31-1	n30	1	0	70	6.613281250000002
n27-1	n27	1	0	75	5.980468750000002
n33-1	n32	1	0	68	7.026041666666668
n34-1	n33	1	0	70	7.217447916666668
n32-1	n31	1	0	71	6.825520833333335
n35-1	n34	1	0	71	7.407552083333335
n51-1	n38	1	0	54	8.031250000000002
n50-1	n37	1	0	56	7.794270833333334
n52-1	n39	1	0	56	8.214843750000002
n46-1	n36	1	0	65	7.649739583333334
n37-1	n35	1	0	73	7.609375000000001
n54-1	n42	1	0	54	8.608072916666668
n55-1	n43	1	0	56	8.809895833333334
n53-1	n41	1	0	58	8.425781250000002
n56-1	n44	1	0	58	9.02734375
n47-1	n40	1	0	66	8.410156250000002
n57-1	n45	1	0	51	9.27734375
n40-1	n47	1	0	68	9.647135416666666
n39-1	n46	1	0	70	9.451822916666666
n41-1	n48	1	0	70	9.828125
n58-1	n50	1	0	56	10.08203125
n43-1	n51	1	0	68	10.265625
n44-1	n52	1	0	70	10.473958333333334
n42-1	n49	1	0	71	10.063802083333334
n45-1	n53	1	0	71	10.651041666666666
n73-1	n55	1	0	49	10.872395833333332
n70-1	n54	1	0	65	10.869791666666666
n61-1	n57	1	0	66	11.264322916666666
n60-1	n56	1	0	68	11.065104166666666
n62-1	n58	1	0	68	11.451822916666666
n74-1	n60	1	0	54	11.674479166666668
n71-1	n59	1	0	64	11.669270833333334
n64-1	n61	1	0	66	11.855468750000002
n65-1	n62	1	0	68	12.063802083333336
n66-1	n63	1	0	70	12.251302083333336
n63-1	deletion
n75-1	n64	1	0	47	12.48697916666667
n77-1	n67	1	0	56	12.895833333333337
n76-1	n66	1	0	58	12.673177083333337
n78-1	n68	1	0	58	13.084635416666671
n72-1	n65	1	0	63	12.492187500000004
n80-1	n71	1	0	56	13.511718750000004
n81-1	n73	1	0	58	13.720052083333337
n79-1	n70	1	0	59	13.324218750000004
n82-1	n74	1	0	59	13.878906250000005
n69-1	n72	1	0	66	13.707031250000004
n68-1	n69	1	0	68	13.313802083333337
n100-1	n79	1	0	47	14.557291666666675
n98-1	n75	1	0	49	14.147135416666675
n101-1	n80	1	0	49	14.733072916666675
n99-1	n77	1	0	51	14.350260416666675
n87-1	n78	1	0	61	14.533854166666675
n83-1	n76	1	0	65	14.154947916666675
n103-1	n84	1	0	47	15.141927083333341
n104-1	n85	1	0	49	15.356770833333341
n102-1	n83	1	0	51	14.973958333333341
n105-1	n87	1	0	51	15.561197916666673
n89-1	n86	1	0	58	15.368489583333341
n88-1	n81	1	0	59	14.946614583333341
n84-1	n82	1	0	66	14.946614583333341
n106-1	n88	1	0	44	15.768229166666673
n92-1	n91	1	0	56	16.213541666666675
n91-1	n90	1	0	58	16.00651041666667
n93-1	n92	1	0	58	16.40755208333334
n90-1	n89	1	0	59	15.791666666666673
n94-1	deletion
n107-1	n94	1	0	49	16.643229166666675
n95-1	n95	1	0	56	16.829427083333343
n96-1	n96	1	0	58	17.072916666666675
n97-1	n97	1	0	59	17.272135416666675
n85-1	n93	1	0	65	16.632812500000007
n113-1	n98	1	0	42	17.544270833333343
n115-1	n102	1	0	47	17.99479166666668
n114-1	n101	1	0	49	17.790364583333346
n116-1	n103	1	0	49	18.18619791666668
n109-1	n100	1	0	58	17.56250000000001
n108-1	n99	1	0	66	17.552083333333343
n118-1	n106	1	0	47	18.60156250000001
n119-1	n107	1	0	49	18.78906250000001
n117-1	n105	1	0	51	18.40234375000001
n120-1	n108	1	0	51	18.98307291666668
n110-1	n104	1	0	59	18.38671875000001
n121-1	n110	1	0	42	19.207031250000014
n123-1	n112	1	0	44	19.614583333333346
n122-1	n111	1	0	46	19.404947916666682
n124-1	n113	1	0	46	19.809895833333346
n111-1	n109	1	0	61	19.196614583333346
n126-1	n116	1	0	44	20.239583333333346
n127-1	n117	1	0	46	20.43359375000001
n125-1	n114	1	0	47	20.027343750000014
n128-1	n118	1	0	47	20.618489583333346
n112-1	n115	1	0	63	20.044270833333346
n147-1	n119	1	0	40	20.852864583333346
n130-1	n121	1	0	67	21.29557291666668
n129-1	n120	1	0	68	21.07291666666668
n131-1	n122	1	0	68	21.475260416666675
n148-1	n124	1	0	52	21.70833333333334
n145-1	n125	1	0	61	21.70963541666667
n133-1	n126	1	0	67	21.893229166666675
n134-1	n127	1	0	68	22.096354166666675
n132-1	n123	1	0	70	21.69791666666667
n135-1	n128	1	0	70	22.27473958333334
n149-1	n130	1	0	51	22.501302083333336
n136-1	n129	1	0	67	22.500000000000004
n138-1	n132	1	0	68	22.912760416666668
n137-1	n131	1	0	70	22.697916666666668
n139-1	n133	1	0	70	23.12109375
n146-1	n135	1	0	59	23.321614583333332
n141-1	n136	1	0	68	23.533854166666664
n142-1	n137	1	0	70	23.721354166666664
n140-1	n134	1	0	71	23.31640625
n143-1	n138	1	0	71	23.89583333333333
n160-1	n142	1	0	56	24.50260416666666
n159-1	n139	1	0	58	24.12630208333333
n150-1	n140	1	0	73	24.12760416666666
n152-1	n143	1	0	79	24.511718749999993
n151-1	n141	1	0	80	24.317708333333325
n153-1	n144	1	0	80	24.718749999999993
n171-1	n145	1	0	49	24.923177083333325
n161-1	n148	1	0	55	25.33854166666666
n155-1	n147	1	0	79	25.126302083333325
n156-1	n149	1	0	80	25.34635416666666
n154-1	n146	1	0	82	24.923177083333325
n157-1	n150	1	0	82	25.531249999999996
n173-1	n155	1	0	46	26.164062499999996
n172-1	n151	1	0	47	25.746093749999996
n164-1	n154	1	0	68	26.144531249999996
n163-1	n153	1	0	70	25.940104166666664
n165-1	n156	1	0	70	26.34505208333333
