onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0,0.9166667,63,46,1,0,n0,-10.0,-10.0
1.0078125,6.3684897,59,46,1,0,n1,1.003906,0.0
1.2369791,0.1796875,71,46,1,0,n2,1.003906,0.0
1.4583334,0.20182292,70,45,1,0,n3,1.003906,0.0
1.6653646,0.20052083,71,52,1,0,n4,1.003906,0.0
1.8710938,0.8828125,64,53,1,0,n5,1.003906,0.0
1.8710938,0.1875,73,56,1,0,n6,1.003906,0.0
2.0677083,0.23958333,70,59,1,0,n7,1.871094,1.0
2.2734375,0.28385416,71,61,1,0,n8,1.871094,1.0
2.467448,0.18619792,73,63,1,0,n9,1.871094,1.0
2.686198,0.9348958,66,62,1,0,n10,2.686198,2.0
2.8671875,0.203125,75,68,1,0,n11,2.686198,2.0
3.0703125,0.2513021,73,71,1,0,n12,2.686198,2.0
3.2682292,0.2721354,75,81,1,0,n13,2.686198,2.0
3.484375,0.18359375,76,73,1,0,n14,2.686198,2.0
3.4882812,0.9010417,68,68,1,0,n15,3.486328,3.0
3.6640625,0.2513021,73,70,1,0,n16,3.486328,3.0
3.8671875,0.24869792,75,77,1,0,n17,3.486328,3.0
4.0585938,0.16666667,76,67,1,0,n18,3.486328,3.0
4.3190103,1.4908854,70,66,1,0,n19,4.31901,4.0
4.5559897,0.16796875,76,48,1,0,n20,4.31901,4.0
4.7695312,0.24739583,75,53,1,0,n21,4.31901,4.0
4.9752603,0.19791667,76,57,1,0,n22,4.31901,4.0
5.1796875,0.16276042,78,64,1,0,n23,4.31901,4.0
5.3580728,0.24609375,73,64,1,0,n24,5.179688,5.0
5.5677085,0.17447917,75,78,1,0,n25,5.179688,5.0
5.7434897,0.20963542,76,65,1,0,n26,5.179688,5.0
5.9804688,1.4752604,75,70,1,0,n27,5.179688,5.0
6.2239585,0.15104167,70,43,1,0,n28,5.980469,6.0
6.4101562,0.30078125,68,45,1,0,n29,5.980469,6.0
6.6132812,0.3450521,70,48,1,0,n30,5.980469,6.0
6.825521,0.21875,71,53,1,0,n31,6.825521,7.0
7.0260415,0.21875,68,56,1,0,n32,6.825521,7.0
7.2174478,0.42447916,70,63,1,0,n33,6.825521,7.0
7.4075522,0.25390625,71,67,1,0,n34,6.825521,7.0
7.609375,2.2239583,73,69,1,0,n35,6.825521,7.0
7.6497397,0.7552083,65,39,1,0,n36,7.629557,8.0
7.794271,0.21614583,56,49,1,0,n37,7.629557,8.0
8.03125,0.171875,54,50,1,0,n38,7.629557,8.0
8.214844,0.1875,56,47,1,0,n39,7.629557,8.0
8.410156,2.2252605,66,63,1,0,n40,7.629557,8.0
8.425781,0.17838542,58,41,1,0,n41,8.417969,9.0
8.608073,0.1875,54,48,1,0,n42,8.417969,9.0
8.8098955,0.17447917,56,47,1,0,n43,8.417969,9.0
9.027344,0.28125,58,39,1,0,n44,8.417969,9.0
9.277344,0.33984375,51,42,1,0,n45,9.277344,10.0
9.451823,0.20052083,70,67,1,0,n46,9.277344,10.0
9.647136,0.23046875,68,75,1,0,n47,9.277344,10.0
9.828125,0.3450521,70,72,1,0,n48,9.277344,10.0
10.063802,0.2109375,71,67,1,0,n49,9.277344,10.0
10.082031,0.44791666,56,51,1,0,n50,10.072917,11.0
10.265625,0.25,68,72,1,0,n51,10.072917,11.0
10.473958,0.2109375,70,70,1,0,n52,10.072917,11.0
10.651042,0.36328125,71,65,1,0,n53,10.072917,11.0
10.869792,0.5234375,65,62,1,0,n54,10.072917,11.0
10.8723955,0.4283854,49,54,1,0,n55,10.871094,12.0
11.0651045,0.17578125,68,64,1,0,n56,10.871094,12.0
11.264323,0.3059896,66,62,1,0,n57,10.871094,12.0
11.451823,0.2591146,68,67,1,0,n58,10.871094,12.0
11.6692705,0.5520833,64,70,1,0,n59,10.871094,12.0
11.6744795,0.4127604,54,49,1,0,n60,11.671875,13.0
11.855469,0.43489584,66,63,1,0,n61,11.671875,13.0
12.063802,0.23567708,68,63,1,0,n62,11.671875,13.0
12.251302,1.1640625,70,67,1,0,n63,11.671875,13.0
12.4869795,0.14583333,47,43,1,0,n64,11.671875,13.0
12.4921875,1.6627604,63,61,1,0,n65,12.489584,14.0
12.673177,0.21875,58,48,1,0,n66,12.489584,14.0
12.895833,0.18489583,56,46,1,0,n67,12.489584,14.0
